,idx,image,object_count,color,shape,material,color_shape,color_material,shape_material,color_shape_material,size,all
0,0,7e8a39cbce31181466491620a63de934.png,9,"['gray', 'red', 'gray', 'cyan', 'brown', 'gray', 'purple', 'yellow', 'green']","['cylinder', 'cylinder', 'cylinder', 'cube', 'cube', 'cylinder', 'cone', 'sphere', 'cube']","['metal', 'rubber', 'rubber', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'metal']","['gray_cylinder', 'red_cylinder', 'gray_cylinder', 'cyan_cube', 'brown_cube', 'gray_cylinder', 'purple_cone', 'yellow_sphere', 'green_cube']","['gray_metal', 'red_rubber', 'gray_rubber', 'cyan_metal', 'brown_metal', 'gray_rubber', 'purple_metal', 'yellow_rubber', 'green_metal']","['cylinder_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_metal', 'cube_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber', 'cube_metal']","['gray_cylinder_metal', 'red_cylinder_rubber', 'gray_cylinder_rubber', 'cyan_cube_metal', 'brown_cube_metal', 'gray_cylinder_rubber', 'purple_cone_metal', 'yellow_sphere_rubber', 'green_cube_metal']","[0.351, 0.351, 0.701, 0.7, 0.7, 0.351, 0.351, 0.351, 0.7]","['gray', 'red', 'gray', 'cyan', 'brown', 'gray', 'purple', 'yellow', 'green', 'cylinder', 'cylinder', 'cylinder', 'cube', 'cube', 'cylinder', 'cone', 'sphere', 'cube', 'metal', 'rubber', 'rubber', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'metal', 'gray_cylinder', 'red_cylinder', 'gray_cylinder', 'cyan_cube', 'brown_cube', 'gray_cylinder', 'purple_cone', 'yellow_sphere', 'green_cube', 'cylinder_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_metal', 'cube_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber', 'cube_metal', 'gray_metal', 'red_rubber', 'gray_rubber', 'cyan_metal', 'brown_metal', 'gray_rubber', 'purple_metal', 'yellow_rubber', 'green_metal', 'gray_cylinder_metal', 'red_cylinder_rubber', 'gray_cylinder_rubber', 'cyan_cube_metal', 'brown_cube_metal', 'gray_cylinder_rubber', 'purple_cone_metal', 'yellow_sphere_rubber', 'green_cube_metal']"
1,1,4b69b6eb323f926d21cd7b4d3aa6cf94.png,10,"['red', 'brown', 'blue', 'blue', 'cyan', 'gray', 'gray', 'cyan', 'green', 'yellow']","['cylinder', 'cylinder', 'cylinder', 'sphere', 'sphere', 'sphere', 'cube', 'sphere', 'sphere', 'cylinder']","['rubber', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber']","['red_cylinder', 'brown_cylinder', 'blue_cylinder', 'blue_sphere', 'cyan_sphere', 'gray_sphere', 'gray_cube', 'cyan_sphere', 'green_sphere', 'yellow_cylinder']","['red_rubber', 'brown_rubber', 'blue_metal', 'blue_metal', 'cyan_metal', 'gray_metal', 'gray_metal', 'cyan_metal', 'green_metal', 'yellow_rubber']","['cylinder_rubber', 'cylinder_rubber', 'cylinder_metal', 'sphere_metal', 'sphere_metal', 'sphere_metal', 'cube_metal', 'sphere_metal', 'sphere_metal', 'cylinder_rubber']","['red_cylinder_rubber', 'brown_cylinder_rubber', 'blue_cylinder_metal', 'blue_sphere_metal', 'cyan_sphere_metal', 'gray_sphere_metal', 'gray_cube_metal', 'cyan_sphere_metal', 'green_sphere_metal', 'yellow_cylinder_rubber']","[0.351, 0.701, 0.351, 0.351, 0.351, 0.351, 0.351, 0.701, 0.7, 0.7]","['red', 'brown', 'blue', 'blue', 'cyan', 'gray', 'gray', 'cyan', 'green', 'yellow', 'cylinder', 'cylinder', 'cylinder', 'sphere', 'sphere', 'sphere', 'cube', 'sphere', 'sphere', 'cylinder', 'rubber', 'rubber', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'metal', 'rubber', 'red_cylinder', 'brown_cylinder', 'blue_cylinder', 'blue_sphere', 'cyan_sphere', 'gray_sphere', 'gray_cube', 'cyan_sphere', 'green_sphere', 'yellow_cylinder', 'cylinder_rubber', 'cylinder_rubber', 'cylinder_metal', 'sphere_metal', 'sphere_metal', 'sphere_metal', 'cube_metal', 'sphere_metal', 'sphere_metal', 'cylinder_rubber', 'red_rubber', 'brown_rubber', 'blue_metal', 'blue_metal', 'cyan_metal', 'gray_metal', 'gray_metal', 'cyan_metal', 'green_metal', 'yellow_rubber', 'red_cylinder_rubber', 'brown_cylinder_rubber', 'blue_cylinder_metal', 'blue_sphere_metal', 'cyan_sphere_metal', 'gray_sphere_metal', 'gray_cube_metal', 'cyan_sphere_metal', 'green_sphere_metal', 'yellow_cylinder_rubber']"
2,2,60b990927b64079fa61f9fb9591d6994.png,6,"['cyan', 'brown', 'gray', 'green', 'purple', 'green']","['cube', 'sphere', 'cube', 'cube', 'cube', 'cylinder']","['metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber']","['cyan_cube', 'brown_sphere', 'gray_cube', 'green_cube', 'purple_cube', 'green_cylinder']","['cyan_metal', 'brown_metal', 'gray_rubber', 'green_metal', 'purple_rubber', 'green_rubber']","['cube_metal', 'sphere_metal', 'cube_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber']","['cyan_cube_metal', 'brown_sphere_metal', 'gray_cube_rubber', 'green_cube_metal', 'purple_cube_rubber', 'green_cylinder_rubber']","[0.7, 0.701, 0.701, 0.351, 0.351, 0.701]","['cyan', 'brown', 'gray', 'green', 'purple', 'green', 'cube', 'sphere', 'cube', 'cube', 'cube', 'cylinder', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'cyan_cube', 'brown_sphere', 'gray_cube', 'green_cube', 'purple_cube', 'green_cylinder', 'cube_metal', 'sphere_metal', 'cube_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber', 'cyan_metal', 'brown_metal', 'gray_rubber', 'green_metal', 'purple_rubber', 'green_rubber', 'cyan_cube_metal', 'brown_sphere_metal', 'gray_cube_rubber', 'green_cube_metal', 'purple_cube_rubber', 'green_cylinder_rubber']"
3,3,ddfc53034f0a421970051e98c9dc6139.png,6,"['yellow', 'purple', 'cyan', 'gray', 'gray', 'gray']","['cylinder', 'cone', 'cylinder', 'cylinder', 'sphere', 'cylinder']","['rubber', 'metal', 'metal', 'rubber', 'rubber', 'rubber']","['yellow_cylinder', 'purple_cone', 'cyan_cylinder', 'gray_cylinder', 'gray_sphere', 'gray_cylinder']","['yellow_rubber', 'purple_metal', 'cyan_metal', 'gray_rubber', 'gray_rubber', 'gray_rubber']","['cylinder_rubber', 'cone_metal', 'cylinder_metal', 'cylinder_rubber', 'sphere_rubber', 'cylinder_rubber']","['yellow_cylinder_rubber', 'purple_cone_metal', 'cyan_cylinder_metal', 'gray_cylinder_rubber', 'gray_sphere_rubber', 'gray_cylinder_rubber']","[0.701, 0.7, 0.701, 0.7, 0.351, 0.351]","['yellow', 'purple', 'cyan', 'gray', 'gray', 'gray', 'cylinder', 'cone', 'cylinder', 'cylinder', 'sphere', 'cylinder', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'yellow_cylinder', 'purple_cone', 'cyan_cylinder', 'gray_cylinder', 'gray_sphere', 'gray_cylinder', 'cylinder_rubber', 'cone_metal', 'cylinder_metal', 'cylinder_rubber', 'sphere_rubber', 'cylinder_rubber', 'yellow_rubber', 'purple_metal', 'cyan_metal', 'gray_rubber', 'gray_rubber', 'gray_rubber', 'yellow_cylinder_rubber', 'purple_cone_metal', 'cyan_cylinder_metal', 'gray_cylinder_rubber', 'gray_sphere_rubber', 'gray_cylinder_rubber']"
4,4,ee3ed5c55c080eeed55ca2b2a24d7285.png,7,"['brown', 'green', 'cyan', 'blue', 'yellow', 'brown', 'brown']","['cone', 'cube', 'cylinder', 'cylinder', 'cylinder', 'cube', 'sphere']","['metal', 'metal', 'metal', 'rubber', 'metal', 'metal', 'metal']","['brown_cone', 'green_cube', 'cyan_cylinder', 'blue_cylinder', 'yellow_cylinder', 'brown_cube', 'brown_sphere']","['brown_metal', 'green_metal', 'cyan_metal', 'blue_rubber', 'yellow_metal', 'brown_metal', 'brown_metal']","['cone_metal', 'cube_metal', 'cylinder_metal', 'cylinder_rubber', 'cylinder_metal', 'cube_metal', 'sphere_metal']","['brown_cone_metal', 'green_cube_metal', 'cyan_cylinder_metal', 'blue_cylinder_rubber', 'yellow_cylinder_metal', 'brown_cube_metal', 'brown_sphere_metal']","[0.7, 0.7, 0.7, 0.701, 0.701, 0.7, 0.351]","['brown', 'green', 'cyan', 'blue', 'yellow', 'brown', 'brown', 'cone', 'cube', 'cylinder', 'cylinder', 'cylinder', 'cube', 'sphere', 'metal', 'metal', 'metal', 'rubber', 'metal', 'metal', 'metal', 'brown_cone', 'green_cube', 'cyan_cylinder', 'blue_cylinder', 'yellow_cylinder', 'brown_cube', 'brown_sphere', 'cone_metal', 'cube_metal', 'cylinder_metal', 'cylinder_rubber', 'cylinder_metal', 'cube_metal', 'sphere_metal', 'brown_metal', 'green_metal', 'cyan_metal', 'blue_rubber', 'yellow_metal', 'brown_metal', 'brown_metal', 'brown_cone_metal', 'green_cube_metal', 'cyan_cylinder_metal', 'blue_cylinder_rubber', 'yellow_cylinder_metal', 'brown_cube_metal', 'brown_sphere_metal']"
5,5,496363205e92706116336f3ac8ad4d38.png,7,"['blue', 'cyan', 'green', 'purple', 'red', 'brown', 'yellow']","['cone', 'sphere', 'cylinder', 'cylinder', 'sphere', 'cube', 'sphere']","['metal', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'rubber']","['blue_cone', 'cyan_sphere', 'green_cylinder', 'purple_cylinder', 'red_sphere', 'brown_cube', 'yellow_sphere']","['blue_metal', 'cyan_rubber', 'green_rubber', 'purple_metal', 'red_rubber', 'brown_rubber', 'yellow_rubber']","['cone_metal', 'sphere_rubber', 'cylinder_rubber', 'cylinder_metal', 'sphere_rubber', 'cube_rubber', 'sphere_rubber']","['blue_cone_metal', 'cyan_sphere_rubber', 'green_cylinder_rubber', 'purple_cylinder_metal', 'red_sphere_rubber', 'brown_cube_rubber', 'yellow_sphere_rubber']","[0.351, 0.701, 0.351, 0.7, 0.7, 0.351, 0.7]","['blue', 'cyan', 'green', 'purple', 'red', 'brown', 'yellow', 'cone', 'sphere', 'cylinder', 'cylinder', 'sphere', 'cube', 'sphere', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'blue_cone', 'cyan_sphere', 'green_cylinder', 'purple_cylinder', 'red_sphere', 'brown_cube', 'yellow_sphere', 'cone_metal', 'sphere_rubber', 'cylinder_rubber', 'cylinder_metal', 'sphere_rubber', 'cube_rubber', 'sphere_rubber', 'blue_metal', 'cyan_rubber', 'green_rubber', 'purple_metal', 'red_rubber', 'brown_rubber', 'yellow_rubber', 'blue_cone_metal', 'cyan_sphere_rubber', 'green_cylinder_rubber', 'purple_cylinder_metal', 'red_sphere_rubber', 'brown_cube_rubber', 'yellow_sphere_rubber']"
6,6,ea9e20922737c38cc10241036bcb8077.png,6,"['cyan', 'cyan', 'brown', 'purple', 'blue', 'gray']","['sphere', 'cylinder', 'sphere', 'sphere', 'cube', 'cube']","['rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber']","['cyan_sphere', 'cyan_cylinder', 'brown_sphere', 'purple_sphere', 'blue_cube', 'gray_cube']","['cyan_rubber', 'cyan_rubber', 'brown_rubber', 'purple_rubber', 'blue_rubber', 'gray_rubber']","['sphere_rubber', 'cylinder_rubber', 'sphere_rubber', 'sphere_rubber', 'cube_rubber', 'cube_rubber']","['cyan_sphere_rubber', 'cyan_cylinder_rubber', 'brown_sphere_rubber', 'purple_sphere_rubber', 'blue_cube_rubber', 'gray_cube_rubber']","[0.701, 0.351, 0.351, 0.351, 0.351, 0.351]","['cyan', 'cyan', 'brown', 'purple', 'blue', 'gray', 'sphere', 'cylinder', 'sphere', 'sphere', 'cube', 'cube', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'cyan_sphere', 'cyan_cylinder', 'brown_sphere', 'purple_sphere', 'blue_cube', 'gray_cube', 'sphere_rubber', 'cylinder_rubber', 'sphere_rubber', 'sphere_rubber', 'cube_rubber', 'cube_rubber', 'cyan_rubber', 'cyan_rubber', 'brown_rubber', 'purple_rubber', 'blue_rubber', 'gray_rubber', 'cyan_sphere_rubber', 'cyan_cylinder_rubber', 'brown_sphere_rubber', 'purple_sphere_rubber', 'blue_cube_rubber', 'gray_cube_rubber']"
7,7,ecf943abda00469c0f1d8c31c3dd63ae.png,6,"['purple', 'brown', 'yellow', 'green', 'cyan', 'brown']","['cube', 'cube', 'cube', 'cube', 'cylinder', 'sphere']","['metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber']","['purple_cube', 'brown_cube', 'yellow_cube', 'green_cube', 'cyan_cylinder', 'brown_sphere']","['purple_metal', 'brown_rubber', 'yellow_metal', 'green_rubber', 'cyan_rubber', 'brown_rubber']","['cube_metal', 'cube_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber', 'sphere_rubber']","['purple_cube_metal', 'brown_cube_rubber', 'yellow_cube_metal', 'green_cube_rubber', 'cyan_cylinder_rubber', 'brown_sphere_rubber']","[0.7, 0.351, 0.701, 0.7, 0.701, 0.7]","['purple', 'brown', 'yellow', 'green', 'cyan', 'brown', 'cube', 'cube', 'cube', 'cube', 'cylinder', 'sphere', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'purple_cube', 'brown_cube', 'yellow_cube', 'green_cube', 'cyan_cylinder', 'brown_sphere', 'cube_metal', 'cube_rubber', 'cube_metal', 'cube_rubber', 'cylinder_rubber', 'sphere_rubber', 'purple_metal', 'brown_rubber', 'yellow_metal', 'green_rubber', 'cyan_rubber', 'brown_rubber', 'purple_cube_metal', 'brown_cube_rubber', 'yellow_cube_metal', 'green_cube_rubber', 'cyan_cylinder_rubber', 'brown_sphere_rubber']"
8,8,c333895993a0a1678d8b4e5f8b0828a6.png,10,"['gray', 'gray', 'brown', 'purple', 'yellow', 'blue', 'gray', 'green', 'red', 'red']","['cylinder', 'cylinder', 'cone', 'sphere', 'cube', 'cylinder', 'cube', 'cylinder', 'cylinder', 'cylinder']","['metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'metal', 'rubber', 'rubber']","['gray_cylinder', 'gray_cylinder', 'brown_cone', 'purple_sphere', 'yellow_cube', 'blue_cylinder', 'gray_cube', 'green_cylinder', 'red_cylinder', 'red_cylinder']","['gray_metal', 'gray_rubber', 'brown_metal', 'purple_rubber', 'yellow_rubber', 'blue_rubber', 'gray_rubber', 'green_metal', 'red_rubber', 'red_rubber']","['cylinder_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber', 'cube_rubber', 'cylinder_rubber', 'cube_rubber', 'cylinder_metal', 'cylinder_rubber', 'cylinder_rubber']","['gray_cylinder_metal', 'gray_cylinder_rubber', 'brown_cone_metal', 'purple_sphere_rubber', 'yellow_cube_rubber', 'blue_cylinder_rubber', 'gray_cube_rubber', 'green_cylinder_metal', 'red_cylinder_rubber', 'red_cylinder_rubber']","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.351, 0.7, 0.7, 0.7]","['gray', 'gray', 'brown', 'purple', 'yellow', 'blue', 'gray', 'green', 'red', 'red', 'cylinder', 'cylinder', 'cone', 'sphere', 'cube', 'cylinder', 'cube', 'cylinder', 'cylinder', 'cylinder', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'gray_cylinder', 'gray_cylinder', 'brown_cone', 'purple_sphere', 'yellow_cube', 'blue_cylinder', 'gray_cube', 'green_cylinder', 'red_cylinder', 'red_cylinder', 'cylinder_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber', 'cube_rubber', 'cylinder_rubber', 'cube_rubber', 'cylinder_metal', 'cylinder_rubber', 'cylinder_rubber', 'gray_metal', 'gray_rubber', 'brown_metal', 'purple_rubber', 'yellow_rubber', 'blue_rubber', 'gray_rubber', 'green_metal', 'red_rubber', 'red_rubber', 'gray_cylinder_metal', 'gray_cylinder_rubber', 'brown_cone_metal', 'purple_sphere_rubber', 'yellow_cube_rubber', 'blue_cylinder_rubber', 'gray_cube_rubber', 'green_cylinder_metal', 'red_cylinder_rubber', 'red_cylinder_rubber']"
9,9,da7ba9d4b6b7b1973fd24e77cc6c6027.png,10,"['blue', 'purple', 'cyan', 'red', 'yellow', 'blue', 'brown', 'green', 'gray', 'green']","['cylinder', 'cylinder', 'sphere', 'cylinder', 'cylinder', 'cube', 'cube', 'cube', 'cylinder', 'cylinder']","['rubber', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber']","['blue_cylinder', 'purple_cylinder', 'cyan_sphere', 'red_cylinder', 'yellow_cylinder', 'blue_cube', 'brown_cube', 'green_cube', 'gray_cylinder', 'green_cylinder']","['blue_rubber', 'purple_rubber', 'cyan_metal', 'red_rubber', 'yellow_rubber', 'blue_rubber', 'brown_rubber', 'green_rubber', 'gray_rubber', 'green_rubber']","['cylinder_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_rubber', 'cube_rubber', 'cube_rubber', 'cylinder_rubber', 'cylinder_rubber']","['blue_cylinder_rubber', 'purple_cylinder_rubber', 'cyan_sphere_metal', 'red_cylinder_rubber', 'yellow_cylinder_rubber', 'blue_cube_rubber', 'brown_cube_rubber', 'green_cube_rubber', 'gray_cylinder_rubber', 'green_cylinder_rubber']","[0.7, 0.351, 0.351, 0.351, 0.351, 0.351, 0.351, 0.351, 0.7, 0.7]","['blue', 'purple', 'cyan', 'red', 'yellow', 'blue', 'brown', 'green', 'gray', 'green', 'cylinder', 'cylinder', 'sphere', 'cylinder', 'cylinder', 'cube', 'cube', 'cube', 'cylinder', 'cylinder', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'rubber', 'blue_cylinder', 'purple_cylinder', 'cyan_sphere', 'red_cylinder', 'yellow_cylinder', 'blue_cube', 'brown_cube', 'green_cube', 'gray_cylinder', 'green_cylinder', 'cylinder_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cylinder_rubber', 'cube_rubber', 'cube_rubber', 'cube_rubber', 'cylinder_rubber', 'cylinder_rubber', 'blue_rubber', 'purple_rubber', 'cyan_metal', 'red_rubber', 'yellow_rubber', 'blue_rubber', 'brown_rubber', 'green_rubber', 'gray_rubber', 'green_rubber', 'blue_cylinder_rubber', 'purple_cylinder_rubber', 'cyan_sphere_metal', 'red_cylinder_rubber', 'yellow_cylinder_rubber', 'blue_cube_rubber', 'brown_cube_rubber', 'green_cube_rubber', 'gray_cylinder_rubber', 'green_cylinder_rubber']"
