,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,0.8157894736842105,0.9141274238227147,0.9335615961535162,0.8108108108108109,0.8333333333333334,0.7894736842105263,sentence_all,0
1,0.8947368421052632,0.9480609418282548,0.9599282436015817,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,1
2,0.8947368421052632,0.9508310249307479,0.9614323823829267,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,2
3,0.8947368421052632,0.948753462603878,0.9599192150196347,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,3
4,0.8947368421052632,0.948753462603878,0.9604297787487441,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,4
5,0.8947368421052632,0.9459833795013851,0.9593015059103008,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,5
6,0.881578947368421,0.9404432132963989,0.9558659460812471,0.88,0.8918918918918919,0.868421052631579,sentence_all,6
7,0.8947368421052632,0.9404432132963989,0.9567305230367773,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,7
8,0.9078947368421053,0.943213296398892,0.9606433100216873,0.9041095890410958,0.9428571428571428,0.868421052631579,sentence_all,8
9,0.8947368421052632,0.9411357340720221,0.9558241306887096,0.8918918918918919,0.9166666666666666,0.868421052631579,sentence_all,9
10,0.8947368421052632,0.9418282548476454,0.9556934153103163,0.8888888888888888,0.9411764705882353,0.8421052631578947,sentence_all,10
11,0.881578947368421,0.935595567867036,0.9477533527470923,0.8767123287671232,0.9142857142857143,0.8421052631578947,sentence_all,11
12,0.8552631578947368,0.9300554016620499,0.9431991334012146,0.8405797101449275,0.9354838709677419,0.7631578947368421,sentence_all,12
13,0.8289473684210527,0.9168975069252078,0.9311555112404748,0.8169014084507042,0.8787878787878788,0.7631578947368421,sentence_all,13
14,0.8289473684210527,0.9168975069252077,0.9313287520876438,0.821917808219178,0.8571428571428571,0.7894736842105263,sentence_all,14
15,0.8289473684210527,0.9141274238227147,0.9231124331931895,0.821917808219178,0.8571428571428571,0.7894736842105263,sentence_all,15
16,0.8289473684210527,0.9217451523545707,0.9318980112868469,0.821917808219178,0.8571428571428571,0.7894736842105263,sentence_all,16
17,0.8552631578947368,0.9189750692520776,0.9292362143453854,0.8533333333333334,0.8648648648648649,0.8421052631578947,sentence_all,17
18,0.8026315789473685,0.922437673130194,0.9283287264122533,0.7945205479452054,0.8285714285714286,0.7631578947368421,sentence_all,18
19,0.8552631578947368,0.9231301939058172,0.9301424909532564,0.8571428571428571,0.8461538461538461,0.868421052631579,sentence_all,19
20,0.868421052631579,0.9293628808864266,0.9344699812622141,0.868421052631579,0.868421052631579,0.868421052631579,sentence_all,20
21,0.9210526315789473,0.9813019390581718,0.982893922052875,0.9210526315789473,0.9210526315789473,0.9210526315789473,sentence_all,21
22,0.9342105263157895,0.9889196675900278,0.9901192066579289,0.9333333333333333,0.9459459459459459,0.9210526315789473,sentence_all,22
23,0.9342105263157895,0.9923822714681441,0.9922911840909232,0.9333333333333333,0.9459459459459459,0.9210526315789473,sentence_all,23
24,0.9605263157894737,0.9937673130193907,0.9937752865038183,0.961038961038961,0.9487179487179487,0.9736842105263158,sentence_all,24
25,0.9868421052631579,0.9958448753462604,0.9956646101790307,0.987012987012987,0.9743589743589743,1.0,sentence_all,25
26,0.9868421052631579,0.9958448753462604,0.9956646101790307,0.987012987012987,0.9743589743589743,1.0,sentence_all,26
27,0.9868421052631579,0.9986149584487535,0.998632715391718,0.987012987012987,0.9743589743589743,1.0,sentence_all,27
28,0.9868421052631579,0.9958448753462604,0.9956646101790307,0.987012987012987,0.9743589743589743,1.0,sentence_all,28
29,0.9868421052631579,0.9944598337950139,0.994044793592109,0.987012987012987,0.9743589743589743,1.0,sentence_all,29
30,0.9868421052631579,0.9937673130193906,0.993195897157474,0.987012987012987,0.9743589743589743,1.0,sentence_all,30
31,0.9868421052631579,0.9979224376731303,0.9979214778383751,0.987012987012987,0.9743589743589743,1.0,sentence_all,31
32,0.9868421052631579,1.0,0.9999999999999999,0.987012987012987,0.9743589743589743,1.0,sentence_all,32
33,0.9868421052631579,1.0,0.9999999999999999,0.987012987012987,0.9743589743589743,1.0,sentence_all,33
34,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,sentence_all,34
35,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,sentence_all,35
36,0.9605263157894737,0.9979224376731303,0.9979916897506924,0.96,0.972972972972973,0.9473684210526315,sentence_all,36
0,0.8289473684210527,0.9314404432132964,0.9444612106007172,0.8266666666666667,0.8378378378378378,0.8157894736842105,sentence_img,0
1,0.9078947368421053,0.959141274238227,0.9677051791699622,0.9066666666666666,0.918918918918919,0.8947368421052632,sentence_img,1
2,0.9078947368421053,0.9612188365650969,0.9692580364559022,0.9066666666666666,0.918918918918919,0.8947368421052632,sentence_img,2
