,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,0
1,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,1
2,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,2
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,3
4,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,4
5,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,5
6,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,6
7,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,7
8,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,8
9,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,9
10,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,10
11,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,11
12,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,12
13,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,13
14,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,14
15,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,15
16,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,16
17,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,17
18,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,18
19,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,19
20,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,20
21,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,21
22,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,22
23,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,23
24,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,24
25,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,25
26,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,26
27,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,27
28,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,28
29,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,29
30,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,30
31,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,31
32,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,32
33,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,33
34,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,34
35,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,35
36,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_all,36
0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,0
1,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,1
2,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,2
3,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,3
4,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,4
5,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,5
6,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,6
7,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,7
8,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,8
9,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,9
10,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,10
11,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,11
12,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,12
13,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,13
14,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,14
15,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,15
16,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,16
17,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,17
18,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,18
19,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,19
20,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,20
21,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,21
22,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,22
23,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,23
24,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,24
25,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,25
26,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,26
27,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,27
28,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,28
29,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,29
30,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,30
31,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,31
32,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,32
33,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,33
34,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,34
35,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,35
36,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,sentence_img,36
0,0.49514563106796117,0.7254901960784313,0.7406926510655103,0.6623376623376623,0.49514563106796117,1.0,sentence_text,0
1,0.6407766990291263,0.7073906485671192,0.7225177708108893,0.6262626262626263,0.6458333333333334,0.6078431372549019,sentence_text,1
2,0.6407766990291263,0.7258672699849171,0.737557597079267,0.6262626262626263,0.6458333333333334,0.6078431372549019,sentence_text,2
3,0.7378640776699029,0.7748868778280543,0.8007942280827806,0.7157894736842105,0.7727272727272727,0.6666666666666666,sentence_text,3
4,0.7378640776699029,0.7816742081447964,0.8065684577492737,0.7157894736842105,0.7727272727272727,0.6666666666666666,sentence_text,4
5,0.7281553398058253,0.7861990950226245,0.8143716231313382,0.7083333333333334,0.7555555555555555,0.6666666666666666,sentence_text,5
6,0.6990291262135923,0.8039215686274509,0.8284536387213671,0.6804123711340206,0.717391304347826,0.6470588235294118,sentence_text,6
7,0.7087378640776699,0.8386123680241327,0.8615478572021438,0.6875,0.7333333333333333,0.6470588235294118,sentence_text,7
8,0.7669902912621359,0.8582202111613877,0.8734461027332544,0.7551020408163265,0.7872340425531915,0.7254901960784313,sentence_text,8
9,0.8446601941747572,0.9321266968325792,0.9442401503367458,0.8333333333333334,0.8888888888888888,0.7843137254901961,sentence_text,9
10,0.7864077669902912,0.9087481146304676,0.9247099605764922,0.7755102040816326,0.8085106382978723,0.7450980392156863,sentence_text,10
11,0.8543689320388349,0.9336349924585219,0.9465156964828139,0.8421052631578947,0.9090909090909091,0.7843137254901961,sentence_text,11
12,0.7766990291262136,0.9012066365007542,0.9159962747200432,0.7628865979381443,0.8043478260869565,0.7254901960784313,sentence_text,12
13,0.8252427184466019,0.9211915535444948,0.9295622026355067,0.8125,0.8666666666666667,0.7647058823529411,sentence_text,13
14,0.8349514563106796,0.9159125188536954,0.9275445480965446,0.8247422680412371,0.8695652173913043,0.7843137254901961,sentence_text,14
15,0.8252427184466019,0.9181749622926094,0.9316655732355463,0.8163265306122449,0.851063829787234,0.7843137254901961,sentence_text,15
16,0.8155339805825242,0.9015837104072398,0.9141067395555708,0.8041237113402062,0.8478260869565217,0.7647058823529411,sentence_text,16
