,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,34.026638,43.50381,42.419518,42.424538,43.260647,44.548656,46.933525,49.74514,51.35985,53.480953,53.519997,54.026558,55.61177,54.96786,55.84474,58.8466,65.663216,72.54305,74.76453,75.35666,71.68736,66.46841,70.01107,75.88075,80.83749,85.27191,84.642136,88.44285,94.59087,100.64466,107.20156,105.69632,114.61531,114.5338,111.305305,106.509056,82.65114,All tokens
1,20.01617,28.0759,28.011454,27.779005,28.867344,30.40255,32.76836,35.939594,38.15028,40.720425,41.47844,41.519855,42.132137,43.35035,44.535103,46.39977,50.178795,53.78751,55.417633,56.825012,56.382607,53.336403,55.936157,59.40573,62.45136,66.06402,64.93681,65.634285,66.8475,70.38218,73.044754,64.45239,66.49476,64.63397,58.29726,54.052402,45.00304,All tokens
2,27.142454,35.046856,35.054638,35.34415,36.322964,37.807243,39.979656,42.67899,44.86477,47.219383,47.406837,47.68386,49.03413,48.027897,48.89113,51.704987,57.600746,63.851917,65.692116,65.88753,63.24099,58.650696,60.807854,64.31885,68.514404,72.767204,71.77174,74.9951,80.88021,84.62652,88.64246,80.76898,84.54417,82.27887,78.18325,73.4758,57.51157,All tokens
3,34.438343,43.387875,42.410275,42.3752,43.186893,44.188217,46.35836,48.676723,50.082706,52.13147,51.27516,51.30987,53.887135,51.92686,53.311226,56.841114,64.24676,72.429306,75.25202,75.010635,71.479294,65.86164,68.5301,73.2792,77.676285,82.07609,80.91304,84.24139,89.96345,95.927284,102.30844,100.68152,109.1535,106.043144,104.13058,102.69246,84.2458,All tokens
4,27.139353,37.282482,36.957035,37.199924,38.35537,40.08109,42.581356,45.72674,47.737858,50.19157,51.56371,51.034107,52.834267,50.835724,51.47456,54.46611,62.954556,72.757454,73.426346,74.420364,68.8459,63.459328,66.7143,70.33032,76.180725,80.717735,78.696724,83.86987,92.29919,98.110916,104.339226,100.99584,106.286285,104.41299,100.10277,96.8787,77.43901,All tokens
5,25.451723,46.064945,46.672646,42.57775,44.096863,47.150467,50.366993,53.37674,55.693268,58.131207,59.50952,59.349384,57.617664,51.337624,52.878956,52.27831,54.906586,57.490597,59.612617,62.47462,65.92439,63.86172,66.92425,68.78365,71.75355,73.57859,76.29596,76.22931,75.619026,78.14003,78.35662,70.53686,73.7651,73.23267,64.02234,57.061462,50.25443,All tokens
6,15.647701,28.699015,29.121769,27.270542,27.90689,30.776867,33.763363,37.906853,40.45526,43.48186,45.77051,46.731457,46.80863,46.0825,47.04236,47.734505,50.283413,52.450222,55.01826,57.755444,60.8576,59.164364,61.532913,64.4057,66.63257,68.266045,69.34908,68.73759,67.54559,71.577896,71.064095,56.466175,59.262768,58.49465,49.627956,45.550514,47.537228,All tokens
7,8.676389,34.977116,36.258694,19.94774,20.347425,22.74885,25.823034,28.93064,31.876318,34.62249,35.69942,35.74248,36.812057,36.651566,38.218086,38.788563,40.949432,41.782616,43.229385,44.441868,45.668877,44.763775,46.390865,47.834915,50.146507,51.52285,53.06568,53.493538,53.858555,55.331707,55.763958,35.429768,39.461357,41.673077,37.188503,35.367657,34.656395,All tokens
8,38.992672,46.857975,46.41586,46.80718,47.51489,48.472824,50.201538,52.48092,53.86314,55.217113,55.625275,55.339153,56.48441,55.305416,55.859814,58.916115,65.5485,72.16127,73.55628,73.91819,70.37899,65.56547,67.78042,71.81454,76.48483,81.382515,80.86879,84.38394,92.331894,99.58008,106.51739,105.57962,113.31653,111.605316,111.943115,105.53305,91.66064,All tokens
9,21.877851,30.004614,30.251808,30.770962,32.02221,33.899097,36.595787,41.179962,43.876347,46.706234,46.34166,45.173744,46.745495,45.83281,46.694202,50.130253,56.71535,64.85154,66.40353,67.64203,64.853264,59.596016,61.777336,65.503815,69.86367,74.811485,73.53661,77.97313,82.34928,86.69574,90.223145,80.46038,83.4797,80.39097,74.05183,68.95583,51.91195,All tokens
0,43.06237,47.359856,46.11213,46.251373,46.40446,46.479614,47.314793,48.318996,48.401276,48.8896,48.620575,49.448696,50.037415,49.52667,49.850906,51.300503,55.626072,60.267277,62.268272,63.015194,60.984226,58.0609,60.634274,65.13395,68.6553,71.61921,72.646164,75.603386,79.42594,84.65179,89.96371,94.6879,103.6035,105.40441,109.804276,108.04204,83.56031,Img tokens
1,30.745987,32.788136,32.363422,32.57531,32.87086,32.824623,33.27615,34.083,34.485157,34.877144,35.116028,35.43414,35.036266,35.728203,36.037514,36.14233,38.521572,40.67243,41.50879,42.580563,42.462353,42.24928,44.14202,46.528522,48.5741,49.9608,50.40872,51.101704,51.379223,53.215576,53.952347,54.290283,54.85875,54.387466,55.926334,56.273937,47.102333,Img tokens
2,43.47052,45.89143,45.682915,45.75646,45.85264,46.0134,46.25231,46.807983,47.09991,47.32756,47.08549,47.714085,47.90457,46.987026,47.038006,48.013874,50.736897,53.49953,55.02506,55.11226,54.003685,52.0599,53.015553,55.183445,57.15042,58.475746,59.35499,61.237453,64.72943,68.06491,70.53065,73.59962,77.03194,77.69692,82.73061,82.131516,65.63943,Img tokens
3,44.799,48.844707,47.60875,47.710037,47.813816,47.601734,48.245564,48.595528,48.496902,48.924583,48.21556,48.78253,50.29437,48.76505,49.672844,51.785202,56.65556,61.96486,64.51288,64.080986,61.93741,58.508686,60.456924,63.80036,66.634125,69.24133,70.12035,72.31169,75.555984,80.695724,85.91416,92.178635,101.01863,100.555534,107.21833,108.83813,89.674736,Img tokens
4,38.29738,43.289825,42.871033,43.037983,43.32084,43.713722,44.30288,45.0023,45.337944,46.01557,47.40867,47.69846,48.775433,47.380463,47.329796,49.254932,54.845146,60.84547,61.74774,62.494644,59.004562,56.355114,58.591606,61.021786,64.79664,67.15367,67.44287,70.765274,75.92523,81.209114,86.653824,92.66061,97.85866,98.57014,101.78665,101.40882,81.386086,Img tokens
5,35.01829,39.13596,38.79377,39.13275,39.53817,40.090122,40.833057,41.648445,41.972034,42.769127,43.625755,43.902634,42.63799,37.42966,38.02068,37.48834,39.265213,41.59364,43.323135,46.053867,49.196667,48.335773,51.014153,52.09085,54.387005,55.977966,58.035107,57.915924,57.185997,59.319565,60.01837,62.81755,65.62284,66.11438,66.25033,61.815643,52.830296,Img tokens
