,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,28.73214,45.88746,44.558758,44.492535,47.58163,52.483124,58.926624,65.679306,70.5296,74.86934,76.03654,74.44166,72.43769,73.11508,74.31143,75.806656,81.54791,86.15838,88.32875,90.670204,90.5595,86.06693,90.30057,97.27527,101.062904,105.184555,104.739716,102.52762,104.414024,106.81892,110.25575,106.5877,109.042336,106.40733,100.43018,92.66029,67.3604,All tokens
1,49.901016,77.10482,75.225334,76.60995,82.81358,90.89345,98.66851,107.81647,112.14539,115.04526,111.80554,100.93808,93.97787,94.43525,93.127396,93.52051,101.23475,109.59211,111.79045,116.07496,118.69333,113.36419,115.84085,120.85361,125.645706,129.86775,132.4233,132.88841,132.86826,135.60622,137.28276,137.04562,142.07129,141.73877,137.39687,121.0915,94.985405,All tokens
2,48.794403,68.53605,67.162735,68.22918,72.13,78.15661,83.60375,89.00489,91.892365,95.97725,99.297714,95.48758,91.8189,85.67173,84.88254,86.325714,97.23991,103.416435,106.96447,110.67087,116.60686,111.487404,118.41233,127.37713,133.45363,140.89316,143.64674,140.8499,140.01575,145.59999,147.31241,149.83224,155.64523,158.25551,145.91644,118.89369,126.15322,All tokens
3,26.202332,39.43657,39.079468,39.86805,42.85411,46.209652,49.835968,52.713413,54.220184,56.384007,56.247963,51.773582,51.248554,52.292027,53.95288,54.60375,60.396584,65.82604,66.481026,69.084114,70.09198,67.168015,71.00157,76.29407,78.020325,82.21573,83.6327,85.15977,86.12679,89.35887,89.33479,87.797066,88.51584,89.61942,82.487854,73.25827,73.59376,All tokens
4,51.23739,70.68178,69.98804,71.61873,75.11604,82.27475,87.607285,95.33376,94.534775,98.45932,97.367744,82.91778,79.55633,75.16416,75.38871,73.65284,80.11162,85.438866,86.920456,90.340805,93.39617,89.9979,94.68424,100.576485,104.92847,109.35909,110.72555,111.44854,110.2066,112.94038,112.541115,111.257866,111.135124,107.629555,108.56586,103.08391,83.2139,All tokens
5,18.650093,41.402912,43.00806,37.254833,39.004677,43.91955,48.536743,53.352833,56.80965,59.937668,60.154556,58.281754,55.686947,55.982075,57.55031,57.073326,58.194275,59.778027,60.78843,62.293396,64.277245,61.686615,64.10614,67.2246,68.52516,70.72298,71.30163,71.36003,73.72877,75.67559,75.953125,64.39535,66.95544,65.56588,59.82639,57.565594,49.708122,All tokens
6,38.817074,60.844425,60.422657,58.31297,60.66759,63.55199,67.77354,72.034004,74.24246,75.107445,75.292076,72.608284,69.003296,67.219284,67.07098,65.83992,68.80983,70.69688,74.14949,76.75614,80.45801,77.66003,82.21541,87.56493,91.71538,92.732086,95.599464,95.74911,95.50556,93.46738,93.04049,91.650024,95.92513,96.2621,86.70049,80.65664,67.418015,All tokens
7,70.15698,86.29089,83.012886,85.00418,87.66842,92.39553,95.430954,103.26713,105.25213,108.99342,111.18294,109.07463,106.186844,101.81282,102.09888,100.39743,111.14763,116.16827,123.75338,131.49274,145.1994,143.44771,152.93443,164.30629,174.41983,181.38582,185.44887,180.91869,176.04837,181.61714,184.63649,188.47511,192.04341,199.5286,187.47258,162.76083,139.50153,All tokens
8,18.262522,30.11146,30.99872,29.970488,31.133423,33.72559,36.911667,40.985973,42.990982,46.218433,46.423428,44.500465,45.580605,44.8434,45.415413,46.213818,51.668312,56.844986,57.543148,58.775616,55.878735,52.409573,53.66602,56.04976,59.00828,60.995777,59.351757,63.46287,67.22467,67.868195,71.46385,53.48311,57.76167,55.701027,51.7678,50.24341,33.706192,All tokens
9,29.630316,44.416195,44.780205,42.920692,44.445694,46.877987,49.989998,54.855373,55.81445,60.045967,61.943615,61.397827,58.57518,55.804096,57.76878,57.474506,60.87899,64.01121,66.37133,68.62163,72.49433,70.14895,75.46885,82.77995,86.269745,89.63336,92.495255,90.35897,87.612045,93.065994,94.39465,89.75264,89.0088,88.921364,83.99902,79.54112,74.47848,All tokens
0,35.116665,44.058834,42.373672,43.05349,45.106743,47.955475,52.326057,56.51582,59.18728,61.292458,62.328102,62.025547,59.888496,60.71745,61.417034,62.205536,66.94305,70.64442,72.45918,74.35693,74.55522,71.73401,75.585075,81.46521,84.63426,87.96032,88.52098,86.41401,87.56573,89.54505,91.79729,93.49817,95.21041,94.09185,93.2781,87.79648,67.985115,Img tokens
1,56.39828,69.21614,66.71144,68.99438,73.16031,78.852425,84.6308,91.751595,94.58474,96.11309,93.973114,85.78525,79.96678,80.6183,79.11165,79.03872,85.81692,93.359665,95.18631,99.54595,102.282974,98.58898,101.182434,105.34693,109.2932,113.198364,115.98855,116.37607,116.121574,118.920166,120.27142,123.02904,128.80943,130.31096,132.38174,118.37528,92.303276,Img tokens
2,52.611294,63.891968,61.902332,63.17432,65.81101,70.30835,74.47472,78.40554,80.59255,83.83149,86.748215,84.05745,81.19053,75.86336,75.000786,76.06511,86.1298,91.83831,95.06964,98.66517,104.36889,100.31765,106.96126,115.329544,121.18588,128.64972,131.25862,128.87032,127.99768,133.48021,135.42174,139.59056,145.80057,149.94609,143.28767,116.852554,126.20251,Img tokens
3,31.006435,36.290356,35.34581,35.949097,37.360584,38.908703,40.52402,41.64761,42.105892,42.71322,42.50451,39.464893,39.097233,39.90078,41.061,41.249313,45.800407,50.123875,50.678207,52.757496,54.27283,52.68094,55.947166,60.455566,61.650093,65.42959,66.709595,67.813385,68.51304,71.40843,71.48482,72.93192,73.896095,76.06711,76.95309,67.890526,70.73238,Img tokens
4,58.869358,65.300674,63.808514,65.665215,67.86053,73.19678,76.69713,82.42715,80.57365,83.22032,82.128,69.633354,67.43347,63.189503,63.10468,61.206154,67.12377,72.10538,73.493004,76.84033,79.92264,77.79119,82.102394,87.41188,91.14326,95.24498,96.838455,97.4593,95.972305,98.50576,98.14105,99.8204,99.54846,97.841866,103.238464,99.984886,81.56627,Img tokens
5,36.720936,38.908203,38.57429,39.280987,40.011726,41.74371,43.053852,44.73797,44.854637,46.006676,45.004337,43.12851,42.01628,41.078785,41.20764,39.7431,40.266735,41.32932,41.611008,42.93531,44.869377,43.841026,45.989407,48.492905,49.186626,50.925182,51.901688,52.228916,53.49101,55.487858,55.452446,56.622585,57.363598,55.422176,58.54533,60.2542,51.402176,Img tokens
6,45.247517,50.33091,49.17321,50.23443,51.30071,52.38965,54.87071,57.48799,58.633137,58.497833,58.438786,56.885387,54.058086,52.443943,52.04626,50.95612,53.800793,55.66085,58.33627,61.229424,64.491104,62.925144,67.32257,71.65258,75.30945,76.49428,79.045204,79.474014,79.21012,77.103424,76.6436,79.58904,82.59322,83.83545,79.715096,75.83318,63.753468,Img tokens
7,72.56301,84.32276,80.90003,82.57758,84.6425,88.656204,91.19972,98.16253,99.57215,102.700874,104.33827,102.56825,100.040825,95.8869,96.07697,94.446335,104.856636,109.787735,117.00655,124.664406,138.21898,136.85788,146.3435,157.43413,167.71056,174.758,178.49998,174.00114,169.67128,174.8967,178.51189,183.73819,187.7191,195.7568,187.50458,164.18315,138.5472,Img tokens
8,39.328594,41.702885,41.79369,41.96852,42.317516,42.6752,43.61319,44.68287,43.272263,44.094666,43.872562,43.0893,42.532013,40.740627,40.431976,39.87383,43.32163,46.824867,47.45188,48.177193,46.41772,45.49172,45.77633,47.232296,47.88728,48.368683,48.163044,50.192642,51.340683,52.5318,54.492836,55.685806,59.56687,58.161015,62.75857,64.61238,30.705515,Img tokens
9,35.783253,36.638023,35.98834,36.24939,36.958107,37.753292,39.379128,42.733765,42.3818,45.2941,45.62181,45.705925,43.792564,41.564495,42.592087,42.441845,45.429268,48.62776,50.196033,52.78535,56.85393,55.238155,60.33945,66.79958,70.24984,74.022064,76.148506,74.31886,71.52081,76.16823,78.41803,79.34481,76.48465,78.52362,80.18309,78.919945,72.51261,Img tokens
0,27.033993,43.806995,46.254814,47.6619,49.283516,50.22919,50.50257,50.729553,50.10345,50.200733,49.97015,49.123924,46.16423,45.278854,45.545254,45.103615,45.16272,44.167107,44.371326,43.33495,43.532974,42.958214,41.812946,42.21308,42.026318,41.26396,41.85821,42.000977,41.3267,41.337883,42.07987,9.399239,12.213074,15.280041,16.556091,19.208471,23.055025,Text tokens
1,25.621956,45.966885,49.458065,51.411186,53.948486,55.551586,55.365944,55.472202,55.225464,55.264946,55.001263,53.48724,49.732643,48.118156,48.54858,47.8135,47.410004,46.436996,46.509712,45.35133,45.40666,44.488773,43.234768,44.0925,43.99278,42.95896,43.714314,44.610928,43.538635,43.378204,44.84152,13.171371,16.89508,20.08108,21.040064,23.115448,23.564781,Text tokens
2,19.32454,39.445213,43.89894,46.229687,48.73363,50.287186,50.419933,50.999718,50.861126,50.96497,50.82754,49.728218,46.39572,44.580513,45.034737,44.403645,44.61827,44.054222,44.329647,43.193596,43.377354,42.523056,41.458157,42.48938,42.444347,41.48093,42.322693,42.928062,42.064743,42.0875,43.27104,12.88856,16.351437,20.064095,21.847322,25.155539,29.026423,Text tokens
3,22.47827,40.15628,43.33338,45.153767,47.255894,48.343575,48.48533,48.764946,48.71435,49.140358,49.004955,47.827618,44.357357,42.69124,43.00508,42.542793,42.49685,41.907257,42.246666,41.275257,41.57048,40.90401,39.7074,40.477406,40.22835,39.463863,40.459064,40.98023,40.644928,40.699696,41.596943,10.920356,14.010028,17.110285,18.729322,21.616028,24.569588,Text tokens
4,24.932531,42.14237,44.759518,46.395603,48.291744,49.03993,49.18121,49.104034,48.38791,48.401623,48.050697,46.964138,43.25188,42.171795,42.665546,42.12119,42.257526,41.39622,41.650997,40.59323,40.896553,40.237656,39.39865,40.07954,40.34775,39.73629,40.128994,40.325577,39.54628,39.499435,40.03619,9.175737,11.886246,14.577508,16.018276,18.62731,23.405313,Text tokens
5,24.079899,40.770992,43.924934,45.773647,48.040257,49.60469,49.639545,49.938156,49.679714,49.619804,49.560795,48.580296,45.285362,44.34407,44.804916,44.30273,44.408546,43.636295,43.906834,42.61057,42.99745,42.186768,41.462048,41.90814,41.75206,40.781887,40.669994,41.588215,40.618725,40.56795,41.22527,10.305894,13.276669,16.061642,17.227379,19.942202,21.41354,Text tokens
6,21.772444,39.23013,42.066864,43.5917,45.442474,46.611126,46.63897,47.00027,46.598244,46.762794,46.649628,45.80656,42.40591,41.660233,42.227314,41.572956,41.587666,40.97193,41.144787,39.92395,40.162983,39.433056,38.61477,39.328156,39.280125,38.511517,39.13894,39.73981,39.387108,39.517487,40.6024,8.366304,10.748522,13.401073,15.40328,18.908443,26.448385,Text tokens
7,28.881159,48.630913,51.54853,52.803623,54.800316,55.640953,55.552696,55.583622,55.45903,55.480694,55.195976,53.876846,49.967205,48.50694,49.123096,48.826126,48.692696,47.729027,48.01797,47.11783,47.485676,46.309467,44.93584,45.43449,45.040607,44.381348,44.953033,45.08323,43.27251,43.441418,44.739834,13.212684,16.898083,19.823483,20.09354,21.424149,21.861555,Text tokens
8,21.563078,35.78381,37.902924,39.176216,40.962566,41.45485,41.469032,41.877327,41.500347,41.552357,41.50036,40.70981,37.61073,37.31912,37.752308,37.508007,37.579308,36.904583,37.26895,36.444164,36.80925,36.247906,35.59213,36.215115,36.1012,35.62974,36.322586,36.20322,35.84264,36.418526,36.822227,6.038095,7.804359,9.90878,11.406929,14.415369,24.60456,Text tokens
9,25.90626,42.300934,45.150814,46.82265,48.564556,49.488644,49.467793,49.600353,49.411736,49.42049,49.49485,48.36888,44.678997,43.784714,44.225292,43.38664,43.562634,42.552513,42.91625,41.50602,41.63942,40.98559,40.23699,41.011024,40.850964,39.785183,40.778934,40.989178,40.483097,40.838905,41.762924,9.739005,12.550824,15.652119,17.233143,21.174677,26.426685,Text tokens
0,27.033993,43.81904,46.315308,47.73118,49.519737,50.326435,50.5229,50.767666,50.0911,50.31892,50.001766,49.08453,45.663967,45.190132,45.29268,44.737625,44.81065,43.34981,43.80008,42.105198,42.37566,41.30227,40.74186,41.822517,41.59226,40.71315,41.186188,40.337856,40.487907,40.630123,41.822876,9.653303,12.483252,15.451123,16.76603,20.020798,23.31908,Text only tokens
1,25.621956,45.93998,49.4692,51.415363,53.988434,55.864315,55.588924,55.839523,55.519173,55.778847,55.32277,54.016872,49.679146,48.616215,48.60077,47.925648,47.706387,46.427235,46.87007,45.192593,45.33709,43.5797,43.21871,44.74012,44.286343,43.27517,43.969707,43.214443,42.99175,42.85328,44.67414,13.511474,17.363184,20.670218,22.14643,25.43016,25.365475,Text only tokens
2,19.32454,39.42544,43.861378,46.281452,49.094738,50.935146,51.470955,52.116592,52.062183,52.283634,52.12724,51.222157,47.567024,45.631317,45.752117,45.259937,45.35251,44.449375,44.914696,43.497334,43.775036,42.313892,41.64198,43.130177,42.685715,42.10018,42.58349,42.463985,42.491306,42.92002,44.20109,14.221551,18.077402,21.628576,23.076172,26.118095,26.573137,Text only tokens
3,22.47827,40.16708,43.334328,45.155334,47.37727,48.45521,48.69743,49.004154,49.00588,49.50168,49.36882,48.180496,44.596775,42.842434,42.93866,42.32357,42.397984,41.810925,42.15485,41.218716,41.69635,40.700417,39.972977,41.061577,40.689327,40.294712,40.93069,40.59663,40.573322,40.797173,41.76386,10.82208,13.989281,17.133427,18.640102,22.051147,24.499231,Text only tokens
4,24.932531,42.009586,44.6625,46.32254,48.35578,49.127396,49.19254,49.24701,48.55214,48.64868,48.25501,47.26173,43.30961,42.73205,42.944443,42.42903,42.346603,41.347244,41.578625,40.264977,40.50523,39.328743,38.840034,40.034607,39.997715,39.628944,39.95451,39.412735,39.495964,39.649902,40.542065,9.233711,12.077387,15.052571,16.778427,20.518053,25.385666,Text only tokens
5,24.079899,40.72406,43.98789,45.82889,48.317993,49.915848,49.862923,50.145844,49.806164,49.746147,49.6413,48.740314,45.18289,44.502228,44.84574,44.229782,44.177143,43.130997,43.599365,41.97972,42.250225,41.06205,40.74033,41.795704,41.657772,40.65707,40.85586,40.546,40.275913,40.127537,40.898396,10.373038,13.405269,16.35502,17.59481,20.64474,21.994179,Text only tokens
6,21.772444,39.742863,42.578575,44.09519,46.154907,47.2283,47.18615,47.452103,46.748966,46.897495,46.783096,45.9037,41.942024,41.560844,41.646828,41.15829,41.176544,40.40756,40.876255,39.517544,40.067066,38.621113,38.22297,39.39768,39.153416,38.73146,39.200798,38.653954,38.69079,39.072025,40.031906,8.684504,11.254521,14.038008,15.705858,19.158787,23.581953,Text only tokens
7,28.881159,48.606495,51.513992,52.809998,54.849987,55.606655,55.455406,55.597454,55.387436,55.60814,55.22633,54.071854,49.81829,48.826057,48.915123,48.31137,47.971508,46.653805,47.019226,45.69893,45.77011,44.364407,44.014557,45.18197,44.891773,44.037148,44.51195,43.753395,43.525227,43.519833,44.58494,13.162083,16.812752,20.051044,21.207474,24.330158,25.33056,Text only tokens
8,21.563078,35.73156,37.88255,39.230328,41.065945,41.539925,41.512444,41.96435,41.612175,41.76525,41.673126,40.868862,37.55234,37.44855,37.603542,37.189354,37.305305,36.475883,36.858418,35.824955,36.222282,35.60745,35.092407,36.012596,35.972065,35.54202,36.140507,35.720715,35.96744,36.26058,36.549313,6.1975493,7.9905963,10.064432,11.644921,14.996568,23.190287,Text only tokens
