,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,17.910223,36.479824,37.425735,37.617435,40.682487,44.92531,49.297253,54.744057,56.816174,61.28478,63.406727,61.913788,60.10378,59.12993,62.161686,62.049355,65.03933,66.70308,69.542145,72.12061,76.20165,72.57395,76.93151,83.50705,87.39858,90.0243,92.50773,90.762985,87.51247,91.82329,92.71439,91.039055,90.681915,89.290215,82.508545,75.732765,69.727554,All tokens
1,3.611391,56.731876,58.702377,31.270952,33.67916,38.66872,44.86471,50.28201,54.04305,58.10987,59.17345,58.652546,57.65301,58.65861,60.058628,59.26969,60.549362,60.35611,63.287926,65.042984,66.49187,64.15694,65.89714,69.402176,70.50872,71.05543,72.93951,72.61774,71.39175,71.446434,72.210045,59.914608,65.5504,67.27768,61.535522,57.64682,46.68382,All tokens
2,9.808751,49.753693,50.64834,46.043503,51.319668,58.175686,64.933716,71.28783,75.43039,78.909,80.0669,78.87367,76.95139,76.68967,78.24715,78.28312,80.45279,81.495094,83.96262,84.06763,86.696686,81.40191,86.27419,91.02898,93.28033,94.56922,96.57308,95.30086,93.49291,93.87611,94.60716,85.54845,89.077065,86.36614,74.80007,65.89048,51.882847,All tokens
3,24.836329,48.216526,49.30834,50.643547,53.351646,56.35243,60.457703,66.64579,68.315544,70.49217,72.98084,70.39873,65.45099,65.8105,69.51585,71.13523,74.996506,76.507996,79.97437,82.72537,89.3884,86.590515,90.53838,97.63656,100.89414,102.33372,104.528755,100.96946,99.01021,100.50309,101.02932,97.453354,96.39112,94.29248,89.441444,82.09037,68.268005,All tokens
4,41.255444,58.97148,58.36627,59.388565,62.5263,65.867584,70.610565,76.82817,77.966324,82.16611,84.23238,82.994995,79.80189,80.54598,82.38954,80.2361,84.50897,88.801155,91.23436,93.23639,97.80217,92.90146,99.70532,108.049866,112.13074,115.54566,119.59055,116.6176,116.41153,123.70607,126.607605,126.66539,128.51262,126.42265,115.920975,102.9154,92.3891,All tokens
5,51.396473,71.83088,71.0847,71.91714,74.0621,76.4129,82.1208,88.41974,91.67996,92.278595,92.5196,91.991135,86.57791,81.77496,80.1193,81.58109,88.679504,93.52038,96.2137,101.544174,110.744934,106.090576,113.78814,122.3112,126.53584,129.58209,136.84396,135.84367,133.31915,137.85313,139.24606,140.5683,147.80714,149.40746,139.43588,125.086945,103.91401,All tokens
6,46.981808,65.63407,64.31425,65.10613,68.257034,71.743835,76.89755,83.38545,84.385345,88.653625,89.68706,88.580826,84.38716,87.8247,88.82534,89.07137,94.32761,100.47175,102.00603,104.171745,109.56792,102.76765,111.201965,120.660545,126.01573,130.35446,134.39139,131.12843,130.02922,141.82239,146.27228,150.19633,152.93297,151.42719,142.32968,125.85209,120.74878,All tokens
7,23.224169,47.64267,47.69282,48.64026,52.98452,58.906395,65.11197,71.516685,74.50401,77.952385,79.21515,75.93259,71.7284,73.93258,73.74952,75.44895,80.21017,85.00053,87.57324,90.836075,93.235275,88.58069,93.04949,100.07471,103.049904,105.370186,108.227615,108.874886,106.41738,109.474174,110.86428,108.6397,109.72178,106.49424,89.251816,79.40326,67.611206,All tokens
8,14.433999,35.279835,36.642273,36.447327,39.21424,42.26051,45.85808,51.70342,53.935825,57.861076,60.765503,59.953045,57.47838,56.505016,59.87254,59.252193,62.42611,64.94158,67.26533,69.23037,72.92417,69.86827,74.365875,79.304726,81.648186,84.33824,87.42842,85.79245,84.21496,85.61141,85.94018,82.65184,81.29114,80.42252,73.00632,66.13576,60.591816,All tokens
9,4.4144044,39.200443,40.858093,34.01439,38.544353,45.183357,50.907112,57.48043,61.38855,65.97232,67.30807,65.18858,63.644455,63.364716,65.1034,64.99626,67.103455,67.343025,70.313416,70.3389,73.50453,68.14103,72.26357,76.746994,77.82102,78.76554,79.516655,77.52151,76.448074,77.43897,78.72337,71.06748,74.01956,72.55197,62.608704,55.84221,45.901848,All tokens
0,28.619923,28.375164,27.861362,28.196856,28.768482,29.790571,31.578613,33.47786,33.287724,35.62088,36.052464,35.508945,35.345776,35.679153,37.056362,37.276955,39.49805,41.612244,43.756313,46.423992,50.527897,48.618633,52.383774,57.970028,61.990242,65.07515,66.58537,65.27374,62.30712,65.70114,67.417595,70.38896,67.32581,67.54956,69.36863,69.602715,67.370255,Img tokens
1,18.590055,19.893705,20.023987,20.159897,20.40575,20.714594,20.986067,21.590336,21.545969,21.681232,21.680155,21.524729,21.462105,21.756197,21.421728,21.247047,21.679083,21.929205,22.279331,22.979023,23.525755,23.081131,23.614527,24.574808,25.014387,25.346104,25.940632,25.963854,25.892527,25.703815,25.906008,27.292093,28.685894,28.9856,25.93183,24.861511,24.476555,Img tokens
2,34.383125,36.595047,35.922684,36.030186,36.267372,36.81076,37.744232,39.55421,39.716644,40.217945,41.855034,41.517628,41.257557,41.607185,41.98138,41.77826,42.803574,44.155197,44.705418,45.990753,47.8657,45.90976,48.738586,51.38342,53.663734,54.945087,55.7252,55.670433,54.85802,55.244583,57.0982,58.78742,60.730537,59.60719,60.70909,59.151276,47.433723,Img tokens
3,35.2981,37.79794,37.56875,38.45708,38.66882,39.064655,41.16463,44.061172,44.52383,45.325268,46.603527,44.784634,41.350452,42.2276,45.080338,46.683197,50.15897,51.787323,54.288727,56.601364,62.53301,61.153122,64.54691,70.57492,74.25196,76.78916,78.03692,74.8152,73.23804,74.97673,77.21188,78.29633,76.58274,74.659996,76.55466,74.43186,64.82405,Img tokens
4,46.667835,51.825035,50.667896,51.91908,53.436516,55.23447,58.485256,62.59646,62.6713,65.45249,67.14528,67.04875,65.15384,66.168625,67.632515,65.78706,69.68015,73.57221,75.795876,77.90441,82.40686,78.779434,85.06881,92.72832,96.878,100.51656,103.859566,100.85547,100.57016,107.799194,111.73109,115.81357,118.77373,118.76722,117.424126,106.43291,92.26895,Img tokens
5,55.403336,62.86348,61.520084,62.78122,63.70263,65.35622,70.18816,74.96904,77.69285,77.657845,77.60572,77.832085,74.14691,69.9788,68.32736,69.627846,76.1524,80.495995,82.99923,88.16713,97.243256,93.43462,100.88014,108.93314,113.16603,116.64524,123.07685,121.73557,119.70341,124.18296,126.1886,129.04433,137.44156,140.74127,138.87645,126.66679,103.03104,Img tokens
6,50.59385,57.739555,55.99721,57.202194,58.97897,61.453945,65.494255,70.446846,70.73883,74.00682,74.94777,75.02776,72.08791,75.5195,76.3811,76.53576,81.39532,86.87811,88.37797,90.601524,96.029854,90.3551,98.36612,107.12266,112.48043,117.08496,120.384735,116.802635,115.694954,127.23491,132.72116,139.62604,143.5483,143.92752,143.66441,130.45866,121.53554,Img tokens
