,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,84.01417,99.129906,93.2753,92.61021,93.434395,94.62399,96.9659,103.72758,104.114,106.30554,107.38445,105.97434,102.60665,104.085144,105.22502,107.84253,118.07515,127.59567,132.21652,134.69472,136.5181,127.730316,139.66,153.7113,164.79897,173.03705,175.70444,170.0711,175.38919,190.26045,205.02385,215.36636,227.26863,230.54068,223.1074,193.16798,194.8397,All tokens
1,85.43255,103.65978,96.4658,95.58945,96.99142,98.69199,101.06242,106.41545,106.02549,110.78221,111.22493,107.89016,105.289825,105.4745,106.29972,109.367065,120.320465,131.30927,136.94287,135.15596,136.60269,126.30015,138.59616,151.63318,163.59348,172.59529,176.35286,169.15622,173.0044,186.65079,202.20044,209.49251,211.06581,221.25214,219.37222,190.3534,192.29137,All tokens
2,113.848816,144.39104,135.15517,135.06093,138.17311,141.07655,146.6313,152.08156,150.5041,156.00992,152.16367,143.21758,131.60745,134.2709,130.95511,129.8847,136.72102,146.18611,154.31284,146.0684,153.98875,138.1179,147.01825,162.5288,170.0978,179.7896,178.53853,167.83975,169.85715,186.87459,202.62163,214.3387,235.11426,258.2609,281.45438,257.90686,161.73666,All tokens
3,79.3301,93.406815,89.37865,88.980156,90.40208,92.2102,94.591415,98.636,98.43481,100.50562,100.67485,98.993965,97.09392,96.893425,97.90473,100.83094,112.92788,124.65312,128.51097,127.62221,125.27831,116.99483,122.31318,130.78125,137.75182,141.38602,145.13309,136.11159,142.19421,158.27507,173.42415,190.73799,208.44275,220.05994,229.24997,206.05302,244.11598,All tokens
4,71.28055,87.14332,81.578094,81.19641,82.07044,83.57788,85.524506,90.027214,89.50902,92.535736,94.026596,92.3473,90.74585,89.966194,90.73166,96.06337,105.85439,116.85712,120.8078,119.42706,118.359314,111.49611,120.09675,130.47566,141.25595,148.51794,154.05168,146.17787,150.89891,165.64778,181.84097,195.8216,212.55637,220.39323,218.13606,189.02971,226.07191,All tokens
5,105.177284,130.47797,121.30613,120.37212,122.0314,124.64592,128.75398,134.29639,133.90799,140.00359,137.46815,131.8054,123.74718,127.56014,124.614494,126.045586,137.53044,151.52715,157.76328,156.62172,156.68619,142.91687,155.93793,169.90016,181.39162,188.78291,190.40312,184.15211,189.88605,208.07205,226.55473,239.53653,261.67316,277.92062,284.82,258.12732,231.19006,All tokens
6,101.47437,123.86619,116.50032,119.63018,125.32726,136.86334,152.89738,164.48784,167.77693,172.27118,160.94939,144.72264,129.1775,127.26621,123.64085,128.45113,140.73141,154.74292,159.82211,151.8895,158.33289,144.18352,150.43869,163.58777,169.05156,177.00027,176.95267,169.26111,173.87665,190.45753,204.54889,218.65756,249.96797,272.3756,297.77145,274.2821,124.171646,All tokens
7,81.72176,92.82619,89.54087,89.17269,90.626976,92.33418,94.03233,99.02725,99.535835,103.45225,105.591385,106.19774,106.79369,107.68704,107.202934,108.021225,116.21208,122.68211,125.31972,125.18522,125.04896,119.72715,125.12381,134.43156,141.70485,146.52583,150.27678,141.92732,146.33263,160.00114,170.98393,182.69498,195.68765,204.99863,209.94832,191.99551,185.7017,All tokens
8,76.27839,92.29302,86.695816,86.45782,87.62617,89.35951,92.20048,97.73457,97.877426,102.327705,104.772125,103.07771,101.70471,100.45316,99.44119,101.94433,113.700714,125.37052,129.06139,128.30939,128.81097,119.6133,130.3071,142.16771,153.68785,162.06012,165.52705,157.43384,163.33577,178.917,196.0864,208.73766,218.11575,228.93994,221.47517,195.68187,223.9314,All tokens
9,85.34054,101.08305,94.7612,94.01788,96.21511,99.09234,101.28385,107.151825,108.97384,110.47336,111.388985,108.458694,100.28608,101.7702,103.85804,103.917076,115.08025,125.10759,130.00003,126.68515,128.90565,118.127686,128.16869,141.70091,152.04007,158.50813,160.93788,152.1255,157.64064,172.79283,187.49358,200.72026,211.76534,221.3585,228.17465,208.09636,208.69696,All tokens
0,85.75179,98.7538,92.76902,92.162186,92.68063,93.37253,95.28918,101.42758,101.43998,103.206085,104.14622,102.971855,99.65522,101.1207,102.21637,104.66587,114.631935,123.882515,128.34886,130.84787,132.74167,124.26617,136.02406,149.7828,160.77956,168.9687,171.65364,165.93642,171.17328,185.81665,200.72496,211.79947,223.80704,227.56639,222.59268,193.70714,194.64136,Img tokens
1,86.92067,102.91923,95.59783,94.859985,95.95675,97.17994,99.14163,103.857735,103.086075,107.42891,107.88034,104.83229,102.292435,102.49814,103.24955,106.16133,116.80274,127.545906,133.0022,131.28574,132.75743,122.72394,134.79166,147.58333,159.41916,168.326,172.03041,164.87308,168.63145,182.13336,197.87044,205.89992,207.43437,218.3827,218.92989,190.71498,191.37964,Img tokens
2,116.560715,143.38246,133.87843,134.03627,136.5952,138.7499,143.75645,148.53387,146.51555,151.5106,147.96982,139.59969,128.14719,130.89511,127.5399,126.36942,132.92845,142.02975,149.9027,141.59793,149.71318,134.17924,142.941,158.18497,165.68538,175.36668,174.03915,163.38632,165.3863,182.17416,198.07263,210.71727,231.79697,255.67586,281.51367,259.9144,160.5599,Img tokens
3,81.01913,93.52947,89.4188,89.029686,90.2021,91.57086,93.55895,97.0302,96.42413,98.08851,98.193,96.6597,94.80337,94.5833,95.502014,98.18702,109.89955,121.23028,124.99763,124.09646,121.90711,113.85277,119.08223,127.35302,134.21227,137.74756,141.41006,132.35416,138.22617,154.08725,169.31744,187.07146,205.15254,217.53859,229.4559,207.35428,244.4426,Img tokens
4,72.57938,86.797,81.1278,80.78855,81.40945,82.50867,84.089355,88.03812,87.18243,89.82765,91.25776,89.7656,88.2033,87.47337,88.18731,93.26528,102.734924,113.39344,117.2622,115.92617,114.94381,108.29457,116.723236,126.88797,137.50821,144.64449,150.09988,142.22087,146.85004,161.38515,177.71236,192.31934,209.34012,217.81248,218.18307,190.02563,225.97878,Img tokens
5,107.43608,130.03535,120.695404,119.92867,121.19918,123.17914,126.769264,131.6254,130.79329,136.35304,133.96188,128.73077,120.756546,124.55889,121.602715,122.89518,133.9774,147.56215,153.64397,152.51663,152.69193,139.2551,152.09547,165.81224,177.15292,184.43472,186.0565,179.72958,185.35341,203.40884,222.08908,235.8892,258.13052,275.22226,284.98248,259.52072,231.2034,Img tokens
6,103.77066,123.36357,115.87859,119.06388,124.3341,135.23363,150.77736,161.6167,164.37907,168.3232,157.41693,141.76622,126.2975,124.45796,120.77658,125.35032,137.24089,150.81302,155.73656,147.88567,154.46396,140.65292,146.82776,159.78271,165.19557,173.06082,172.92786,165.38007,169.9611,186.17975,200.32088,215.10733,246.81682,270.02448,297.98438,276.05518,122.814445,Img tokens
7,83.88631,93.21043,89.81596,89.448944,90.62387,91.83765,93.08437,97.40935,97.41335,100.80369,102.74844,103.40149,103.91312,104.76927,104.20239,104.86274,112.82551,119.08563,121.61443,121.47139,121.46306,116.33289,121.61298,130.72253,137.93257,142.72557,146.3717,137.98828,142.2069,155.66129,166.701,178.74756,191.88222,201.74113,209.12689,192.17038,185.12056,Img tokens
8,77.73624,91.82474,86.09682,85.90699,86.799934,88.061165,90.48436,95.40893,95.152954,99.16934,101.4929,100.053764,98.75832,97.55936,96.49994,98.81805,110.23656,121.5898,125.18056,124.48335,125.04294,116.14932,126.591675,138.2172,149.55193,157.81451,161.27797,153.1866,158.98769,174.32187,191.64731,205.03978,214.57811,225.90433,220.62907,195.95686,223.71239,Img tokens
9,86.86987,100.46725,94.01888,93.41547,95.27332,97.667015,99.46761,104.76403,106.24534,107.35829,108.25063,105.55097,97.55912,99.036316,101.02624,101.0051,111.871185,121.61599,126.341705,123.07423,125.34123,114.85117,124.76586,138.05292,148.32628,154.75858,157.11024,148.39427,153.8314,168.80138,183.66504,197.5287,208.5215,218.64769,227.76842,208.66702,208.63078,Img tokens
0,26.199095,35.854855,37.463734,38.240322,39.494713,40.412144,40.839424,40.536472,39.99488,40.5909,40.542492,39.589516,37.138668,36.611298,37.046055,36.46152,36.582092,36.359856,36.423252,35.6731,35.826084,35.10139,34.461723,34.857113,34.533894,33.54395,34.101192,34.468033,34.403263,34.78971,35.139526,5.5994024,7.020155,8.705249,9.935557,13.244678,21.087301,Text tokens
1,24.255754,34.724823,36.11358,37.027718,38.28648,39.21741,39.630993,39.910885,39.70423,40.141407,39.87308,38.95153,36.244347,36.003567,36.299988,35.811028,36.023956,35.905575,35.959538,35.6333,35.76639,35.3313,35.06136,35.20439,34.865955,33.84733,34.55045,34.581623,35.15141,35.618656,36.16039,5.2996945,6.6147003,8.23232,9.362723,12.646982,22.197956,Text tokens
2,23.517197,34.09468,35.472424,36.32908,37.662674,38.63652,39.136436,39.31721,39.029816,39.191483,38.98689,38.265972,35.578518,35.375965,35.599003,35.01174,35.274345,35.15684,35.190502,34.915367,34.983746,34.48009,34.050945,34.128548,33.821854,32.91008,33.76508,34.37673,34.55204,34.97391,35.38684,5.137777,6.434759,7.985045,9.084095,12.117588,20.564796,Text tokens
3,23.553627,33.994675,35.403835,36.249226,37.539406,38.469265,39.08888,39.2864,39.10519,39.3455,39.123806,38.20359,35.535786,35.274914,35.46493,35.05373,35.29486,35.22346,35.228497,35.05263,35.216354,34.8337,34.447613,34.799606,34.261593,33.38555,34.22068,34.224876,34.673607,34.9351,35.333767,5.127624,6.348268,7.9050684,8.976935,12.170959,21.515165,Text tokens
