,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
0,2.2301435,62.772068,65.42771,68.36051,73.823685,95.85464,99.163994,102.345665,94.155975,99.0879,103.40697,103.13612,91.87737,84.650444,80.15357,74.11969,76.943726,84.4788,89.86651,91.781395,106.147804,99.81322,103.95509,108.95954,108.50924,103.76532,97.496254,98.52093,98.374245,95.32553,97.65454,89.28501,109.04576,113.06635,95.37018,83.22529,48.142426,both img and text,All tokens
1,2.1949627,60.965588,63.593887,66.29425,71.50666,92.80308,95.981094,99.897736,91.78012,95.905334,99.85078,99.64858,89.56834,82.24392,77.70036,71.8866,74.52689,81.62903,86.47769,88.72666,102.55245,96.17626,100.005104,104.64784,104.22133,99.67538,94.08826,95.45412,95.746956,92.13996,95.56706,89.34596,106.5207,108.3114,87.53066,73.42827,41.87544,both img and text,All tokens
2,2.2541864,62.88996,65.80198,68.81157,73.94629,95.67722,98.73878,102.16565,93.90768,98.61249,102.93572,102.46237,91.793564,84.48741,79.862,73.637314,76.36839,83.82793,88.818985,91.12322,105.26353,98.65214,103.09384,108.538,107.97236,103.61802,98.23413,99.2183,98.59444,95.05631,98.07911,90.618416,108.87182,111.959076,92.80706,78.81837,44.85954,both img and text,All tokens
3,2.29652,64.01947,67.00529,70.04052,74.74795,96.75405,99.83111,102.99233,94.30719,98.47692,102.821075,103.32499,91.870674,84.360886,79.483795,73.8701,76.68466,84.24877,89.106766,91.1283,106.74436,101.07972,105.75612,110.28372,109.88955,104.95559,98.28861,98.95899,99.68251,95.792625,99.47567,91.88404,108.74036,110.67319,88.71072,74.51815,42.14299,both img and text,All tokens
4,2.1812575,61.02318,63.73058,66.34887,71.81756,93.22127,96.51913,99.91884,91.84904,96.07441,100.12802,99.85591,89.30839,82.59393,77.77688,72.22813,75.27387,82.60023,87.721825,90.09907,103.256096,96.25316,100.42179,105.75612,105.976265,101.89008,96.63269,96.83122,97.360596,93.99768,96.597496,88.971664,108.18701,111.82101,94.37344,81.7766,46.680332,both img and text,All tokens
5,2.2375648,62.41373,64.96162,67.3771,72.65258,94.4416,97.65547,101.25121,92.84597,97.087814,100.91232,100.94702,90.48778,83.39352,78.89071,73.095726,75.92704,83.17276,88.53306,90.77416,104.53908,97.75554,101.97334,107.344215,107.080475,102.517204,96.87495,98.14446,98.44683,95.12755,98.47575,91.51084,107.52654,109.82669,89.43266,75.44405,42.384987,both img and text,All tokens
6,2.2328322,61.38202,63.88103,66.65574,71.8383,93.27067,96.20438,100.03267,91.65019,96.365616,99.90078,100.538795,89.792145,82.88995,78.292755,72.70355,75.50323,82.79913,88.22277,90.552765,105.23131,99.83001,104.05547,108.637474,108.36487,103.41446,97.98683,98.4919,99.05444,95.17383,98.76255,91.61651,109.03064,112.078354,92.11251,78.29126,45.29251,both img and text,All tokens
7,2.1868,60.80495,63.838097,66.707596,71.85479,93.44139,96.58635,100.44253,92.29012,96.608315,100.3244,100.28586,89.87903,82.7163,78.061966,72.46201,75.25511,82.554474,87.84773,89.6002,104.1065,98.09119,102.45544,107.052704,106.2873,101.72751,96.05467,95.971855,96.43655,92.71971,96.32083,89.436714,105.97601,108.1606,86.96926,73.3644,42.155823,both img and text,All tokens
8,2.2584827,63.344624,66.43663,69.31305,74.50874,96.72281,99.87997,103.28815,95.23693,99.4493,104.15048,104.321915,93.303505,85.334274,80.48448,74.24927,77.21689,85.01861,89.998764,92.445946,106.20047,99.673805,104.00667,108.890205,108.69328,103.81693,98.2012,99.30188,98.75681,95.217636,98.34478,91.1453,108.992546,112.231255,91.865906,78.66825,44.40244,both img and text,All tokens
9,2.2126002,62.102932,64.93331,67.92922,73.23203,94.93085,98.15514,102.02957,93.89873,97.99767,101.87847,102.102234,90.927124,83.66269,78.9082,73.24482,75.85041,83.103386,88.32872,90.503006,104.98551,98.345345,102.296585,107.4841,106.80647,102.03463,96.41706,97.05592,97.72357,94.34416,97.97908,90.45787,107.80079,110.6306,90.4731,76.77935,44.497902,both img and text,All tokens
