,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,39.35644,47.69356,49.10252,53.268276,46.931355,45.051746,44.3216,45.789757,54.031376,59.367695,63.33019,63.168175,68.04703,69.50879,71.898964,75.8487,73.62468,77.42181,77.16683,76.85419,80.25845,85.934395,91.77137,99.04827,101.14129,103.76972,108.69893,107.263374,69.094696,All tokens
1,19.15542,23.920357,25.704126,28.908392,22.19961,21.568521,22.542173,25.826996,30.460915,32.725967,34.28331,36.067184,39.323322,41.8265,44.492577,48.24003,49.76449,53.01568,54.91392,55.601433,58.658333,61.230354,66.33391,71.743385,73.19793,74.051506,75.93986,67.683914,46.588505,All tokens
2,29.853268,37.805817,40.46935,44.795547,34.028374,32.068356,32.722443,36.000347,42.876644,47.528206,48.66686,49.720123,53.865196,55.694653,57.95286,61.10342,59.883156,62.984043,62.537323,62.640266,66.48315,71.722786,75.704025,83.146904,84.5869,85.549225,89.755295,80.95224,56.939938,All tokens
3,42.70924,51.12783,54.05695,58.679173,49.24215,46.60288,46.253998,47.7701,55.954803,61.339005,61.417618,62.49584,67.05774,68.29225,70.080315,73.23116,71.10619,74.57062,74.069626,73.15647,76.6379,82.90774,89.00031,99.09858,99.78813,104.97515,108.20573,105.5166,77.97792,All tokens
4,37.19081,46.789497,50.329136,55.865543,45.964195,43.45411,43.487053,45.575443,53.79625,58.78647,59.513184,59.883156,64.117874,64.2474,66.67382,69.28609,67.17234,70.83861,69.98367,69.275314,73.11836,78.32475,83.24755,93.94803,94.53762,97.011086,101.84103,101.01097,74.762955,All tokens
5,30.329847,48.82701,52.171577,58.00351,28.390451,26.277273,29.137094,34.107227,41.3127,45.87514,46.067394,46.731434,50.12192,51.921814,53.733208,57.81527,59.213333,62.90196,66.77535,67.30746,69.205284,70.99846,72.73456,75.85192,79.48099,80.24842,84.50986,73.47299,45.47293,All tokens
6,16.41928,28.343502,32.484886,38.16239,17.10829,15.498228,16.804028,20.667187,25.659834,29.514317,30.675316,32.299297,35.620457,38.3608,41.10842,44.598442,47.637386,50.792763,55.001133,56.548626,58.710155,61.51792,62.89929,66.27194,68.35558,66.970604,67.20168,57.79137,35.859875,All tokens
7,9.847191,39.299496,45.112206,51.087204,6.4121695,5.965375,7.1268663,9.309328,12.262894,14.9374895,15.52954,16.668737,18.487225,19.50005,21.520613,23.5388,25.692646,27.455204,30.097864,32.75708,35.62614,40.00038,43.959614,48.582066,51.520504,51.97743,54.91094,45.335556,25.116808,All tokens
8,42.499897,50.046825,52.506916,56.44989,51.58951,50.09348,50.00081,52.03714,59.4729,64.11079,65.65335,66.30656,70.947525,71.6275,72.9965,75.58431,72.62947,75.646835,75.7794,73.71236,76.19823,81.38014,86.95193,95.76536,95.72168,100.75183,106.08441,104.45108,70.25929,All tokens
9,25.301384,34.697754,38.725563,44.986507,30.639757,28.4246,29.28809,32.7521,39.82874,44.825974,45.05834,46.201504,49.5221,51.08727,53.577854,56.454895,56.159496,59.782078,60.86259,61.530598,66.02006,70.55661,73.85907,80.41298,82.583725,84.1413,86.461334,77.187325,47.14759,All tokens
