,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,31.783072,47.49591,54.659626,64.009155,56.830433,57.058163,58.79389,63.126984,72.11844,73.591995,79.72376,76.32824,79.921646,80.656555,83.31852,88.870285,86.54048,91.6186,93.84035,91.35188,94.10616,95.111404,98.45862,102.212425,103.90583,102.120155,105.03154,100.15843,63.06774,All tokens
1,68.737,96.88123,104.405426,114.52884,112.48532,114.30198,113.104706,112.55104,119.61051,121.39721,119.665054,116.26252,118.906,120.56881,122.40975,125.96166,124.33433,128.29355,130.16763,126.36015,126.05251,131.24123,130.29977,134.57466,142.93861,144.61926,148.84491,138.35342,81.0102,All tokens
2,73.69341,97.11837,101.01444,107.61379,107.47031,108.55451,107.319496,108.4226,112.60359,115.9687,108.855156,107.35143,110.50523,113.34484,114.634,122.86254,124.16589,132.54648,138.07675,134.74207,132.58434,134.72246,130.77608,134.7517,143.80827,149.83417,156.21881,152.79303,94.347404,All tokens
3,32.80356,45.8391,47.6928,51.75751,48.602226,48.86846,50.107155,53.643898,59.52658,61.515194,63.91257,61.80017,62.86465,64.09211,66.580986,70.56102,70.9438,73.18211,72.89813,73.44322,74.54272,81.68086,83.37463,86.23668,88.256805,95.06973,100.31517,93.93078,55.254353,All tokens
4,50.31896,69.68976,76.47677,85.500244,83.035255,82.527435,79.23997,79.51696,89.26437,94.96063,94.115845,91.50819,96.08952,97.11994,99.949524,103.26452,102.47454,106.86231,107.35399,105.8227,106.511086,109.978775,111.00976,114.97764,114.23278,113.00864,115.01486,119.52431,83.54038,All tokens
5,22.556803,41.64085,49.01902,58.145596,21.811218,19.817612,21.70669,26.757229,32.69536,36.799824,36.999615,38.317772,40.768913,42.506596,44.274666,47.64965,49.24033,51.88823,54.64477,55.451153,58.430984,62.877213,66.51479,71.864685,74.554695,72.36319,74.9921,66.961365,44.164852,All tokens
6,46.04404,65.86952,68.9956,71.84475,53.45316,52.267895,56.025368,59.524162,63.685623,65.573975,68.07669,66.621445,68.86875,70.0875,70.079575,74.00643,75.15064,77.967514,80.845924,79.51306,79.58073,82.64786,80.955444,84.0114,87.64071,89.189995,92.5207,86.1851,50.088142,All tokens
7,76.06472,92.97675,95.74842,102.92938,108.94562,113.87792,114.67671,114.594986,125.08128,131.40892,124.30654,125.056404,133.52574,138.06122,141.19136,148.89339,151.61757,163.52576,176.26247,173.05034,170.67334,174.13893,172.2043,170.91684,181.10657,192.12564,201.88075,214.93068,151.20164,All tokens
8,20.118816,33.03212,38.789703,45.747437,15.666549,13.806878,15.320905,18.45784,22.753036,25.94566,25.22718,26.463139,28.349354,29.996206,32.33338,34.79754,37.490124,39.343243,41.485054,43.61314,45.85909,50.424656,54.51126,61.465286,61.675293,61.62285,64.17069,58.92831,38.43773,All tokens
9,32.587708,43.637062,46.57894,51.054573,33.796005,31.887194,35.321125,40.981743,48.51045,52.907223,54.06876,53.719128,57.978813,58.79824,61.57967,67.201294,69.37469,73.55562,77.32757,78.45794,79.60676,81.96462,83.738045,84.72108,81.88551,81.94465,85.789505,83.05945,60.589096,All tokens
