,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,7.9011254,41.23789,49.451,59.80825,18.381817,18.070353,20.661806,26.34576,34.09127,40.820354,42.207546,43.566463,47.28416,48.85273,51.58786,56.584663,59.21556,62.86828,67.2897,67.97293,71.12305,76.97782,78.76115,83.583336,82.01826,79.838806,80.076904,66.886,38.426495,All tokens
1,46.66828,58.442493,63.312737,71.072365,58.697113,57.73598,62.913986,62.913383,68.194435,69.86214,70.69515,68.30684,68.746796,68.473946,68.15494,70.45653,69.71083,71.29612,71.63242,70.574776,70.32184,73.64399,77.24665,81.408516,85.70474,85.01244,88.195175,87.020325,77.06736,All tokens
2,37.731327,50.337334,53.698475,60.264343,37.000877,33.683018,35.27506,40.10966,46.279766,51.305195,54.125183,54.41689,58.237026,60.502457,62.352036,66.98012,68.307396,72.74084,76.533936,76.748344,79.15233,82.6397,84.48472,86.09826,86.26778,88.75196,93.89544,92.359055,64.90834,All tokens
3,3.3093853,10.818432,15.391441,22.365026,6.119064,6.116901,6.971555,8.730013,11.266025,13.417289,13.60521,14.65322,15.782712,16.840368,18.17386,20.065943,22.032902,23.658821,25.675196,27.34916,30.428843,34.666595,41.827694,47.550148,51.50329,52.767204,55.75295,49.65601,33.170963,All tokens
4,45.780838,57.75319,62.517414,70.51154,59.538616,58.79824,63.767025,63.858162,69.01998,70.615204,70.906525,68.74775,69.31801,68.835724,68.88958,71.11742,70.75286,72.539696,73.335266,72.597786,72.15539,75.70197,78.870735,82.67431,87.06569,85.41312,88.513725,86.86407,75.80539,All tokens
5,42.43954,59.776093,65.808815,71.57217,56.74668,51.713028,55.028233,60.33556,67.34743,72.285355,70.66789,68.60798,71.559265,72.88718,75.092834,78.16611,78.52108,81.7047,84.15534,81.74094,80.85922,82.8664,83.9573,83.00505,83.56955,83.50538,86.187355,83.67997,56.61543,All tokens
6,2.8468442,24.302555,32.58358,44.34851,6.937414,6.8513145,7.9629,9.964206,12.263116,14.12844,13.630343,14.743225,15.673831,16.42343,17.687986,19.518747,21.387867,22.9719,25.026457,27.284416,30.49151,35.877457,42.511795,48.969563,53.054367,54.10501,57.473083,53.1281,33.28327,All tokens
7,2.323349,7.159909,10.292826,15.64411,5.196702,5.229958,5.9056077,7.170275,8.960075,10.287098,10.205646,10.960922,11.787672,12.586079,13.455836,14.849513,16.364408,17.737719,19.49085,21.051214,23.87464,28.393559,35.278667,40.918583,45.811245,47.46522,51.254814,47.253483,32.42367,All tokens
8,53.150276,68.87434,71.5304,77.631966,66.52076,63.20659,63.692303,65.22872,72.87446,75.557785,82.49973,80.43468,84.053,85.125626,88.675354,94.46768,94.36242,100.08144,104.11394,101.98021,103.58972,105.130646,104.80056,105.380394,104.8913,98.69514,103.69345,107.2104,79.5134,All tokens
9,5.297982,72.34325,74.756996,79.0822,8.7448,8.612345,10.202043,13.704677,18.868778,22.809616,23.34477,24.818676,27.240952,28.661564,30.685928,33.804302,37.08948,39.96734,43.778378,46.710682,51.62436,58.70831,63.96748,70.16306,72.97217,73.32009,76.211494,68.80455,42.390835,All tokens
