,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,91.33155,100.468834,98.463776,104.62554,109.46255,110.22873,107.219086,105.152,123.50389,129.50981,132.53365,128.60066,134.961,135.59142,138.05365,146.2812,139.32378,151.99043,155.08531,146.27473,150.04001,154.34454,164.4095,177.39418,184.7812,210.10684,215.23386,236.10965,160.64807,All tokens
1,96.68289,106.61612,104.82,110.47499,115.015144,118.93916,118.51011,116.785484,135.47592,140.15588,149.68614,145.91707,152.56195,150.6962,153.42162,160.41107,152.62314,164.2426,167.09654,159.12184,163.46964,168.33716,175.0892,188.46999,197.3821,215.29439,227.83568,253.82655,172.34964,All tokens
2,108.2924,127.15108,123.64586,136.9315,143.34589,146.22104,140.47115,123.98019,147.31944,152.64651,167.79398,158.25279,166.34584,160.64116,157.91103,165.77231,146.79576,159.85548,159.09097,145.70488,153.60689,162.79109,180.25116,205.3052,226.4193,263.35852,300.09476,333.926,206.28207,All tokens
3,89.1136,99.01714,98.57877,103.572525,107.3174,109.97971,107.82541,104.88619,122.96955,129.25932,130.11768,126.477455,131.85394,130.8709,130.5689,134.66716,123.74488,131.61374,132.16623,120.63114,123.9799,133.86598,151.52469,170.84196,182.4091,208.90115,224.6123,254.57066,208.12344,All tokens
4,92.88414,102.87987,101.102585,106.707825,109.943115,113.314354,112.65815,109.53642,128.79709,133.77364,142.00511,134.86926,140.26659,139.4642,138.8693,147.22801,138.69235,149.90663,152.91475,145.45705,150.33032,155.40215,166.04051,181.5878,191.7932,221.01363,233.50627,258.0355,187.63301,All tokens
5,114.3601,128.26793,125.83672,132.04483,135.51657,138.49158,131.57031,121.744286,144.2995,149.76837,156.83015,149.47607,155.57823,152.76628,150.71208,156.3021,140.2571,150.25192,151.28328,137.0928,142.39249,153.7926,174.77074,199.22693,215.46489,252.15416,272.7628,307.03668,237.68262,All tokens
6,102.03405,120.78511,123.7925,138.7237,145.34612,149.1771,143.921,131.39258,154.55975,159.10326,165.88255,159.26181,163.94246,161.87578,159.94707,166.69211,150.48108,160.93428,162.29445,145.65416,149.76773,164.95589,182.49403,207.22112,223.79178,251.17386,273.82266,316.39874,205.17613,All tokens
7,92.39277,99.72653,99.73761,103.6157,106.009415,108.52042,107.83842,107.56998,123.356636,127.527,129.09038,128.07254,131.72643,131.20299,132.59065,135.46881,128.04707,132.85939,133.93327,122.76796,122.61597,127.16102,139.3328,153.40324,164.80713,188.75862,198.93143,230.5741,178.38986,All tokens
8,86.0191,95.67567,92.976006,97.71882,102.84648,107.71523,101.97914,98.67453,114.9021,119.817726,122.82318,120.41053,126.44808,126.71191,129.00798,137.60503,128.3545,140.50705,144.23723,135.56006,140.4094,147.0263,156.72588,169.44974,171.65298,186.55753,197.55695,222.87817,161.63997,All tokens
9,92.15481,103.68777,101.362656,110.97107,114.16809,117.77645,118.3109,112.61455,132.24925,135.12941,142.61331,135.6612,141.93997,139.13025,137.22263,148.24942,136.98975,148.46645,149.61726,140.68115,146.42741,152.60661,164.3623,179.1066,184.67525,209.30838,225.14297,252.9093,181.7705,All tokens
0,92.884056,100.57418,98.018234,103.38231,108.285225,108.945305,106.083244,103.465164,120.690865,126.3296,128.1913,124.45737,130.51144,131.17615,133.74884,141.44905,134.89249,147.11958,150.67537,141.93443,145.33038,149.87247,160.21362,173.00314,180.39664,206.02248,210.98602,233.32152,160.61076,Img tokens
1,98.26903,106.62629,104.34231,109.055595,113.81169,117.81583,117.7864,115.36877,132.87979,137.31847,145.28603,141.72531,148.26003,146.39238,149.31758,155.50383,148.1692,159.34348,162.65376,154.71173,158.67723,163.67023,170.75726,183.98938,192.96152,211.21461,223.62686,250.99944,172.41861,Img tokens
2,110.25097,127.04175,122.7747,134.8618,142.53664,145.91302,141.18988,123.40523,145.63326,150.24568,164.24783,154.50081,161.71422,156.18678,153.46632,160.25504,141.7504,154.2314,154.29164,140.70798,148.07173,157.62402,175.66129,200.49617,221.5638,258.89246,295.61453,331.6659,206.42754,Img tokens
3,90.69459,99.42564,98.5402,102.729095,106.49037,109.05565,107.3307,103.867744,120.90854,126.614136,126.47565,122.876366,127.91202,126.96509,126.72932,130.42697,119.56392,127.11429,128.11084,116.490326,119.38994,129.3599,147.29521,166.63489,178.66713,205.65804,221.51266,253.11116,209.73007,Img tokens
4,94.46961,103.09267,100.79714,105.56048,108.99384,112.43704,112.26551,108.35014,126.43717,131.03719,138.20248,131.17923,136.36461,135.49918,135.03477,142.76314,134.55772,145.28659,148.68997,141.1357,145.57619,150.85805,161.78047,177.31468,187.67882,217.40666,230.01382,255.81781,187.75795,Img tokens
5,116.40042,128.63666,125.54599,130.71286,134.43312,137.59789,131.6005,120.95507,142.3975,147.19783,153.36711,145.90845,151.49385,148.49515,146.52484,151.41693,135.65129,145.20714,146.837,132.47722,137.25148,148.8527,170.25984,194.63478,211.0359,248.06596,268.88107,304.5081,237.75508,Img tokens
6,103.98098,121.38668,123.78465,137.76851,144.50482,148.31116,143.84291,130.4531,152.3977,156.10986,161.8601,155.16844,159.38437,157.30777,155.52594,161.60167,145.69319,155.74963,157.66214,140.97649,144.73128,160.05579,178.09647,202.76999,219.52878,247.18842,269.73825,314.0966,205.55862,Img tokens
7,94.55552,100.80566,100.299095,103.350525,105.80591,108.09429,107.62374,106.6628,121.159134,124.74446,125.04311,123.9799,127.532425,126.92865,128.39366,130.8251,123.56057,128.05757,129.41357,118.35012,117.89006,122.50248,134.93945,148.961,160.59384,184.96199,195.20016,227.82286,178.2731,Img tokens
8,87.26844,95.569885,92.38954,96.375084,101.329124,106.14462,100.599846,96.75326,111.9948,116.54422,118.437004,116.276886,122.16985,122.4961,124.904564,132.86528,124.05092,135.7299,139.74246,131.10976,135.48677,142.343,152.34567,164.95038,167.22447,182.50133,193.39978,219.94382,161.5768,Img tokens
9,93.4454,103.5432,100.711006,109.45722,112.917336,116.519165,117.60518,111.333755,129.82843,132.38005,138.47975,131.83577,137.87386,135.22343,133.55458,143.81021,132.99838,144.00468,145.53633,136.54492,141.78412,148.13892,160.11174,174.74808,180.42125,205.46828,221.10185,250.51181,182.2122,Img tokens
0,30.312092,37.328148,32.008705,36.582355,1.3060337,1.3416983,1.4241288,1.5613892,1.7870672,1.9793595,1.9250357,2.0266583,2.117572,2.209151,2.3281274,2.5189457,2.7242608,2.9144177,3.2093732,3.5969555,4.140643,5.1771164,6.713283,8.707553,11.357228,13.9428425,17.722368,31.399693,24.939985,Text tokens
1,29.49042,35.932686,31.888485,35.80869,1.3349038,1.3659953,1.4536211,1.5958067,1.8389897,2.066081,2.0158107,2.118645,2.2122102,2.288303,2.4123209,2.6118088,2.844304,3.0500238,3.3631246,3.8052108,4.385974,5.4360247,6.9504204,9.009275,11.674563,14.336392,18.149244,31.74324,25.910006,Text tokens
2,28.642374,35.071922,31.108263,34.93581,1.3177563,1.3530997,1.4329056,1.5674075,1.7889608,1.9952422,1.9426285,2.043979,2.135467,2.2023396,2.3274236,2.5194976,2.725863,2.9454932,3.2342644,3.6541612,4.202651,5.214054,6.7539334,8.762491,11.334803,13.950065,17.771053,31.648537,26.113592,Text tokens
3,28.641512,35.168007,31.222626,35.119102,1.3204789,1.351013,1.427252,1.564632,1.7876871,1.9968017,1.9439077,2.0420368,2.1295552,2.202287,2.3462594,2.5328233,2.735742,2.9262505,3.2127876,3.6160512,4.1585827,5.1596994,6.658509,8.605257,11.187063,13.669928,17.347982,30.989063,25.569305,Text tokens
4,28.639036,35.263306,31.415485,35.09021,1.3224704,1.3515568,1.4303545,1.5654515,1.7915496,1.9899986,1.9486011,2.0422206,2.1271467,2.2024145,2.3282583,2.5156024,2.729923,2.9251282,3.210917,3.614033,4.115055,5.123029,6.6259127,8.56749,11.104247,13.57084,17.338772,31.367256,25.480625,Text tokens
5,28.665321,35.23348,31.340002,35.125313,1.313627,1.3427019,1.4250903,1.5620344,1.781693,1.9743304,1.9241383,2.0194485,2.1008751,2.1813464,2.310249,2.4999273,2.7135155,2.906026,3.1877148,3.6062407,4.1429763,5.158717,6.700622,8.63094,11.257704,13.849031,17.610935,31.776314,25.923208,Text tokens
