,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,contains,Mean over
0,2.9976544,78.86404,78.65437,89.89059,101.88406,104.12377,106.552246,92.495155,98.762184,97.84317,94.94687,89.701,99.48658,97.50197,97.2812,102.12211,103.38651,109.69569,109.160736,94.51378,92.13986,101.31158,108.29663,120.41845,122.303665,125.25132,122.37018,97.6897,56.114876,both img and text,All tokens
1,3.0286133,78.070755,77.38386,88.93421,99.31547,102.193565,104.01747,90.11716,96.38157,95.21682,92.98363,88.265305,96.96341,94.7131,94.511246,99.14977,100.41294,106.38617,105.85661,92.14255,89.81793,98.163895,105.37939,116.66959,117.57042,120.39421,116.58145,92.53605,55.30831,both img and text,All tokens
2,3.1076384,80.3166,78.96824,90.51063,101.430305,104.32629,106.38755,91.35969,97.04657,96.19925,93.897865,88.678825,97.63717,95.63197,95.68657,100.92151,101.93417,107.99053,107.79873,93.915054,92.222115,101.419075,109.004486,120.811844,122.43952,125.21681,122.49429,98.18561,56.75225,both img and text,All tokens
3,3.1146867,80.29251,79.04332,90.31413,102.75289,105.43472,107.141655,92.175896,98.26636,97.19755,94.45083,89.58592,98.79351,96.30838,96.84973,102.053604,103.580826,109.493645,109.241615,94.88867,92.958626,102.239044,110.19446,121.93793,123.728546,126.89904,124.134346,98.32795,57.38991,both img and text,All tokens
4,2.9510114,77.5627,77.23626,88.28547,99.91579,103.02332,104.4863,90.829185,97.32834,96.63453,93.759445,88.91356,98.05091,95.54323,95.491776,100.97976,101.804665,107.8252,108.11393,93.31321,91.359245,100.23082,107.20033,119.72813,121.29487,124.39927,122.10601,97.26028,56.55545,both img and text,All tokens
5,2.9453256,76.97477,76.63597,88.203926,98.63225,101.76002,103.28234,89.703224,96.49382,95.259636,93.27014,88.765045,98.25788,95.864456,95.49364,101.3413,102.10176,107.839966,107.36904,93.512405,91.81242,101.33226,108.244125,119.95218,121.42831,124.7266,120.7964,95.669556,57.383347,both img and text,All tokens
6,3.0166974,77.68333,76.826996,88.10207,99.39583,102.08193,104.7092,90.84517,96.89741,96.221214,93.6193,88.77126,97.85918,95.33785,95.44779,100.92671,102.510315,107.994026,107.921394,93.80979,91.922905,100.53315,107.25595,118.76014,120.26264,123.267204,120.68079,96.36189,56.276623,both img and text,All tokens
7,2.9639542,77.55035,76.78659,87.92422,99.37668,102.3444,104.36336,89.98302,96.12872,94.926865,92.747116,87.85372,96.38305,94.17938,93.883545,99.78813,100.549644,106.407486,105.7115,91.46739,90.6671,99.20822,105.808586,117.315155,118.03035,121.16064,117.95455,94.063324,55.904396,both img and text,All tokens
8,3.1694798,81.46257,80.17188,91.74023,103.776505,106.80755,108.69364,94.088844,100.204926,99.35256,96.41475,91.25054,100.60019,98.15326,98.1119,102.86192,103.71516,109.18141,109.16928,95.26882,93.2536,102.55945,109.48796,121.04663,121.994286,125.11218,121.37354,97.11573,56.24518,both img and text,All tokens
9,3.0525281,79.43893,78.70295,90.01065,101.13714,103.61462,105.426636,91.18411,97.049484,96.014145,93.61826,88.57376,97.61492,95.4234,95.01971,100.7513,101.25412,107.34176,106.98101,92.03707,90.265656,98.93889,106.46991,119.026085,120.48673,123.19821,120.90394,96.30499,56.909077,both img and text,All tokens
0,30.016134,31.4451,31.305157,31.5265,31.978338,31.108498,30.597963,29.379843,31.106686,31.655613,33.090725,32.72447,34.270176,34.51826,34.87336,36.440674,37.010387,38.796276,40.535126,40.456745,41.282307,41.218307,42.319393,42.60275,41.88942,41.779037,42.665203,42.578896,45.327705,both img and text,Img tokens
1,30.75098,32.389095,32.12584,33.166496,33.097847,32.75277,31.876215,30.186037,31.640488,32.221867,33.527225,33.420662,34.974194,34.65111,34.46312,36.560867,36.59418,38.203465,40.098984,39.937622,40.83967,40.560448,41.361385,41.47035,40.38098,40.84582,41.291527,41.330097,44.635624,both img and text,Img tokens
2,29.092552,30.77388,30.487696,31.893503,32.20182,31.915752,31.38779,29.743029,31.186176,31.809734,33.284096,33.39905,34.90904,34.845352,34.66223,36.665375,36.616978,38.59322,40.774387,40.73966,41.880943,41.522755,42.173042,42.32652,41.66977,42.160366,42.88243,42.748226,44.353165,both img and text,Img tokens
3,31.6524,33.496834,33.260468,34.91765,35.197365,34.74833,34.443596,32.286972,33.77865,34.19014,35.848648,35.505653,37.045853,36.93313,36.329987,38.153255,38.236732,39.894238,41.556824,41.454166,42.512028,42.504955,43.702175,44.481716,44.171528,43.83488,44.354095,44.705605,46.915432,both img and text,Img tokens
4,29.099226,30.655043,30.388475,30.939482,31.255413,30.486496,30.054955,28.773584,30.39756,31.296171,32.44291,32.352467,33.88649,33.78419,33.69677,35.926178,36.218044,38.02949,39.995617,40.26608,40.979435,40.866978,41.46771,41.857403,41.512608,42.377346,42.776936,43.160698,45.24489,both img and text,Img tokens
5,28.931923,30.58905,30.652443,31.932024,32.277626,32.132267,31.410841,29.973076,31.325972,32.156033,33.30452,33.34197,34.89619,35.14017,35.403767,37.335697,37.44313,38.90266,40.822815,40.693817,41.328136,40.925297,41.971146,42.483994,41.21488,41.101936,40.669937,40.455166,45.983826,both img and text,Img tokens
6,30.065578,31.77052,31.893663,33.179306,33.455784,33.151585,32.6898,31.273588,32.382587,32.979,34.08389,33.78274,35.051598,34.99448,34.914577,36.796677,36.9255,38.539806,40.28273,39.885983,40.278065,39.88366,40.79816,41.02746,40.10142,40.363525,41.133224,41.415108,45.18258,both img and text,Img tokens
7,29.370096,30.90671,30.47385,31.49712,31.53301,31.44487,31.024744,29.715471,31.24431,31.925594,32.738224,32.70604,33.92655,33.94859,34.06306,35.496063,35.925926,37.464756,39.099476,38.966343,39.768017,39.731693,40.3806,41.07801,40.703613,41.78511,41.89593,42.670723,44.799587,both img and text,Img tokens
8,31.454134,33.121468,32.72501,34.405914,34.386578,33.937614,33.449337,31.637522,33.378696,33.74575,35.82661,35.459267,36.516804,36.399868,35.640343,38.15795,37.86532,39.563747,41.13561,40.868088,41.66668,41.5791,42.571453,42.97554,42.52611,42.930763,43.114334,43.836155,46.3788,both img and text,Img tokens
9,30.142763,31.581211,31.406271,32.443382,32.496464,32.21563,31.725096,29.92784,31.273928,31.65064,32.98117,32.676384,34.017967,34.06102,33.975147,35.69696,36.24421,37.90389,39.736317,39.8838,40.46651,40.358734,41.47297,42.077156,41.23578,41.552326,42.677216,42.611526,44.975655,both img and text,Img tokens
0,39.63547,74.73868,68.52921,76.86551,92.68674,98.37236,99.53806,82.93376,90.310646,91.282005,84.48725,80.46069,90.7516,90.502174,93.46041,97.11333,100.725845,104.5299,103.82531,92.42295,86.66606,94.41063,97.78841,108.90421,110.02441,112.25346,110.17471,94.00431,50.537426,both img and text,Text tokens
1,39.280003,73.3588,67.21617,75.22601,90.768616,96.93608,97.81737,81.53835,89.10834,89.74331,83.26935,79.62798,89.15076,88.808105,91.75816,95.14933,98.52047,101.94189,101.4874,90.99019,84.94914,92.13227,95.84777,106.42849,106.64185,108.445564,105.858345,89.87563,49.808353,both img and text,Text tokens
2,39.2899,74.271996,68.141655,76.47115,91.89161,98.084305,98.742645,81.93809,89.21395,90.10332,83.96851,80.10539,89.898186,89.64297,92.997986,96.41214,99.96501,103.46482,102.76682,91.9642,86.83408,94.856316,98.44458,109.401695,110.48205,112.10947,110.08648,94.14431,50.831116,both img and text,Text tokens
3,39.218094,73.72279,67.58458,75.5397,91.39846,97.40652,98.18177,81.26392,88.90517,89.80148,83.642784,80.22313,90.09589,89.72589,93.62412,97.29201,101.29405,104.792404,104.12928,93.49354,88.32012,96.33828,100.2587,110.75707,112.005325,114.41006,112.530106,95.509796,51.825657,both img and text,Text tokens
4,39.81605,73.987236,67.73596,75.62238,91.94417,98.18271,98.46814,82.14973,89.62151,90.61315,83.62855,79.6967,89.49127,89.06463,92.11896,95.95615,99.5009,103.074875,102.88557,91.69841,86.17169,93.6786,97.24924,108.60971,109.05311,111.02813,109.5439,92.8911,49.6655,both img and text,Text tokens
5,39.40934,73.59603,67.34723,75.23268,91.36226,97.804634,98.147934,81.50947,89.233215,89.99593,83.82677,80.37138,90.47258,89.97113,92.92122,96.78754,100.240715,103.48411,102.6764,92.05639,86.87041,95.34344,98.68983,109.47125,110.17682,112.71528,110.203926,93.75144,50.925385,both img and text,Text tokens
6,38.990692,72.73081,66.40698,74.2361,90.62779,96.634445,97.54355,81.05734,88.36727,89.46874,83.18208,79.60247,89.33693,88.8947,92.08325,95.85148,99.797165,103.06244,102.63278,92.0494,86.59019,94.414276,97.73014,108.54991,109.33552,111.65614,110.03657,94.41932,50.451794,both img and text,Text tokens
7,39.100903,73.35404,67.27633,74.79715,90.92557,97.29381,98.16754,81.40273,88.76576,89.47263,83.21398,79.61674,89.07011,88.70099,91.73396,95.691185,99.3482,102.76496,101.835106,90.52816,86.15061,93.59814,96.64269,107.236626,107.224655,109.0193,106.84743,91.42662,50.110268,both img and text,Text tokens
