,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,10.3753195,36.42969,43.980766,53.166687,14.296029,13.614628,15.417959,19.596651,24.716265,29.589643,30.314077,31.500889,34.334576,35.933914,38.91244,42.771942,45.597725,48.57769,52.616344,54.11175,56.84222,62.056072,64.34645,69.03936,69.0176,68.65762,70.06946,60.88979,35.30788,All tokens
1,47.591206,59.18073,63.91677,71.296394,58.71307,57.61755,62.759045,62.606674,67.85104,69.52639,70.27923,67.89392,68.323006,68.15192,67.83347,70.19225,69.46793,71.0908,71.38446,70.50344,70.22533,73.48701,77.17592,81.38767,85.773056,85.33878,88.50676,88.12905,78.37444,All tokens
2,38.363342,50.4085,53.599873,59.74981,36.66369,33.2074,34.762894,39.524593,45.488804,50.46674,53.164482,53.42782,57.170452,59.46054,61.24949,65.908424,67.33252,71.59721,75.57473,75.87294,78.14196,81.72067,83.62185,85.225815,85.55375,88.06104,93.512344,93.00722,66.21732,All tokens
3,4.1809125,9.278764,12.431061,16.794727,5.0724754,4.8504763,5.369411,6.4747562,7.9658856,9.308801,9.099987,9.868733,10.595052,11.387945,12.330571,13.47337,15.04127,15.939195,17.53187,19.20292,21.210129,24.73589,30.209959,35.476578,39.552532,41.630455,45.70699,42.55337,30.110037,All tokens
4,46.69325,58.511898,63.09553,70.75272,59.593323,58.694344,63.62613,63.58606,68.67989,70.25868,70.49369,68.32792,68.90935,68.483185,68.54758,70.81712,70.44339,72.27729,73.07949,72.50408,72.05107,75.609436,78.83126,82.64254,87.12,85.64714,88.72103,87.700325,77.39818,All tokens
5,43.209095,59.847363,65.671074,71.09433,54.57662,49.783558,52.991814,58.37451,65.33318,70.30976,68.91327,67.026726,70.012474,71.54947,73.83358,76.9993,77.55663,80.655716,83.13002,80.89795,79.98479,81.983894,83.1897,82.33448,82.93925,83.20961,86.04207,84.42113,58.083492,All tokens
6,3.282973,18.890448,25.857927,36.203445,5.6595716,5.4914985,6.3231564,7.7813005,9.439496,10.871994,10.13995,11.02236,11.709135,12.421383,13.38126,14.631134,16.17424,17.29161,18.950443,21.004513,23.502188,28.081358,33.914272,39.832024,44.2589,46.443867,50.30494,47.532887,29.517014,All tokens
7,2.8901358,5.9017377,7.9049764,10.964694,4.171134,4.10041,4.5502276,5.2604194,6.2980204,7.087138,6.6765156,7.117523,7.5715904,8.096957,8.615846,9.389411,10.353456,11.055616,12.190441,13.471594,15.262946,18.5804,23.52466,28.128149,32.508095,34.886665,39.146305,38.396973,28.593134,All tokens
8,53.820354,69.06429,71.572464,77.30766,65.028435,61.74406,62.217556,63.964336,71.652306,74.4565,81.59977,79.65837,83.37313,84.53645,88.066666,94.00458,93.93334,99.60013,103.37478,101.37958,103.182014,104.70676,104.6492,105.41553,105.2956,99.57685,104.69451,108.61209,81.46257,All tokens
9,7.212994,52.038975,56.984455,59.667873,4.8597054,4.714675,5.4489255,6.9533663,9.233003,10.912509,11.040905,11.921375,13.12357,14.035866,15.521922,17.206648,19.501436,21.144854,23.634102,26.754517,30.115854,35.970318,41.24021,47.45336,51.603783,53.86778,58.30713,55.09263,35.12319,All tokens
0,28.136745,30.777836,31.314959,32.832943,34.47692,35.99166,35.87584,36.198208,37.79247,39.18043,39.129223,39.593407,40.48707,40.319,41.641376,42.66021,43.239475,44.66181,46.09301,45.642014,44.389015,44.763798,43.941086,44.3154,42.349075,42.75888,41.811623,39.797604,27.12484,Img tokens
1,62.27018,65.04218,66.19566,70.06498,72.314835,73.230576,74.03326,66.47589,66.48388,67.108406,64.19619,60.603832,60.38553,59.861317,60.068623,61.42356,59.998947,61.692764,62.00875,61.48625,60.93618,63.24705,67.20714,70.00987,73.93046,73.800674,75.834854,80.79956,82.14092,Img tokens
2,49.29427,51.280983,50.932716,52.345413,53.231743,54.003662,53.703247,51.022522,53.92326,55.600132,57.673603,56.179214,58.230145,59.907608,60.44502,63.16188,63.34191,66.58997,69.47277,69.62635,69.68023,70.84952,71.45421,70.917114,70.54702,73.95193,78.3397,83.88091,69.051544,Img tokens
3,9.972488,10.462211,10.53628,10.738112,10.910445,11.114853,11.34175,12.133248,13.163771,13.604725,14.14991,14.320361,14.923848,14.934184,15.718097,16.434586,16.664526,17.242905,17.585505,18.085268,18.235968,18.162777,19.472801,20.383484,20.53472,21.156363,21.957018,22.898611,22.585081,Img tokens
4,61.963203,64.616135,65.78905,69.798775,72.20898,72.97819,72.91391,66.06698,66.23526,67.1783,63.666676,60.435074,60.382565,59.57068,60.107845,61.46921,60.43329,62.430927,63.11663,62.989597,62.17307,64.63771,68.27812,70.43089,74.18687,72.946846,74.80592,79.33419,80.67791,Img tokens
5,54.406227,58.773827,60.843845,62.579597,65.89149,59.031384,58.28934,58.941013,62.816204,66.51809,62.11804,59.056835,61.53417,63.015945,65.65453,67.447754,66.58397,69.40247,71.28735,69.251305,66.800446,67.79208,68.89102,66.69004,66.39691,67.30363,69.47309,72.69627,54.979027,Img tokens
6,15.120588,15.555289,15.574637,15.722892,16.03086,16.151833,16.414104,16.66219,16.889475,17.579586,17.920471,17.498056,17.935268,18.12895,18.6099,18.621466,18.734444,18.948248,18.863714,18.820915,18.311834,18.901093,19.35229,20.1895,19.800446,20.103245,19.434652,20.063044,18.483421,Img tokens
7,7.587281,7.8783865,7.9168777,8.050574,8.137082,8.2987,8.517958,8.988903,9.388007,9.518795,9.750289,9.738435,10.089126,10.431026,10.865177,11.433566,11.716298,12.245697,12.634343,13.024539,13.556927,13.4700165,14.024687,14.468908,15.439214,16.000793,16.441967,17.236353,17.913273,Img tokens
8,62.838943,66.642105,65.74664,66.95125,69.49209,69.02495,67.50226,63.855934,68.11176,69.03953,71.99355,70.37352,73.154564,74.38683,78.014595,82.09327,82.65365,87.68464,91.31626,90.15347,90.98107,91.517914,91.846794,91.850174,91.78397,87.41783,91.800964,100.04283,83.69429,Img tokens
9,24.546701,26.100609,26.576677,25.490913,26.202406,26.814833,27.075191,28.209305,28.574814,28.79488,28.893452,28.361097,28.88578,28.780369,28.94865,29.396154,29.752945,30.044409,30.375603,30.22091,29.891052,30.43398,29.640766,30.18733,29.795853,30.102285,31.34654,29.471395,19.930347,Img tokens
0,34.700344,47.06136,43.69,47.65556,2.0858982,2.180183,2.4441917,2.9577744,3.749258,4.492272,4.4808,4.8878636,5.3068223,5.6058016,6.228309,7.061441,8.047968,8.871866,10.304676,12.037392,14.431317,18.866667,24.554436,30.917727,35.595173,38.826523,42.98968,45.78251,31.233511,Text tokens
1,27.44056,37.52278,35.024803,38.630566,1.4612749,1.4675361,1.5974505,1.7825887,2.0838733,2.32396,2.2634292,2.3805285,2.5061483,2.596093,2.741037,2.9872172,3.2875135,3.5583344,3.990121,4.5615997,5.3035336,6.7975373,8.977319,11.843256,15.450175,18.692842,23.135635,35.263294,26.856907,Text tokens
2,28.043602,36.80121,34.235546,38.263996,1.3651983,1.3803446,1.4632568,1.6170677,1.8437644,2.026905,1.9989012,2.0859063,2.1829123,2.2667828,2.376746,2.5560603,2.744999,2.9189475,3.214107,3.621225,4.195304,5.3591676,7.116461,9.5922785,12.720645,15.889847,20.090275,33.129097,25.843157,Text tokens
3,34.862984,43.365635,39.789528,43.393456,1.4721065,1.5009502,1.6210244,1.8520093,2.183652,2.4723659,2.426409,2.56397,2.705997,2.8153226,2.9679122,3.2194047,3.534697,3.762682,4.1602755,4.735167,5.5702963,7.235113,9.921487,13.288954,17.377321,21.031744,25.785702,37.88624,28.790335,Text tokens
4,29.00032,39.406467,36.477882,40.208828,1.5082387,1.5134516,1.6554197,1.857781,2.1803703,2.4479024,2.3803797,2.5114353,2.648905,2.7471247,2.9085433,3.1791208,3.511298,3.79274,4.256601,4.873391,5.6618733,7.3165655,9.747125,12.937226,16.837185,20.325943,24.897917,36.675972,28.143917,Text tokens
5,31.080473,40.07248,37.3233,41.30683,1.4056611,1.4380962,1.5327927,1.7099171,1.9898466,2.218321,2.1753936,2.2895942,2.4064217,2.502524,2.6768005,2.9230993,3.2104127,3.450767,3.8457887,4.369111,5.1020103,6.67636,8.995354,12.165921,15.934678,19.632797,24.407042,36.27792,27.147236,Text tokens
