,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,36.581264,62.511894,78.62141,77.101616,78.08419,73.13084,69.019875,68.670456,67.98774,74.07199,78.52917,90.687065,106.796135,113.980545,116.11256,121.01825,128.38106,89.91611,92.909,102.44675,100.27269,105.4205,108.654465,95.95963,100.155815,119.24076,136.20125,150.22922,159.23463,170.16179,177.07623,182.7456,196.21315,196.60799,185.72958,164.02002,187.93361,All tokens
1,40.551666,69.34676,83.941605,85.765045,86.70744,81.53877,77.341034,76.91291,76.53057,83.235085,86.35145,98.49562,114.829094,125.261826,125.34363,131.20412,137.42293,94.2695,97.4957,106.94352,104.7551,111.75117,116.71083,104.1184,111.19152,129.42758,149.05031,163.7294,170.4049,183.1613,189.12907,192.41602,211.15308,215.00745,207.79521,186.3519,212.11845,All tokens
2,36.89269,64.8455,69.80499,76.84462,77.89461,73.01178,68.76991,69.57404,70.15079,79.12014,83.83845,95.02269,113.39745,123.497246,127.35053,130.94249,135.9215,99.1527,100.27752,108.14925,103.89508,106.864,108.18267,95.73382,90.70812,114.71871,139.05106,159.35799,173.76236,189.38213,206.25839,217.13306,239.84499,243.1943,227.99715,214.69487,240.24985,All tokens
3,46.058224,79.76091,92.8907,96.70415,97.41873,91.44791,87.55662,85.57419,84.526024,90.62011,94.113655,103.86205,117.895065,124.36612,124.50812,129.09111,133.1263,101.25247,102.77608,110.76895,107.37617,111.04495,113.69046,99.012566,97.741,125.06153,146.71725,165.65236,177.10614,189.43378,202.20891,205.24844,226.48624,231.45006,226.22763,215.51431,240.86548,All tokens
4,42.361187,73.03159,94.089516,97.28226,98.26907,92.66592,87.8797,87.09583,86.0488,91.27808,93.31813,101.00008,114.66971,122.84579,121.57918,127.216225,132.7028,94.16681,96.31876,104.64166,102.75328,109.375885,113.33673,102.61981,109.85466,128.1311,147.4695,163.04715,171.21057,183.25644,192.0032,195.12245,205.77899,213.48659,209.70877,192.77869,213.04048,All tokens
5,48.184166,85.41043,103.08524,107.30727,109.8741,103.93046,99.908356,98.59486,98.37155,107.682724,111.15473,119.83995,134.66864,141.87576,140.3938,143.3547,146.9558,92.592285,94.23795,102.12157,99.726105,103.45076,105.78395,93.58006,89.85027,117.86589,143.05652,164.04834,179.65,196.51418,213.5379,225.71182,250.38452,254.47977,239.24019,222.86043,240.55994,All tokens
6,45.036022,85.44571,94.67038,93.83105,96.80979,91.37568,86.795845,87.28484,89.33182,101.65899,105.827545,116.75831,134.4069,146.36647,148.0116,151.21289,157.59863,106.21555,108.56834,116.72118,114.19841,118.05624,120.517876,108.38797,103.918076,136.71861,162.63066,180.8532,195.03705,213.53394,228.45903,231.62636,249.17064,250.99046,251.04204,233.28568,254.14615,All tokens
7,42.398247,77.16414,101.30854,101.95697,103.40051,98.2139,94.39172,93.51756,92.81543,98.86641,100.02295,109.30002,123.11917,130.55159,127.2042,130.82866,135.96889,91.01076,92.484215,99.88135,98.07102,102.910095,106.975655,96.59621,103.27091,125.81897,143.16862,159.32744,169.29453,179.94801,187.30405,190.553,205.71709,211.34296,209.13258,196.29791,223.79507,All tokens
8,43.63963,77.89282,98.78036,101.81796,102.634834,95.9079,89.78089,88.17999,86.87952,92.94962,95.5734,106.39667,122.56856,130.93031,130.46988,134.26654,139.7017,100.94827,103.36635,113.173325,107.697876,114.151054,117.93347,104.81005,110.14141,127.495384,144.37332,158.48555,167.31668,180.6051,185.42041,188.25362,203.3522,205.91199,197.33336,179.02786,211.36836,All tokens
9,38.928623,72.35746,77.480156,79.95173,79.32321,72.13712,67.75424,66.79468,65.76376,71.80632,75.51122,87.68824,106.29743,118.90684,121.829704,126.12543,131.68246,98.419556,101.13604,111.37193,106.7004,114.05323,117.234184,104.02457,112.698944,128.77817,147.68314,164.50186,173.86148,185.46823,196.27106,204.03142,221.83337,224.15233,216.21054,204.32779,239.25948,All tokens
