,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,26.493093,43.398613,40.85076,35.813095,38.061428,38.04578,40.99392,16.782957,16.993866,17.456497,16.120468,14.938576,14.892946,15.106926,15.519305,15.38273,16.41108,5.5598764,6.0623436,6.78354,8.285701,9.491062,10.761515,13.079304,18.43661,25.241648,30.105701,37.573612,44.679905,53.701763,62.125443,71.0662,81.166885,89.36245,97.031815,107.13793,86.00035,All tokens
1,45.844734,70.76541,79.132355,74.83482,81.8098,82.26686,86.91718,40.263454,40.956944,42.361366,39.51219,36.567757,37.374508,38.984493,40.564537,41.32916,44.069714,12.522283,14.542264,17.379396,22.602072,26.208778,29.974464,35.612617,49.67608,63.151035,71.21919,81.8594,89.51039,100.81778,111.34688,117.76353,127.56452,131.70038,132.63531,126.92622,117.26007,All tokens
2,43.211117,66.60865,74.75957,63.495834,67.644615,70.50717,74.6907,49.810505,51.93921,53.983162,50.18714,47.234856,49.26431,52.723923,55.676704,59.109436,64.31943,20.609446,24.011461,29.379625,36.645557,43.519253,49.41996,55.659683,70.57949,81.754265,89.27182,97.13348,102.55866,111.69939,121.24559,127.759445,136.25049,138.8695,136.2228,126.86275,98.90574,All tokens
3,29.689665,49.095062,54.333023,57.018536,60.84353,62.15786,63.783054,9.496573,10.133808,10.984339,10.437739,10.051507,10.442955,10.944679,11.722531,12.036732,12.829244,3.4328785,3.7075393,4.1736255,5.353931,6.0857167,6.754704,8.49403,11.437274,15.34083,18.229168,21.700184,25.525269,30.164892,36.77417,43.24694,48.551823,53.945328,57.939297,74.61893,54.769413,All tokens
4,40.560593,62.857967,66.686005,59.126175,62.680542,62.44793,64.71459,31.938513,32.019962,32.782173,30.497326,28.49211,30.10966,31.291636,32.771576,33.55189,35.164337,7.7382956,8.472558,9.70985,12.007269,13.963263,16.016977,19.16458,29.028767,36.897964,42.315052,51.604813,58.97565,68.928444,78.8763,88.213936,98.58305,106.962135,116.97798,130.55103,111.75282,All tokens
5,16.644232,27.329945,28.95641,25.602741,27.876858,30.032017,34.616753,3.8489656,3.8251135,3.899135,3.5845346,3.3927321,3.4543145,3.5763001,3.674008,3.7163653,3.878608,1.8467603,1.9080837,1.9909706,2.2349052,2.3902302,2.5744793,3.0486503,3.8710063,4.9269705,5.997588,7.5891232,9.747134,12.933658,17.68036,24.03229,31.050888,38.892193,45.22482,71.039536,58.84789,All tokens
6,34.135406,58.29726,62.00207,53.553658,58.85378,60.972885,66.79315,12.056949,12.285879,12.670379,11.818186,10.918539,11.408922,11.85909,12.384594,12.689777,13.343554,2.8896236,3.1165302,3.4256477,4.2080455,4.6666713,5.259776,6.4706593,9.11261,12.265935,14.879009,18.690582,23.091087,29.450377,36.400513,44.04292,52.304565,60.214733,65.12268,84.911896,62.431023,All tokens
7,40.36645,66.63047,84.03004,79.03228,80.72209,80.84246,80.79289,82.91612,84.499626,89.08654,87.66654,88.93507,96.23576,103.582306,104.95689,112.07659,121.15787,48.987484,57.248394,69.81365,78.86999,90.12923,97.17696,99.36877,118.26476,129.89462,138.99663,146.22069,150.63594,161.36674,172.17294,180.27419,191.04411,198.71802,204.4929,195.70947,190.09271,All tokens
8,13.692333,22.060524,22.075384,22.163746,23.274944,23.969675,25.967758,2.4827466,2.4551506,2.4636228,2.3167794,2.1948993,2.18165,2.1886234,2.2128453,2.2481732,2.318136,1.4388715,1.4748666,1.5102571,1.6237055,1.6925086,1.7672113,1.91248,2.2662387,2.740637,3.213094,3.8599946,4.753899,6.20532,8.327478,11.22148,14.72668,18.987125,22.84077,51.5308,43.671204,All tokens
9,19.37901,32.336155,38.18832,34.13742,35.984325,38.47379,41.708855,8.1419325,7.9668555,8.053326,7.464348,7.2339773,7.5615635,7.97533,8.415925,8.625148,9.163013,2.8686883,3.0898206,3.3426106,3.9532788,4.417382,4.938016,6.0067964,8.028581,10.834578,12.972956,16.730982,21.59585,28.339209,35.688213,44.180458,53.12298,61.380848,67.36653,86.67288,69.05059,All tokens
0,34.333435,49.803192,48.966045,43.518536,44.5554,42.93535,43.070667,46.553883,48.250484,52.180607,53.695976,56.556236,61.688293,66.04909,67.97643,71.49037,74.39673,23.658913,25.517782,28.688213,31.926037,35.341476,38.121822,40.558647,49.533375,55.228592,59.114674,63.326416,67.204575,71.67045,71.82142,74.93244,80.979965,86.070465,93.12153,95.99446,104.25105,Img tokens
1,53.203136,74.09588,85.20428,81.23413,85.25777,82.88667,81.286865,85.3427,86.103714,86.12347,83.671265,82.46166,85.6578,90.07686,89.99036,93.7307,99.06098,40.184418,45.377827,52.740845,59.512646,65.442184,70.0055,72.665504,83.3304,91.30964,95.37104,100.96647,102.430275,109.66007,115.09068,116.53055,122.22993,123.16609,123.10661,115.324486,126.86052,Img tokens
