,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,14.066874,24.016897,26.877779,23.26588,26.252298,31.02214,38.456375,9.443773,9.485012,9.891955,9.343426,8.613205,9.022652,9.504815,10.109992,10.330248,11.146127,3.6863353,4.0878797,4.5660305,5.6080837,6.3616695,7.2513633,8.737845,12.080048,16.822168,20.29335,26.24444,33.300495,42.753586,53.00133,62.673275,72.99107,81.121994,84.36326,86.34745,48.343468,All tokens
1,4.696741,24.070002,23.520618,24.658754,34.90663,46.84218,61.484776,2.3212821,2.5106988,2.764632,2.7428312,2.6488318,2.845127,3.0352106,3.2124078,3.3116474,3.5430496,1.7370284,1.8230348,1.9494365,2.2443006,2.4347951,2.6672153,3.0691755,4.02037,5.3283157,6.702325,8.472504,10.875503,14.392707,18.556126,23.677708,29.717781,37.04684,43.605785,56.781025,36.453255,All tokens
2,7.3506584,20.573936,21.230604,20.533112,28.913933,38.433067,53.142788,4.689612,4.9124465,5.379374,5.1654267,4.825198,5.050038,5.294461,5.6089582,5.7724304,6.1578975,2.2250617,2.3750591,2.581324,3.0900285,3.429702,3.8726265,4.550942,6.27829,8.810377,11.152183,14.516322,18.783451,24.909893,31.736988,39.844288,48.190544,56.05703,60.650032,67.17984,36.46186,All tokens
3,17.009565,30.807846,34.74792,32.5499,36.667946,41.246346,48.502712,15.010361,15.248064,15.802375,14.704684,13.323491,14.192453,14.543311,15.684664,16.378338,18.23788,3.6252947,4.0349145,4.6183033,5.7664165,6.5890217,7.5404205,8.888657,12.665479,17.148052,20.663097,26.468168,32.647903,41.384953,50.32418,57.84422,67.718,74.47776,77.41951,79.590904,65.25843,All tokens
4,29.220543,48.16711,54.339664,54.41463,57.214657,58.50107,61.035137,26.835493,27.497149,28.666779,26.652283,25.031178,26.185127,26.570274,28.435276,29.272852,31.52833,7.1798587,8.200503,9.529688,12.285697,14.134684,16.082422,19.382757,27.40717,35.10496,41.342762,50.7736,59.789463,71.70282,82.89956,92.515625,104.278984,111.63544,113.60164,120.193504,105.843895,All tokens
5,36.070526,57.43049,65.355774,65.60134,70.17327,72.57879,75.76386,45.24643,47.143074,48.30326,46.727936,44.203014,46.881565,47.97601,51.03569,53.98089,57.55308,11.9882,14.18111,17.020773,21.799198,25.676285,29.10556,33.02816,43.07631,52.42886,59.876682,68.248405,74.94614,84.201706,89.600746,98.41979,104.5316,105.93161,107.893616,103.401695,95.22744,All tokens
6,30.16174,50.005188,60.22585,63.264755,66.19721,67.22373,68.901764,39.30925,40.579548,42.476658,40.195656,38.84758,40.89433,42.268147,44.99462,47.055077,51.263,11.594938,13.752247,16.307755,21.048618,24.743229,28.09943,32.23628,43.183784,53.22414,60.816406,71.23223,79.95336,92.46429,103.641495,112.53826,121.11697,128.67168,128.30861,125.10066,110.699425,All tokens
7,21.73408,36.891773,40.73168,40.188538,46.193985,51.154243,59.78806,13.626309,13.840782,14.359508,13.228306,12.037539,12.477981,12.770587,13.653968,13.946248,15.1554785,5.1759543,5.778306,6.590033,8.611626,10.040758,11.518359,13.897649,19.286823,26.091162,31.203217,38.289967,45.137543,54.00188,61.50143,67.28506,73.74751,77.616196,77.3327,74.102585,52.668503,All tokens
8,11.411512,22.17568,24.130386,21.32569,24.9799,30.664715,38.79979,6.3409514,6.430151,6.7456384,6.4801536,6.203868,6.378259,6.9616337,7.3968153,7.6481857,8.332419,2.2961,2.4584095,2.6611173,3.168672,3.542751,3.9388156,4.6920633,6.2633324,8.378439,10.181379,13.251538,17.81849,24.009996,30.609756,39.053528,47.518448,56.345947,61.311283,71.56148,36.159332,All tokens
9,3.5595038,11.881185,11.520049,9.880304,14.102255,20.670805,32.575386,3.4174721,3.6345708,3.9400756,3.8507354,3.597192,3.7794724,3.9206526,4.124262,4.2269154,4.5191503,2.5156527,2.7270179,2.991403,3.6851132,4.1499915,4.7530427,5.671351,7.9812903,10.955365,13.798644,18.069288,23.202612,30.760456,38.76018,47.522255,56.841652,62.908527,66.02229,57.612553,31.626339,All tokens
0,24.628843,36.703884,41.96201,38.870937,39.360756,39.27109,38.88498,40.43242,40.83517,42.030216,42.28622,41.625103,43.880573,45.381386,45.57205,48.16597,52.125328,6.7834096,7.6054716,8.611513,10.310036,11.592654,12.959425,15.055884,19.508686,24.750134,27.961836,33.221245,37.776577,44.048706,49.15326,52.901283,59.005524,63.454304,67.13904,69.87873,70.450745,Img tokens
1,20.923344,25.322498,26.834967,26.691574,26.859425,26.283138,26.191584,27.176487,27.337523,27.489737,26.929173,26.119638,26.351856,26.995535,26.968134,27.57719,28.166494,1.2406964,1.2593548,1.2875154,1.3362101,1.36669,1.398457,1.455269,1.5894362,1.8136638,1.9585626,2.1791003,2.4597964,2.841362,3.3757992,4.060416,4.940584,6.0559173,7.3472447,28.177141,24.004166,Img tokens
2,25.986496,34.46188,39.47529,36.535965,37.054775,36.847443,36.824116,38.36217,38.686253,38.423958,38.399303,37.64785,38.979744,40.40424,40.414898,42.054188,43.76985,1.7937926,1.8617669,1.9388283,2.112581,2.227913,2.3450463,2.5375628,3.0966268,3.9731326,4.5767717,5.7941966,7.262726,9.457998,12.4389925,16.729187,21.132206,25.633942,29.913809,50.796165,43.504158,Img tokens
