,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,38.202965,59.358837,79.14825,81.686935,81.53232,80.453285,77.414536,80.253006,79.05896,81.138664,80.54426,85.05324,91.46966,97.871124,97.51554,103.69489,112.64634,62.723476,69.31314,80.20267,85.480515,94.14036,99.06003,95.724686,110.31891,120.634186,127.187035,136.68752,138.55447,142.18967,147.10394,152.34198,160.56482,168.30771,175.29646,170.7913,169.37091,All tokens
1,8.288262,25.13766,26.918846,29.018272,38.997303,46.199177,61.698414,9.6194105,10.529904,11.409568,11.161109,10.224236,10.472302,10.857302,11.793621,12.050394,13.0789795,3.4969077,3.8230255,4.3397384,5.592841,6.297718,7.2229238,9.096735,13.191943,18.639526,23.697014,30.59004,38.264183,48.927032,57.643276,63.71922,71.51069,76.951836,79.440865,73.83488,52.46691,All tokens
2,41.96933,64.54398,81.27172,86.30509,84.72794,81.44679,78.21298,80.037506,77.74744,77.81549,77.34461,80.85703,90.49308,101.3527,102.88832,108.931694,114.48379,64.92458,70.863464,81.47407,85.85289,92.92755,96.602516,96.60532,111.777176,115.023705,120.39766,126.13932,121.57443,126.26148,128.01027,134.41037,143.44518,153.04356,162.38416,155.09181,157.97873,All tokens
3,36.625168,59.423576,64.52678,64.04292,67.28611,68.24603,71.25864,58.204987,60.400738,61.799374,59.41547,59.38021,62.257946,65.147865,66.163445,68.27562,72.020744,16.967628,20.152592,24.736057,31.087147,36.291523,40.347363,44.810886,58.149834,69.77854,76.57091,87.476166,93.80952,103.01566,114.16766,119.502426,129.22852,137.99632,141.87509,139.18777,83.6808,All tokens
4,10.576691,23.187326,23.670914,23.36388,28.389992,32.606285,40.72605,10.796906,11.425238,12.644464,12.257866,11.433192,11.824079,12.442217,13.308408,13.598083,14.691394,4.842258,5.3299346,6.089299,7.846536,8.833332,10.115446,12.734834,18.84592,25.072393,30.664268,37.96642,44.782444,53.06606,61.279804,65.53516,72.51871,76.63199,78.398895,70.067154,47.751156,All tokens
5,15.824438,31.514801,34.39602,33.797573,40.177376,44.530052,54.27868,14.015985,14.749886,15.266041,14.441048,13.269802,13.772134,14.01538,15.070098,15.560541,16.830828,5.7741084,6.466397,7.6480885,9.905397,11.595812,13.229749,16.003517,23.404705,30.61413,36.215115,44.32046,50.72683,59.39666,66.447685,71.46467,78.67354,83.91651,86.20186,76.38322,50.766415,All tokens
6,7.221261,21.443316,21.753536,21.699757,28.875149,34.307716,45.905777,6.179536,6.5741076,7.1578107,6.7895107,6.368149,6.4802213,6.747201,7.1716766,7.4103413,7.9851384,2.4252021,2.585465,2.8165174,3.416694,3.7495685,4.214909,5.0767975,7.1994963,10.122845,13.143116,17.571531,22.789202,30.74816,38.42974,45.724823,54.59833,61.25629,64.61044,66.85351,44.2227,All tokens
7,13.061595,22.860231,23.569073,23.391022,26.391466,28.708431,34.385036,7.572395,7.662634,8.038225,7.400648,6.823971,6.857273,7.0939345,7.509649,7.759184,8.277971,3.3113189,3.5930803,3.9912858,4.9467072,5.4798865,6.090162,7.4849377,11.12464,14.775434,17.985561,23.055435,28.432875,34.932236,41.32055,46.848755,54.584084,60.552998,64.797005,67.980934,45.412212,All tokens
8,34.17433,57.364414,61.891384,61.493958,65.402916,66.84719,71.62375,60.848866,64.260666,66.76611,64.50107,64.47155,67.60453,70.739395,71.959366,74.38634,78.176735,18.599888,21.993267,26.946798,33.934845,39.570896,43.95697,48.72658,62.39543,74.07772,80.8045,91.506966,96.85962,104.78458,114.80748,118.11496,126.22994,134.04898,136.213,131.44904,74.14185,All tokens
9,21.246904,40.692398,43.67296,43.965233,51.78046,56.831055,67.54283,16.456299,16.926716,17.528057,16.213842,14.626867,15.06699,15.393922,16.657547,17.08666,18.461897,5.570873,6.2750587,7.368031,9.74455,11.326936,13.116005,15.703076,23.098866,31.96204,37.99429,46.658844,53.547718,63.56336,71.45612,76.2308,83.28626,89.707756,90.61017,81.8597,52.154922,All tokens
