,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
0,3.5676808,32.98273,31.961136,29.74576,42.976627,54.575245,77.84753,58.173767,74.159386,79.99699,76.21593,72.62726,81.23836,87.26956,89.935356,92.71926,96.32579,60.03415,64.223785,69.6222,82.76905,99.3981,102.16799,111.75443,117.81925,124.922615,118.55786,125.08247,126.90341,136.76439,145.44684,149.6396,156.41133,144.83429,125.92671,98.05629,12.968611,both img and text,All tokens
1,3.3828354,31.42768,30.074177,29.288315,42.13917,53.316715,76.35813,57.17326,73.32726,78.91408,75.04365,71.63361,79.940056,85.75961,88.49646,91.341774,94.9932,48.508247,52.494984,58.266857,72.04857,88.01079,93.1671,103.79526,111.966385,119.41026,115.031044,121.53547,123.62162,133.85922,141.66681,145.2426,151.749,140.03757,121.039085,94.1137,12.5664425,both img and text,All tokens
2,3.4272633,31.715202,30.866486,29.803474,42.710697,54.041218,76.94959,57.2181,73.41938,79.04279,75.43194,72.103935,80.46921,86.28764,88.77228,91.60515,95.35417,57.97904,62.241055,67.89341,81.0065,97.824554,102.156296,111.874916,118.5322,125.781296,120.31002,126.9284,129.16026,138.74406,146.89113,150.14893,156.90106,144.29797,124.82893,95.580826,11.9713125,both img and text,All tokens
3,3.4363146,31.789946,31.192709,30.580826,43.567844,54.70643,77.83316,58.038284,74.1034,79.82951,76.15246,72.53624,81.372734,87.2461,89.81643,92.463486,95.92267,66.93494,70.933685,76.2309,88.57162,105.42723,107.43834,115.68481,121.24276,126.936874,119.85596,125.414894,127.30355,137.2564,145.35776,148.02875,155.2606,142.86412,123.44255,95.92623,12.493341,both img and text,All tokens
4,3.5376382,32.577137,31.442867,29.647902,42.636425,54.172516,77.649475,57.823456,73.992676,79.761986,76.18243,72.60223,80.99804,86.69611,89.54655,92.25959,95.81296,53.952816,58.010864,63.732826,76.985565,93.364296,97.66412,108.193085,115.42478,122.75437,117.531456,124.60421,126.53819,136.76979,145.69376,149.475,156.61844,144.43594,125.79581,97.68081,14.39645,both img and text,All tokens
5,3.5425594,32.578587,30.321472,28.828945,41.501396,52.78574,75.64936,57.384468,73.85192,79.69233,76.15882,72.56156,81.15646,87.26719,90.0976,93.12287,96.5328,67.94762,71.98861,77.24499,88.90631,105.372,108.02142,116.20516,121.22091,126.985664,119.90403,125.63521,127.018684,137.07889,145.67145,149.48235,155.54834,143.01147,123.079445,95.13812,12.547751,both img and text,All tokens
6,3.6603734,33.352177,31.839666,31.17726,43.867657,54.604687,76.903595,57.821445,73.80436,79.17429,75.46529,71.9929,80.57107,86.55501,89.70835,92.55123,96.35933,67.136536,71.434784,77.00943,89.091125,105.85318,108.15033,115.782265,120.77872,127.002205,119.79128,125.8833,127.25092,136.44116,144.78967,148.41748,154.21861,142.11891,122.163025,93.65221,11.865014,both img and text,All tokens
7,3.3077486,30.568739,28.973188,28.838196,41.40727,52.618874,75.84476,57.29438,73.16363,78.90256,75.36902,71.92894,80.54568,86.4406,89.09856,91.96517,95.64652,66.3758,70.414474,75.7262,87.666,103.90297,107.288025,115.6923,120.76076,126.531265,119.95705,125.733925,127.47709,137.6051,146.05602,149.18044,155.71686,142.1848,121.14926,92.292755,12.491382,both img and text,All tokens
8,3.4316096,32.041546,31.467646,30.651728,43.649014,54.988102,78.403,58.54583,75.12202,80.84212,76.90085,73.426346,82.22839,88.05621,90.61172,93.46675,96.85255,54.927616,58.92716,64.79457,78.28966,94.839,99.24769,109.37061,116.65625,123.94537,118.5513,125.25664,127.15758,137.47006,146.27458,149.32469,156.48355,143.72733,124.040565,95.35799,12.698338,both img and text,All tokens
9,3.5773873,32.786934,31.257088,29.75811,42.592316,53.83017,76.95216,57.502083,73.47289,79.33816,75.56849,72.100395,80.6361,86.647675,89.34123,92.256325,95.845406,68.64983,72.84281,77.79298,89.23978,105.68463,107.35358,115.632256,119.730286,125.26858,118.22016,123.76051,125.1274,134.64476,143.10611,146.62941,153.19304,141.1353,121.76408,93.91408,12.917965,both img and text,All tokens
