,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,7.7693715,19.070623,17.945719,16.57577,21.236258,25.447077,33.67448,2.4788764,2.5357459,2.6375048,2.5466082,2.3991117,2.4571767,2.5261645,2.5748944,2.6447215,2.7647545,1.7486014,1.8321332,1.9306948,2.219912,2.3835611,2.5856702,2.9075637,3.7675004,4.959186,6.1605363,7.7892203,10.108703,13.563922,17.341602,22.227417,27.7587,33.191578,37.26209,50.07485,40.842182,All tokens
1,24.71998,40.348843,44.04797,41.630287,42.814007,44.45992,46.028305,12.623765,12.245788,12.262146,11.097529,10.030818,10.086256,10.416126,10.774841,10.734314,11.049192,3.3635504,3.5299428,3.8127773,4.4534035,4.948606,5.5051775,6.7245164,9.376413,12.108691,14.531368,18.740004,23.912264,30.134026,39.743515,49.82337,60.78872,73.20732,83.076645,106.05452,106.06877,All tokens
2,24.877058,37.439667,40.537487,40.430176,42.017403,43.14871,45.22393,6.8972826,6.6508975,6.651835,5.91191,5.4667354,5.414261,5.616828,5.821365,5.862489,6.238407,2.3821485,2.502752,2.6808445,3.1126533,3.4195294,3.746083,4.528414,6.3413444,8.044296,9.671115,12.386721,15.923732,21.029552,27.08625,34.959164,44.43821,53.357628,61.364403,90.07854,81.46331,All tokens
3,7.69762,12.173122,12.878434,11.775985,13.109012,14.011501,16.360228,2.31798,2.305708,2.2928889,2.164905,2.062125,2.033503,2.0430536,2.0218334,2.0262172,2.0685277,1.6022037,1.6332319,1.6693066,1.8235092,1.8963977,1.9924915,2.2276883,2.6180737,3.1348484,3.7302337,4.5761986,5.68714,7.339209,10.358851,13.775644,18.184908,23.511108,28.303741,46.396008,46.709496,All tokens
4,24.730555,41.057896,44.6394,42.11696,43.56255,45.2404,46.939186,12.822838,12.44845,12.485686,11.295742,10.228703,10.264651,10.603565,10.927089,10.908201,11.171702,3.3245647,3.4859345,3.7663486,4.3961473,4.90013,5.4493413,6.65341,9.292543,12.053966,14.526193,18.94188,24.02645,30.277056,40.543896,50.684628,62.39076,75.078804,85.270775,106.663155,108.2575,All tokens
5,32.349545,48.214413,53.935528,54.29024,57.23452,57.789383,60.691143,10.521131,10.343889,10.293083,9.273774,8.534741,8.727668,8.890041,9.24168,9.33864,10.004618,2.9591446,3.1311133,3.3628817,3.9779742,4.362504,4.739633,5.67936,8.112188,10.749266,12.947278,16.656166,21.297132,27.247328,34.50056,42.410007,51.16305,59.492046,66.848236,90.01984,72.84673,All tokens
6,6.3763833,14.00156,13.226744,11.774929,13.763111,15.338361,18.246294,2.2487454,2.2875803,2.2922902,2.2148302,2.1006157,2.0855334,2.098361,2.1007006,2.1036024,2.165189,1.5356165,1.5696269,1.60466,1.744183,1.8171983,1.9143069,2.1284559,2.5246267,3.170786,3.776307,4.7406774,5.9479995,7.6537766,10.452932,14.500116,19.505417,25.543451,31.30149,54.942074,55.013565,All tokens
7,6.066726,9.581453,10.374644,10.165826,11.504379,12.410637,14.126503,1.9679648,1.9774262,1.9639056,1.8887386,1.818556,1.7924026,1.7965858,1.7934138,1.7983491,1.8369442,1.5219702,1.5446625,1.575329,1.6978033,1.7674476,1.8500974,2.029139,2.351013,2.808585,3.272773,4.0390673,4.8785863,6.1924844,8.160696,11.243812,15.07164,19.63002,24.241701,43.04072,43.87481,All tokens
8,28.637547,44.127037,50.9021,51.22046,52.28413,52.26889,52.52025,21.26158,20.711136,20.819595,19.230204,18.208511,18.374363,18.970852,20.074923,20.123074,21.402584,4.6424866,5.1073623,5.7580085,6.9937673,8.051914,9.233629,11.197584,16.838549,22.00028,26.37862,33.04808,39.606953,49.02349,57.730007,66.96552,76.56084,87.64159,97.36723,111.218834,104.386444,All tokens
9,11.770349,33.01423,36.24871,36.080956,45.439102,52.77293,61.00403,1.7272938,1.8191413,1.8958592,1.863278,1.817868,1.8601346,1.9048232,1.9581614,2.0331488,2.115094,1.3958279,1.4345566,1.4811381,1.6269512,1.6997402,1.8013586,1.9661449,2.3749158,2.9239552,3.484245,4.170371,5.135515,6.486384,8.093891,10.42825,12.971388,16.443007,20.491838,47.288193,39.532707,All tokens
