,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,23.742493,49.383835,52.089077,54.030796,55.340656,53.381725,51.238293,18.67066,19.409254,21.432224,21.446276,21.50223,22.169611,23.229355,24.909042,25.951117,28.304996,12.837086,14.63458,17.295094,21.058935,24.82987,29.316107,32.43913,43.123016,55.79558,64.99016,73.34964,80.70953,87.5342,94.07103,99.199936,106.26819,109.46102,108.43005,113.466896,119.82372,All tokens
1,15.288128,28.163853,29.087454,29.519978,31.420174,32.853893,34.84143,6.0667634,6.3989615,7.0194116,7.1823754,7.311904,7.8843927,8.530695,9.406847,9.869832,10.889159,10.965003,12.662104,14.684452,17.809578,20.80776,24.437557,28.386667,36.76989,44.342247,50.668488,56.198746,60.074432,64.08688,64.30465,64.56652,68.45413,69.03321,69.49467,63.01415,61.5809,All tokens
2,17.240572,41.597664,42.635174,42.97515,44.842224,44.80668,46.052452,10.0121765,10.372517,11.241977,11.003125,10.928485,11.430258,12.381246,13.592019,14.094678,15.469146,8.829145,10.022585,11.681984,14.579239,17.081625,20.137785,24.826086,34.334347,44.27128,51.47611,60.096584,67.33673,74.4111,80.08714,85.320274,93.2978,95.279625,95.10619,90.06629,80.672516,All tokens
3,23.200268,49.71756,53.753296,54.49965,55.706314,54.53527,53.63927,16.909338,17.217606,18.580704,18.176765,17.901745,18.501238,19.245432,20.880526,21.651323,23.466906,23.352224,26.221573,29.9348,34.46892,39.036602,43.69156,46.648846,56.645943,66.82925,74.58534,82.19397,87.0715,91.65203,96.64877,98.950455,105.00625,108.65068,111.4225,108.60188,107.97889,All tokens
4,17.635994,46.36162,50.700546,52.243122,55.01265,55.066162,55.732853,12.87808,13.364704,14.811023,14.254896,13.937314,14.297196,14.984784,16.410883,17.15876,18.97317,10.280974,11.896443,14.020571,17.642527,21.143347,25.093117,30.493065,41.18171,51.152878,59.27319,68.38275,75.36466,81.433716,88.159775,90.79506,98.91634,101.567116,100.373924,89.06399,102.00273,All tokens
5,19.910086,37.613113,43.89282,45.64078,50.08642,52.229214,56.468708,9.392445,10.285729,11.559499,11.760203,11.426704,12.331026,13.367496,14.9948225,15.93135,17.938019,8.732957,10.533383,12.90022,16.837687,20.62005,24.980299,29.89689,38.63103,46.567352,52.534714,59.762184,65.18882,71.41674,77.20871,81.293884,87.07956,87.04958,83.41356,69.01695,81.10502,All tokens
6,12.380313,22.577824,24.513626,25.858276,29.033253,31.638983,35.65458,4.7993817,5.137377,5.6095757,5.6887455,5.5675335,6.0475116,6.5740185,7.4867506,8.025138,8.878519,9.13947,11.077117,13.321858,17.056581,20.669594,24.653658,28.679678,36.844017,43.772755,49.232605,55.989925,59.956364,64.55504,67.84205,71.203,74.7766,74.15982,69.24962,56.58313,72.236565,All tokens
7,10.225396,18.655891,21.475412,22.550999,27.90842,32.09997,39.605556,2.1934717,2.3614583,2.5678177,2.6589694,2.636534,2.7984223,2.9499679,3.2152698,3.4180522,3.6613834,3.7206914,4.2993197,4.9462337,6.388842,7.6568646,9.270889,11.455993,15.939644,21.258625,25.786707,31.173199,36.027264,41.44986,45.973286,49.022724,52.90984,52.84767,49.67152,39.712204,49.492737,All tokens
8,23.225603,50.401756,57.32643,58.2645,59.288204,57.35569,55.536488,19.853739,20.358011,22.357973,22.002958,21.711637,22.435816,23.576164,25.458054,26.47243,28.62337,28.767275,32.415424,36.922455,41.789524,47.123024,52.215412,55.48924,65.64064,74.5634,81.68958,88.21822,92.99564,97.64364,100.78157,103.76542,110.8967,116.7885,119.386,115.64178,123.5786,All tokens
9,14.1900625,35.348026,34.559345,34.270317,37.87783,38.399654,40.39748,7.3094683,7.765899,8.467968,8.448288,8.2994795,8.640491,9.07508,9.966823,10.426241,11.497425,7.591204,8.732712,10.263019,13.105481,15.717894,18.829096,23.930548,33.295406,42.35752,49.176918,56.470352,62.09216,67.78998,74.24321,77.62849,82.7655,84.17232,83.05791,77.47225,68.507095,All tokens
