,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
0,24.423687,45.798534,48.578327,58.292343,71.12051,74.96869,93.36179,91.47429,118.27265,123.70299,115.22996,107.98955,114.02098,120.47099,122.38582,125.924416,131.032,119.808815,121.4973,122.086754,125.16231,139.98103,136.13942,139.52402,142.28131,145.03789,135.4862,142.3214,142.4924,149.90384,151.91978,146.89484,151.65828,147.54602,133.81396,98.67176,12.248558,both img and text,All tokens
1,21.131777,43.397327,47.819324,57.159523,69.833626,72.91818,91.03081,88.948425,116.08532,121.592224,113.35766,106.307365,112.17695,118.46066,120.10665,123.49241,128.00099,113.30788,115.39055,117.08854,121.57163,136.56844,132.60869,136.40898,139.29787,141.91116,131.20589,137.35442,137.36383,145.16035,146.09189,140.34862,144.75972,140.48079,126.39817,94.96498,12.106677,both img and text,All tokens
2,21.789537,43.988125,49.644505,59.52584,71.97776,75.27118,93.03078,90.17054,118.12421,123.316765,114.81918,107.44694,113.277245,119.14079,120.54961,123.74235,128.65321,116.62805,119.19209,120.36185,123.9884,139.42265,135.65123,138.99132,141.76547,144.25682,134.43542,141.38263,141.70978,149.7499,151.19408,145.31113,150.09152,145.90501,131.64154,96.84752,12.7714205,both img and text,All tokens
3,23.385386,45.72566,50.32396,59.791,71.98723,74.815346,92.975426,90.95492,119.02114,124.496956,115.77011,108.27366,114.47915,120.51001,121.9599,124.92898,129.56126,108.16683,112.031975,115.39705,120.75281,137.37608,133.8963,138.3756,142.31631,144.72424,134.92857,141.06943,141.30775,148.77785,150.4983,144.4756,149.34705,144.72217,129.59462,93.54933,11.410916,both img and text,All tokens
4,24.79474,45.409927,48.683605,58.17047,70.87469,74.47524,92.54011,90.60952,118.29679,123.99911,115.2423,107.7365,113.58154,119.88894,122.03525,125.54761,130.34918,114.84695,117.43336,119.35488,123.346405,138.79251,135.30634,138.91507,141.74567,144.93887,135.23886,142.58728,142.99669,150.84575,153.06276,147.39604,152.39966,148.12843,134.57306,99.74565,14.420911,both img and text,All tokens
5,22.559113,44.378223,49.325916,58.87054,71.28759,74.609146,92.19868,90.34485,118.17293,123.806145,115.44647,107.99455,114.06127,120.40202,122.24351,125.56611,130.08546,114.45028,116.766106,118.49592,121.46451,136.35747,132.08212,135.93341,138.96059,141.48993,131.29074,137.68773,137.98204,145.77013,147.14708,141.45451,146.49208,142.54907,129.75151,97.90735,13.373688,both img and text,All tokens
6,22.466103,42.50152,47.581398,57.057487,69.35593,72.92977,90.63186,89.42835,116.61904,121.98672,113.674194,106.64449,112.93177,119.558914,121.42662,124.877464,129.66342,119.72966,121.443535,122.03273,125.293846,139.91583,134.9636,137.98059,140.46324,143.22324,132.77267,139.28465,139.13443,146.77133,147.98196,142.06613,147.20064,143.00215,129.37772,95.361946,12.4991455,both img and text,All tokens
7,21.506485,43.085373,47.607647,57.297848,69.72513,73.111145,91.384514,89.74442,117.03651,122.43649,114.14485,106.8929,113.15595,119.461174,121.150635,124.493744,129.08914,116.00452,118.13958,119.4867,122.607666,137.1353,132.90994,136.41899,139.14783,141.70546,131.79416,138.02461,137.9902,146.23692,147.26642,141.20673,145.81155,141.47731,126.65361,91.81362,12.855881,both img and text,All tokens
8,20.656448,43.818867,50.025528,60.257843,72.611435,75.42949,93.61224,91.55396,119.91837,125.49649,116.62805,109.207344,115.650986,121.974045,123.68318,126.919205,131.66225,117.80268,120.23019,121.54823,125.61598,139.98843,135.55643,139.54616,142.35487,144.58292,134.37376,141.12238,140.76181,148.89226,150.09059,144.06401,149.07944,143.91983,129.82106,96.65684,12.098446,both img and text,All tokens
9,22.742346,44.49052,48.256653,57.97732,70.72214,74.258194,92.34501,90.283516,117.62733,123.16691,114.70438,107.37841,113.21687,119.18948,120.74066,123.9686,128.68591,108.11001,111.7224,114.738464,119.389084,135.96518,132.11519,136.36852,139.27037,142.03966,132.42632,139.04945,139.03342,146.64088,148.23047,142.05544,146.80536,141.51024,127.230835,91.31957,12.498293,both img and text,All tokens
0,18.38475,38.355614,42.49197,42.50695,42.159737,40.9569,38.05994,37.717705,36.601128,37.16469,35.610554,34.936123,34.50528,34.965122,34.86277,35.670486,37.1332,36.589653,37.39837,38.521923,38.234158,39.233444,40.349995,38.58245,38.531292,38.300503,39.762577,40.134754,41.456005,42.420372,42.909306,44.194527,46.528522,48.73998,50.83667,50.76286,56.30915,both img and text,Img tokens
1,20.326529,37.499554,41.6968,42.11904,41.808014,40.606564,37.814392,37.620987,36.480675,36.71274,35.331787,34.688564,34.03692,34.591106,34.458733,35.22241,36.27477,35.994904,36.344284,37.50699,37.242096,38.173965,39.42714,37.504105,37.840218,37.973526,39.01031,39.033234,39.798218,41.0753,40.900394,41.87069,43.243294,45.20011,46.566273,46.45102,53.08675,both img and text,Img tokens
2,20.420872,37.6311,42.23633,42.54485,42.04997,40.832718,38.067127,37.71599,36.478207,36.615353,35.073322,34.50408,34.024815,34.691376,34.756912,35.2277,36.605293,36.16218,36.78107,38.068672,38.035496,39.17724,40.414375,38.5239,38.72349,38.384502,39.734035,40.21239,41.20815,42.60981,42.33867,43.708138,46.10769,48.585175,50.55965,49.783558,56.5892,both img and text,Img tokens
3,21.696653,37.75046,41.876667,42.150105,41.76578,40.272255,37.35685,36.883446,35.796494,36.235577,34.98211,34.53356,34.47241,34.701633,34.846355,35.311462,36.560474,36.049843,36.64891,37.833344,37.539707,38.24146,39.586308,37.70063,38.0058,37.656128,39.045704,39.66455,40.45943,41.49803,41.68511,42.396156,44.92188,47.2808,49.201298,48.150276,55.305676,both img and text,Img tokens
4,20.162071,39.20081,43.412735,43.558094,43.10839,41.830288,38.48827,38.209812,37.050896,37.165466,35.89865,34.726383,34.804893,34.942833,34.94482,35.6699,36.81141,36.27264,36.953423,38.0867,38.136696,38.879,40.23352,38.517467,38.21077,37.94571,39.120514,39.802208,40.486855,41.19643,41.879166,42.62882,45.16115,47.10149,49.39124,49.230526,52.92795,both img and text,Img tokens
5,19.983662,38.924088,43.09489,43.509422,43.17813,41.675114,38.946457,38.540157,37.399136,38.10403,36.70639,36.48339,35.858025,36.227947,36.11469,36.525932,37.926678,37.39993,37.816555,38.893185,38.331425,38.868687,40.08969,38.38789,38.260994,38.147972,39.392365,40.190434,41.032467,42.04106,42.408005,43.4795,45.37995,46.783382,48.31606,47.25395,53.146866,both img and text,Img tokens
