,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,10.948123,24.415201,26.261503,28.48964,35.902046,41.30084,49.673992,3.5249295,3.9230237,4.4972215,4.5587106,4.5622144,5.028474,5.529435,6.1941056,6.699602,7.428184,7.5394073,8.968876,10.760649,14.541845,17.65472,21.386744,26.236942,34.97638,43.072083,49.297276,55.551003,59.133934,63.52324,65.81207,67.00944,68.28708,66.39473,60.564777,46.169655,63.330734,All tokens
1,22.706009,47.44261,55.623123,57.716053,60.332172,62.778866,64.591125,17.425539,17.786575,18.886808,18.227066,17.528793,18.342268,19.718658,21.509186,23.521526,25.526533,6.1399746,6.9149365,8.06432,9.922358,12.130616,14.607286,18.59411,25.547735,33.213394,39.210182,48.82098,55.478703,61.167877,74.44648,84.73389,94.703835,102.64326,109.88415,106.76056,108.50157,All tokens
2,27.687908,47.671913,56.888695,58.49616,62.368683,63.413326,64.50002,11.0264,11.622781,12.856577,12.387652,12.047992,12.617106,13.725162,15.253986,16.276148,17.931725,18.231808,20.964308,24.450161,29.188324,34.230785,39.364388,44.98629,55.31245,62.94681,68.69843,75.10948,77.8529,80.84905,87.43939,90.00851,95.68963,98.32893,98.01249,88.04987,89.75598,All tokens
3,6.3185153,11.308991,13.162105,13.120755,15.237627,16.766518,19.593845,2.6819255,2.7959456,3.0076885,2.9974134,3.0278518,3.1278267,3.2630372,3.4843225,3.6374831,3.9144828,3.937523,4.3428054,4.8142505,5.897006,6.746402,8.0122795,10.192049,14.199954,18.62582,22.907316,27.277304,30.942425,35.089954,38.337723,40.564724,43.804916,45.278046,45.48232,42.11514,39.65098,All tokens
4,22.842241,47.47767,55.43098,57.06581,60.175007,62.736607,64.978874,17.548605,17.942078,19.153666,18.5665,17.825037,18.700918,20.058329,21.89871,23.798105,25.866009,6.8787346,7.769292,9.0997505,11.199344,13.621862,16.365728,20.744276,28.461756,36.73826,43.053757,52.604412,59.40822,64.87303,78.50468,88.083,98.21689,104.19157,111.71554,107.06102,113.439514,All tokens
5,27.472853,55.39082,66.05643,69.14027,73.66313,71.79769,73.18851,16.501047,18.14847,20.02008,19.83725,19.422766,20.78518,22.318832,24.467512,26.277418,29.067019,11.60459,13.547089,16.19942,20.662615,24.75497,28.993914,34.772038,44.49585,53.403255,60.293915,67.77273,72.464226,77.01982,84.45797,88.14098,92.818794,95.20606,96.719444,86.89738,87.66574,All tokens
6,6.7696357,18.35189,20.29744,20.341002,25.508554,29.163456,34.45249,2.9247882,3.1380541,3.3676722,3.434378,3.4272518,3.6230965,3.7840137,4.0817018,4.2935643,4.6529217,4.640669,5.204354,5.8785,7.4342136,8.752452,10.473264,13.40215,19.028772,25.67087,31.288248,37.377903,42.52785,47.86466,51.89893,55.257282,57.793026,59.274464,58.539776,51.18123,53.63203,All tokens
7,5.4189887,12.788067,14.639498,14.802183,17.545727,19.27059,22.661844,2.1950786,2.2751527,2.3921537,2.427449,2.4421632,2.5352843,2.6708894,2.8459315,2.9720485,3.1782124,3.1987977,3.5042408,3.9013734,4.7461796,5.4471846,6.447946,8.176681,11.311376,15.139862,18.787125,23.249159,27.225834,31.755304,34.690598,38.081318,41.778328,43.33386,43.03662,38.905743,41.659904,All tokens
8,30.091322,59.776173,72.75006,75.623314,79.34391,79.02486,76.67164,32.702377,34.248486,36.97732,35.549553,34.636253,35.95872,38.532413,41.182774,43.73721,47.767323,21.293272,24.754274,29.412786,35.378128,41.666313,48.383053,53.40277,64.55079,74.23532,81.30738,89.264244,91.541176,96.42675,93.22585,96.77841,100.79379,105.84935,109.88384,107.28199,121.154854,All tokens
9,20.605185,39.551014,43.951878,44.9021,53.05417,58.72601,65.45651,2.4332075,2.7675567,3.174005,3.2512047,3.3407247,3.634271,3.8839316,4.312647,4.677658,5.2578406,3.0900943,3.483979,4.000226,5.220066,6.198304,7.554003,9.795796,14.332323,19.635239,24.763636,30.365986,36.165768,42.64956,48.397488,52.680008,56.29329,57.805843,56.918655,48.16617,49.218746,All tokens
0,20.13223,28.484035,29.498032,29.68621,29.99491,29.18422,28.955347,28.991343,30.03492,30.096695,30.104496,29.918688,30.767653,31.47293,31.891937,33.526505,35.073883,35.789627,36.556973,37.876686,37.88939,38.584568,39.47097,39.080326,38.184723,37.76684,38.374733,38.251152,37.61928,38.50308,38.115917,37.682095,37.434376,37.312176,36.30467,33.562756,39.7258,Img tokens
1,29.902142,60.13878,69.61536,70.906494,71.05935,69.58288,67.17109,68.04856,66.472244,65.619644,62.38061,61.788036,59.826927,59.19893,56.640034,57.307224,59.569427,14.8435135,16.559408,18.968342,22.090752,25.890503,29.567514,33.878788,41.876038,48.02233,53.64307,61.3176,65.822464,68.8116,74.99482,80.35472,86.70578,93.46585,103.31273,102.55735,101.86026,Img tokens
2,36.729336,55.66409,66.67576,67.79461,67.536674,65.003044,61.07089,60.78478,59.433495,59.993137,57.670246,55.375317,53.819305,54.069145,53.672363,55.609653,57.984924,59.286957,61.222736,63.196976,63.324787,64.40908,65.20701,61.683495,62.712856,63.966316,65.81566,67.907875,67.782875,69.203476,73.68477,75.11604,79.09248,81.49688,82.641045,77.33613,83.68535,Img tokens
3,13.068586,18.964924,21.54015,21.751991,21.258726,20.922945,20.338072,20.574993,19.966822,19.253744,18.482597,17.455778,17.109648,18.488888,18.768635,19.957302,20.798618,21.639238,21.968855,22.48576,22.278967,22.793104,22.768328,20.273722,20.693014,22.046154,23.071436,23.453913,23.416992,24.088875,22.263035,22.19362,22.438587,22.898369,23.89912,24.852428,29.316456,Img tokens
4,29.981825,60.02141,69.18922,70.31938,70.50075,69.03667,66.64792,67.54266,66.012314,65.01566,61.825493,60.785786,58.865543,58.49968,56.052998,56.626637,58.857285,17.7711,19.763893,22.532635,25.888529,29.811346,33.618454,37.82373,45.807076,51.29438,56.816532,63.110188,67.415924,70.137405,76.82014,81.704575,88.64758,93.62607,103.67417,102.04334,105.043755,Img tokens
5,33.467407,58.59758,68.56583,70.54915,70.58922,64.90961,61.526543,63.789223,64.493774,64.62582,61.482582,57.66945,55.679836,56.86624,57.285557,59.24934,63.652313,39.287094,43.071445,47.19236,51.243374,55.28585,58.74738,60.097588,62.772667,64.89927,67.95481,69.615326,69.65358,70.62265,74.675514,76.07077,78.39403,79.43371,81.85767,74.932625,79.02222,Img tokens
6,16.116884,25.473665,26.726942,26.478052,25.841091,24.912092,24.058378,24.034643,23.361473,24.094942,22.769018,22.62974,23.234308,24.075668,24.599108,25.557596,26.648458,27.06173,27.111998,27.699583,27.288157,27.410208,27.262886,25.485018,26.289724,27.018314,28.156342,28.412233,28.413467,29.211061,28.215141,27.764318,26.951153,28.42063,30.411654,30.419798,32.7585,Img tokens
7,9.9161825,17.398329,19.906313,20.526144,20.268482,19.66592,19.036646,19.119324,18.687147,18.933783,17.493435,16.681242,16.961866,17.340244,17.94452,19.585093,20.544203,21.176083,21.71729,22.210846,22.532566,22.893938,22.6535,20.629034,20.953203,21.781467,22.59928,21.553131,21.337011,22.032692,19.737658,18.667892,18.883327,19.33311,20.237085,20.353964,25.520216,Img tokens
8,35.867973,63.329468,76.89025,79.00594,78.66225,74.75375,68.7689,68.689125,67.03399,68.18065,64.69219,62.118988,62.432926,64.51992,64.40115,68.151596,71.57383,54.40421,58.390545,63.982178,65.79083,69.18368,71.8711,67.447174,70.19331,74.499214,77.939896,82.537704,81.86142,84.60719,80.72478,82.931145,85.94432,90.62719,96.6774,96.19529,111.39562,Img tokens
9,25.283009,29.94405,32.07442,32.568653,33.24069,32.170773,32.927845,33.645424,33.97684,33.761333,33.8876,33.0661,33.171604,33.800003,34.390102,35.568214,37.219593,8.664972,9.8406,11.238731,13.983755,15.924553,17.983156,20.667898,24.412453,27.799755,29.885681,31.964817,33.433735,35.393673,37.0128,37.959236,38.672714,37.87675,37.672737,30.852692,34.682438,Img tokens
0,34.89767,35.72625,38.47778,39.979053,41.61963,43.087418,45.65932,49.930004,51.143143,51.094406,49.932575,46.982574,46.17188,46.92531,47.48882,47.211864,47.698086,47.151447,46.19237,45.93227,46.894085,48.188717,49.70105,49.5547,48.766865,48.192924,49.360348,49.710403,49.49965,50.4064,50.01001,49.06524,48.72593,47.205795,45.183514,35.92985,42.214245,Text tokens
1,26.424656,28.388144,28.769249,28.376125,30.474459,32.549286,33.97229,37.23956,37.32254,36.848824,35.790936,34.37549,33.64386,33.44401,33.053577,32.24688,31.810175,31.558773,30.593594,30.74934,30.88908,31.650766,32.69377,32.85672,31.812153,31.54191,31.626465,31.80554,31.922985,32.330097,33.092476,33.07644,33.504955,33.75355,33.833008,30.570024,26.288338,Text tokens
