,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over
0,10.478954,28.904589,26.92723,29.505272,40.216995,48.21359,59.660645,3.0979662,3.42438,3.9022267,3.9591794,3.9380264,4.276029,4.7045035,5.237132,5.744763,6.4209876,6.7167335,8.107495,9.790092,13.706294,16.651426,20.50803,25.882782,35.51107,45.144688,52.575512,60.221336,65.18161,70.694756,73.40968,74.0554,75.22117,74.63091,70.571014,50.738968,34.55568,All tokens
1,24.537369,40.96462,49.11322,50.167416,52.453228,54.927773,56.48002,8.596992,8.706597,9.142597,8.678025,8.342721,9.026921,10.140486,11.738521,13.151674,14.558908,3.8297713,4.2728443,4.8888283,5.9741106,7.2881894,8.821976,11.365642,16.267517,21.971365,26.374409,34.048264,40.16593,46.328453,59.16121,69.92806,78.911476,85.00166,91.66435,86.273285,87.73621,All tokens
2,25.574566,42.68959,49.26068,49.451084,52.95412,55.40424,57.311924,6.072986,6.2848015,6.7016196,6.440449,6.264797,6.539635,7.1584463,8.021158,8.724649,9.76972,3.263955,3.675979,4.2128205,5.2074347,6.2584653,7.601618,10.138129,15.500997,20.942392,25.543055,32.408592,38.978703,46.15732,53.73983,60.70625,68.32417,73.81548,79.26136,85.86055,64.84183,All tokens
3,7.0787077,16.4462,15.240336,15.183407,19.644104,23.255299,29.070162,2.4847808,2.6172576,2.8492281,2.8172586,2.7959278,2.9052827,3.0644877,3.284553,3.4921558,3.7900195,3.8575895,4.304672,4.8614116,6.232911,7.224748,8.723535,11.424606,16.145687,21.556807,26.74314,32.64134,38.47285,44.62359,49.570026,52.77658,56.524956,59.005634,60.3303,53.850494,36.452175,All tokens
4,24.161226,40.08013,48.397385,49.3053,52.11071,54.629738,56.400387,8.513569,8.64683,9.10116,8.666893,8.322272,9.006895,10.158674,11.736573,13.20131,14.643002,4.0649543,4.5527825,5.2115307,6.354604,7.7344127,9.375801,12.102055,17.356043,23.492506,27.994022,36.107227,42.173885,47.972324,61.048904,71.42212,80.42663,85.195145,91.847015,85.92227,93.237816,All tokens
5,29.498722,52.958492,63.467316,63.962994,68.98029,69.57365,71.37398,9.5290985,10.140097,10.8770485,10.681931,10.418957,11.184921,12.271206,13.6586685,14.725512,16.503712,4.294769,4.910454,5.764371,7.3736362,8.847517,10.5488205,13.517084,19.672457,26.480679,31.852318,39.5889,46.421505,53.304794,62.433014,69.54483,76.28119,82.48334,88.20304,92.44709,62.866722,All tokens
6,7.318846,21.107538,20.05101,20.367191,26.922028,31.691673,37.855812,2.5311124,2.6984422,2.8532672,2.8762417,2.8393977,2.970403,3.1449192,3.3712678,3.6054049,3.9001331,3.9884317,4.5041227,5.0697994,6.536969,7.6709814,9.291444,12.156853,17.514841,23.947123,29.409595,36.00486,42.254204,48.7471,53.87105,58.13232,61.154728,64.637,66.94263,62.388977,48.603153,All tokens
7,5.5149193,13.596301,13.647122,13.880959,18.131876,21.421701,26.772644,2.2351854,2.3283095,2.4657705,2.4736674,2.4632697,2.5336006,2.6758473,2.8539796,3.0249577,3.276965,2.1226392,2.274812,2.4737055,2.9554303,3.306646,3.844423,4.8926945,6.8091016,9.268431,11.793585,15.35302,19.445137,24.657839,30.130138,35.354187,40.50864,44.832195,47.19361,48.33894,34.76127,All tokens
8,31.790129,54.133392,66.05513,67.0585,70.64061,72.711494,72.156906,21.104181,21.859165,23.44755,22.612053,21.802364,23.020489,24.975681,27.376913,29.518724,33.240726,9.83886,11.633941,13.986689,17.98148,22.080793,26.601713,32.011154,43.706062,54.056038,61.809956,71.39968,77.05851,84.83597,88.43694,91.79934,97.61925,103.943306,111.50972,115.65155,96.058105,All tokens
9,21.907324,45.476933,48.924465,51.689865,64.56083,72.84257,81.93043,2.415272,2.7057877,3.1196513,3.2105362,3.2910814,3.543486,3.8894994,4.301098,4.6939635,5.2496247,2.6996398,3.0163631,3.452699,4.5296345,5.3768377,6.600589,8.659462,12.910739,18.227726,23.640755,29.784399,36.93386,45.474754,52.406464,57.76894,62.472294,65.28489,65.121254,56.698265,31.801888,All tokens
