,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.6875,0.83984375,0.8417551350316949,0.7222222222222222,0.65,0.8125,sentence_all
1,0.6875,0.84765625,0.8549291546395379,0.7222222222222222,0.65,0.8125,sentence_all
2,0.71875,0.84765625,0.8675421982987772,0.7428571428571429,0.6842105263157895,0.8125,sentence_all
3,0.75,0.85546875,0.8722459800784609,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
4,0.75,0.82421875,0.8559772284496548,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
5,0.75,0.8203125,0.8573548727960492,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
6,0.75,0.81640625,0.856032121473298,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
7,0.71875,0.80078125,0.847490196444304,0.7272727272727273,0.7058823529411765,0.75,sentence_all
8,0.71875,0.77734375,0.8317101873687551,0.7272727272727273,0.7058823529411765,0.75,sentence_all
9,0.6875,0.72265625,0.7937869361031127,0.7058823529411765,0.6666666666666666,0.75,sentence_all
10,0.65625,0.703125,0.7742464066012493,0.6857142857142857,0.631578947368421,0.75,sentence_all
11,0.65625,0.703125,0.7719991463465729,0.6857142857142857,0.631578947368421,0.75,sentence_all
12,0.625,0.66015625,0.7248130868173972,0.6666666666666666,0.6,0.75,sentence_all
13,0.5625,0.65625,0.7339040433754589,0.5882352941176471,0.5555555555555556,0.625,sentence_all
14,0.5625,0.66796875,0.7553730210458096,0.6111111111111112,0.55,0.6875,sentence_all
15,0.5625,0.68359375,0.7848565290705918,0.6111111111111112,0.55,0.6875,sentence_all
16,0.5625,0.69140625,0.7955153093130979,0.6111111111111112,0.55,0.6875,sentence_all
17,0.59375,0.71875,0.8128968186891614,0.6285714285714286,0.5789473684210527,0.6875,sentence_all
18,0.625,0.7265625,0.8191951042054941,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
19,0.59375,0.72265625,0.81674363080004,0.6285714285714286,0.5789473684210527,0.6875,sentence_all
20,0.625,0.73828125,0.8116777618704698,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
21,0.625,0.734375,0.7901902678829757,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
22,0.59375,0.73046875,0.7826759524882256,0.6060606060606061,0.5882352941176471,0.625,sentence_all
23,0.625,0.734375,0.7801918190633953,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
24,0.625,0.73046875,0.7676918190633952,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
25,0.65625,0.73828125,0.7819504770720533,0.6857142857142857,0.631578947368421,0.75,sentence_all
26,0.65625,0.75,0.7884768752067179,0.6857142857142857,0.631578947368421,0.75,sentence_all
27,0.6875,0.76171875,0.7960378406780895,0.7058823529411765,0.6666666666666666,0.75,sentence_all
28,0.6875,0.7734375,0.8024326827176091,0.7058823529411765,0.6666666666666666,0.75,sentence_all
29,0.71875,0.78125,0.804140812550739,0.7272727272727273,0.7058823529411765,0.75,sentence_all
30,0.75,0.79296875,0.8076331246368011,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
31,0.71875,0.80859375,0.8108828093203093,0.7428571428571429,0.6842105263157895,0.8125,sentence_all
32,0.75,0.8125,0.8046328093203093,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
0,0.6875,0.859375,0.8630851143918599,0.7222222222222222,0.65,0.8125,sentence_img
1,0.6875,0.859375,0.8630851143918599,0.7222222222222222,0.65,0.8125,sentence_img
2,0.71875,0.8515625,0.8653792388167387,0.7428571428571429,0.6842105263157895,0.8125,sentence_img
3,0.75,0.85546875,0.8741803009082422,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
4,0.75,0.828125,0.857539728449655,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
5,0.75,0.81640625,0.8584741239153004,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
6,0.75,0.81640625,0.8584741239153004,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
7,0.71875,0.8046875,0.8512676689717765,0.7272727272727273,0.7058823529411765,0.75,sentence_img
8,0.71875,0.77734375,0.8317101873687551,0.7272727272727273,0.7058823529411765,0.75,sentence_img
9,0.6875,0.73046875,0.7993163546012811,0.7058823529411765,0.6666666666666666,0.75,sentence_img
10,0.65625,0.6953125,0.7617793250716678,0.6857142857142857,0.631578947368421,0.75,sentence_img
11,0.65625,0.703125,0.7700311235605353,0.6857142857142857,0.631578947368421,0.75,sentence_img
12,0.59375,0.6484375,0.7217458068751172,0.6486486486486487,0.5714285714285714,0.75,sentence_img
13,0.5625,0.66015625,0.7376919221633378,0.5882352941176471,0.5555555555555556,0.625,sentence_img
14,0.5625,0.65625,0.7527879719468875,0.6111111111111112,0.55,0.6875,sentence_img
15,0.5625,0.68359375,0.7848565290705918,0.6111111111111112,0.55,0.6875,sentence_img
16,0.5625,0.6875,0.792081243379032,0.6111111111111112,0.55,0.6875,sentence_img
17,0.625,0.71875,0.8106872227295656,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
18,0.625,0.73046875,0.8203445294928505,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
19,0.625,0.72265625,0.8111533530222623,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
20,0.625,0.73046875,0.8079183633742291,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
