,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.8333333333333334,0.92,0.9306100217864923,0.8484848484848485,0.7777777777777778,0.9333333333333333,sentence_all,0,0
1,0.8333333333333334,0.928888888888889,0.9343238518161119,0.8484848484848485,0.7777777777777778,0.9333333333333333,sentence_all,7,0
2,0.8,0.9066666666666667,0.9147634626581995,0.8,0.8,0.8,sentence_all,14,0
3,0.9666666666666667,0.9866666666666667,0.9888888888888889,0.9655172413793104,1.0,0.9333333333333333,sentence_all,21,0
4,0.9666666666666667,0.9822222222222223,0.9859649122807017,0.9655172413793104,1.0,0.9333333333333333,sentence_all,28,0
0,0.8333333333333334,0.92,0.9306100217864923,0.8484848484848485,0.7777777777777778,0.9333333333333333,sentence_img,0,0
1,0.8333333333333334,0.9377777777777778,0.9459400134322735,0.8484848484848485,0.7777777777777778,0.9333333333333333,sentence_img,7,0
2,0.8,0.9111111111111112,0.9214301293248661,0.8,0.8,0.8,sentence_img,14,0
3,0.9666666666666667,0.9866666666666667,0.9888888888888889,0.9655172413793104,1.0,0.9333333333333333,sentence_img,21,0
4,0.9666666666666667,0.9866666666666667,0.9888888888888889,0.9655172413793104,1.0,0.9333333333333333,sentence_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,0
1,0.4666666666666667,0.5688888888888889,0.6374274209908886,0.4666666666666667,0.4666666666666667,0.4666666666666667,sentence_text,7,0
2,0.9666666666666667,0.9911111111111112,0.9921568627450981,0.9655172413793104,1.0,0.9333333333333333,sentence_text,14,0
3,0.9666666666666667,0.9688888888888889,0.9787878787878788,0.9655172413793104,1.0,0.9333333333333333,sentence_text,21,0
4,0.9666666666666667,0.9511111111111111,0.9717948717948717,0.9655172413793104,1.0,0.9333333333333333,sentence_text,28,0
0,0.4666666666666667,0.3911111111111111,0.4831638597580627,0.42857142857142855,0.46153846153846156,0.4,token_all,0,0
1,0.4666666666666667,0.3911111111111111,0.4831638597580627,0.42857142857142855,0.46153846153846156,0.4,token_all,7,0
2,0.4666666666666667,0.3866666666666667,0.5140490665053384,0.42857142857142855,0.46153846153846156,0.4,token_all,14,0
3,0.4666666666666667,0.40888888888888886,0.52310555557682,0.42857142857142855,0.46153846153846156,0.4,token_all,21,0
4,0.5,0.4088888888888889,0.5239870592694181,0.4827586206896552,0.5,0.4666666666666667,token_all,28,0
0,0.4666666666666667,0.3911111111111111,0.4831638597580627,0.42857142857142855,0.46153846153846156,0.4,token_img,0,0
1,0.4666666666666667,0.3911111111111111,0.4831638597580627,0.42857142857142855,0.46153846153846156,0.4,token_img,7,0
2,0.4666666666666667,0.3866666666666667,0.5140490665053384,0.42857142857142855,0.46153846153846156,0.4,token_img,14,0
3,0.4666666666666667,0.4,0.5208067050021074,0.42857142857142855,0.46153846153846156,0.4,token_img,21,0
4,0.4666666666666667,0.4,0.5198103717593974,0.42857142857142855,0.46153846153846156,0.4,token_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,0
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,0
2,0.7666666666666667,0.8666666666666667,0.8865294727059432,0.7878787878787878,0.7222222222222222,0.8666666666666667,token_text,14,0
3,0.9,0.9600000000000001,0.9634432234432233,0.896551724137931,0.9285714285714286,0.8666666666666667,token_text,21,0
