,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,14.828808,14.927054,15.190562,15.2595625,15.403315,15.934437,16.70254,17.859753,19.855576,22.431675,25.939573,30.652874,34.80008,38.087658,40.901363,46.131023,50.26602,53.37703,56.66788,58.72469,61.209248,61.35322,63.317932,63.68413,64.75012,63.830795,66.82711,67.33817,69.74321,70.07988,70.18301,70.38973,57.788784,All tokens
1,4.1744986,4.196177,4.41827,4.427707,4.4469643,4.5846415,4.798971,5.309091,5.995755,6.9438252,8.420918,10.85674,13.060005,15.213545,17.709131,20.510237,23.222813,25.003864,26.398632,27.56888,28.44928,28.707739,29.321587,29.811092,29.65569,28.741282,30.294369,30.809639,31.692095,32.01486,32.10026,32.717873,29.196829,All tokens
2,12.001674,12.094942,12.441069,12.520527,12.628187,13.117155,13.851586,15.127764,17.243998,20.124157,24.324507,29.424843,33.881157,37.562428,40.182858,46.03784,49.62389,52.559532,55.829674,57.75275,59.654644,59.592922,61.29503,61.8298,62.877426,62.10237,64.88859,65.416756,67.28762,67.68039,67.99997,67.95595,51.58373,All tokens
3,21.552027,21.714458,21.967678,22.239973,22.663504,23.76811,25.374563,27.02097,29.978058,33.630314,38.7139,43.6799,48.35773,51.710068,53.132435,59.359287,62.88741,65.3221,67.60466,69.187935,71.709114,69.87743,71.74814,70.02834,71.15368,69.787926,72.62684,73.16516,75.984344,77.09499,78.754616,80.17147,65.05216,All tokens
4,19.471094,19.633589,19.87008,20.197199,20.63417,21.663658,23.075193,24.931757,27.601147,31.097044,35.985947,41.64195,46.76795,50.542564,52.628773,59.787235,64.4307,67.61475,70.72348,71.73869,74.69521,74.38478,75.06724,74.81702,76.098595,74.875984,78.07783,79.157,82.24557,82.32957,82.764435,82.837166,63.4909,All tokens
5,8.319158,8.383888,8.692819,8.793347,8.991595,9.547649,10.403891,11.883363,13.574745,16.037617,19.781416,25.33219,29.98147,34.136776,38.46149,43.33027,47.129314,50.047424,52.444374,54.999878,56.702156,57.64699,59.083027,59.57468,60.789036,59.252594,61.32734,61.49587,62.68945,61.88085,61.100334,61.452274,41.679787,All tokens
6,9.522029,9.608928,9.7931595,9.890752,10.115197,10.77459,11.766342,13.487557,15.626756,18.50522,22.859941,28.748049,33.479782,37.44713,40.999577,45.998566,49.333103,51.44297,52.2021,53.723038,55.142307,55.066162,55.594032,54.86636,55.778343,53.45185,55.72919,55.310287,56.935947,56.48971,55.214584,55.571133,39.926807,All tokens
7,4.890581,4.9191957,5.239092,5.268802,5.3352175,5.5725827,5.9526043,6.6965685,7.619623,9.042592,11.297393,14.845463,18.030123,21.036106,24.350868,28.115059,31.426916,34.169876,36.29958,38.290596,39.896736,41.02038,41.895,43.00743,44.126728,43.40956,45.324802,45.42086,46.580185,46.08959,45.36847,45.542152,32.71592,All tokens
8,21.5733,21.758034,22.015549,22.522184,23.29912,24.839455,26.902735,29.114666,32.50145,36.402847,41.77817,46.39451,50.57565,54.021587,54.966656,60.98248,64.22831,66.1999,68.81783,70.04934,72.65172,71.88855,73.92954,72.50995,73.874954,73.06061,76.62274,77.421104,80.16049,80.73221,81.662544,82.71615,64.840706,All tokens
9,8.543858,8.605208,8.859241,8.878977,8.925835,9.19098,9.636706,10.5968075,11.985238,14.029706,17.198683,21.793737,25.895582,29.72199,33.810024,39.52532,44.22235,48.216583,51.536583,54.323227,56.892307,56.44041,57.782555,57.321186,58.601665,55.938793,58.379295,58.60597,60.25322,60.21887,59.95364,60.543415,47.958454,All tokens
