,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,4.380668,4.4012456,4.5655427,4.5672836,4.567837,4.650569,4.7661963,4.984269,5.3394527,5.904671,6.7860074,8.48427,10.023667,11.97851,14.439231,17.247736,20.835058,24.874268,28.06392,31.125216,33.848804,35.560863,37.3615,38.81982,39.760517,39.998753,41.86611,42.61254,44.067623,44.59649,44.84538,45.41048,33.68487,All tokens
1,4.613489,4.631966,4.8219643,4.8102455,4.8006496,4.8685317,5.002477,5.252247,5.622473,6.1520023,7.050761,8.6440735,10.1289,12.093137,14.882204,18.010492,22.582825,28.079865,32.753765,37.58405,41.53845,44.791508,47.484642,49.685375,51.73305,52.193115,54.419273,55.263733,56.971058,57.521748,57.951702,58.68097,42.28006,All tokens
2,3.8227232,3.8379524,4.0021954,3.9924293,3.9834726,4.0360165,4.1661506,4.4142714,4.8352637,5.4168563,6.4157696,8.109142,9.745144,11.651014,14.2914095,17.350208,21.073957,25.340672,28.640837,32.060905,34.767113,36.766632,38.04532,39.71046,41.256958,41.16569,42.965088,43.615467,44.8702,45.301373,45.16539,45.634808,33.952183,All tokens
3,4.835026,4.867483,5.1265655,5.1471763,5.2023215,5.4253516,5.821003,6.6541467,7.7236195,9.22331,11.803262,15.50853,18.623589,21.690819,25.37722,29.024982,32.397785,35.27458,37.600105,39.858738,41.512756,42.669037,43.831295,45.545204,46.959816,46.156063,47.896633,48.344734,49.674408,49.099964,48.22376,48.603954,34.82866,All tokens
4,5.9203424,5.9499683,6.167302,6.1562023,6.132629,6.210541,6.411917,6.8243704,7.4530196,8.379162,9.974522,12.331132,14.482812,16.88814,20.151142,23.764164,27.833538,32.260723,35.56906,38.64688,41.3349,43.21417,44.115658,45.24907,46.854824,46.56742,48.440094,49.041237,51.10553,51.63204,52.283535,52.995815,41.47323,All tokens
5,9.641071,9.734413,9.950283,10.071264,10.249159,10.682316,11.352785,12.566059,14.353942,17.005266,21.327673,26.32478,30.555807,34.576946,38.50029,43.902737,48.280293,51.890182,55.05834,57.96344,60.323997,61.891033,63.499977,64.66703,66.64595,65.476524,68.65088,69.1719,70.873436,69.89799,69.4943,69.542145,52.28452,All tokens
6,2.3268747,2.33198,2.4216256,2.4213908,2.41418,2.431339,2.4766805,2.5818648,2.697481,2.8810456,3.2038882,3.7687404,4.342035,4.9996,5.9511333,7.0704393,8.686658,10.699435,12.270692,14.2120285,15.843211,17.149082,18.270704,19.46454,20.38246,20.501862,21.531925,22.256725,23.35808,24.002077,24.595411,25.856558,22.475275,All tokens
7,4.5922337,4.620286,4.90735,4.9260044,4.9736543,5.147437,5.4433875,6.0481186,6.8726144,8.044066,9.937315,12.998467,15.797692,18.668768,22.062998,25.991514,29.658613,33.063667,35.604572,37.505394,39.246567,40.192467,40.7171,41.798523,42.90542,42.440186,44.408962,44.550056,45.675964,45.753532,45.747406,46.19063,32.936115,All tokens
8,17.047207,17.178318,17.38859,17.53937,17.773739,18.454245,19.503458,21.265001,23.589533,26.855309,31.996857,38.134968,43.193863,47.92367,51.898617,58.985264,64.10595,67.52563,71.17998,73.69777,75.22511,76.20874,72.82698,71.42573,71.86894,70.88722,74.325745,75.13298,77.995255,77.83053,78.49442,77.399216,46.31935,All tokens
9,2.8203883,2.8302546,3.0655978,3.0892403,3.1248977,3.2157297,3.3604078,3.684077,4.0510044,4.625846,5.544688,7.0621047,8.497826,10.058083,11.97049,13.931256,15.787999,17.386715,18.333065,19.269472,19.986185,20.507078,21.128366,21.679174,22.251389,21.8658,23.035593,23.309675,23.996534,23.99644,24.0452,24.738167,21.890554,All tokens
