,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,7.833822,7.9302506,8.319856,8.609234,9.029091,9.874488,11.07106,13.094061,15.720665,19.254969,24.488201,31.17566,36.640163,41.493507,45.74157,52.50311,57.45311,60.58243,63.335384,65.54952,67.88159,68.05225,70.23675,71.67964,73.483086,72.666016,76.174,75.45503,77.57413,76.69383,75.36539,74.9836,47.29996,All tokens
1,9.755502,9.970461,10.625537,11.552049,12.883863,15.315561,18.71448,23.693266,30.002975,37.193764,47.11117,56.90663,64.87281,70.13457,73.76897,83.039696,87.36217,89.09733,91.20738,93.63144,95.5591,93.30938,95.35144,96.18029,98.51507,96.94098,101.25049,100.7933,103.72565,103.58266,102.42451,102.285126,65.71721,All tokens
2,9.887624,10.07232,10.529557,11.202089,12.03978,13.571324,15.7304,19.047411,23.489666,28.653494,36.278107,44.554634,51.545334,57.53722,62.080902,70.612114,75.9922,79.45226,82.83917,85.664825,87.2768,87.3168,89.078476,89.092064,91.18694,90.58023,92.99001,92.557144,95.195206,94.64816,93.26445,92.88636,64.30866,All tokens
3,6.9806643,7.0551,7.3574595,7.5439754,7.8062673,8.358512,9.180968,10.482254,12.229525,14.688024,18.466051,24.118065,29.231487,34.592663,40.462246,47.90932,54.78072,60.490894,64.90475,69.21169,72.62743,73.862175,75.741974,76.977936,79.34236,78.28171,82.849174,83.24652,85.93563,85.71774,84.861664,84.47525,56.812466,All tokens
4,7.997285,8.14152,8.737734,9.243319,9.975292,11.318529,13.233575,16.383612,20.738401,26.002272,32.840267,40.081043,46.15386,50.620335,54.090393,60.56914,65.06142,66.94716,69.50451,70.777084,70.490395,69.710594,70.621544,70.54181,72.39929,72.18901,74.618385,74.228485,75.96565,75.50286,74.7152,74.264984,49.49001,All tokens
5,13.914464,14.124514,14.5518265,15.27059,16.183922,17.859856,20.078274,23.37986,27.501387,32.364628,39.298485,46.053516,52.12405,56.41647,59.438797,66.933304,72.15067,75.79353,79.612915,83.45785,87.20351,87.943794,91.17451,93.20234,96.10429,96.94505,102.43917,102.67923,105.89519,105.19743,104.49911,104.04361,70.96536,All tokens
6,5.917139,5.982764,6.3272476,6.50764,6.7480526,7.23782,7.9244432,9.120106,10.934218,13.512708,17.238247,22.503633,27.319975,32.351353,37.587284,44.234215,50.36634,55.235416,58.918865,61.79472,64.18315,65.00938,66.926254,67.599594,69.882095,69.17262,72.73581,72.98101,75.32332,75.169716,74.274155,74.260345,50.762897,All tokens
7,11.638802,11.881805,12.474894,13.407544,14.584052,16.860498,19.947447,24.425232,30.020473,36.133163,44.98698,53.82974,60.96361,65.58217,68.203835,76.852936,81.32951,84.05945,87.07586,89.91782,92.33903,91.41406,93.464294,94.984505,97.38334,96.80772,100.889465,100.24449,102.927376,102.12537,100.921036,99.54362,60.871185,All tokens
8,12.024,12.234587,12.686244,13.371614,14.367448,16.21391,18.616566,22.195763,26.826925,32.318493,40.14219,48.16971,54.83202,59.5961,62.843555,71.32253,76.66199,80.08099,83.987724,87.23703,89.9758,89.51436,92.58929,94.12887,96.547935,95.79423,100.46452,100.05452,103.00205,102.79382,102.20102,102.13301,63.80581,All tokens
9,10.958691,11.146132,11.596358,12.208717,12.96403,14.427857,16.540487,19.25673,23.431997,28.316666,35.314964,42.747112,48.598747,53.429676,57.6086,64.6653,70.0737,73.33002,77.52668,80.18496,82.56148,83.08836,84.91299,85.5137,87.33855,86.237015,89.96585,89.58358,92.25435,91.14716,90.09765,89.96045,59.327232,All tokens
