,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,4.4273934,4.46264,4.760365,4.8224516,4.9369593,5.243883,5.691487,6.4979615,7.586698,9.216599,11.685748,15.520681,19.184008,23.075022,27.599514,32.77747,37.38227,41.694126,44.716362,47.187557,49.04893,49.728397,50.393993,51.628677,52.787895,51.78435,53.753147,53.797085,55.321712,54.715485,53.85405,54.042828,37.48009,All tokens
1,8.46592,8.544133,8.580486,8.669365,8.768621,9.050019,9.5104475,10.523183,11.972088,14.183442,17.915306,22.093084,25.394154,28.471495,31.723076,35.72826,39.206024,41.7244,44.11251,46.433414,48.32275,49.671543,50.749214,51.529667,53.087322,51.747932,54.546093,55.26716,56.662395,55.74885,55.477196,55.732296,44.009487,All tokens
2,7.0151606,7.062878,7.3591495,7.3717356,7.4158845,7.6585097,8.026573,8.804115,9.952565,11.660741,14.441024,17.743504,20.599123,23.280357,26.19835,29.835978,32.968765,35.340614,37.397503,38.77141,40.173725,41.237522,42.43798,43.43243,44.357334,43.49708,45.824333,46.377754,47.99414,47.959824,48.085186,48.526318,38.788445,All tokens
3,5.902775,5.955352,6.272429,6.36243,6.525348,6.932368,7.507994,8.564732,10.14252,12.12902,15.000162,19.370153,23.196716,26.457405,29.654493,34.26249,38.122105,40.942963,43.11362,45.39331,46.864902,46.720123,48.225384,47.45051,48.418354,47.804886,49.969288,50.394722,51.770462,51.11075,50.719273,50.365864,37.22933,All tokens
4,8.548524,8.627408,8.694989,8.78154,8.887718,9.176411,9.655568,10.700631,12.182757,14.446127,18.243809,22.491625,25.825214,28.87545,32.093086,36.14267,39.68901,42.22146,44.6383,46.93961,48.821144,50.16118,51.293774,52.05012,53.603657,52.3457,55.14796,55.903786,57.304897,56.368256,56.127857,56.311752,44.689144,All tokens
5,11.823089,11.925948,12.178788,12.236818,12.338266,12.822135,13.61751,14.95506,16.860584,19.569366,24.139196,29.52969,33.818478,38.34302,42.741722,49.07929,54.402683,58.61933,62.50513,65.88492,68.920135,70.89044,73.42379,74.89586,76.34164,75.18832,78.81543,79.46553,82.19985,82.20157,81.90511,81.854126,54.799454,All tokens
6,6.332375,6.384501,6.6674886,6.7471404,6.854718,7.20825,7.730241,8.700113,10.114524,12.121804,15.049876,19.204252,22.911741,26.292013,29.37836,34.054363,37.90967,40.87339,43.29281,44.992825,46.96905,47.49584,47.910336,48.151287,49.072372,48.28233,50.338497,50.58649,52.20644,52.343014,52.052067,52.326218,41.095898,All tokens
7,9.438248,9.529402,9.893095,10.085226,10.375166,11.026142,11.9468,13.485813,15.510916,18.33858,22.396408,28.197824,32.730167,36.90197,40.34617,45.32518,49.83688,51.926464,54.213383,56.87755,58.782093,58.48046,55.75837,56.04228,56.154972,55.440998,57.950314,58.479652,60.647835,60.961403,60.18373,61.070274,48.08834,All tokens
8,5.250689,5.2859483,5.6337004,5.6761518,5.7251215,5.9166355,6.2629633,6.9131365,7.7746153,9.150482,11.389588,14.326067,16.960274,19.613207,22.75197,26.297266,29.624489,32.185726,34.23236,35.90642,37.395008,38.243618,39.410084,40.28808,41.272472,40.249195,42.265984,42.784496,44.279217,44.32118,44.134052,44.84145,32.739098,All tokens
9,3.3805635,3.4005148,3.6885607,3.7315247,3.8148777,4.0005913,4.3331113,4.9014325,5.650258,6.7345123,8.301395,10.661409,12.944655,15.186575,17.96349,20.904406,23.663147,25.943329,27.886374,29.219358,30.596577,31.203012,32.22133,33.363213,34.60204,34.428524,35.68871,36.055298,36.954556,36.90484,36.542427,37.279,26.196892,All tokens
