,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,8.135312,8.184821,8.49798,8.522453,8.570404,8.838916,9.283123,10.028126,11.144465,12.731352,15.190977,18.755287,22.075842,25.12588,27.935902,31.949533,35.3388,38.156914,40.261993,41.87539,43.276615,43.068737,43.816628,42.995564,43.309055,41.637115,43.032322,42.838,44.273907,44.090878,43.472187,44.248474,39.06388,All tokens
1,8.828966,8.88855,9.342756,9.3471155,9.375462,9.686085,10.2115555,11.115568,12.46636,14.494997,17.428635,21.249376,24.625301,27.52586,30.219477,34.166084,37.20335,39.29858,41.2694,42.02821,43.119408,43.394287,44.07002,43.62486,44.58475,43.9756,46.35334,46.541977,48.02152,48.416798,48.237286,49.098892,42.604122,All tokens
2,17.789606,17.942476,18.28604,18.483866,18.760649,19.766886,21.195269,22.472275,25.294336,28.980465,33.95423,38.965538,44.114338,48.164997,50.84942,57.988495,62.95053,66.45719,70.5229,73.898315,77.36305,78.564896,81.10695,81.27377,82.74676,81.495094,86.082535,86.63168,89.69753,90.050705,90.747025,90.880135,70.26971,All tokens
3,10.87101,10.958325,11.381179,11.545935,11.763164,12.382366,13.306057,14.725536,16.718727,19.360167,23.221794,27.665916,31.747986,34.679214,36.138023,40.775047,43.296593,44.90101,46.900246,47.463997,49.07777,48.85588,49.3769,49.997734,50.39029,49.2632,51.51059,51.71742,53.453495,53.30832,53.616196,53.42443,46.25694,All tokens
4,7.914126,7.9634285,8.265924,8.2494755,8.229261,8.43344,8.853817,9.634462,10.8456745,12.660073,15.367194,19.051443,22.168993,24.859735,27.459259,31.209915,34.159664,36.37733,38.47537,39.758106,41.444736,41.96013,42.547657,42.714104,43.363983,42.84207,44.90963,44.89398,46.500927,46.92203,47.036617,47.422203,39.883232,All tokens
5,17.487862,17.644602,17.971807,18.183071,18.453962,19.369942,20.640514,22.238665,24.9137,28.719164,33.891743,39.045094,44.18004,48.080074,49.77545,57.12462,61.05129,63.980804,67.47517,69.67138,71.69116,72.45193,74.297615,74.76916,75.79331,75.021576,78.15512,78.7004,80.85352,80.40941,80.5907,79.95176,60.92383,All tokens
6,20.177221,20.34689,20.600277,20.893883,21.299465,22.474108,24.005482,25.87993,28.704372,32.521065,37.722717,43.396893,48.95868,52.993427,55.29299,63.155067,67.839745,71.074165,75.18832,78.33675,81.22558,81.89359,84.03384,84.73736,87.04718,85.1823,89.92275,90.83975,94.080414,94.25018,94.87337,94.48876,67.65994,All tokens
7,10.988263,11.07956,11.413016,11.529875,11.705674,12.230083,13.104118,14.4428625,16.45876,19.192041,23.104431,27.416212,30.796051,33.491585,35.1142,39.02453,41.84992,43.13523,44.549484,44.770885,46.845963,46.03447,46.790066,47.59418,47.036953,46.184452,48.508156,48.80483,50.21785,50.637596,50.909714,51.564182,43.211304,All tokens
8,8.190056,8.242255,8.586441,8.639289,8.711199,9.044661,9.560186,10.51339,11.862726,13.738644,16.536768,20.53455,24.22178,27.458681,30.180975,34.569923,38.114773,40.645782,43.034912,44.47107,46.18237,45.334885,45.914104,45.488316,45.804775,44.15642,45.846386,45.409138,46.42067,46.318726,45.940483,46.91704,42.967896,All tokens
9,3.9547846,3.9766421,4.21411,4.216494,4.220759,4.3396983,4.5275526,4.943152,5.5400953,6.495555,7.9819126,10.081789,12.098637,14.000105,16.184448,18.942009,21.340683,23.382284,25.196096,26.60584,27.713474,28.476091,29.23915,29.957088,30.914093,30.013536,31.906525,32.15581,33.155853,33.207687,32.998505,33.45685,30.139751,All tokens
0,7.366436,7.3818173,7.588513,7.5521064,7.501799,7.5653505,7.7146735,8.111154,8.70113,9.641508,11.194462,13.743303,16.026285,18.085287,20.13496,22.929445,25.394972,27.555962,29.13033,30.288887,31.513899,31.447504,32.041126,31.660732,31.954027,30.826672,31.838856,31.840282,32.871605,32.801994,32.37157,33.116787,31.426722,Img tokens
1,7.9734445,7.9915857,8.278295,8.204245,8.126123,8.198723,8.3798895,8.880218,9.620234,10.873202,12.721996,15.462002,17.793179,19.789072,21.767647,24.55341,26.651762,28.273254,29.706095,30.177578,31.076694,31.324543,31.801144,31.643112,32.37412,32.052464,33.83501,34.181107,35.272957,35.662716,35.601532,36.482998,35.04055,Img tokens
2,16.881481,16.932169,17.25378,17.20989,17.169748,17.542637,18.161608,18.745527,20.484097,23.031864,26.455233,30.311317,34.265144,37.26895,39.431175,45.009758,48.943798,51.99938,55.217037,57.909378,60.942223,61.922943,64.05053,64.55802,65.75282,65.02599,68.588585,69.414986,71.84985,72.30483,73.0664,73.373146,60.59785,Img tokens
3,9.904695,9.932899,10.178046,10.198429,10.226632,10.458053,10.840526,11.628961,12.785197,14.505542,17.103846,20.443207,23.49249,25.616905,26.847166,30.20736,32.04188,33.381573,34.840076,35.09251,36.45129,36.27002,36.61943,37.311043,37.57684,36.798016,38.47045,38.80017,40.083954,40.024815,40.34186,40.38218,37.82227,Img tokens
4,6.998676,7.0150285,7.2106996,7.1432858,7.0507393,7.070151,7.211855,7.6498103,8.333812,9.463849,11.212517,13.8736725,16.011972,17.809,19.750467,22.352663,24.44333,26.17572,27.707033,28.631443,29.988173,30.451284,30.906282,31.25527,31.790302,31.524542,33.124336,33.272972,34.467346,34.87481,35.016838,35.482956,32.478596,Img tokens
5,16.57158,16.620625,16.942987,16.899908,16.848146,17.134357,17.602276,18.430206,20.025461,22.704996,26.370052,30.376255,34.422318,37.299507,38.698425,44.40746,47.387314,49.906616,52.593872,54.196854,55.974445,56.527115,57.99477,58.67425,59.470917,59.05557,61.457874,62.22126,63.91126,63.633404,63.90501,63.599586,52.256157,Img tokens
6,19.552889,19.600618,19.891748,19.891415,19.921352,20.370352,20.990116,21.962854,23.627762,26.246204,29.853395,34.350113,38.810966,41.872814,43.829906,50.052868,53.811314,56.761402,60.048687,62.504864,65.03539,65.6111,67.42097,68.34891,70.337326,69.056816,72.777885,73.99546,76.60718,76.864845,77.509315,77.34767,58.296146,Img tokens
7,10.054752,10.088076,10.281884,10.251072,10.220916,10.335961,10.628261,11.32572,12.4468565,14.18769,16.737432,19.96051,22.406757,24.341763,25.657118,28.476595,30.43964,31.512129,32.428696,32.43672,34.08597,33.515488,34.074024,34.899853,34.46046,33.904358,35.636913,36.00861,37.05482,37.47396,37.78001,38.48135,35.030903,Img tokens
