,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,label,sample,Mean over
0,2.7714493,2.9362113,3.379207,4.2365346,5.6448226,8.942724,14.178685,22.184982,32.11832,42.594746,56.147636,69.676,83.597336,94.16882,103.284805,115.76471,120.83005,121.83383,125.73686,125.56371,125.38648,126.53705,130.77646,127.56817,129.62177,125.709656,129.63214,129.47333,129.88725,122.41302,113.991844,98.04049,44.19085,both img and text,1,0,All tokens
1,3.0519905,3.2671,3.7989383,4.9266286,6.8047495,11.257859,18.181047,28.472538,40.39328,52.22655,67.008316,80.82642,94.32031,104.493965,111.99608,124.53216,127.627556,127.42694,131.10887,130.28798,129.40208,130.36441,134.28441,130.9754,132.67516,128.98505,132.43,131.76093,131.84639,123.51215,114.74912,97.54043,43.303005,both img and text,0,1,All tokens
0,2.983543,2.9879785,3.1275206,3.132163,3.1418843,3.1879292,3.2341437,3.35787,3.5848129,3.9372401,4.513028,5.5403185,6.5502405,7.4771023,8.857621,10.280504,11.81817,13.359649,14.401592,15.201408,16.109324,16.542204,17.090706,17.763283,18.286814,17.942406,18.805054,18.90591,19.489021,19.553457,19.422457,19.788628,17.64154,both img and text,1,0,Img tokens
1,3.4517658,3.4580657,3.6265879,3.626326,3.635304,3.6908538,3.7456675,3.8920038,4.167773,4.574406,5.2553453,6.529731,7.8300867,9.068456,10.813937,12.624137,14.45879,16.3294,17.532656,18.442465,19.441132,19.827566,20.48717,21.192019,21.747974,21.465229,22.358217,22.444162,23.032095,23.022987,22.927992,23.14544,20.144194,both img and text,0,1,Img tokens
0,45.59761,39.099358,52.380695,82.027534,99.59713,114.14887,124.47564,136.54433,144.30782,150.50856,155.5089,156.67497,163.54495,166.33925,163.28493,172.29187,168.29367,161.2363,163.66315,161.5013,161.8709,162.81352,167.13231,163.01949,165.8638,164.27127,169.02309,165.4064,165.99515,155.61636,143.69348,120.061424,59.87959,both img and text,1,0,Text tokens
1,45.421158,38.997116,52.100536,80.93075,98.41145,112.744576,123.08243,134.09686,141.67905,147.93327,152.7467,153.7069,159.8186,162.71793,159.18741,167.35162,162.4032,156.0833,159.11705,157.06282,157.14276,158.16748,161.70097,157.8234,160.18147,158.92097,162.8651,159.81198,160.04282,149.12111,136.42882,111.65504,54.050755,both img and text,0,1,Text tokens
0,45.785583,32.05344,1.8901656,1.9915997,2.1541007,2.1632125,2.2484446,2.3315437,2.39395,2.5111814,2.6416624,2.8544436,3.0662107,3.2867157,3.5693958,4.1527486,4.9874268,5.663064,6.5721426,7.688887,8.432167,9.219344,9.872832,10.687113,11.3037615,11.693785,12.179828,12.5732565,13.216516,13.762235,14.205454,15.188599,16.514338,only text,1,0,Text only tokens
1,45.60766,32.061436,1.9038532,1.9885349,2.1610136,2.172015,2.2598884,2.3448353,2.4092486,2.530253,2.666684,2.8876636,3.1106737,3.3459573,3.6443484,4.252167,5.137633,5.8556037,6.8144174,7.9967427,8.778522,9.606367,10.289165,11.137493,11.774377,12.168563,12.659239,13.068939,13.720204,14.25021,14.687676,15.651962,16.854881,only text,0,1,Text only tokens
0,2.9894269,2.9958155,3.242296,3.247969,3.2590594,3.3085692,3.3598342,3.4926114,3.731337,4.0973325,4.690744,5.734168,6.7569127,7.696976,9.086207,10.49103,12.014681,13.548674,14.590183,15.399866,16.315973,16.74552,17.290356,17.954218,18.469378,18.110123,18.969528,19.069426,19.645124,19.70571,19.56833,19.897472,17.726099,only img,1,0,Image only tokens
1,3.4597926,3.4685893,3.7484581,3.7489295,3.7594855,3.8193166,3.8803666,4.0371046,4.325971,4.7472663,5.447274,6.7355433,8.044195,9.291369,11.040839,12.816456,14.638834,16.508371,17.712902,18.642038,19.656496,20.046854,20.704863,21.408129,21.958576,21.657457,22.550129,22.636509,23.220379,23.207298,23.105053,23.274258,20.238497,only img,0,1,Image only tokens
