,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,51.640038,51.733906,52.141697,52.265068,52.554947,52.883583,53.412144,54.05019,54.989807,56.869335,59.146843,63.098057,65.9647,69.3153,67.49067,64.484764,70.69034,76.549995,83.48069,88.432594,88.51715,94.400894,97.6462,101.80773,104.63193,108.84125,113.96196,118.24564,119.895744,125.76564,132.30821,137.27046,141.68619,All tokens
1,21.315422,21.365604,21.667145,21.720182,21.829176,21.934727,22.093195,22.317822,22.754429,23.892912,25.48904,28.935837,34.426643,37.761776,41.519962,43.146114,47.984768,52.005756,56.176582,58.757404,56.44176,56.271202,56.574596,56.253036,56.452797,57.195675,58.293312,60.51706,60.92923,62.13703,66.970474,71.89626,79.63634,All tokens
2,52.521774,52.625954,53.061256,53.20849,53.506138,53.82319,54.410427,55.18932,56.376507,58.773155,61.24706,66.07104,68.87499,72.98867,70.60656,66.532814,73.498924,79.717606,85.73001,88.2271,86.63432,92.420296,94.69923,99.0503,99.32518,101.78748,107.440796,112.93165,115.37928,118.04803,127.53497,133.3329,139.05788,All tokens
3,66.37125,66.49082,67.00263,67.17327,67.52801,67.95145,68.65598,69.6066,71.048,73.39589,76.03882,80.64618,83.0465,86.9681,83.37567,78.458015,86.09361,92.07373,99.058044,100.55803,98.15794,103.94484,106.463165,110.68987,114.89893,119.10568,124.47654,129.86842,133.37868,143.45036,153.51886,160.24586,168.55002,All tokens
4,74.74235,74.893684,75.488174,75.732445,76.17215,76.65333,77.55637,78.6615,80.49323,83.59657,85.78111,91.16212,92.0193,95.000984,92.08541,85.97583,93.50842,99.56356,108.18365,110.47974,106.03738,111.104706,114.56564,118.287155,122.61736,122.34556,127.325516,134.11803,138.69698,145.1398,154.83171,164.38818,179.93153,All tokens
5,26.695969,26.748426,27.003408,27.065601,27.210033,27.344133,27.597385,27.924116,28.588497,29.869724,31.589153,34.77393,40.461987,43.81815,49.29764,53.50507,59.443073,63.84318,70.391045,74.69166,74.93334,74.77779,73.97055,76.072914,75.88719,78.05639,81.76904,85.840576,85.934395,91.209335,99.59864,105.32393,109.54597,All tokens
6,27.463186,27.506252,27.699854,27.765581,27.904474,28.039383,28.319609,28.676348,29.290623,30.517897,32.07361,35.51715,41.47638,44.35138,49.716637,52.270485,57.11936,61.533848,67.733795,70.12153,69.66571,68.49462,64.988914,67.34993,70.20721,73.48049,78.48929,81.36152,83.53071,88.215614,94.27315,98.623924,108.47405,All tokens
7,20.320408,20.370678,20.686823,20.732801,20.85196,20.965368,21.168697,21.442575,21.961119,23.199825,24.858921,27.84949,33.79426,37.212814,42.9457,47.8005,53.136425,57.437363,63.725143,67.50513,67.35728,67.65,66.41911,68.40616,70.12316,72.39832,76.01189,79.70837,81.19018,85.571045,90.580925,94.957245,92.645065,All tokens
8,72.438866,72.54887,72.99288,73.15916,73.48368,73.80172,74.427025,75.15728,76.28079,78.3453,80.43227,84.302826,85.97219,88.56464,85.69056,79.412575,85.14994,90.234505,97.4824,97.809395,96.912704,102.65132,105.007,109.95151,114.03702,116.17136,121.0074,125.315544,128.0916,131.29549,142.94856,150.35204,154.90231,All tokens
9,44.895103,45.014202,45.598713,45.764313,46.06648,46.429554,47.05562,47.834892,49.033287,51.474533,54.328167,59.16042,65.18509,69.385635,71.918205,71.64246,78.19012,83.559425,91.05607,94.040985,94.33363,98.43546,97.17123,99.05917,102.63674,103.134995,106.14635,110.397736,112.709045,114.48733,120.38623,124.67975,126.270035,All tokens
0,52.97585,53.007404,53.05163,53.08679,53.2454,53.396553,53.65526,53.874905,54.279873,55.41869,56.805264,59.783417,61.978775,64.66699,62.73125,59.704647,65.3771,70.699814,77.083534,81.642265,81.68763,87.26515,90.40914,94.18517,96.74911,100.64428,105.39813,109.33901,110.86164,116.330345,123.08765,128.31508,135.89459,Img tokens
1,21.193596,21.20332,21.222204,21.219341,21.242802,21.252453,21.25468,21.235905,21.37444,22.102364,23.104717,25.757263,30.291763,32.8312,35.953213,37.164204,41.315792,44.6386,48.267876,50.549747,48.72167,48.541744,48.75395,48.310047,48.298965,48.877445,49.7114,51.648647,51.8981,52.92397,57.597614,62.439835,72.53209,Img tokens
2,53.80388,53.831657,53.87434,53.929764,54.079315,54.199997,54.48711,54.78608,55.387676,56.90962,58.38088,62.05998,63.984165,67.3243,64.82506,60.81519,67.1472,72.70706,78.154594,80.4274,79.07484,84.468765,86.65545,90.569084,90.609604,92.793785,97.981224,103.05315,105.276825,107.689606,117.28775,123.28878,132.22832,Img tokens
3,68.53248,68.55958,68.60935,68.67311,68.87013,69.085075,69.42743,69.85011,70.6008,71.92023,73.40394,76.72808,78.14815,81.32782,77.59636,72.70487,79.78214,85.2096,91.657104,92.95801,90.66497,96.10085,98.50858,102.30961,106.19641,110.09063,115.08751,120.08232,123.405365,132.86263,143.14923,150.02267,161.27351,Img tokens
4,78.35341,78.40408,78.458206,78.57663,78.77613,78.95642,79.34376,79.71179,80.55951,82.30747,82.90283,86.63082,86.270935,88.2635,85.15855,79.105576,85.986946,91.355545,99.315895,101.28907,97.17771,102.01532,105.33091,108.51445,112.38929,111.9468,116.519485,122.72021,126.95522,132.78783,142.97324,153.07771,172.83437,Img tokens
5,26.730398,26.739481,26.757952,26.75941,26.815733,26.843616,26.924952,27.01802,27.399137,28.267668,29.422379,31.854557,36.558907,39.16829,43.759113,47.289627,52.44796,56.190918,61.893448,65.57935,65.85003,65.722855,64.90063,66.64744,66.31357,68.2149,71.47121,75.16989,75.187355,79.95306,88.34662,94.190025,102.65788,Img tokens
6,27.479908,27.490837,27.50557,27.52237,27.590864,27.63484,27.777864,27.934462,28.300468,29.17697,30.277075,33.148785,38.43357,40.804085,45.618576,47.846188,52.190323,56.150238,61.772095,63.881947,63.4981,62.383736,59.03136,61.106976,63.69427,66.71513,71.31975,73.96028,75.95895,80.33383,86.52035,91.045265,103.66181,Img tokens
7,19.962238,19.971636,19.984903,19.977968,20.013163,20.030174,20.076923,20.13388,20.390976,21.232828,22.322235,24.533342,29.397194,32.022762,36.725006,40.728836,45.242245,48.885376,54.28016,57.513165,57.473495,57.781258,56.618694,58.265438,59.633457,61.61124,64.69065,67.997795,69.2276,73.15529,78.38177,82.99714,86.03136,Img tokens
8,74.48735,74.51627,74.55199,74.6385,74.798256,74.933556,75.24642,75.455826,75.91713,77.04976,78.03021,80.74888,81.51732,83.42868,80.38434,74.21557,79.44135,83.997505,90.685905,90.87598,90.031334,95.46113,97.75145,102.28414,106.08421,108.03678,112.59188,116.559326,119.172554,122.11644,133.77301,141.25998,148.56198,Img tokens
9,47.13475,47.161194,47.199577,47.241722,47.337986,47.438686,47.657665,47.808933,48.231567,49.520294,51.01883,54.332977,58.900944,61.970913,63.84759,63.261982,69.11865,73.636955,80.28218,82.8436,83.39503,87.47512,86.48549,87.93742,91.20135,91.518875,93.98468,97.691284,99.62259,101.12615,107.38404,112.00644,118.038956,Img tokens
0,26.02684,34.42003,1.190016,1.3942518,1.8249665,2.3079956,3.0433686,4.1408324,5.4252086,6.778034,8.234504,10.4489155,13.465352,15.588632,18.879074,20.047976,23.043207,26.746851,30.735641,33.944378,36.719177,37.793137,38.581318,39.7037,41.079346,41.986156,42.71596,43.38904,44.292637,44.9109,44.212833,43.018543,31.774632,Text tokens
1,24.426506,33.198433,1.2172449,1.4433498,1.9286273,2.495279,3.4079185,4.7472906,6.355943,8.014144,10.023273,12.7592325,16.825623,19.54361,23.554457,25.241407,28.379326,32.312893,36.186512,38.81814,41.027416,41.94039,42.827145,43.47504,44.499336,45.311077,45.73469,46.09239,47.376152,47.93095,47.26728,45.851562,33.685215,Text tokens
2,23.732962,31.981937,1.2477564,1.5066441,2.0848634,2.7677963,3.863374,5.38144,7.158897,9.147682,11.308107,14.205219,18.227325,20.8184,24.570467,26.236826,29.48842,33.14357,36.62738,39.158634,41.199043,41.915283,42.70189,43.5006,44.25856,45.12435,45.787865,46.05036,47.013775,47.399166,46.86207,45.35094,32.957253,Text tokens
3,25.857191,34.805424,1.1766729,1.3614438,1.7388325,2.1754398,2.8684506,3.8678648,4.999864,6.291651,7.6554475,9.604996,12.374313,14.3905525,17.52175,18.875257,21.85833,25.621422,29.464409,32.854492,35.657677,36.81771,37.83775,39.03682,40.310047,41.376022,42.25919,43.0627,44.03564,44.775143,44.050175,43.07028,32.44836,Text tokens
4,33.085663,41.33308,1.2273246,1.4542854,1.9540308,2.5198002,3.4466774,4.6256227,6.0818863,7.5442486,9.376874,11.853329,15.41586,18.133589,21.846388,23.57461,27.281273,31.387505,35.438663,38.84904,41.762444,43.300644,44.214645,45.26768,46.506706,47.36785,48.05697,48.887863,49.400978,50.195774,49.50815,48.518417,34.965637,Text tokens
5,31.865852,38.70221,1.2030585,1.4411476,1.8938966,2.425768,3.3175645,4.4681273,5.9252,7.360918,9.18639,11.692678,15.397993,18.175205,22.09808,24.18805,27.741695,31.718946,36.456154,40.080753,42.75845,43.951305,45.164196,46.16324,47.096798,47.864044,48.389557,48.76339,49.414513,50.298843,49.18722,47.7212,33.47249,Text tokens
6,31.865852,38.054806,1.3104451,1.6834677,2.4387233,3.3562667,4.8775096,6.7772636,9.195196,11.294851,13.919788,17.354986,22.074993,25.149153,29.198458,30.72936,33.926685,37.339283,41.008854,43.57199,45.267998,45.977192,46.782436,47.602497,48.373703,48.987766,49.391335,49.67058,50.16067,50.711803,49.561172,47.95269,33.61004,Text tokens
7,31.865852,38.931065,1.2124242,1.4588915,1.9193522,2.4654355,3.4020755,4.600787,6.1148806,7.62461,9.538602,12.190931,15.994542,18.748512,22.69467,24.781313,28.3738,32.295635,36.941326,40.485878,42.96523,44.2513,45.397964,46.426983,47.37928,48.109634,48.798756,49.149654,49.672997,50.407654,49.22331,47.683643,33.49842,Text tokens
8,25.084328,34.021996,1.1698858,1.3427998,1.7061116,2.1167696,2.748302,3.690818,4.775424,5.9305773,7.1842637,9.031125,11.794969,13.834277,16.874954,18.194515,21.122046,24.816797,28.838669,32.06429,34.95575,36.18667,37.19143,38.32931,39.58141,40.520336,41.41711,42.187073,43.1764,43.8727,43.317806,42.42733,32.26652,Text tokens
9,25.12756,34.380577,1.1902512,1.3887033,1.808004,2.2966886,3.0770862,4.178331,5.4728336,7.034207,8.822296,11.115428,14.733476,17.15107,20.75928,22.581291,25.821257,29.850784,33.915054,37.10911,39.578995,40.27841,41.195198,42.078773,42.983162,44.086056,45.04893,45.558678,47.068913,47.751095,47.315838,46.035053,34.006836,Text tokens
0,26.02684,36.902912,1.1498483,1.3050641,1.5853431,1.9165589,2.418669,3.102502,3.8986256,4.8805094,5.8586783,7.460394,9.657957,11.466306,14.294229,15.674009,18.624432,22.530718,27.173668,31.41726,34.74481,36.81786,38.35917,39.867973,41.28753,42.563084,43.52612,44.625713,45.56233,46.060303,45.610424,44.96207,33.662025,Text only tokens
1,24.426506,34.8924,1.2000477,1.403489,1.8056839,2.305866,3.0877304,4.0999503,5.3717012,6.836443,8.3863735,10.803843,14.313411,16.977528,20.847527,22.623602,26.03029,30.19081,34.74763,38.303288,40.919235,42.400856,43.46334,44.352764,45.436436,46.57019,47.26742,47.860844,49.23738,49.91854,49.263733,47.974762,35.726753,Text only tokens
2,23.732962,33.90959,1.1912807,1.3832732,1.7625028,2.227828,2.9599614,3.9075658,5.0285687,6.3650875,7.780939,9.962719,13.1160145,15.6771345,19.43766,21.074217,24.376375,28.538082,32.93765,36.542423,39.040028,40.450226,41.473206,42.402798,43.42429,44.41952,45.055367,45.73617,46.79853,47.252075,46.676025,45.75768,35.01436,Text only tokens
3,25.857191,36.325943,1.1454657,1.2954899,1.5686964,1.8931335,2.3852737,3.0445726,3.8011253,4.7674656,5.747571,7.260742,9.39429,11.139926,13.914945,15.236239,18.125357,21.9679,26.464746,30.68403,34.148987,36.31071,37.96926,39.423126,40.786587,42.12797,43.113686,44.18582,45.125664,45.620285,45.22196,44.698307,34.232204,Text only tokens
4,33.085663,42.37663,1.2018944,1.4006376,1.78418,2.2408853,2.9981155,3.8776367,5.0170975,6.350107,7.977863,10.26581,13.22932,15.639206,19.031532,20.680141,24.138332,28.432585,32.848133,36.87164,40.073673,42.181763,43.27817,44.721138,46.074493,47.318096,48.28634,49.504112,50.637318,51.65938,51.211903,50.193794,38.195587,Text only tokens
5,31.865852,40.516327,1.2314343,1.4969172,1.9715738,2.5502284,3.5421374,4.6737647,6.1415324,7.709926,9.5971365,12.284798,16.051773,18.822893,22.661488,24.521416,27.831177,31.908167,36.64905,40.64014,43.418667,45.15078,46.75003,48.149883,49.34089,50.54897,51.399174,52.28608,53.083714,53.93633,53.083855,51.870277,38.75766,Text only tokens
6,31.865852,40.516327,1.2314343,1.4969172,1.9715738,2.5502284,3.5421374,4.6737647,6.1415324,7.709926,9.5971365,12.284798,16.051773,18.822893,22.661488,24.521416,27.831177,31.908167,36.64905,40.64014,43.418667,45.15078,46.75003,48.149883,49.34089,50.54897,51.399174,52.28608,53.083714,53.93633,53.083855,51.870277,38.75766,Text only tokens
7,31.865852,40.516327,1.2314343,1.4969172,1.9715738,2.5502284,3.5421374,4.6737647,6.1415324,7.709926,9.5971365,12.284798,16.051773,18.822893,22.661488,24.521416,27.831177,31.908167,36.64905,40.64014,43.418667,45.15078,46.75003,48.149883,49.34089,50.54897,51.399174,52.28608,53.083714,53.93633,53.083855,51.870277,38.75766,Text only tokens
8,25.084328,35.276928,1.1395385,1.2809268,1.5439944,1.8515825,2.3190126,2.9411492,3.6469488,4.567903,5.5077763,6.962614,9.02049,10.768006,13.4856205,14.788073,17.638731,21.5032,26.006283,30.118416,33.42436,35.521374,37.129696,38.532337,39.805225,41.07166,42.064693,43.121025,44.116684,44.61463,44.18085,43.580585,32.566837,Text only tokens
9,25.12756,35.91542,1.2052234,1.4191486,1.8346784,2.3465993,3.1713543,4.2081103,5.489118,7.132801,8.858386,11.321194,14.8112135,17.34158,21.167627,22.872814,26.264957,30.492231,34.899734,38.561417,41.16982,42.46469,43.27084,44.12516,45.032234,46.27311,47.187916,47.915775,49.31988,49.75994,49.169838,47.976974,35.96397,Text only tokens
