,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,28.349255,28.38503,28.559021,28.564842,28.610397,28.617172,28.590405,28.570917,28.556562,29.079517,29.933697,32.05413,37.239113,40.170326,45.052315,48.618614,54.327496,59.164284,65.783775,69.546844,69.632065,72.216034,71.95144,73.40968,74.16693,76.26133,78.201195,81.74054,83.547554,88.19139,94.91188,98.34811,86.83595,All tokens
1,41.436844,41.518875,41.913883,41.991432,42.187,42.30175,42.551243,42.89644,43.46046,44.887638,47.294987,51.457054,60.224213,65.9564,74.81802,82.90826,94.12569,102.59265,116.28775,126.2978,131.5713,141.56241,145.53099,151.87741,156.7039,162.59793,169.32722,177.2763,184.69858,197.2818,207.63715,207.0622,164.43631,All tokens
2,26.347628,26.387989,26.563433,26.580896,26.658941,26.671183,26.74462,26.818874,27.01439,27.707752,28.962664,31.560005,37.987732,41.593193,48.571854,55.038418,63.42699,71.56233,82.01626,88.82644,92.00421,96.86304,97.86216,101.80137,105.7776,110.597115,115.76095,120.50191,124.15341,130.87758,139.24825,142.5312,125.72271,All tokens
3,22.530659,22.57076,22.797028,22.824493,22.917137,22.969624,23.118826,23.28173,23.58691,24.421364,25.695528,28.526724,34.300358,37.555557,42.920246,47.924416,53.641445,58.59918,65.25877,70.349976,74.254425,77.13287,80.17919,83.893234,87.42725,90.08674,93.831535,97.46641,99.021484,101.11149,108.58693,108.022194,99.75203,All tokens
4,32.773872,32.84157,33.165955,33.243874,33.40179,33.52381,33.714962,34.030617,34.50007,36.02192,37.984447,41.96528,49.81904,54.395096,61.5901,66.23191,73.293945,79.23575,88.70285,94.33579,96.78754,100.60066,99.09688,102.89146,106.06904,110.07288,115.842064,121.35711,125.740944,131.73158,140.2272,144.61449,143.68587,All tokens
5,36.031235,36.12302,36.557095,36.699825,36.95241,37.21248,37.655617,38.26769,39.329227,41.542767,44.272915,48.848385,56.47224,60.929752,66.08957,68.331764,76.93599,83.41416,91.18551,94.59159,95.060356,98.27062,99.228,102.77162,108.50055,111.45009,117.384315,123.55868,126.500015,131.81415,140.00406,147.3283,149.04959,All tokens
6,14.91694,14.94157,15.037254,15.047824,15.086008,15.0886135,15.121991,15.19201,15.307604,15.791148,16.686666,18.748545,23.660881,26.797314,33.153362,39.054802,45.784374,52.153458,60.052895,66.42269,71.447464,75.79277,77.65118,80.642944,83.805275,86.645645,89.826836,93.19905,97.123695,103.03457,110.660576,107.76178,103.093346,All tokens
7,33.670315,33.73227,34.055977,34.130474,34.310036,34.43781,34.74623,35.05473,35.71913,37.204903,39.710518,44.00125,52.139896,56.873943,64.24994,69.65587,78.71102,85.42897,95.33576,100.26691,102.69134,107.704704,107.96896,112.21926,115.36123,119.75569,125.72422,129.38846,132.19086,138.80322,144.58836,146.67717,131.52014,All tokens
8,59.670094,59.817036,60.48743,60.69925,61.139065,61.57371,62.491867,63.637325,65.82322,69.42935,73.50961,79.92821,87.35845,92.502525,95.84074,96.54251,104.3874,109.44542,119.90323,123.7162,118.403854,120.21913,116.89256,117.75539,114.92901,115.8424,122.89839,130.34216,138.91785,148.78339,156.06357,164.32626,147.32886,All tokens
9,12.534849,12.561379,12.668134,12.687014,12.757729,12.839728,12.959005,13.148608,13.512605,14.4259405,15.49871,18.138613,23.100298,25.697353,31.26165,34.976173,39.11721,43.077824,46.779335,49.461216,48.50063,48.090378,46.92117,48.129803,47.96425,50.422516,52.545135,54.60484,54.25587,57.01484,61.68335,64.70938,70.49749,All tokens
0,28.168053,28.175722,28.182375,28.15158,28.14017,28.080706,27.958336,27.795256,27.60477,27.882463,28.39919,30.06516,34.653973,37.08407,41.457794,44.64635,49.761475,54.038113,60.01491,63.393246,63.458485,65.80408,65.54196,66.75619,67.3673,69.26705,70.98292,74.22937,75.85459,80.1798,86.88648,90.500496,81.52703,Img tokens
1,42.19396,42.20504,42.236828,42.225765,42.263744,42.185505,42.136127,42.043808,42.03887,42.729927,44.14156,47.15465,54.540607,59.166794,66.772644,74.06991,84.26978,92.01798,104.64207,113.99559,119.13953,128.78911,132.53485,138.28899,142.64311,148.20702,154.39388,161.80646,168.69194,180.65291,191.63416,192.35905,156.43214,Img tokens
2,26.240747,26.252518,26.26072,26.230938,26.249596,26.181005,26.138788,26.030619,26.003456,26.393091,27.22982,29.281342,34.962822,37.947853,44.18614,50.036312,57.70983,65.15734,74.88848,81.21837,84.33443,88.94041,89.88189,93.43947,97.05449,101.587654,106.353455,110.79157,114.22804,120.629074,129.25743,133.34402,120.80176,Img tokens
3,22.193155,22.203417,22.213642,22.196234,22.209394,22.170912,22.176352,22.129217,22.177048,22.620302,23.390984,25.54341,30.468077,33.07844,37.727875,42.117554,47.177773,51.58277,57.60967,62.23761,65.82959,68.549675,71.34519,74.61619,77.7365,80.091644,83.42781,86.70007,88.05848,90.03189,97.35144,97.10156,92.85252,Img tokens
4,32.882095,32.904587,32.9315,32.942516,32.997322,32.983177,32.981533,32.9877,33.080826,34.048225,35.289402,38.40151,45.225494,48.99232,55.36985,59.5095,65.98726,71.33115,80.03805,85.236786,87.84196,91.65399,90.33076,93.70826,96.54371,100.23933,105.423965,110.44823,114.45781,120.053116,128.90013,133.6873,136.35735,Img tokens
5,37.020664,37.04005,37.074234,37.106926,37.18717,37.213963,37.300488,37.35124,37.6791,38.889877,40.368046,43.60463,49.864323,53.313942,57.679543,59.58752,67.31493,73.011955,80.00965,83.13684,83.922516,87.12205,88.09367,91.082954,96.05055,98.778946,104.07041,109.63576,112.16802,116.87032,125.59927,133.22345,141.08348,Img tokens
6,14.662862,14.673124,14.680965,14.675209,14.6893835,14.670406,14.66988,14.685692,14.733303,15.098434,15.80033,17.592623,22.04903,24.780062,30.539421,35.8936,42.039085,47.78114,55.101227,60.990856,65.73163,69.74634,71.46648,74.165504,77.045166,79.68439,82.63592,85.81487,89.533226,95.15168,102.85854,100.48613,98.8271,Img tokens
7,34.033657,34.04411,34.07066,34.068024,34.13125,34.104004,34.179237,34.15189,34.380756,35.277958,36.945995,40.20019,47.146515,50.97367,57.381542,62.113537,70.28958,76.222946,85.230774,89.653915,91.87698,96.58874,96.834404,100.533104,103.19564,107.19813,112.61035,115.972725,118.46291,124.5704,130.98528,133.99101,125.31404,Img tokens
8,63.003777,63.039448,63.090633,63.163143,63.37351,63.51718,63.955524,64.35628,65.5842,67.80239,70.19861,74.85781,80.62702,84.46937,87.00377,87.43134,94.651245,98.91634,108.4602,111.86142,106.96453,108.79543,105.49984,105.92686,103.055695,103.588486,109.813545,116.59918,124.443474,133.56828,141.1643,150.06483,140.97246,Img tokens
9,12.192643,12.20371,12.212927,12.215916,12.260649,12.315052,12.386831,12.505114,12.773889,13.5231905,14.368932,16.647621,21.058754,23.243685,28.17755,31.44141,35.08592,38.483337,41.744545,44.105717,43.202805,42.655792,41.497288,42.45917,42.25537,44.40031,46.266567,48.1387,47.77067,50.291317,54.785946,57.985783,65.90887,Img tokens
0,36.576397,44.488953,1.3498402,1.7174363,2.5661304,3.613957,5.2596116,7.553493,10.416646,13.212544,16.14453,20.190104,24.81155,27.940659,31.74564,32.116,35.114563,38.551018,42.125248,44.452362,46.27855,46.955524,47.242683,48.33855,49.62107,50.160526,51.08359,51.99744,52.98755,53.800327,52.628536,51.026566,37.901176,Text tokens
1,36.555134,47.46428,1.2992489,1.6060759,2.28982,3.220287,4.726573,6.6927934,9.296401,11.882422,15.014488,18.907299,23.77551,27.465342,32.18061,33.238968,37.292767,41.259525,45.79111,48.541298,50.614105,51.126263,51.907257,53.04108,54.440907,54.9854,56.023766,56.983475,58.36577,59.38893,58.104908,56.321075,42.643124,Text tokens
