,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,23.072008,23.153728,23.597298,23.733833,23.989063,24.257427,24.715542,25.340267,26.187258,27.765404,30.138004,33.975647,41.34117,45.76715,52.960583,59.220955,66.474785,72.42927,80.804344,83.797356,84.415535,86.30822,85.72596,88.33819,90.74659,94.65914,98.19628,100.662704,103.48658,110.04287,115.04865,116.76315,98.91871,All tokens
1,30.301434,30.36905,30.70618,30.791397,30.982805,31.138756,31.463129,31.810059,32.535877,34.243538,36.203735,40.52468,47.514744,51.20823,56.732018,58.681915,64.122826,70.2197,76.55663,79.15678,77.237625,77.56292,78.11905,80.58663,84.85025,87.09766,92.204124,98.11391,98.6132,102.57329,111.29554,117.72631,124.34431,All tokens
2,35.880005,35.96156,36.335773,36.429012,36.644245,36.80473,37.08903,37.396862,38.06616,39.6167,41.444828,45.172886,51.864502,54.925625,59.212765,61.069313,66.37969,71.390686,77.32927,80.211426,78.125755,80.05717,79.084076,81.625496,83.07688,86.67809,90.93008,96.2778,98.85953,101.85502,110.649445,117.27069,124.738434,All tokens
3,31.290037,31.402725,32.017506,32.2509,32.696575,33.293518,34.308468,35.658993,37.603897,40.82233,44.368057,48.926765,53.69081,58.46465,59.789463,59.910923,65.69741,70.7076,77.69992,81.47442,78.975136,80.398636,81.40917,83.047295,85.57497,87.46328,90.69524,95.33521,95.96119,99.42787,104.94022,108.339714,113.99059,All tokens
4,30.618578,30.68348,31.023407,31.11405,31.305492,31.470268,31.802652,32.162014,32.908737,34.66911,36.674442,41.049534,48.025078,51.776806,57.33953,59.26186,64.97302,71.3205,77.78355,80.64368,78.276474,78.11227,78.632355,80.931404,85.4667,87.62517,92.60694,98.56055,99.30392,103.35771,112.053185,118.42932,124.48858,All tokens
5,59.64731,59.780678,60.36184,60.58925,60.99362,61.3812,62.040688,62.92406,64.58201,67.60637,70.93115,76.87888,86.56062,90.511024,95.9127,98.48951,105.237785,110.774925,120.74791,124.02932,122.73278,128.2349,129.19765,133.40724,136.84612,140.51402,147.09357,153.25665,157.96556,165.31354,175.19669,176.217,157.21231,All tokens
6,37.454372,37.591164,38.307404,38.57375,39.039574,39.664135,40.723137,42.19886,44.270477,47.986588,51.888424,56.4996,61.745712,66.822174,68.05576,67.27026,73.009346,77.355675,84.19062,87.17524,82.55742,85.9219,85.11096,87.37741,89.46665,91.1002,92.8779,96.51076,98.57088,103.351166,109.29403,114.674255,121.57141,All tokens
7,34.958817,35.07,35.65009,35.840443,36.18603,36.57978,37.351044,38.40249,40.034176,42.591087,45.485744,49.393353,54.78093,58.93834,62.300236,63.29299,68.604965,72.57,78.98696,78.58494,72.84448,75.34613,74.3858,73.330925,76.01848,76.61124,78.01589,80.3753,83.0465,85.70254,92.65699,96.56425,100.36919,All tokens
8,25.95541,26.004852,26.232784,26.310171,26.484734,26.654348,26.942268,27.294605,27.964155,29.434124,31.182173,35.251534,41.948605,45.484356,51.42016,53.78537,59.261097,64.24602,70.243675,73.25334,71.230225,73.20756,71.943756,73.743546,74.447655,76.11351,80.15296,84.10609,86.135994,88.19761,96.0615,100.319084,103.62341,All tokens
9,27.5115,27.642256,28.303652,28.551865,29.011024,29.592247,30.583437,32.070198,34.218063,37.723217,42.256187,48.379307,58.607845,64.5518,73.24643,80.85842,87.71964,92.62086,101.61397,105.448395,106.205734,109.241135,108.49252,111.5034,115.44602,118.38026,120.23592,121.9652,123.80703,127.97913,131.30125,128.19022,90.18934,All tokens
0,24.351967,24.358063,24.368078,24.34449,24.347374,24.266941,24.180029,24.031773,23.94465,24.339825,25.10916,26.882687,31.551535,33.941265,38.621822,42.89826,48.050037,52.391808,58.76741,60.904865,61.867485,63.720062,63.407394,65.44453,67.42724,70.64656,73.56323,75.576706,77.74165,83.207436,89.16355,92.33836,85.196396,Img tokens
1,30.458117,30.472933,30.504366,30.519627,30.605915,30.621706,30.720709,30.743422,31.024788,32.091908,33.25799,36.658287,42.570942,45.56986,50.416805,52.090477,57.045925,62.538048,68.37851,70.71434,69.10844,69.51668,70.05643,72.134056,75.86285,77.87904,82.43485,87.81356,88.13909,91.656044,100.43913,106.59167,116.97848,Img tokens
2,36.298428,36.317036,36.345512,36.366158,36.456997,36.452236,36.483948,36.421085,36.594173,37.427666,38.465946,41.308067,46.93548,49.384926,53.107082,54.683636,59.636276,64.12576,69.5255,72.11618,70.43338,72.36018,71.543495,73.707405,74.909294,78.17759,81.94356,86.833305,89.053505,91.64587,100.3145,106.79024,117.45245,Img tokens
3,35.156914,35.17944,35.215446,35.266155,35.398113,35.532642,35.811146,36.114338,36.719402,38.023865,39.46093,41.79006,44.535507,47.565582,48.083225,47.740417,52.33624,56.22606,61.984806,65.07017,63.064583,64.262344,65.300644,66.30465,68.31776,69.684105,72.17181,75.999016,76.12832,78.89041,84.92943,88.84745,102.32679,Img tokens
4,30.796574,30.816273,30.846382,30.864508,30.951775,30.970907,31.077065,31.09796,31.398785,32.4884,33.692238,37.11671,43.022984,46.073414,50.958965,52.6049,57.826378,63.54838,69.49822,72.03902,70.05422,69.94394,70.43855,72.36844,76.331406,78.24852,82.698006,88.08867,88.72577,92.328896,101.07746,107.18417,116.84709,Img tokens
5,61.755695,61.793247,61.85751,61.949726,62.141148,62.237434,62.42611,62.597538,63.254982,64.91963,66.70915,71.13638,79.23986,82.2376,86.81965,89.119644,95.52401,100.49915,109.81317,112.932945,111.98188,117.40207,118.3386,122.03215,125.07812,128.3862,134.35217,140.05733,144.35083,151.18887,161.40923,163.07701,149.76068,Img tokens
6,42.44659,42.47123,42.526554,42.58773,42.730427,42.84479,43.05738,43.334568,43.829906,45.29101,46.675102,48.723877,51.664486,54.863956,55.30056,54.255226,59.039967,62.38582,67.9392,70.181564,66.37956,69.11928,68.51611,69.84362,71.28626,72.42722,73.63644,76.460144,77.999794,81.82903,87.87756,93.31297,105.86989,Img tokens
7,38.285126,38.30503,38.336555,38.364056,38.45578,38.479992,38.65422,38.786816,39.268246,40.1135,41.05177,42.950043,46.492947,49.01661,51.27801,51.727383,56.01831,59.05754,64.23722,63.72791,58.85459,60.863457,59.972885,58.85434,61.00031,61.398033,62.435875,64.31498,66.46908,68.44767,75.19685,79.1095,87.46195,Img tokens
8,25.934261,25.952396,25.975258,25.995752,26.086428,26.151817,26.275982,26.38571,26.746859,27.76682,28.960018,32.27843,38.082523,41.02469,46.351562,48.40324,53.400528,57.88384,63.329525,66.03243,64.214775,65.950775,64.68328,66.23529,66.775444,68.26712,71.900444,75.53287,77.3441,79.16293,86.80366,91.08986,97.37916,Img tokens
9,31.00263,31.023043,31.058784,31.09196,31.18608,31.226862,31.329712,31.507725,31.798853,32.891808,34.513485,37.289986,43.773796,47.126945,53.031406,58.700386,63.947197,67.7106,74.74146,77.78059,78.77181,81.50282,80.90501,83.25307,86.34391,88.65595,89.90663,91.202774,92.44815,95.941925,100.103386,98.80246,75.01886,Img tokens
0,48.947,58.34626,1.8742821,3.065749,5.648547,9.342372,15.378937,22.403725,30.022596,35.684345,42.46837,50.48133,59.15878,63.55917,68.389046,68.546005,70.673325,73.15805,76.2653,78.15694,75.574295,74.95064,74.37608,74.0929,73.406075,73.60611,73.837906,74.74014,76.02672,77.19553,75.39109,72.467125,52.290253,Text tokens
1,30.000486,39.231647,1.2143872,1.4344884,1.8500091,2.3591075,3.1824498,4.266343,5.689381,7.19039,8.943133,11.290829,14.96974,17.699553,21.535189,23.35098,26.840273,30.68362,34.6136,37.647472,40.7745,41.57598,42.405617,43.887196,45.049427,45.898552,46.66804,47.407677,48.49833,49.524616,49.30172,48.290432,35.40726,Text tokens
2,26.899075,35.766182,1.155611,1.3131064,1.6237242,1.9964837,2.5875943,3.3893101,4.4505186,5.6319985,6.8320775,8.522577,11.253344,13.321529,16.786196,18.562813,21.742708,25.655119,30.027328,33.337708,36.522457,38.140553,39.40273,40.646893,41.87487,42.84134,43.710445,44.41625,45.49055,46.431995,45.94401,45.09747,32.971825,Text tokens
3,46.875538,57.099564,1.5481681,2.1754775,3.561608,5.520556,8.89061,12.748829,17.451536,21.946821,26.415524,31.791145,38.522274,42.30281,47.109497,47.89114,51.312675,55.093895,58.559456,60.40272,60.55135,59.949352,59.916805,60.514606,60.95707,61.16283,61.91193,62.972603,64.61961,65.95957,64.505005,63.045856,45.405376,Text tokens
4,30.036448,39.383175,1.2129079,1.4423157,1.8724492,2.40057,3.2504556,4.391328,5.8111567,7.4107924,9.19636,11.666277,15.387145,18.209284,22.09521,24.00107,27.305754,31.154987,34.948948,38.17512,41.098866,41.927578,43.094505,44.77983,46.080612,46.82409,47.52807,48.27518,49.38234,50.49281,49.81578,48.82566,36.16656,Text tokens
5,31.327145,40.3777,1.18951,1.3888974,1.7739917,2.2474666,3.010353,4.0232897,5.4237666,6.871136,8.5725355,10.697139,14.013697,16.54008,20.502888,22.800095,26.508282,30.743011,35.26714,38.702473,41.692772,43.28447,44.43278,45.749542,47.185642,48.08421,49.024956,49.713036,50.863003,51.56223,51.044605,49.719692,35.65186,Text tokens
6,47.47486,56.412434,1.6106379,2.2430675,3.4666502,5.27188,8.408376,11.931178,16.38526,20.737453,25.383717,30.934341,37.659073,41.287884,45.613457,46.81141,49.869724,53.372807,56.981224,58.863377,59.13523,58.84603,58.983498,60.41612,60.892258,61.700176,62.813442,64.18704,65.93159,67.04744,66.0364,64.907776,49.34664,Text tokens
7,45.80965,53.29434,1.4420557,1.9249467,2.9180598,4.2619615,6.5296726,9.420499,12.951608,16.37168,20.394947,25.204988,31.544863,35.5071,40.80686,42.31788,45.564095,49.589554,53.826397,55.814125,55.424267,56.180767,56.650482,57.067444,58.0671,58.574425,58.674168,59.822514,61.52232,62.733315,61.982967,60.802868,44.617332,Text tokens
8,35.796787,43.825504,1.2958682,1.6021357,2.2433412,3.0455725,4.366045,6.123195,8.180406,10.361391,12.749377,16.006023,20.653631,23.569185,27.841942,29.420479,32.66274,36.368103,40.29543,42.885365,44.788242,45.636974,46.781395,47.57177,48.143528,48.524418,49.40562,50.181156,51.268684,52.556187,52.389774,51.35708,37.69569,Text tokens
9,56.349712,68.4619,1.5408934,2.1927798,3.5348408,5.517146,8.886077,13.283074,19.132658,23.973349,29.771265,36.43952,44.843357,50.010376,56.353874,57.714016,61.868225,66.32265,70.90788,73.54537,73.35166,74.111244,74.799324,75.38501,76.22131,77.26002,78.4291,79.66338,80.930405,81.82743,79.32008,76.27737,55.46247,Text tokens
0,48.947,61.26552,2.0127592,3.347503,6.1197996,10.090366,16.503754,23.676592,31.31612,37.46157,44.026764,52.085995,60.583817,64.67418,69.100235,69.164406,71.99994,75.00555,78.2095,80.695,77.80117,77.42232,76.63078,76.50543,76.04934,76.36926,76.89568,78.1682,79.964195,80.938736,78.61328,75.689804,57.54084,Text only tokens
1,30.000486,40.870544,1.2259341,1.4605876,1.8796831,2.4048707,3.2722154,4.297472,5.619818,7.179187,8.874266,11.320305,14.994344,17.639494,21.425093,22.959183,26.394314,30.548056,34.674625,38.064823,41.34413,42.357502,43.174797,44.584953,45.626225,46.62546,47.461857,48.478745,49.973183,50.93844,50.970238,50.40172,38.346756,Text only tokens
2,26.899075,37.12861,1.1692245,1.3436128,1.6688609,2.068463,2.6990156,3.4637637,4.42189,5.673497,6.9022827,8.736572,11.455122,13.515697,16.862364,18.338375,21.502653,25.718853,30.37002,34.216324,37.379578,39.182724,40.02992,41.419067,42.201477,43.416218,44.243324,45.058216,46.35542,47.282684,46.888096,46.00186,34.75653,Text only tokens
3,46.875538,59.361095,1.4736404,1.9854782,3.0681405,4.600465,7.2506633,10.154561,13.949762,18.215446,22.41574,27.792746,34.60555,38.595264,43.671707,44.846413,48.782692,53.00462,56.908043,59.646145,60.64682,60.907677,61.225567,62.06241,62.876614,63.42191,64.424225,65.72959,67.48266,68.641655,67.27921,65.867744,49.73714,Text only tokens
4,30.036448,40.96239,1.2206568,1.4610965,1.8871344,2.4358988,3.3298776,4.3818126,5.684396,7.303776,9.049976,11.634048,15.26537,17.95113,21.700645,23.253355,26.603258,30.78809,34.86755,38.518257,41.56595,42.6343,43.88576,45.511475,46.663975,47.59992,48.418655,49.456863,50.804295,51.896515,51.554955,50.897358,38.957176,Text only tokens
5,31.327145,41.878944,1.2098285,1.43753,1.8511027,2.3581996,3.1809301,4.1681895,5.4793425,7.0348997,8.735783,11.045199,14.39642,16.87806,20.877321,22.617706,26.179436,30.54748,35.14925,38.838524,41.771706,43.32174,44.230904,45.69143,46.696594,47.93279,48.924534,49.92065,51.34422,52.398365,52.096355,51.183365,38.29148,Text only tokens
6,47.47486,58.75032,1.5760617,2.1570852,3.2209265,4.7990646,7.3844504,10.225157,14.119711,18.405067,22.853374,28.619595,35.410732,39.065754,43.823345,45.26733,48.63598,52.497337,56.58596,59.015427,59.544724,59.453873,59.711906,61.2685,61.292988,62.34246,63.49023,65.146935,67.46323,68.90709,68.33639,67.96832,55.10443,Text only tokens
7,45.80965,55.04537,1.4200356,1.8643581,2.7490656,3.9450915,5.96962,8.352571,11.307445,14.667912,18.322592,23.308735,29.65177,33.649834,38.678684,40.368664,43.992805,48.350582,52.78516,55.5291,55.620895,56.854828,57.354923,58.72466,59.42046,60.2746,60.138123,61.76641,63.49208,64.75148,64.03599,63.157,47.435146,Text only tokens
8,35.796787,46.62779,1.2898144,1.5909412,2.171586,2.884349,4.066421,5.5301843,7.271559,9.349073,11.560563,14.82127,19.22149,21.955227,26.12297,27.643473,31.260004,35.44256,39.904453,43.384853,45.987835,47.53559,48.541462,49.614597,49.97219,50.873165,51.943768,53.08632,54.58545,55.796993,55.71295,54.596355,40.97534,Text only tokens
9,56.349712,70.20999,1.6896465,2.53958,4.2579856,6.873221,11.069287,16.211313,22.694643,28.211733,34.05822,41.273724,49.846504,54.57414,60.130775,60.47656,64.507126,69.197136,73.06667,75.98478,76.04187,76.95275,77.32687,78.31176,78.93319,80.18489,81.25967,82.78508,84.24403,85.18173,82.596954,79.78796,60.659145,Text only tokens
