,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,50.918304,51.0144,51.40273,51.539326,51.771538,52.03665,52.540966,53.146816,54.160767,56.26876,58.36243,63.093845,67.68759,70.57,69.309746,66.173164,71.67886,76.92139,82.57116,84.63233,81.64207,84.931206,85.52255,86.05442,82.73322,83.91335,88.35887,90.345276,93.337234,95.036064,104.02536,110.50074,119.43263,All tokens
1,48.918507,49.01115,49.418823,49.52019,49.758423,50.00031,50.462234,51.016285,51.80155,53.629333,55.330868,59.560566,63.369007,66.961716,65.838844,62.297028,68.904884,73.97175,78.97023,80.890236,76.53072,80.93035,82.893074,85.49772,87.96745,85.346725,85.43907,88.69341,88.48827,91.13487,99.75606,103.999626,112.03123,All tokens
2,74.40843,74.54815,75.08893,75.27679,75.65877,76.137505,76.95808,77.97101,79.39792,81.74421,84.71704,89.613655,90.44226,94.25355,88.06016,81.66111,89.85885,95.87685,104.14329,108.5528,107.52541,115.04619,120.03647,125.97367,131.69617,133.03326,141.62595,151.73257,156.106,165.83012,178.27353,185.68388,192.04138,All tokens
3,56.96231,57.069077,57.5536,57.723705,58.024006,58.35789,58.897434,59.655415,60.73199,63.047443,65.29622,69.8866,73.48872,76.69471,73.79289,69.15059,75.19115,80.01195,85.162605,87.33817,84.39376,88.68918,90.57635,93.85749,93.83945,96.45283,100.62033,105.02768,106.71332,111.67175,121.08313,126.428734,140.27115,All tokens
4,49.37018,49.462563,49.871075,50.00205,50.236332,50.490276,50.91509,51.551247,52.358418,54.14933,55.637024,59.811356,63.42369,66.54753,65.496796,61.71204,66.81695,71.502335,76.44851,77.795425,74.933014,77.99232,78.18654,79.03228,79.53478,80.95085,82.91782,86.96636,88.18218,90.8463,98.75178,104.271034,107.76929,All tokens
5,77.332664,77.47214,78.05802,78.296036,78.6926,79.15478,79.98582,81.0408,82.43878,84.99173,87.56795,92.77574,93.9071,97.086044,91.285965,84.16786,93.188156,99.79194,107.53208,111.35744,108.807724,117.25667,121.208595,126.031044,130.31934,134.83905,141.04462,147.34789,151.34265,161.12247,172.56961,181.26901,193.09846,All tokens
6,78.97705,79.1049,79.6502,79.861084,80.23621,80.669174,81.38146,82.35513,83.7305,86.08036,88.69811,94.25136,96.751144,100.59395,96.42878,89.365265,98.501396,104.34067,112.427986,115.82616,114.60066,122.75209,125.11193,130.5862,135.50299,138.03331,144.94637,153.0594,157.67064,165.98969,179.24423,188.21593,195.0777,All tokens
7,58.500988,58.601078,59.011513,59.193542,59.54444,59.963104,60.692966,61.667324,63.061123,65.60025,67.78766,71.30323,73.248665,74.86359,72.51728,67.61756,73.02484,77.54099,81.70653,83.59482,82.39135,82.681206,85.1929,86.84013,88.17428,90.764626,92.637596,93.9238,96.87822,101.47268,110.787125,117.69118,125.11206,All tokens
8,46.22928,46.32081,46.709812,46.84008,47.083717,47.365894,47.822567,48.39248,49.341255,51.24219,53.595688,58.09341,62.75121,66.3777,65.43021,63.137787,68.28311,73.280945,79.48482,81.922104,80.156944,82.388596,82.15079,82.089355,84.35454,86.217316,87.04605,91.36347,92.67347,94.827835,102.05327,106.70203,117.031166,All tokens
9,31.487734,31.547564,31.837019,31.900621,32.054253,32.1943,32.483994,32.87191,33.547142,35.143265,37.16273,41.411324,46.691013,50.166683,50.8218,49.685345,54.34708,58.4087,62.96837,65.46968,64.484985,68.47555,69.86211,72.65105,74.20881,76.775536,78.13272,81.3652,81.745735,83.9941,89.58947,93.73132,98.2011,All tokens
