,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,23.970987,24.040913,24.465399,24.55493,24.7319,24.873436,25.139074,25.493963,25.989544,27.183117,29.051794,32.193752,38.73662,42.566807,48.994225,54.618748,61.2216,66.66603,74.40702,77.24281,78.17848,80.09478,79.637215,82.15,84.4825,88.25584,91.72084,94.09683,96.797195,103.16618,108.67276,110.91886,96.063286,All tokens
1,30.360327,30.425926,30.762188,30.84297,31.02735,31.172049,31.482931,31.808218,32.50216,34.16733,36.083916,40.359158,47.276947,50.93784,56.40964,58.318054,63.733955,69.77791,76.10129,78.71196,76.83714,77.1757,77.74981,80.19857,84.430435,86.652306,91.72447,97.60398,98.07784,102.00876,110.76305,117.14869,124.09297,All tokens
2,35.973335,36.052032,36.42105,36.511185,36.716507,36.867443,37.131664,37.4089,38.04241,39.5369,41.320503,44.98755,51.599903,54.612312,58.850388,60.67957,65.98323,70.93426,76.84711,79.70617,77.648476,79.57845,78.62943,81.11298,82.5625,86.11878,90.345276,95.66728,98.22209,101.18905,110.00694,116.59986,124.4303,All tokens
3,33.13839,33.243732,33.8185,33.989567,34.328205,34.74339,35.47933,36.424732,37.832153,40.299458,43.07882,46.78938,50.806328,54.95486,55.927513,55.879795,61.22102,65.81292,72.341805,75.89027,73.63209,74.928116,76.05115,77.52029,79.89098,81.662,84.643585,89.02276,89.379456,92.59497,98.46978,102.169106,110.79563,All tokens
4,30.669455,30.734337,31.07138,31.15435,31.342316,31.49676,31.810781,32.149864,32.861668,34.57285,36.536533,40.84878,47.761406,51.46551,56.97853,58.879692,64.54045,70.83833,77.279396,80.11147,77.78474,77.62952,78.17025,80.44315,84.93931,87.058426,92.018074,97.93013,98.67128,102.67792,111.419,117.73468,124.06576,All tokens
5,59.846363,59.97944,60.54806,60.771214,61.15697,61.52314,62.154217,62.996777,64.58971,67.51562,70.756775,76.61014,86.18418,90.07983,95.41207,97.95245,104.70376,110.154175,120.09744,123.357285,122.08361,127.60236,128.58925,132.73558,136.14598,139.75574,146.32062,152.43506,157.07108,164.42532,174.33916,175.37984,156.93983,All tokens
6,38.989937,39.119904,39.798866,40.02298,40.417267,40.918457,41.7682,42.97183,44.639626,47.81527,51.11964,55.128086,59.77293,64.35216,65.38016,64.523796,70.01738,74.132805,80.638794,83.47249,79.052185,82.31132,81.60382,83.6814,85.62285,87.17142,88.87113,92.323616,94.22178,98.75771,104.78322,110.21459,118.67839,All tokens
7,36.602142,36.70416,37.238503,37.370937,37.629906,37.871323,38.40534,39.094498,40.25582,42.162617,44.323643,47.476765,52.152264,55.675564,58.618073,59.33733,64.29106,67.938095,73.8876,73.43069,67.95502,70.27363,69.35867,68.3114,70.84124,71.40312,72.72974,74.899796,77.317726,79.67018,86.588486,90.56213,96.259346,All tokens
8,25.97976,26.029192,26.25379,26.329893,26.499107,26.66075,26.940046,27.278875,27.925346,29.368246,31.089365,35.120384,41.76144,45.262676,51.15335,53.494442,58.94205,63.896168,69.86844,72.86018,70.858475,72.83375,71.57847,73.36261,74.05098,75.69526,79.73711,83.66037,85.681,87.723785,95.59764,99.863434,103.394646,All tokens
9,29.802237,29.91753,30.516922,30.673328,30.989054,31.31846,31.88952,32.75151,33.954594,36.322624,39.510967,44.15648,52.758286,57.695885,65.29323,72.18275,78.33488,82.659805,90.7845,94.342636,95.32303,98.055305,97.37248,100.24205,103.814514,106.545586,108.22637,109.81538,111.48133,115.56433,119.39636,117.25034,84.646095,All tokens
