,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,37.858276,38.11499,38.753166,39.79528,41.81619,45.641525,51.300243,58.49552,65.760506,74.99529,82.30531,86.57614,94.444984,98.09819,95.10247,107.96514,110.470085,111.510574,117.67545,119.19494,124.75355,123.93768,129.97429,132.5181,139.48915,143.51366,152.16861,157.81323,166.16708,167.61205,171.6021,170.73715,108.04992,All tokens
1,13.783764,13.882487,14.269285,14.624044,15.260811,16.776205,19.326496,23.344847,28.673975,35.230648,42.619442,49.52749,57.107323,61.34465,62.732777,68.738464,70.06591,69.48758,71.002655,72.02854,73.0449,73.16604,75.187454,76.87768,78.54871,80.28597,83.98369,86.04293,89.29698,89.83275,91.11605,90.202194,66.73078,All tokens
2,38.765255,39.0536,40.21804,41.62467,43.94602,48.295685,54.240223,61.90236,69.851685,78.899925,84.86356,89.61909,98.89512,102.85859,98.72993,111.94941,111.53238,112.05986,118.200096,118.60185,122.525024,121.280235,126.23115,128.83916,133.8619,137.80397,145.68332,150.20013,157.61755,160.65604,165.22095,166.29984,115.05145,All tokens
3,54.842636,55.171658,56.319443,58.397167,61.89395,67.338715,74.62622,82.81398,89.83558,99.78118,106.450356,109.95093,120.769554,125.54724,117.80324,132.26602,132.69344,133.33812,137.54192,137.6217,142.46724,137.29372,143.94405,142.65596,149.38907,154.34058,163.85202,171.08261,181.66063,186.55637,192.82492,194.70865,130.91553,All tokens
4,64.38795,64.892395,66.196396,69.31559,74.172585,81.06361,89.16202,97.90463,104.67001,113.03067,117.39478,119.05532,126.36437,129.91234,122.83354,138.63905,141.40677,142.1025,148.92874,149.49033,154.68332,154.87883,160.10938,163.77602,171.48119,175.45836,185.1543,190.20569,201.5643,205.02365,211.02333,213.24586,136.08582,All tokens
5,19.797848,19.945116,20.23534,20.750183,21.829233,24.10705,27.64659,32.64381,39.16952,47.635216,58.68992,69.00754,79.80078,86.97403,90.06461,99.756165,101.70322,102.30902,105.025276,104.82894,104.2018,102.64918,105.52355,103.96532,106.96218,107.41462,113.364845,115.51386,120.49024,119.3452,120.475006,117.34907,81.41449,All tokens
6,22.75059,22.918497,23.085718,23.626562,24.828241,27.385828,31.195215,36.72539,43.45109,51.74238,62.02223,71.17486,81.42032,86.831024,86.819435,96.78145,99.41184,101.008606,102.691086,103.45204,104.61597,103.20461,106.6086,107.987236,111.81376,114.20059,119.53878,120.46749,126.23638,125.21536,124.32028,122.96774,83.45534,All tokens
7,15.625699,15.752973,16.178827,16.557114,17.397451,19.363155,22.631985,27.36921,33.861633,42.272926,53.176895,64.15825,73.54629,79.70107,83.08536,91.17638,92.72147,93.16008,96.43039,96.66246,96.28685,95.76814,98.40887,99.8572,103.34861,105.223175,110.16011,111.91168,116.41891,113.78971,113.304855,110.079506,70.018814,All tokens
8,58.472763,58.8287,60.22972,62.48886,66.158844,71.84773,79.37403,87.27302,92.95809,102.306435,107.14918,108.35361,116.88877,120.169624,112.34975,126.248726,127.522995,128.6507,133.36151,135.46533,141.83287,143.67963,151.05298,154.41301,160.45184,166.46114,177.39038,184.7717,196.21921,201.50551,208.98068,211.08693,133.30112,All tokens
9,33.25369,33.541122,34.068005,35.094448,37.06727,41.011917,46.64672,53.81128,61.68476,70.53515,78.35165,84.92558,93.7269,98.73694,98.27887,107.56505,109.21583,109.05377,113.022484,112.71968,115.927,112.915276,116.32213,116.84414,121.95119,122.418045,126.98082,129.0894,134.8094,136.50546,137.92758,139.32948,93.583595,All tokens
0,38.12844,38.26379,38.843273,39.625374,41.239437,44.40118,49.105938,55.38984,61.682346,70.166985,76.77708,80.6396,88.14144,91.53558,88.45301,100.39221,102.53818,103.47345,109.12874,110.55952,115.81451,115.00225,120.76092,123.30559,129.93019,133.9387,142.15001,147.70111,155.73485,157.22377,161.32251,160.76155,103.51462,Img tokens
1,13.433969,13.481528,13.633146,13.871132,14.325784,15.454158,17.396368,20.613306,24.98996,30.559275,36.880165,42.937492,49.785507,53.53059,54.61099,59.78373,60.7622,60.194466,61.369022,62.286682,63.158535,63.216022,64.99428,66.644394,68.06391,69.76713,72.94138,74.948746,77.903,78.45903,79.83504,79.18939,62.05353,Img tokens
2,39.09645,39.25087,39.97937,41.03373,42.87578,46.33401,51.096806,57.5062,64.277214,72.372986,77.54584,81.9198,90.78376,94.43782,90.47849,102.57133,101.97452,102.49681,108.133064,108.50603,112.231575,111.07912,115.75671,118.39459,123.070045,126.96939,134.26398,138.83388,145.91277,148.97592,153.66397,155.15536,110.609985,Img tokens
3,55.99091,56.12518,56.864506,58.45116,61.25565,65.59052,71.51212,78.39216,84.25484,93.24119,99.04486,102.07026,112.43651,116.95004,109.39862,122.96135,123.14895,123.76324,127.53114,127.578156,132.1981,127.26924,133.59969,132.52892,138.84732,143.86783,152.85161,159.9724,170.15848,175.06776,181.4398,183.58434,125.80109,Img tokens
4,67.136475,67.31005,68.1373,70.326225,73.99737,79.22286,85.49902,92.558205,97.92223,105.11406,108.44473,109.64004,116.55556,119.78181,112.82116,127.50068,129.91885,130.72545,136.92235,137.49785,142.28035,142.51686,147.57558,151.21347,158.40756,162.60484,171.68213,176.88216,187.6526,191.39507,197.5565,200.12242,130.3255,Img tokens
5,19.397789,19.46512,19.727558,20.059586,20.844667,22.556232,25.29687,29.408562,34.952503,42.38694,52.257164,61.630222,71.74054,78.31246,80.94664,89.936646,91.447464,91.96218,94.255936,94.094894,93.36398,91.9272,94.75849,93.33461,96.0446,96.63702,102.18811,104.28148,108.939384,108.057594,109.39956,106.57896,77.04884,Img tokens
6,22.41118,22.500233,22.767942,23.128542,24.056206,26.116974,29.288185,34.15707,40.20458,47.782017,57.259583,65.788635,75.57217,80.56796,80.335175,89.645035,92.02535,93.59988,95.040276,95.77386,96.84018,95.596275,98.92092,100.26739,103.887405,106.279854,111.30312,112.27665,117.75297,116.897026,116.20571,115.09646,80.23713,Img tokens
7,15.073556,15.129417,15.360296,15.584386,16.150934,17.56689,19.98755,23.708523,29.028624,36.203735,45.742485,55.64427,64.389336,69.96865,72.86327,80.21265,81.31533,81.638336,84.429825,84.70738,84.23479,83.80191,86.40923,87.888374,91.04321,92.94989,97.49184,99.25568,103.387535,101.074036,100.91358,98.122986,65.00624,Img tokens
8,59.80896,59.9461,60.70715,62.44379,65.38604,69.97887,76.13199,82.846954,87.46457,96.01322,100.13069,101.031975,109.16058,112.23324,104.673645,117.61241,118.65079,119.722176,124.046425,126.07355,132.09258,133.89323,140.96788,144.33113,150.08008,156.10785,166.47351,173.78415,184.85786,190.22346,197.71019,200.1562,128.46123,Img tokens
9,33.86781,33.99327,34.488224,35.13277,36.54677,39.445995,43.67778,49.310726,55.63055,63.2169,69.676895,75.402084,83.483154,87.91713,87.19631,95.38737,96.739746,96.54256,99.913925,99.54296,102.46633,99.70647,102.91241,103.61615,108.21388,108.86357,112.83142,115.07225,120.41184,122.179054,123.868324,125.56178,87.67486,Img tokens
0,26.224691,24.42016,1.0263511,1.0554836,1.0931523,1.1541605,1.2359948,1.325231,1.4541988,1.5671444,1.7421834,1.9493806,2.167633,2.4040344,2.7322464,3.2600536,3.945265,4.9004393,5.827259,7.625275,9.324892,11.0005245,12.522462,14.361576,15.915212,17.441874,18.9185,20.637781,22.465042,24.246895,26.354174,42.775192,28.42705,Text tokens
1,25.00576,24.577486,1.0400602,1.0834653,1.1401079,1.2430586,1.3874261,1.5594741,1.7848414,2.0148313,2.3388228,2.7652016,3.1698222,3.6450653,4.3796372,5.4673305,6.9130154,8.790262,10.525745,13.521988,16.114275,18.325985,20.270739,22.538933,24.449465,26.155325,27.93267,29.672768,31.57852,33.365154,35.230972,44.68763,27.454782,Text tokens
2,24.277266,23.84698,1.0352267,1.0757207,1.1237843,1.2097625,1.3259857,1.4670979,1.6556343,1.8417003,2.1243684,2.4864793,2.8103833,3.2103233,3.8363557,4.6682525,5.7704196,7.4141006,8.832829,11.367344,13.727351,15.747138,17.577538,19.675068,21.551735,23.247986,24.91196,26.728569,28.727205,30.668106,32.590424,43.67173,26.57951,Text tokens
3,26.030012,24.483913,1.0246701,1.0534716,1.089731,1.1470627,1.2262573,1.3139969,1.432525,1.543567,1.7096865,1.9067444,2.1106207,2.3618388,2.6622105,3.1388113,3.7901418,4.6969023,5.5611315,7.277086,8.874984,10.440382,11.877276,13.618568,15.157895,16.646671,18.119825,19.795952,21.60253,23.400997,25.479607,42.154034,27.560953,Text tokens
4,33.731583,30.217464,1.0422751,1.0939715,1.1575874,1.2573261,1.386424,1.5355198,1.7373358,1.9700036,2.3256657,2.7030728,3.08272,3.558271,4.168088,5.1361847,6.4713564,8.380587,10.123917,13.340071,16.089027,18.531746,20.855076,23.396812,25.520527,27.494455,29.378298,31.368534,33.41244,35.328487,37.255665,48.252094,32.215813,Text tokens
5,31.592836,28.849274,1.0489217,1.1009058,1.1761284,1.3013817,1.4821895,1.689118,1.9549475,2.2708678,2.7389667,3.347928,3.8926578,4.5702453,5.460564,6.9468446,8.811942,11.390843,13.721375,17.62573,20.82277,23.548763,26.011381,28.409512,30.492434,32.1831,33.91548,35.634624,37.534172,39.181923,40.805702,48.228058,29.97054,Text tokens
6,31.592836,28.101562,1.0465305,1.0969216,1.1660208,1.2821624,1.4457238,1.6242187,1.8636318,2.1444087,2.5576935,3.0967238,3.5812883,4.2201567,5.0194263,6.3360047,8.006788,10.346332,12.45797,16.233543,19.333176,22.005154,24.440605,26.864037,28.926033,30.658428,32.44513,34.28005,36.281876,38.084614,39.827812,48.585823,30.331821,Text tokens
7,31.592836,29.083471,1.0525843,1.1051142,1.1858343,1.3214135,1.5214686,1.7484965,2.041673,2.4013913,2.9303377,3.5998206,4.2111306,5.0127854,6.024918,7.688372,9.649479,12.389176,14.846397,18.92016,22.17856,24.927917,27.334934,29.675024,31.732925,33.37553,35.066055,36.71157,38.544613,40.085804,41.57505,48.14868,29.085089,Text tokens
8,25.239967,23.391926,1.0257119,1.0555755,1.0925807,1.1523622,1.2331283,1.3207381,1.4429623,1.555848,1.7350737,1.9325957,2.149495,2.3914402,2.7142475,3.2068188,3.8641117,4.7691064,5.67585,7.3960233,8.987683,10.513308,11.963312,13.716648,15.2332115,16.689278,18.117468,19.784208,21.560925,23.320148,25.38243,41.6547,27.406311,Text tokens
9,25.84624,25.628046,1.0397801,1.0800978,1.1352905,1.2375205,1.3809243,1.5526279,1.7681131,1.9683088,2.3123271,2.8050244,3.230849,3.6848154,4.4578786,5.5367274,6.934682,8.834639,10.573187,13.486705,16.12473,18.308237,20.231693,22.446115,24.396149,26.106152,27.900225,29.64083,31.63448,33.49283,35.36712,44.8265,27.717247,Text tokens
0,26.224691,9.559154,1.3601706,1.4370124,1.4710444,1.5577285,1.6003444,1.6389866,1.6914743,1.7617897,1.8373563,1.9174536,2.0058043,2.0952742,2.2255251,2.356347,2.6180973,2.9330456,3.2035725,3.574076,3.9687874,4.280245,4.5896688,4.977709,5.230819,5.580513,5.8908057,6.323613,6.846771,7.489669,8.187115,10.466655,11.973569,Text only tokens
1,25.00576,8.465497,1.2980756,1.4765701,1.5664008,1.720654,1.7819872,1.8328048,1.903607,2.001771,2.1156359,2.2366686,2.3700259,2.5006504,2.6491492,2.8416357,3.2292817,3.6214352,4.0148263,4.6107607,5.14457,5.618777,6.094492,6.721021,7.108719,7.646559,8.079438,8.627976,9.324741,10.10127,10.934626,14.664489,13.845096,Text only tokens
2,24.277266,8.319745,1.281571,1.3912135,1.4753968,1.5967647,1.6541766,1.7051877,1.7776164,1.8796878,1.9967625,2.116206,2.249601,2.3781366,2.529058,2.7159882,3.0866241,3.5093493,3.8960822,4.4627748,4.9913716,5.448207,5.8866615,6.472917,6.859378,7.4030147,7.8443017,8.405195,9.144533,9.957072,10.841157,14.595429,13.754242,Text only tokens
3,26.030012,9.793493,1.2801588,1.4612422,1.489146,1.632152,1.6826568,1.7272825,1.7834358,1.8614079,1.9481245,2.0433977,2.1384943,2.2327914,2.3722942,2.5022736,2.7490458,3.0475996,3.3048003,3.671511,4.044539,4.354109,4.6737022,5.0640416,5.306005,5.6435966,5.9534407,6.3515444,6.852835,7.5298753,8.218001,10.253568,11.895339,Text only tokens
4,33.731583,10.288223,1.3360718,1.498904,1.5658184,1.6996999,1.7626352,1.8180249,1.8963807,2.0095189,2.1323256,2.2678537,2.430066,2.5762508,2.7647681,2.9824116,3.433855,3.9282687,4.3683043,5.027889,5.6215186,6.1173296,6.6256366,7.292464,7.684042,8.229744,8.675049,9.217971,9.992136,10.886172,11.795184,15.009509,14.612785,Text only tokens
5,31.592836,9.535909,1.43047,1.5613906,1.6698887,1.7964892,1.8774564,1.9408969,2.0246985,2.142043,2.2848177,2.431527,2.60383,2.7761273,2.9605544,3.2074845,3.7183013,4.2638574,4.775502,5.575105,6.2205386,6.8313437,7.45709,8.201909,8.695707,9.308422,9.816637,10.479136,11.408523,12.316714,13.296131,17.534595,16.349154,Text only tokens
6,31.592836,9.535909,1.43047,1.5613906,1.6698887,1.7964892,1.8774564,1.9408969,2.0246985,2.142043,2.2848177,2.431527,2.60383,2.7761273,2.9605544,3.2074845,3.7183013,4.2638574,4.775502,5.575105,6.2205386,6.8313437,7.45709,8.201909,8.695707,9.308422,9.816637,10.479136,11.408523,12.316714,13.296131,17.534595,16.349154,Text only tokens
7,31.592836,9.535909,1.43047,1.5613906,1.6698887,1.7964892,1.8774564,1.9408969,2.0246985,2.142043,2.2848177,2.431527,2.60383,2.7761273,2.9605544,3.2074845,3.7183013,4.2638574,4.775502,5.575105,6.2205386,6.8313437,7.45709,8.201909,8.695707,9.308422,9.816637,10.479136,11.408523,12.316714,13.296131,17.534595,16.349154,Text only tokens
8,25.239967,9.74329,1.429989,1.6493809,1.6775575,1.853934,1.9006946,1.9418092,1.9937841,2.064206,2.1426349,2.227953,2.3175716,2.408394,2.5283208,2.6500514,2.8853986,3.1088097,3.362186,3.7156422,4.0460196,4.3209643,4.6162868,4.9600115,5.178607,5.4771767,5.7715664,6.13006,6.5906215,7.234995,7.889779,9.816336,11.993081,Text only tokens
9,25.84624,8.512235,1.3020195,1.5278558,1.6208168,1.7741655,1.8461078,1.9046491,1.9827871,2.0894842,2.2154284,2.3493538,2.494239,2.6342292,2.8037438,3.02793,3.4651747,3.9086752,4.3376913,4.99509,5.561721,6.0724573,6.5618205,7.2120714,7.641653,8.235186,8.692106,9.232365,10.00135,10.80186,11.643723,15.208631,14.8757105,Text only tokens
