,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,18.57292,18.68393,19.115171,19.45589,20.230867,22.085087,24.99141,29.32523,35.102093,42.367622,51.280613,59.34426,69.44588,76.28807,78.67492,86.513374,88.46144,88.18971,92.25571,93.57895,96.07991,95.60554,99.468315,102.163704,103.928734,105.97727,111.478096,114.55369,120.160736,120.4293,122.33331,121.47876,77.8962,All tokens
1,25.366936,25.566093,26.18301,26.906136,28.506014,31.88255,37.41511,44.773987,55.15151,67.48478,82.946175,98.46077,114.36484,126.64722,135.94606,147.92426,149.38986,152.81497,162.25204,166.09245,172.08093,172.77562,179.7794,184.55719,192.21133,196.78798,205.2325,209.55254,217.72382,213.34413,212.27953,204.28764,113.895454,All tokens
2,16.847609,16.956991,17.270048,17.619091,18.397417,20.30483,23.696085,28.346,35.393017,44.02441,54.96553,67.2321,79.242355,87.62153,93.88005,103.12383,106.635704,108.2401,114.13369,115.61752,119.812126,122.60573,126.72546,132.05592,138.03653,143.62949,150.97743,153.42206,160.01527,156.45699,156.7473,150.00923,97.22745,All tokens
3,16.652924,16.771088,16.999165,17.48515,18.429556,20.6187,24.190332,29.581638,36.550514,44.82516,55.493443,66.27564,75.61063,81.175476,85.5179,93.41042,94.15086,94.08108,97.99543,100.22509,101.0192,102.14494,105.97601,109.500694,113.4247,116.41652,120.3782,123.08871,125.70149,123.408775,120.05277,115.7524,78.48855,All tokens
4,22.953907,23.154215,23.763186,24.42895,25.7929,28.857805,33.676666,40.246254,49.308678,59.225475,70.9931,81.55106,93.07447,99.97788,102.3461,111.14509,112.02701,112.34642,115.7599,117.458786,119.288246,118.46896,119.945435,122.24415,127.4371,131.00589,136.87961,139.16342,146.73224,148.68983,151.91362,150.44327,108.61246,All tokens
5,28.326275,28.612677,28.82365,30.155325,32.147823,35.741238,40.885204,47.89636,55.83204,64.92985,74.81127,83.16951,93.43284,98.94898,99.503426,110.38268,112.71662,113.25149,117.08396,118.91683,120.740715,122.2733,126.12201,129.29712,135.84521,138.1585,146.88588,150.64914,157.53725,158.63705,162.7294,163.30548,109.28136,All tokens
6,8.975202,9.017501,9.266637,9.404525,9.753668,10.682775,12.322387,14.83134,19.101141,25.056946,33.115124,43.404778,53.264915,61.137287,68.245865,75.49156,77.58837,77.94718,82.3763,83.10517,85.37913,86.08955,89.63443,93.35285,97.31303,99.93084,105.48515,107.3671,112.75871,110.584564,111.85614,107.782845,79.34882,All tokens
7,20.860134,21.033463,21.540262,22.12225,23.343779,25.97202,30.338518,36.421707,45.196415,55.40881,68.97636,81.754265,94.09943,103.20973,106.88092,117.53375,119.07734,118.36129,124.50176,124.836555,127.70676,127.63979,129.08774,133.19328,138.37395,143.11008,152.07538,155.70433,162.72646,160.79927,162.25497,158.32767,96.25687,All tokens
8,50.02244,50.52544,50.867195,53.07331,56.77011,62.85099,71.20952,79.51424,89.32547,100.42918,111.89738,119.73121,129.54663,134.14113,131.42961,147.75253,147.92313,147.89165,151.84302,152.84848,152.88243,153.98581,152.72389,152.9105,156.43431,161.26451,170.49496,177.07878,184.6777,183.77235,185.3892,181.46106,84.02214,All tokens
9,9.24292,9.296812,9.658375,9.886713,10.317412,11.378322,13.101256,15.978267,20.287329,25.817072,33.027443,40.088936,45.96714,50.64503,53.101692,57.476265,58.3835,57.375523,57.31083,56.609814,55.813435,56.0616,57.37062,57.445496,58.726173,58.94346,62.47268,63.675117,66.51813,66.008286,67.17068,66.12944,53.047707,All tokens
