,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,18.485823,18.735653,19.41931,20.312916,22.020668,25.561806,30.89699,38.19218,47.50802,58.63339,72.34594,84.98184,96.42409,103.845314,107.92402,115.97793,116.72642,115.7301,118.543106,118.68909,119.18789,117.72962,119.707,121.17894,123.6955,126.32852,130.75444,131.16103,135.53279,131.54083,128.8288,125.86993,65.78691,All tokens
1,23.698542,23.90234,24.599586,25.946054,27.66417,30.794395,35.26332,41.827755,49.04402,57.696766,66.59093,73.77832,82.393936,86.76617,87.30444,95.552574,96.177956,95.73437,98.480675,99.67809,100.501884,101.543686,104.76198,107.17237,113.074875,115.798775,123.030685,126.83885,133.56287,134.58083,138.67323,139.17046,101.73323,All tokens
2,28.794287,29.023098,29.088198,30.185518,31.897184,34.916443,38.80112,44.270184,50.83908,58.06735,65.54547,72.11717,80.49216,84.48738,84.898605,93.13672,94.08448,94.07718,96.77037,95.57181,97.21299,98.00613,100.909195,103.19797,107.11316,108.97965,114.40367,117.055374,123.50437,123.81483,127.49915,125.74315,89.24564,All tokens
3,26.086267,26.445799,26.822231,28.17751,30.44274,34.530193,40.71134,48.047905,55.18534,62.95543,70.410576,76.72064,84.18364,88.48031,89.233215,96.830986,97.549446,97.44903,100.52064,102.468475,104.371864,102.653,106.89162,105.43704,109.19837,112.2106,117.91244,121.44608,126.59505,126.59849,127.82599,127.54871,80.588554,All tokens
4,23.722467,23.924295,24.592299,25.918932,27.617218,30.734564,35.236885,41.829563,49.005543,57.629997,66.32616,73.21084,81.65309,86.15016,86.44191,94.51819,95.05713,94.55971,96.93377,98.12168,99.040184,99.67471,103.42374,105.69829,111.32627,114.15291,120.95929,124.509476,131.14664,132.12054,135.803,136.67632,100.69732,All tokens
5,48.529045,48.993553,49.820393,52.451214,56.486214,63.091984,71.16878,80.73078,90.24328,100.70231,111.916756,122.748886,132.45126,136.93817,136.02025,148.19176,147.5454,145.45067,150.59169,149.48085,151.86937,150.0315,154.15302,154.82942,158.95895,160.89998,170.13672,173.46259,180.93704,178.43817,178.0839,173.45059,102.367485,All tokens
6,32.00858,32.429787,33.085453,34.987053,37.640545,42.088146,48.612274,55.583035,62.663803,71.1356,77.94978,82.71737,90.61838,95.02437,94.31186,102.27419,103.78323,103.520195,106.766106,108.29265,111.41714,109.68037,109.63194,108.83326,112.10808,114.450645,119.64086,122.85405,128.16429,128.60623,129.36336,129.31075,85.53528,All tokens
7,27.820494,28.158195,29.141993,30.634556,33.00124,36.965046,42.424496,48.038967,53.999954,61.778217,68.6862,75.27395,81.983734,86.18703,86.86668,93.03659,95.16348,93.839226,94.05641,96.014824,99.70566,98.79279,94.86147,96.039734,96.964645,98.74894,104.714134,107.280045,113.13835,114.83582,115.57469,118.52789,83.9569,All tokens
8,19.18174,19.33412,19.785166,20.457165,21.555063,23.866789,27.337444,32.45227,39.192158,46.881027,55.51062,62.035187,69.28856,73.35663,75.133804,82.72597,83.35997,82.784996,86.29184,85.40232,86.54312,86.54123,89.9113,91.4173,95.04118,96.29494,100.99219,104.09284,110.35468,110.12886,113.36932,113.626335,80.67583,All tokens
9,22.913284,23.34291,24.314272,25.954273,28.72037,34.214874,42.54425,51.89199,62.48225,75.58838,90.711075,104.6057,116.42529,124.94924,130.05551,138.34584,139.13788,137.55208,140.50578,139.34682,141.59961,139.60881,140.99484,140.65479,144.12495,146.1449,149.46654,149.02814,152.27922,147.9696,144.62807,138.60078,73.37076,All tokens
0,18.283812,18.347595,18.524578,18.82903,19.589294,21.315086,24.192259,28.5948,34.68657,42.582714,52.63962,62.781345,72.26337,78.292046,81.513626,87.784966,88.44251,87.75579,89.985634,90.18727,90.75503,90.133095,92.51994,94.35419,96.28598,99.03471,102.59888,103.18241,106.925064,103.66661,101.692,99.529236,53.979794,Img tokens
1,23.5545,23.631914,23.850685,24.830147,26.047884,28.351265,31.754519,37.177044,43.3261,50.97841,58.867588,65.36232,73.43863,77.415375,77.78262,85.36589,85.81082,85.56628,87.97475,89.02658,89.745575,90.80593,93.99297,96.26334,101.675575,104.335495,110.89696,114.6754,120.928955,122.10457,126.110275,126.801605,95.585655,Img tokens
2,28.65587,28.751009,29.060837,29.863379,31.151361,33.432194,36.455147,41.0876,46.79246,53.247215,59.724266,65.430145,73.25994,76.79553,76.861916,84.42862,85.0154,84.87903,87.19366,85.967384,87.43405,88.19543,90.88573,93.07457,96.67725,98.45932,103.35457,105.95216,111.98647,112.385544,115.9657,114.511856,83.99775,Img tokens
3,27.13975,27.25764,27.632025,28.323214,29.638334,32.20034,36.19421,41.43069,46.414898,52.14923,57.675255,62.603477,69.00582,72.66086,72.79719,78.92423,79.155426,78.87814,81.22488,82.7032,84.156105,82.83488,86.522156,85.79609,88.94558,91.688354,96.4399,99.64305,103.98886,103.84297,104.95308,104.977715,70.20048,Img tokens
4,23.554401,23.629541,23.85623,24.825928,26.035337,28.34351,31.770145,37.234196,43.37053,51.038086,58.781227,65.0059,72.90946,77.03522,77.1782,84.54932,84.90861,84.575,86.63929,87.67059,88.4601,89.105705,92.62629,94.78307,99.972404,102.709595,108.89929,112.39009,118.56137,119.70157,123.368355,124.404976,94.65805,Img tokens
5,49.531998,49.698116,50.304432,52.21156,55.287064,60.408546,66.93976,75.10544,83.297585,92.659676,102.7524,112.6559,121.98921,126.01421,124.929276,136.30547,135.60428,133.53217,138.25768,137.19337,139.48636,137.85289,141.78365,142.51564,146.3814,148.37262,156.99805,160.34998,167.42946,165.10439,164.94307,160.81392,97.34347,Img tokens
6,34.48127,34.5885,34.92381,35.885487,37.39481,39.910133,43.935802,48.46558,53.128777,59.42791,64.33882,67.90007,74.59427,78.13533,77.23328,83.37217,84.32815,83.96082,86.4115,87.35861,90.01348,88.34721,88.427124,87.9656,90.6013,92.80959,97.050545,100.2011,104.658325,105.05758,105.87731,106.11669,74.915474,Img tokens
7,29.332956,29.40594,29.855406,30.597273,31.931463,34.276737,37.564262,41.182514,45.154224,51.108738,56.18521,61.383778,67.0854,70.49779,70.85161,75.70995,77.3555,76.098816,75.8962,77.35678,80.45121,79.50912,76.48997,77.6102,78.24916,79.824684,84.7109,86.96901,91.926285,93.353165,94.153786,97.16483,74.811165,Img tokens
8,18.949286,19.030457,19.298134,19.766674,20.584534,22.402956,25.174185,29.493406,35.37623,42.246536,50.02149,55.93495,62.674442,66.39445,67.98765,74.885475,75.2962,74.81759,77.95666,77.07611,78.14323,78.30399,81.443504,82.98071,86.35223,87.58807,91.86621,94.8936,100.72286,100.55653,103.69285,104.0394,75.812935,Img tokens
9,24.041689,24.128487,24.394272,24.98759,26.138346,28.851917,33.24091,38.708466,45.54836,54.835285,65.97723,77.107796,86.92528,93.69758,97.870415,104.04242,104.748505,103.7873,105.88549,105.09992,106.76524,105.79682,107.18494,107.34467,109.76355,111.697,113.8935,113.82862,116.48721,113.14224,110.506226,106.0968,60.01468,Img tokens
0,49.487495,41.893234,1.1938758,1.4075379,1.7517787,2.4390123,3.4564729,4.769752,6.6533747,9.091646,12.872739,17.11753,20.836702,25.116152,30.75022,37.760113,45.180435,53.067883,58.373787,64.105064,67.59119,68.464806,67.43431,66.797325,68.37753,68.513824,69.97407,70.00393,71.33186,71.82875,71.943,71.66522,46.196384,Text tokens
1,31.82651,29.188011,1.060276,1.1374878,1.2296538,1.3799356,1.5880426,1.8325872,2.156228,2.5183623,3.0791736,3.6876163,4.33107,5.16954,6.2616034,7.8355174,9.941575,12.600203,15.003631,19.065207,22.386307,25.397133,27.98889,30.428902,32.450268,34.167187,36.05971,37.66338,39.59193,41.25991,42.805214,49.165897,32.70267,Text tokens
2,27.784582,26.550499,1.0336796,1.0714556,1.1192322,1.2023656,1.3113648,1.4372041,1.6096015,1.7783978,2.0455563,2.3635824,2.6712158,3.0819876,3.6100996,4.4300275,5.5334387,7.037651,8.375161,10.972914,13.2950325,15.41442,17.341251,19.61884,21.54936,23.372072,25.11088,27.009369,29.031313,31.048477,33.063328,45.1798,30.545748,Text tokens
3,48.33433,42.07185,1.0887924,1.1868414,1.3226571,1.5525435,1.882884,2.28032,2.8229063,3.4404502,4.313672,5.4566035,6.488729,7.6630993,9.427565,12.034677,15.630226,19.98579,23.652445,29.316051,34.343155,38.434383,41.695667,43.727573,46.38881,48.175762,50.66782,52.29826,54.61869,56.468655,58.07203,63.631622,42.90499,Text tokens
4,31.065493,28.909363,1.0580184,1.131647,1.2222937,1.3684036,1.5768409,1.8206764,2.1349075,2.4692929,2.993644,3.6188447,4.23808,5.018418,6.088663,7.6652756,9.748807,12.393414,14.803715,18.8654,22.167465,25.175795,27.929901,30.453156,32.59401,34.430706,36.272995,37.910954,39.946175,41.55176,43.054314,49.784492,32.6553,Text tokens
5,30.870483,28.633186,1.0351312,1.0760165,1.1281413,1.2171258,1.3358111,1.4627564,1.6404217,1.8323061,2.1076677,2.4146998,2.752649,3.2005527,3.7319815,4.595385,5.757591,7.403511,8.834041,11.490467,14.016052,16.434761,18.589931,21.104658,23.226173,25.23361,27.188251,29.22105,31.46084,33.66519,35.70777,48.390366,31.658926,Text tokens
6,46.229633,39.51531,1.0909145,1.203185,1.3352666,1.5669042,1.8874087,2.2933595,2.8325436,3.4428296,4.3247643,5.6251974,6.72412,7.954669,9.6613865,12.2758,15.831721,20.08834,23.793037,29.509867,34.30662,38.31078,41.304604,43.714825,46.27547,47.97817,50.2485,51.433784,53.654644,55.136578,56.269104,61.36411,45.407696,Text tokens
7,48.3993,39.54843,1.0828131,1.1810826,1.3085773,1.5224334,1.8148904,2.170641,2.6606064,3.2186153,4.066834,5.1386805,6.1997433,7.3281345,8.954539,11.38955,14.875334,18.771158,22.387363,27.98417,32.576046,36.655685,39.229046,42.03448,44.330254,46.346127,48.7987,50.582176,52.948692,54.97266,56.32521,61.74288,42.04524,Text tokens
8,35.57941,31.258991,1.0596666,1.1373464,1.2284664,1.3806981,1.585867,1.8290228,2.1372,2.4923575,3.0111256,3.6702797,4.295084,5.1181273,6.1786222,7.760385,10.176019,13.179221,15.848606,20.166601,23.693766,26.824482,29.547594,31.899733,34.146404,35.8695,37.696037,39.104,41.09074,42.770805,44.281757,50.622272,34.37501,Text tokens
9,62.636852,51.803932,1.4260235,1.9207023,2.7707443,4.445092,7.467842,11.319296,16.221018,22.150396,29.462896,36.320324,41.21978,46.84144,52.604237,59.198795,65.950584,70.290855,74.30629,76.989235,79.72482,79.01656,78.95378,78.29742,80.35196,80.33219,82.442276,82.42943,83.43373,83.490486,83.132706,81.7908,53.056267,Text tokens
0,49.487495,9.940164,1.3607641,1.548469,1.8623542,2.0796008,2.2244272,2.3388813,2.4866052,2.7071757,3.0108805,3.3863907,3.8429132,4.3039308,4.7768574,5.528535,7.229444,8.84881,10.468553,12.86915,14.816493,16.56145,18.083656,19.841572,21.193464,22.391037,23.68737,24.989943,26.675676,27.767424,28.829796,34.307667,28.250492,Text only tokens
1,31.82651,10.922838,1.4950651,1.6477621,1.7368532,1.7905737,1.8575115,1.9104207,1.984332,2.0809865,2.1954153,2.3102782,2.4497674,2.5728562,2.7220545,2.9053285,3.2651517,3.6348395,4.014542,4.612286,5.118963,5.573451,6.0501804,6.616362,6.999994,7.492839,7.904002,8.388986,9.098366,9.832209,10.650096,13.831163,14.535401,Text only tokens
2,27.784582,9.4703045,1.4431568,1.549193,1.5953587,1.6547356,1.7048987,1.7488354,1.809565,1.8897318,1.97763,2.0695035,2.1798337,2.279842,2.416762,2.5693374,2.8545763,3.1626148,3.4642038,3.9128559,4.323732,4.667449,5.0259385,5.4858217,5.775299,6.1820946,6.5439963,6.998577,7.5830474,8.310825,9.075084,11.902835,13.39665,Text only tokens
3,48.33433,17.089956,1.2187586,1.3146446,1.4673306,1.559437,1.6386299,1.6906534,1.7649856,1.8617826,1.9809753,2.1120687,2.2688076,2.419911,2.5811865,2.793846,3.2533407,3.6892679,4.114138,4.8259864,5.431868,5.9873357,6.5467234,7.2648296,7.7548566,8.411429,8.993102,9.709638,10.567435,11.348323,12.338929,17.478407,17.010056,Text only tokens
4,31.065493,10.757152,1.5690523,1.6362646,1.7185423,1.766696,1.8307323,1.883749,1.9573541,2.0618496,2.1857195,2.3098795,2.4580123,2.5895853,2.7555192,2.9670422,3.406322,3.8753963,4.3432775,5.032098,5.674909,6.2278075,6.787985,7.4639244,7.9167233,8.51756,9.004754,9.602575,10.4166155,11.266895,12.197086,15.927887,15.563733,Text only tokens
5,30.870483,10.404508,1.2597966,1.4150285,1.4813215,1.5920428,1.6477286,1.6981355,1.767057,1.8637381,1.968078,2.0738978,2.1976776,2.310492,2.4532082,2.619768,2.9596908,3.3409665,3.7150657,4.220191,4.7237434,5.130986,5.5659866,6.098093,6.4586163,6.9469795,7.3775277,7.9203215,8.662822,9.502174,10.391591,14.043588,14.215492,Text only tokens
6,46.229633,18.006771,1.5722005,1.6658773,1.880456,2.0136962,2.1133673,2.1832879,2.2733006,2.4095354,2.5834503,2.7879677,3.0183794,3.247239,3.4927573,3.8688111,4.619945,5.3330135,6.031306,7.2010756,8.122575,9.032869,9.91268,11.051798,11.822235,12.643352,13.394508,14.259896,15.3947735,16.2192,17.06879,21.199299,18.702654,Text only tokens
7,48.3993,16.943747,1.4458615,1.4772815,1.6615118,1.7668418,1.8622538,1.9231098,2.0056758,2.1202683,2.2614195,2.422094,2.6035607,2.7769592,2.9563253,3.211053,3.7293847,4.2615786,4.750953,5.6301093,6.332674,7.0276194,7.7397084,8.628462,9.213831,9.94464,10.586343,11.379564,12.377858,13.192176,14.132173,18.891815,17.264894,Text only tokens
8,35.57941,12.626591,1.4110984,1.5703387,1.6895918,1.8057934,1.8745888,1.9279124,2.0052688,2.1012037,2.217079,2.3371336,2.4797502,2.6116562,2.7626565,2.9559336,3.3525522,3.7355125,4.115458,4.764297,5.299761,5.784804,6.2704787,6.893851,7.3018513,7.848955,8.297679,8.867683,9.613949,10.35023,11.195126,14.804833,15.50535,Text only tokens
