,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,Mean over
0,7.1933365,7.712463,9.213264,12.23929,17.187572,27.973486,43.15981,61.28939,78.75521,96.02357,112.361534,125.00269,136.8488,143.3463,144.57953,157.88235,158.35825,157.3482,162.58467,162.90532,161.37744,163.25441,170.35266,169.6293,175.41127,176.34972,184.7909,184.3882,189.0169,184.17767,179.2309,163.35774,79.57837,both img and text,All tokens
1,7.7370887,8.294667,9.8989525,13.056332,18.257101,29.446035,45.097195,63.307426,80.80504,98.072754,115.25346,127.910675,139.81224,146.39014,146.96904,159.93593,159.37486,157.64613,161.94504,161.5734,158.44504,159.07768,165.25632,163.21127,167.98444,169.35693,176.62802,176.95859,181.35399,174.83392,166.90877,150.29456,75.487785,both img and text,All tokens
2,6.953397,7.438962,8.91025,11.711838,16.337557,26.56133,41.021225,58.61536,75.63413,92.53256,108.82921,121.89665,133.48067,140.38483,142.157,154.2267,153.44531,151.5614,156.15535,155.77234,153.25117,154.39299,160.52968,159.24571,164.25175,166.04208,173.16795,173.58879,177.71812,171.82707,165.69115,148.87692,73.042595,both img and text,All tokens
3,7.172581,7.698613,9.245339,12.322609,17.34548,28.313066,43.53247,61.5411,78.99502,96.36994,113.06204,125.10562,136.59409,143.02594,144.22232,157.60065,156.42812,154.9431,159.9627,159.91031,157.11024,158.09894,164.2812,162.29514,167.21938,168.43947,175.89246,175.74448,179.98346,174.1273,168.16573,151.71107,72.21862,both img and text,All tokens
4,7.518204,8.088647,9.745763,13.047895,18.452103,30.087448,46.077457,64.737495,82.20938,99.561516,116.113266,129.22507,141.37709,148.77574,149.83946,163.54596,163.4701,162.44379,167.58537,167.32712,165.26207,165.89702,172.6153,169.14162,174.7749,176.1818,183.76167,183.73628,188.11731,182.30017,176.05373,158.64719,77.26447,both img and text,All tokens
5,7.846458,8.438163,10.160996,13.600778,19.228012,31.36389,48.100082,67.29372,85.614235,103.35245,120.09063,132.62766,145.26913,152.76016,153.38898,166.8997,166.49828,165.084,170.2381,170.58408,168.27289,169.5722,176.17558,175.32605,180.7183,182.27696,190.44409,190.85555,195.2964,188.57516,181.76772,163.04024,76.729904,both img and text,All tokens
6,7.248062,7.754408,9.26448,12.176111,17.0057,27.476902,42.124557,59.882618,77.360435,95.10256,112.68797,126.019745,138.80092,146.29298,147.59183,160.99144,160.87198,159.76062,164.65489,165.09981,163.23424,164.63474,171.30229,170.11362,175.5819,176.79858,184.52084,184.33783,189.04964,182.48749,175.65007,157.02538,72.394394,both img and text,All tokens
7,7.472606,7.9832654,9.511928,12.424046,17.244026,27.721193,42.38609,59.79459,76.79993,94.00839,111.06434,124.68456,137.97922,145.35118,146.56775,158.97,158.92233,157.51929,161.62863,161.4605,158.56982,160.34654,166.5375,164.16853,169.03526,170.63852,177.81898,178.4832,182.68983,176.21541,168.95694,151.1266,72.37037,both img and text,All tokens
8,6.7778873,7.2245865,8.555558,11.087264,15.265378,24.494347,37.83922,54.47329,71.26778,88.05546,104.6503,118.396736,129.7439,136.80261,138.93977,150.59808,150.33147,148.76111,153.6767,153.93875,151.90877,153.0808,159.29333,157.71808,162.93974,164.47261,171.86208,173.31137,177.64043,172.20547,166.2851,150.01268,74.75386,both img and text,All tokens
9,7.7248063,8.322562,10.074352,13.556693,19.24948,31.470196,48.07631,67.22011,85.008835,102.601074,119.130615,131.51881,143.38484,150.2154,150.06476,162.96196,161.86203,160.34026,165.32292,164.96272,162.27324,163.96935,170.59042,169.75949,174.86743,176.57817,184.46587,184.88554,189.26277,182.86276,176.90306,158.86635,75.309235,both img and text,All tokens
0,14.111964,14.167001,14.39701,14.821605,15.439479,16.861862,19.062206,22.80483,27.437649,33.428368,39.95132,46.082424,52.217197,55.984505,56.786655,62.510166,63.436428,62.825607,64.31121,64.908394,64.88531,64.108734,66.221085,67.532394,70.3269,72.1567,76.21128,77.14806,80.25856,79.31255,78.39952,77.31688,57.077324,both img and text,Img tokens
1,15.160382,15.21284,15.43006,15.835432,16.498867,17.930656,20.160353,23.768005,28.405495,34.53162,41.545315,47.980663,54.24612,58.08278,58.710606,64.34879,65.189545,64.44204,65.63166,65.76211,64.85706,63.66798,65.86174,66.13103,68.622665,70.46946,74.241936,75.16122,78.46437,77.15587,76.03715,75.43007,59.783756,both img and text,Img tokens
2,13.2771,13.325577,13.509589,13.878494,14.48828,15.914919,18.044731,21.668247,26.064453,31.856623,38.350967,44.433746,50.394356,54.130287,55.29128,60.40451,61.18106,60.492825,61.865776,62.111794,61.534294,60.416145,62.50144,62.945522,65.41639,67.44747,71.047905,71.845604,74.91666,73.813896,73.06183,72.14008,55.94469,both img and text,Img tokens
3,14.202087,14.253393,14.465234,14.897383,15.546068,17.015192,19.218008,22.938347,27.628578,33.82804,40.59016,46.356945,52.47593,56.40541,57.118683,63.16573,64.11824,63.634533,65.42837,65.911354,65.19949,63.912445,66.019424,66.20413,68.614456,70.44249,74.165375,74.979126,78.145386,76.862946,75.96718,74.61847,55.24482,both img and text,Img tokens
4,15.266399,15.325014,15.56816,16.008022,16.693825,18.20544,20.54185,24.319853,28.882942,35.041996,41.935078,48.334953,54.81004,59.428364,60.378395,66.33989,67.23258,66.70435,68.15062,68.51046,68.380394,66.76211,68.76381,68.36583,71.131935,73.11836,76.82091,77.6794,80.62126,79.220406,78.12702,76.43364,57.932114,both img and text,Img tokens
5,16.066322,16.129637,16.401844,16.844921,17.575768,19.220785,21.735487,25.860445,30.909878,37.49755,44.467117,50.89487,57.34084,61.715508,62.26415,68.351326,69.26177,68.53901,70.1807,70.96191,70.66183,69.676735,72.03067,72.9965,76.08746,78.21614,82.56825,83.68044,87.22322,85.95284,85.673,85.0079,64.43135,both img and text,Img tokens
6,13.571221,13.622268,13.855323,14.1589575,14.727307,16.077522,18.194277,21.766512,26.406189,32.466854,39.591347,46.18325,52.785706,57.37574,58.711388,64.4433,65.710915,65.45539,67.05208,67.62033,67.36097,66.43308,68.75683,69.45849,72.35173,74.159325,78.202866,79.052185,82.56671,81.0872,80.266174,78.48364,57.492325,both img and text,Img tokens
7,14.278717,14.3269,14.5410185,14.866523,15.46873,16.834126,18.913738,22.305098,26.710768,32.548843,39.359226,45.99412,52.76318,57.17195,58.483944,63.997803,65.390564,65.10877,66.376465,66.79539,66.22727,65.525276,67.759186,67.78012,70.340004,72.38082,76.20561,77.18788,80.337135,79.024666,77.71611,76.46623,58.15289,both img and text,Img tokens
8,12.3126745,12.357496,12.548039,12.891322,13.436037,14.67609,16.555334,19.785547,23.970367,29.541113,36.029316,42.2603,48.081047,51.932285,53.20265,58.241383,59.138103,58.590294,59.971375,60.49917,60.434444,59.65598,61.763523,62.188545,64.7166,66.65173,70.35745,71.851524,75.03227,74.1298,73.53963,72.39018,56.318657,both img and text,Img tokens
9,15.872399,15.9274235,16.210424,16.651627,17.368513,18.995049,21.47938,25.482698,30.311213,36.76104,43.638382,49.862133,56.082054,60.185165,60.51178,66.06581,66.82851,66.047356,67.63807,67.96278,67.453606,66.557,68.96869,69.99935,72.83468,75.002975,79.23012,80.14922,83.46103,82.096756,81.35395,80.244705,60.383453,both img and text,Img tokens
0,51.77366,42.46512,17.424904,43.948345,70.33028,100.39354,121.978745,139.557,148.59601,153.73792,157.65154,159.25589,166.74355,166.12912,165.86134,176.55782,179.11206,179.2185,185.62599,185.36859,185.26309,185.13371,190.15262,184.19725,187.7576,183.36334,192.21747,184.73918,189.10257,184.88309,178.87555,160.88878,85.69117,both img and text,Text tokens
1,51.27458,42.141117,16.175856,41.09281,66.871704,96.80748,118.43254,136.20001,145.7884,150.70592,154.75098,156.16913,162.9716,162.92886,161.66911,171.7686,171.304,169.95284,174.80574,174.21326,172.8938,172.23035,175.63649,170.22543,172.5901,168.89967,175.3239,170.06308,173.02469,166.16302,156.69478,136.08998,66.48299,both img and text,Text tokens
2,51.477024,42.264412,16.539112,42.050503,68.31913,98.5136,120.21988,138.50267,148.14513,153.63678,157.53154,159.44524,167.07027,167.20973,166.42772,176.07774,175.57512,173.98538,179.02905,178.00003,176.76697,176.52498,180.15717,174.87352,177.58054,173.8652,180.95406,175.44923,178.9281,172.64056,165.27191,144.1829,69.50557,both img and text,Text tokens
3,51.226017,42.11981,16.144356,41.150803,67.017044,97.063324,118.9124,136.90395,146.4293,151.4505,155.82265,157.85141,165.23741,165.17856,165.19879,176.01234,175.74608,174.54271,179.16673,178.4513,177.40602,176.88081,180.32242,174.59265,177.31013,173.42737,180.49928,174.53471,177.93486,172.0241,165.13641,145.78311,72.043106,both img and text,Text tokens
4,52.04445,42.56405,15.919917,40.70189,66.46942,96.42377,118.307686,136.5948,146.78456,152.449,156.47624,158.6636,165.86395,164.98091,164.63026,175.74222,177.1297,176.79411,183.05547,182.55513,182.18607,182.03142,186.61252,180.4049,183.59254,179.65213,187.37311,180.785,184.79495,179.5569,172.25908,151.79008,76.12679,both img and text,Text tokens
