,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over
0,18.711359,18.914654,19.45738,20.149208,21.537804,24.509754,29.075323,35.43488,43.740337,53.816143,66.319016,78.14051,89.0144,96.0086,99.83473,107.40443,108.137436,107.550285,110.40947,110.545815,111.165016,110.19342,112.65757,114.3426,116.70154,119.46077,123.67208,124.15063,128.32353,124.4906,121.93973,119.180336,62.334408,All tokens
1,23.699673,23.896917,24.587404,25.914846,27.598211,30.661089,35.05697,41.54767,48.71145,57.305225,66.12683,73.26245,81.84601,86.192116,86.70644,94.91197,95.496414,95.094444,97.816536,98.96498,99.78304,100.823586,104.04903,106.45164,112.31783,115.022484,122.23373,126.04049,132.71944,133.74266,137.79321,138.34933,101.31565,All tokens
2,28.802467,29.027285,29.071404,30.141418,31.816498,34.76592,38.56999,43.96113,50.47835,57.6463,65.05273,71.57758,79.90302,83.84357,84.24459,92.38188,93.283844,93.28455,95.95139,94.74955,96.358406,97.14222,100.04598,102.35259,106.22493,108.08583,113.45797,116.06477,122.49043,122.78857,126.477516,124.80496,88.8555,All tokens
3,26.770918,27.069794,27.143198,28.204428,30.058603,33.467842,38.725903,45.137962,51.50372,58.50857,65.308334,71.26155,78.341,82.488884,83.21577,90.30742,91.047165,91.07244,94.00687,95.817474,97.60622,96.21497,100.389046,99.36691,102.90092,105.86469,111.30308,114.71477,119.57817,119.41834,120.55685,120.33613,77.24609,All tokens
4,23.735834,23.935184,24.591335,25.899775,27.567556,30.624678,35.052055,41.578476,48.699844,57.255184,65.888756,72.75089,81.159996,85.650856,85.93816,93.945694,94.46741,93.98047,96.32404,97.465256,98.37598,98.97174,102.73041,104.99848,110.60355,113.417496,120.16572,123.72866,130.34862,131.33362,134.95895,135.88559,100.453316,All tokens
5,48.581154,49.032925,49.830643,52.400974,56.363716,62.825096,70.7724,80.22493,89.66311,100.05695,111.18166,121.92838,131.61768,136.05896,135.12083,147.2271,146.55951,144.50302,149.58238,148.46994,150.83849,149.02736,153.15636,153.84453,157.94151,159.8538,169.05284,172.41565,179.86891,177.38885,177.04324,172.41664,101.57734,All tokens
6,32.809437,33.175766,33.60668,35.2517,37.603592,41.546223,47.44767,53.800465,60.350758,68.24317,74.63804,79.22429,86.855415,91.099335,90.44791,98.041046,99.502144,99.33418,102.45494,103.88027,106.9429,105.38958,105.464134,104.77382,107.93282,110.25696,115.27638,118.45467,123.56103,123.89355,124.576584,124.52663,83.37368,All tokens
7,28.64475,28.910412,29.645302,30.802275,32.743874,36.01835,40.59061,45.377037,50.585403,57.59003,63.79984,69.96375,76.34382,80.308365,81.008965,86.68771,88.72869,87.53124,87.65818,89.4099,92.84814,91.9639,88.51546,89.68675,90.48199,92.10639,97.620926,99.95701,105.37917,106.85284,107.47917,110.36483,79.33472,All tokens
8,19.191803,19.339605,19.787184,20.448948,21.52966,23.811596,27.239065,32.299442,38.999096,46.64281,55.210796,61.69703,68.91198,72.950745,74.73227,82.25259,82.872246,82.33341,85.8226,84.93773,86.06677,86.08364,89.43679,90.94951,94.54732,95.78212,100.44665,103.54681,109.78009,109.59352,112.80243,113.08307,80.41574,All tokens
9,24.006605,24.326174,24.90327,26.010431,27.991745,32.116627,38.518368,46.02635,54.855194,66.14323,79.508545,92.31248,103.193245,111.121704,115.90024,123.34705,124.197754,123.0846,125.57216,124.414635,126.47069,125.1574,126.723564,126.66099,129.62479,131.65648,134.50923,134.30132,137.24017,133.32584,130.22145,124.95316,67.55156,All tokens
