,accuracy,auroc_macro,auprc_macro,f1_macro,precision_macro,recall_macro,auroc_micro,auprc_micro,f1_micro,precision_micro,recall_micro,embedding_level
0,0.35714285714285715,0.8518518518518517,0.7888243929959184,0.17543859649122806,0.11904761904761905,0.3333333333333333,0.6464002267573696,0.40412445424550847,0.35714285714285715,0.35714285714285715,0.35714285714285715,sentence_text
1,0.6785714285714286,0.8592592592592592,0.793294174956437,0.5632183908045977,0.5087719298245613,0.6666666666666666,0.8109410430839002,0.5726997431132735,0.6785714285714286,0.6785714285714286,0.6785714285714286,sentence_text
2,1.0,0.901440329218107,0.8387555399944105,1.0,1.0,1.0,0.9660572562358277,0.9387735648573385,1.0,1.0,1.0,sentence_text
3,1.0,0.9907407407407408,0.9796872059823581,1.0,1.0,1.0,0.996811224489796,0.9933630596015943,1.0,1.0,1.0,sentence_text
4,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
5,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
6,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
7,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
8,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
9,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
10,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
11,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
12,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
13,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
14,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
15,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
16,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
17,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
18,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
19,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
20,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
21,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
22,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
23,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
24,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
25,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
26,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
27,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
28,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
29,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
30,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
31,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
32,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,sentence_text
