,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.75,0.765625,0.7870160723779144,0.7894736842105263,0.6818181818181818,0.9375,sentence_all
1,0.75,0.76953125,0.7892628044040582,0.7894736842105263,0.6818181818181818,0.9375,sentence_all
2,0.6875,0.70703125,0.7185494584025889,0.7222222222222222,0.65,0.8125,sentence_all
3,0.6875,0.71875,0.7208486047574418,0.7222222222222222,0.65,0.8125,sentence_all
4,0.6875,0.7109375,0.7176117736537628,0.7222222222222222,0.65,0.8125,sentence_all
5,0.65625,0.71484375,0.7202903450823342,0.6857142857142857,0.631578947368421,0.75,sentence_all
6,0.65625,0.703125,0.6945959006378898,0.6857142857142857,0.631578947368421,0.75,sentence_all
7,0.6875,0.703125,0.6922206717001609,0.7222222222222222,0.65,0.8125,sentence_all
8,0.6875,0.7109375,0.7008916881836773,0.7222222222222222,0.65,0.8125,sentence_all
9,0.59375,0.68359375,0.6927887165938635,0.6285714285714286,0.5789473684210527,0.6875,sentence_all
10,0.59375,0.6875,0.6985436341908864,0.6285714285714286,0.5789473684210527,0.6875,sentence_all
11,0.59375,0.671875,0.6878177065702813,0.6285714285714286,0.5789473684210527,0.6875,sentence_all
12,0.5625,0.65234375,0.6847447316622679,0.5882352941176471,0.5555555555555556,0.625,sentence_all
13,0.5625,0.65625,0.6861961448324312,0.5882352941176471,0.5555555555555556,0.625,sentence_all
14,0.53125,0.6328125,0.7060782688024536,0.5454545454545454,0.5294117647058824,0.5625,sentence_all
15,0.5,0.62890625,0.6724370242648274,0.5294117647058824,0.5,0.5625,sentence_all
16,0.5625,0.6328125,0.6768390637140637,0.5882352941176471,0.5555555555555556,0.625,sentence_all
17,0.53125,0.65625,0.6866368006993007,0.5714285714285714,0.5263157894736842,0.625,sentence_all
18,0.53125,0.671875,0.7065795315795316,0.5714285714285714,0.5263157894736842,0.625,sentence_all
19,0.5,0.6640625,0.7036092229027011,0.5555555555555556,0.5,0.625,sentence_all
20,0.625,0.71875,0.7567625256372987,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
21,0.625,0.69921875,0.7412933295856725,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
22,0.625,0.6953125,0.7207554269246079,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
23,0.625,0.71875,0.7372514261230023,0.6470588235294118,0.6111111111111112,0.6875,sentence_all
24,0.59375,0.71484375,0.7351782071779804,0.6060606060606061,0.5882352941176471,0.625,sentence_all
25,0.65625,0.73046875,0.7643232145398995,0.6666666666666666,0.6470588235294118,0.6875,sentence_all
26,0.65625,0.73046875,0.7748886907303756,0.6666666666666666,0.6470588235294118,0.6875,sentence_all
27,0.6875,0.7421875,0.7832775606324034,0.7058823529411765,0.6666666666666666,0.75,sentence_all
28,0.6875,0.74609375,0.7858051341618153,0.7058823529411765,0.6666666666666666,0.75,sentence_all
29,0.65625,0.76953125,0.8047914612484712,0.6666666666666666,0.6470588235294118,0.6875,sentence_all
30,0.75,0.78515625,0.8140604187479188,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
31,0.75,0.8046875,0.8151568917193918,0.7647058823529411,0.7222222222222222,0.8125,sentence_all
32,0.6875,0.80078125,0.8016258768328869,0.7058823529411765,0.6666666666666666,0.75,sentence_all
0,0.6875,0.859375,0.8630851143918599,0.7222222222222222,0.65,0.8125,sentence_img
1,0.6875,0.859375,0.8630851143918599,0.7222222222222222,0.65,0.8125,sentence_img
2,0.71875,0.8515625,0.8715250721500721,0.7428571428571429,0.6842105263157895,0.8125,sentence_img
3,0.75,0.8515625,0.8744066370720783,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
4,0.75,0.82421875,0.8556457890557156,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
5,0.75,0.8203125,0.8573548727960492,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
6,0.75,0.8203125,0.8598095940007704,0.7647058823529411,0.7222222222222222,0.8125,sentence_img
7,0.71875,0.8046875,0.8512676689717765,0.7272727272727273,0.7058823529411765,0.75,sentence_img
8,0.71875,0.77734375,0.8317101873687551,0.7272727272727273,0.7058823529411765,0.75,sentence_img
9,0.6875,0.73046875,0.7993163546012811,0.7058823529411765,0.6666666666666666,0.75,sentence_img
10,0.65625,0.6953125,0.7617793250716678,0.6857142857142857,0.631578947368421,0.75,sentence_img
11,0.65625,0.69921875,0.7654856690150806,0.6857142857142857,0.631578947368421,0.75,sentence_img
12,0.59375,0.6484375,0.7217458068751172,0.6486486486486487,0.5714285714285714,0.75,sentence_img
13,0.5625,0.66015625,0.7376919221633378,0.5882352941176471,0.5555555555555556,0.625,sentence_img
14,0.5625,0.65625,0.7527879719468875,0.6111111111111112,0.55,0.6875,sentence_img
15,0.5625,0.68359375,0.7848565290705918,0.6111111111111112,0.55,0.6875,sentence_img
16,0.5625,0.6875,0.792081243379032,0.6111111111111112,0.55,0.6875,sentence_img
17,0.625,0.71875,0.8106872227295656,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
18,0.625,0.73046875,0.8203445294928505,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
19,0.625,0.72265625,0.8111533530222623,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
20,0.625,0.73046875,0.8079183633742291,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
21,0.625,0.73046875,0.7776902678829758,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
22,0.625,0.7265625,0.7718555229177961,0.6470588235294118,0.6111111111111112,0.6875,sentence_img
23,0.65625,0.7265625,0.7654450870372516,0.6857142857142857,0.631578947368421,0.75,sentence_img
24,0.65625,0.7265625,0.7520668190633952,0.6857142857142857,0.631578947368421,0.75,sentence_img
25,0.65625,0.734375,0.7694504770720533,0.6857142857142857,0.631578947368421,0.75,sentence_img
26,0.65625,0.74609375,0.7842155115703543,0.6857142857142857,0.631578947368421,0.75,sentence_img
27,0.6875,0.76171875,0.7960378406780895,0.7058823529411765,0.6666666666666666,0.75,sentence_img
28,0.6875,0.77734375,0.8075463190812455,0.7058823529411765,0.6666666666666666,0.75,sentence_img
29,0.71875,0.76953125,0.7863116509715775,0.7272727272727273,0.7058823529411765,0.75,sentence_img
30,0.71875,0.78515625,0.8009252491789256,0.7428571428571429,0.6842105263157895,0.8125,sentence_img
31,0.71875,0.80078125,0.8053820783261573,0.7428571428571429,0.6842105263157895,0.8125,sentence_img
32,0.71875,0.8125,0.8046328093203093,0.7428571428571429,0.6842105263157895,0.8125,sentence_img
0,0.28125,0.23828125,0.4629033725554656,0.20689655172413793,0.23076923076923078,0.1875,sentence_text
1,0.3125,0.19921875,0.3827952170453047,0.21428571428571427,0.25,0.1875,sentence_text
2,0.40625,0.3046875,0.40763363042027934,0.3870967741935484,0.4,0.375,sentence_text
3,0.40625,0.3125,0.40818653748053935,0.3870967741935484,0.4,0.375,sentence_text
4,0.375,0.30859375,0.4067567989184478,0.375,0.375,0.375,sentence_text
5,0.375,0.30859375,0.40725807957625193,0.375,0.375,0.375,sentence_text
6,0.5,0.34375,0.41671790284122223,0.5,0.5,0.5,sentence_text
