,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.7708333333333334,0.8697916666666667,0.8979714763410335,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
1,0.7708333333333334,0.8697916666666667,0.8979714763410335,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
2,0.7708333333333334,0.8663194444444444,0.8959698309943519,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
3,0.7708333333333334,0.8559027777777778,0.8835349685165973,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
4,0.7708333333333334,0.859375,0.8838264751849155,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
5,0.7708333333333334,0.8576388888888888,0.8849527060041288,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
6,0.7916666666666666,0.8559027777777778,0.8851352057871847,0.8076923076923077,0.75,0.875,sentence_all
7,0.8125,0.8559027777777779,0.8774408725625242,0.8235294117647058,0.7777777777777778,0.875,sentence_all
8,0.7916666666666666,0.8576388888888888,0.880332018749594,0.8076923076923077,0.75,0.875,sentence_all
9,0.7708333333333334,0.8472222222222222,0.8663531097170802,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
10,0.75,0.859375,0.8771655565225667,0.76,0.7307692307692307,0.7916666666666666,sentence_all
11,0.7708333333333334,0.8697916666666667,0.88703091055233,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
12,0.75,0.84375,0.8722214095021112,0.7692307692307693,0.7142857142857143,0.8333333333333334,sentence_all
13,0.7708333333333334,0.8559027777777779,0.8812366979536742,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_all
14,0.7291666666666666,0.8506944444444444,0.8760450109704094,0.7450980392156863,0.7037037037037037,0.7916666666666666,sentence_all
15,0.7916666666666666,0.8611111111111112,0.8810984017044445,0.8076923076923077,0.75,0.875,sentence_all
16,0.7916666666666666,0.8663194444444444,0.8888300436216056,0.8076923076923077,0.75,0.875,sentence_all
17,0.75,0.873263888888889,0.8936690921841658,0.7692307692307693,0.7142857142857143,0.8333333333333334,sentence_all
18,0.7708333333333334,0.8802083333333333,0.8911956701014475,0.7924528301886793,0.7241379310344828,0.875,sentence_all
19,0.7708333333333334,0.890625,0.8987342946565432,0.8,0.7096774193548387,0.9166666666666666,sentence_all
20,0.8333333333333334,0.9149305555555556,0.9214280688125036,0.84,0.8076923076923077,0.875,sentence_all
21,0.8125,0.9131944444444444,0.9103229910048395,0.8163265306122449,0.8,0.8333333333333334,sentence_all
22,0.8125,0.9201388888888888,0.9190068119731433,0.8163265306122449,0.8,0.8333333333333334,sentence_all
23,0.8333333333333334,0.9253472222222222,0.9194381707378354,0.84,0.8076923076923077,0.875,sentence_all
24,0.7916666666666666,0.9097222222222222,0.9075513909355886,0.8,0.7692307692307693,0.8333333333333334,sentence_all
25,0.8333333333333334,0.9166666666666666,0.9136229872526265,0.84,0.8076923076923077,0.875,sentence_all
26,0.8125,0.9218749999999999,0.9193256418776949,0.8235294117647058,0.7777777777777778,0.875,sentence_all
27,0.8333333333333334,0.9166666666666666,0.9146311721808368,0.8461538461538461,0.7857142857142857,0.9166666666666666,sentence_all
28,0.8125,0.9114583333333333,0.9086003053972818,0.8301886792452831,0.7586206896551724,0.9166666666666666,sentence_all
29,0.8333333333333334,0.9270833333333333,0.9277654946901593,0.8518518518518519,0.7666666666666667,0.9583333333333334,sentence_all
30,0.8333333333333334,0.9236111111111112,0.9243356389848787,0.8461538461538461,0.7857142857142857,0.9166666666666666,sentence_all
31,0.8125,0.9253472222222222,0.9273572749159975,0.8301886792452831,0.7586206896551724,0.9166666666666666,sentence_all
32,0.8333333333333334,0.9045138888888888,0.9108869904549068,0.84,0.8076923076923077,0.875,sentence_all
0,0.7916666666666666,0.8715277777777779,0.8991288837484409,0.8076923076923077,0.75,0.875,sentence_img
1,0.7916666666666666,0.8715277777777779,0.8991288837484409,0.8076923076923077,0.75,0.875,sentence_img
2,0.7916666666666666,0.8697916666666666,0.8988575017423113,0.8076923076923077,0.75,0.875,sentence_img
3,0.7708333333333334,0.8697916666666666,0.8979820287460952,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_img
4,0.7708333333333334,0.8697916666666666,0.896523695412762,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_img
5,0.7708333333333334,0.8628472222222222,0.8877080335204747,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_img
6,0.7916666666666666,0.8663194444444444,0.8933380942492195,0.8076923076923077,0.75,0.875,sentence_img
7,0.8125,0.861111111111111,0.8838705027322906,0.8235294117647058,0.7777777777777778,0.875,sentence_img
8,0.7916666666666666,0.8697916666666667,0.8882291770836662,0.8076923076923077,0.75,0.875,sentence_img
9,0.7708333333333334,0.8576388888888888,0.8755502607890129,0.7843137254901961,0.7407407407407407,0.8333333333333334,sentence_img
10,0.7916666666666666,0.8663194444444444,0.8842106131503229,0.8,0.7692307692307693,0.8333333333333334,sentence_img
11,0.7916666666666666,0.8697916666666666,0.8879958080055642,0.8,0.7692307692307693,0.8333333333333334,sentence_img
12,0.7291666666666666,0.8454861111111112,0.8755465525294279,0.7450980392156863,0.7037037037037037,0.7916666666666666,sentence_img
13,0.75,0.8524305555555556,0.8799703580843932,0.76,0.7307692307692307,0.7916666666666666,sentence_img
14,0.7291666666666666,0.8454861111111112,0.8741601698815031,0.7450980392156863,0.7037037037037037,0.7916666666666666,sentence_img
15,0.7291666666666666,0.857638888888889,0.8789185227285885,0.7450980392156863,0.7037037037037037,0.7916666666666666,sentence_img
16,0.75,0.8663194444444445,0.8894205467200982,0.7692307692307693,0.7142857142857143,0.8333333333333334,sentence_img
17,0.7291666666666666,0.8697916666666666,0.8935224544354594,0.7547169811320755,0.6896551724137931,0.8333333333333334,sentence_img
18,0.75,0.8784722222222222,0.8942775721134633,0.7692307692307693,0.7142857142857143,0.8333333333333334,sentence_img
19,0.7291666666666666,0.8854166666666666,0.8936379113978432,0.7547169811320755,0.6896551724137931,0.8333333333333334,sentence_img
20,0.8333333333333334,0.907986111111111,0.9137082792552556,0.84,0.8076923076923077,0.875,sentence_img
21,0.8125,0.9079861111111112,0.9073418078512425,0.8163265306122449,0.8,0.8333333333333334,sentence_img
22,0.8125,0.9114583333333334,0.9099268354362702,0.8163265306122449,0.8,0.8333333333333334,sentence_img
23,0.8333333333333334,0.9166666666666667,0.9110618248614895,0.84,0.8076923076923077,0.875,sentence_img
24,0.7916666666666666,0.9079861111111112,0.9062215583877252,0.8,0.7692307692307693,0.8333333333333334,sentence_img
25,0.8333333333333334,0.9079861111111112,0.9035166103566902,0.84,0.8076923076923077,0.875,sentence_img
26,0.8333333333333334,0.9184027777777777,0.9171936433608243,0.8461538461538461,0.7857142857142857,0.9166666666666666,sentence_img
27,0.8125,0.9114583333333334,0.9090157682221649,0.8301886792452831,0.7586206896551724,0.9166666666666666,sentence_img
28,0.8125,0.9079861111111112,0.9042326213987881,0.8301886792452831,0.7586206896551724,0.9166666666666666,sentence_img
29,0.8333333333333334,0.9166666666666666,0.9168908723572036,0.8518518518518519,0.7666666666666667,0.9583333333333334,sentence_img
30,0.8125,0.9166666666666666,0.9189902792573352,0.8301886792452831,0.7586206896551724,0.9166666666666666,sentence_img
31,0.8333333333333334,0.9166666666666666,0.9189786212293729,0.8461538461538461,0.7857142857142857,0.9166666666666666,sentence_img
32,0.8125,0.9010416666666667,0.9064094733532073,0.8235294117647058,0.7777777777777778,0.875,sentence_img
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text
1,0.6041666666666666,0.6197916666666666,0.6161913308875361,0.6545454545454545,0.5806451612903226,0.75,sentence_text
2,0.6666666666666666,0.7135416666666666,0.6923638728897223,0.7037037037037037,0.6333333333333333,0.7916666666666666,sentence_text
3,0.5416666666666666,0.6180555555555555,0.5958509346282302,0.6206896551724138,0.5294117647058824,0.75,sentence_text
4,0.5625,0.5920138888888888,0.5570373407542475,0.6440677966101694,0.5428571428571428,0.7916666666666666,sentence_text
5,0.5833333333333334,0.578125,0.5478510740084966,0.6428571428571429,0.5625,0.75,sentence_text
6,0.6041666666666666,0.6336805555555556,0.6191214486852525,0.6545454545454545,0.5806451612903226,0.75,sentence_text
7,0.6041666666666666,0.701388888888889,0.7343975012450317,0.6779661016949152,0.5714285714285714,0.8333333333333334,sentence_text
8,0.7291666666666666,0.8072916666666666,0.8323700604770174,0.7636363636363637,0.6774193548387096,0.875,sentence_text
9,0.8958333333333334,0.9618055555555556,0.9553670173307321,0.9056603773584906,0.8275862068965517,1.0,sentence_text
10,0.9166666666666666,0.9652777777777777,0.9580548736759704,0.92,0.8846153846153846,0.9583333333333334,sentence_text
11,0.9375,0.96875,0.9659791655676535,0.9387755102040817,0.92,0.9583333333333334,sentence_text
