,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.8,0.8088888888888889,0.7616654826654827,0.8,0.8,0.8,sentence_all,0,"['color', 'shape']","['red', 'cube']"
1,0.8,0.8088888888888889,0.7616654826654827,0.8,0.8,0.8,sentence_all,1,"['color', 'shape']","['red', 'cube']"
2,0.8,0.8177777777777778,0.7613998159650334,0.8,0.8,0.8,sentence_all,2,"['color', 'shape']","['red', 'cube']"
3,0.8,0.8222222222222223,0.7655828746217762,0.8,0.8,0.8,sentence_all,3,"['color', 'shape']","['red', 'cube']"
4,0.8,0.8133333333333334,0.762225386699071,0.8,0.8,0.8,sentence_all,4,"['color', 'shape']","['red', 'cube']"
5,0.8,0.8133333333333334,0.7647162291899134,0.8,0.8,0.8,sentence_all,5,"['color', 'shape']","['red', 'cube']"
6,0.8,0.8266666666666667,0.7734896584896586,0.8,0.8,0.8,sentence_all,6,"['color', 'shape']","['red', 'cube']"
7,0.8,0.84,0.7845270307035014,0.8,0.8,0.8,sentence_all,7,"['color', 'shape']","['red', 'cube']"
8,0.8,0.8311111111111112,0.7814330136094843,0.8,0.8,0.8,sentence_all,8,"['color', 'shape']","['red', 'cube']"
9,0.8,0.8266666666666667,0.7786007696007696,0.8,0.8,0.8,sentence_all,9,"['color', 'shape']","['red', 'cube']"
10,0.7666666666666667,0.8266666666666667,0.7786007696007696,0.7741935483870968,0.75,0.8,sentence_all,10,"['color', 'shape']","['red', 'cube']"
11,0.8,0.8177777777777778,0.7703956413956414,0.8,0.8,0.8,sentence_all,11,"['color', 'shape']","['red', 'cube']"
12,0.7666666666666667,0.8488888888888888,0.7847101972101972,0.7586206896551724,0.7857142857142857,0.7333333333333333,sentence_all,12,"['color', 'shape']","['red', 'cube']"
13,0.7666666666666667,0.8311111111111111,0.7744908989645832,0.7586206896551724,0.7857142857142857,0.7333333333333333,sentence_all,13,"['color', 'shape']","['red', 'cube']"
14,0.8,0.8266666666666667,0.7691760091760093,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,14,"['color', 'shape']","['red', 'cube']"
15,0.8333333333333334,0.8711111111111112,0.8497065897065897,0.8275862068965517,0.8571428571428571,0.8,sentence_all,15,"['color', 'shape']","['red', 'cube']"
16,0.8,0.8533333333333333,0.8300488036165786,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,16,"['color', 'shape']","['red', 'cube']"
17,0.7666666666666667,0.8844444444444444,0.8757597032597032,0.7586206896551724,0.7857142857142857,0.7333333333333333,sentence_all,17,"['color', 'shape']","['red', 'cube']"
18,0.7666666666666667,0.8933333333333333,0.8970178731943437,0.7407407407407407,0.8333333333333334,0.6666666666666666,sentence_all,18,"['color', 'shape']","['red', 'cube']"
19,0.8,0.8755555555555555,0.8964205038118082,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,19,"['color', 'shape']","['red', 'cube']"
20,0.8,0.9466666666666668,0.9512908496732027,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,20,"['color', 'shape']","['red', 'cube']"
21,0.8,0.9466666666666668,0.9512908496732027,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,21,"['color', 'shape']","['red', 'cube']"
22,0.8,0.9333333333333333,0.9433543417366945,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_all,22,"['color', 'shape']","['red', 'cube']"
23,0.8333333333333334,0.9244444444444445,0.9339433551198255,0.8148148148148148,0.9166666666666666,0.7333333333333333,sentence_all,23,"['color', 'shape']","['red', 'cube']"
24,0.8333333333333334,0.9377777777777778,0.9457352941176469,0.8148148148148148,0.9166666666666666,0.7333333333333333,sentence_all,24,"['color', 'shape']","['red', 'cube']"
25,0.8666666666666667,0.9511111111111111,0.9557875079856504,0.8461538461538461,1.0,0.7333333333333333,sentence_all,25,"['color', 'shape']","['red', 'cube']"
26,0.8666666666666667,0.9688888888888889,0.9728696741854637,0.8461538461538461,1.0,0.7333333333333333,sentence_all,26,"['color', 'shape']","['red', 'cube']"
27,0.8666666666666667,0.9688888888888889,0.9716666666666667,0.8461538461538461,1.0,0.7333333333333333,sentence_all,27,"['color', 'shape']","['red', 'cube']"
28,0.8666666666666667,0.9733333333333334,0.9757936507936507,0.8461538461538461,1.0,0.7333333333333333,sentence_all,28,"['color', 'shape']","['red', 'cube']"
29,0.8666666666666667,0.9777777777777779,0.9815204678362572,0.8461538461538461,1.0,0.7333333333333333,sentence_all,29,"['color', 'shape']","['red', 'cube']"
30,0.8666666666666667,0.9733333333333334,0.9776315789473684,0.8461538461538461,1.0,0.7333333333333333,sentence_all,30,"['color', 'shape']","['red', 'cube']"
31,0.8333333333333334,0.9688888888888889,0.9723622782446311,0.8,1.0,0.6666666666666666,sentence_all,31,"['color', 'shape']","['red', 'cube']"
32,0.8,0.9422222222222223,0.9449711399711398,0.75,1.0,0.6,sentence_all,32,"['color', 'shape']","['red', 'cube']"
0,0.8,0.8133333333333334,0.7644977266741974,0.8,0.8,0.8,sentence_img,0,"['color', 'shape']","['red', 'cube']"
1,0.8,0.8177777777777778,0.7676840011840013,0.8,0.8,0.8,sentence_img,1,"['color', 'shape']","['red', 'cube']"
2,0.8,0.8222222222222222,0.7630664826317001,0.8,0.8,0.8,sentence_img,2,"['color', 'shape']","['red', 'cube']"
3,0.8,0.8222222222222223,0.7655828746217762,0.8,0.8,0.8,sentence_img,3,"['color', 'shape']","['red', 'cube']"
4,0.8,0.8222222222222223,0.7655828746217762,0.8,0.8,0.8,sentence_img,4,"['color', 'shape']","['red', 'cube']"
5,0.8,0.8266666666666667,0.7696121786510803,0.8,0.8,0.8,sentence_img,5,"['color', 'shape']","['red', 'cube']"
6,0.8,0.8400000000000001,0.7806566702218877,0.8,0.8,0.8,sentence_img,6,"['color', 'shape']","['red', 'cube']"
7,0.8,0.8488888888888889,0.7878845186262067,0.8,0.8,0.8,sentence_img,7,"['color', 'shape']","['red', 'cube']"
8,0.8,0.84,0.7845270307035014,0.8,0.8,0.8,sentence_img,8,"['color', 'shape']","['red', 'cube']"
9,0.8,0.8355555555555555,0.8134896584896585,0.8,0.8,0.8,sentence_img,9,"['color', 'shape']","['red', 'cube']"
10,0.7666666666666667,0.8266666666666667,0.7786007696007696,0.7741935483870968,0.75,0.8,sentence_img,10,"['color', 'shape']","['red', 'cube']"
11,0.8,0.8400000000000001,0.7806566702218877,0.8,0.8,0.8,sentence_img,11,"['color', 'shape']","['red', 'cube']"
12,0.7666666666666667,0.8577777777777778,0.7885419934332979,0.7586206896551724,0.7857142857142857,0.7333333333333333,sentence_img,12,"['color', 'shape']","['red', 'cube']"
13,0.7666666666666667,0.8355555555555556,0.7765111009847853,0.7586206896551724,0.7857142857142857,0.7333333333333333,sentence_img,13,"['color', 'shape']","['red', 'cube']"
14,0.8,0.8222222222222222,0.7658426758426758,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,14,"['color', 'shape']","['red', 'cube']"
15,0.8333333333333334,0.8622222222222222,0.8195446019359063,0.8275862068965517,0.8571428571428571,0.8,sentence_img,15,"['color', 'shape']","['red', 'cube']"
16,0.8,0.8533333333333333,0.8076816538581244,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,16,"['color', 'shape']","['red', 'cube']"
17,0.8,0.8844444444444444,0.8757597032597032,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,17,"['color', 'shape']","['red', 'cube']"
18,0.7666666666666667,0.8888888888888888,0.8919673681438387,0.7407407407407407,0.8333333333333334,0.6666666666666666,sentence_img,18,"['color', 'shape']","['red', 'cube']"
19,0.8,0.8755555555555555,0.8868453404131154,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,19,"['color', 'shape']","['red', 'cube']"
20,0.8,0.9377777777777778,0.9457352941176469,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,20,"['color', 'shape']","['red', 'cube']"
21,0.8,0.9422222222222223,0.9483668730650154,0.7857142857142857,0.8461538461538461,0.7333333333333333,sentence_img,21,"['color', 'shape']","['red', 'cube']"
22,0.8333333333333334,0.92,0.9343889134601209,0.8148148148148148,0.9166666666666666,0.7333333333333333,sentence_img,22,"['color', 'shape']","['red', 'cube']"
23,0.8333333333333334,0.9155555555555557,0.9251537042249116,0.8148148148148148,0.9166666666666666,0.7333333333333333,sentence_img,23,"['color', 'shape']","['red', 'cube']"
24,0.8333333333333334,0.9288888888888889,0.939498910675381,0.8148148148148148,0.9166666666666666,0.7333333333333333,sentence_img,24,"['color', 'shape']","['red', 'cube']"
25,0.8666666666666667,0.9422222222222223,0.9483668730650154,0.8461538461538461,1.0,0.7333333333333333,sentence_img,25,"['color', 'shape']","['red', 'cube']"
26,0.8666666666666667,0.9600000000000001,0.9636144849302744,0.8461538461538461,1.0,0.7333333333333333,sentence_img,26,"['color', 'shape']","['red', 'cube']"
27,0.8666666666666667,0.9600000000000001,0.963107088989442,0.8461538461538461,1.0,0.7333333333333333,sentence_img,27,"['color', 'shape']","['red', 'cube']"
28,0.8666666666666667,0.9644444444444444,0.967234073116426,0.8461538461538461,1.0,0.7333333333333333,sentence_img,28,"['color', 'shape']","['red', 'cube']"
29,0.8666666666666667,0.9466666666666668,0.955463822956083,0.8461538461538461,1.0,0.7333333333333333,sentence_img,29,"['color', 'shape']","['red', 'cube']"
30,0.8333333333333334,0.9644444444444445,0.9711500974658869,0.8,1.0,0.6666666666666666,sentence_img,30,"['color', 'shape']","['red', 'cube']"
31,0.8333333333333334,0.9555555555555556,0.9617002063983486,0.8,1.0,0.6666666666666666,sentence_img,31,"['color', 'shape']","['red', 'cube']"
32,0.7666666666666667,0.9377777777777778,0.9425901875901874,0.72,0.9,0.6,sentence_img,32,"['color', 'shape']","['red', 'cube']"
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,"['color', 'shape']","['red', 'cube']"
1,0.5,0.5555555555555556,0.5723186695846542,0.5161290322580645,0.5,0.5333333333333333,sentence_text,1,"['color', 'shape']","['red', 'cube']"
2,0.5666666666666667,0.6577777777777778,0.6439886121790146,0.6060606060606061,0.5555555555555556,0.6666666666666666,sentence_text,2,"['color', 'shape']","['red', 'cube']"
3,0.5333333333333333,0.6,0.6584738015607581,0.5882352941176471,0.5263157894736842,0.6666666666666666,sentence_text,3,"['color', 'shape']","['red', 'cube']"
4,0.5,0.5866666666666667,0.6081399657635356,0.5714285714285714,0.5,0.6666666666666666,sentence_text,4,"['color', 'shape']","['red', 'cube']"
5,0.5666666666666667,0.6666666666666666,0.687508563076027,0.6060606060606061,0.5555555555555556,0.6666666666666666,sentence_text,5,"['color', 'shape']","['red', 'cube']"
6,0.5333333333333333,0.6444444444444444,0.6696339473730778,0.5625,0.5294117647058824,0.6,sentence_text,6,"['color', 'shape']","['red', 'cube']"
7,0.6333333333333333,0.6844444444444444,0.665876223615354,0.6451612903225806,0.625,0.6666666666666666,sentence_text,7,"['color', 'shape']","['red', 'cube']"
8,0.7,0.8622222222222222,0.8738394503100384,0.7096774193548387,0.6875,0.7333333333333333,sentence_text,8,"['color', 'shape']","['red', 'cube']"
9,0.9333333333333333,0.9733333333333334,0.972266752854988,0.9333333333333333,0.9333333333333333,0.9333333333333333,sentence_text,9,"['color', 'shape']","['red', 'cube']"
10,0.9,0.92,0.9033895733895734,0.9032258064516129,0.875,0.9333333333333333,sentence_text,10,"['color', 'shape']","['red', 'cube']"
11,0.9,0.9555555555555556,0.9482431838314191,0.9032258064516129,0.875,0.9333333333333333,sentence_text,11,"['color', 'shape']","['red', 'cube']"
12,0.9333333333333333,0.9777777777777777,0.9759432234432233,0.9375,0.8823529411764706,1.0,sentence_text,12,"['color', 'shape']","['red', 'cube']"
13,0.9333333333333333,0.9911111111111112,0.9913888888888889,0.9375,0.8823529411764706,1.0,sentence_text,13,"['color', 'shape']","['red', 'cube']"
14,0.9333333333333333,1.0,1.0,0.9375,0.8823529411764706,1.0,sentence_text,14,"['color', 'shape']","['red', 'cube']"
15,0.9666666666666667,1.0,1.0,0.967741935483871,0.9375,1.0,sentence_text,15,"['color', 'shape']","['red', 'cube']"
16,0.9333333333333333,1.0,1.0,0.9375,0.8823529411764706,1.0,sentence_text,16,"['color', 'shape']","['red', 'cube']"
17,0.9333333333333333,1.0,1.0,0.9375,0.8823529411764706,1.0,sentence_text,17,"['color', 'shape']","['red', 'cube']"
