,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,0.8,0.8688,0.8875928650028125,0.7916666666666666,0.8260869565217391,0.76,sentence_all,0
1,0.8,0.8688,0.885870074437311,0.7916666666666666,0.8260869565217391,0.76,sentence_all,1
2,0.74,0.8064,0.7819061128510039,0.7346938775510204,0.75,0.72,sentence_all,2
3,0.76,0.8192,0.7938619431192515,0.76,0.76,0.76,sentence_all,3
4,0.74,0.8208000000000001,0.7948081796783915,0.7346938775510204,0.75,0.72,sentence_all,4
5,0.7,0.8208,0.7964354521667829,0.6938775510204082,0.7083333333333334,0.68,sentence_all,5
6,0.72,0.8272,0.800253635805585,0.7083333333333334,0.7391304347826086,0.68,sentence_all,6
7,0.72,0.8224,0.7993739758743588,0.72,0.72,0.72,sentence_all,7
8,0.7,0.8271999999999999,0.8029001546858784,0.6938775510204082,0.7083333333333334,0.68,sentence_all,8
9,0.7,0.824,0.7983531042660631,0.6938775510204082,0.7083333333333334,0.68,sentence_all,9
10,0.72,0.8304,0.8071758395129364,0.72,0.72,0.72,sentence_all,10
11,0.78,0.8351999999999999,0.8090927156303549,0.7755102040816326,0.7916666666666666,0.76,sentence_all,11
12,0.8,0.8256,0.8051332509912563,0.8,0.8,0.8,sentence_all,12
13,0.78,0.8368,0.832134020867074,0.7924528301886793,0.75,0.84,sentence_all,13
14,0.76,0.8512,0.8111462027759349,0.7777777777777778,0.7241379310344828,0.84,sentence_all,14
15,0.76,0.8480000000000001,0.8271062375625258,0.76,0.76,0.76,sentence_all,15
16,0.8,0.8656,0.8336233635104603,0.8,0.8,0.8,sentence_all,16
17,0.84,0.8816,0.8587245298045749,0.84,0.84,0.84,sentence_all,17
18,0.82,0.8959999999999999,0.8905564832700508,0.8163265306122449,0.8333333333333334,0.8,sentence_all,18
19,0.82,0.9072,0.9131455518579499,0.8163265306122449,0.8333333333333334,0.8,sentence_all,19
20,0.84,0.9168,0.9122526468833825,0.8333333333333334,0.8695652173913043,0.8,sentence_all,20
21,0.88,0.9152,0.9209538953933267,0.875,0.9130434782608695,0.84,sentence_all,21
22,0.86,0.9232,0.9294149974475322,0.8571428571428571,0.875,0.84,sentence_all,22
23,0.86,0.9216,0.9298058020452333,0.8627450980392157,0.8461538461538461,0.88,sentence_all,23
24,0.86,0.9264,0.9332861796766091,0.8627450980392157,0.8461538461538461,0.88,sentence_all,24
25,0.9,0.9392,0.945317795941635,0.8979591836734694,0.9166666666666666,0.88,sentence_all,25
26,0.84,0.9376,0.9448057894296286,0.84,0.84,0.84,sentence_all,26
27,0.88,0.9408000000000001,0.9469103863342254,0.88,0.88,0.88,sentence_all,27
28,0.88,0.9408000000000001,0.9479169739495087,0.88,0.88,0.88,sentence_all,28
29,0.88,0.9392,0.9481230097447939,0.88,0.88,0.88,sentence_all,29
30,0.86,0.9376000000000001,0.9458672445276566,0.8571428571428571,0.875,0.84,sentence_all,30
31,0.86,0.928,0.9397326363300047,0.8627450980392157,0.8461538461538461,0.88,sentence_all,31
32,0.82,0.9328000000000001,0.9449489304812835,0.8235294117647058,0.8076923076923077,0.84,sentence_all,32
0,0.8,0.8799999999999999,0.8840198638315757,0.8,0.8,0.8,sentence_img,0
1,0.8,0.8752,0.8818962127079246,0.8,0.8,0.8,sentence_img,1
2,0.78,0.8656,0.8748591140541606,0.7755102040816326,0.7916666666666666,0.76,sentence_img,2
3,0.8,0.8672000000000001,0.8745291095886063,0.8,0.8,0.8,sentence_img,3
4,0.8,0.8672,0.8780964734916947,0.8,0.8,0.8,sentence_img,4
5,0.78,0.864,0.8795564171213437,0.7755102040816326,0.7916666666666666,0.76,sentence_img,5
6,0.76,0.8672000000000001,0.8835375237340293,0.75,0.782608695652174,0.72,sentence_img,6
7,0.8,0.872,0.8901961947712712,0.7916666666666666,0.8260869565217391,0.76,sentence_img,7
8,0.78,0.8768,0.8933397484868074,0.7659574468085106,0.8181818181818182,0.72,sentence_img,8
9,0.78,0.8784,0.8954485008656825,0.7659574468085106,0.8181818181818182,0.72,sentence_img,9
10,0.78,0.8784,0.8957174836762722,0.7659574468085106,0.8181818181818182,0.72,sentence_img,10
11,0.78,0.8688,0.888009159320889,0.7659574468085106,0.8181818181818182,0.72,sentence_img,11
12,0.76,0.8736,0.8942002306366564,0.75,0.782608695652174,0.72,sentence_img,12
13,0.78,0.8640000000000001,0.8909435858703396,0.7659574468085106,0.8181818181818182,0.72,sentence_img,13
14,0.8,0.8816,0.9075326803212791,0.7916666666666666,0.8260869565217391,0.76,sentence_img,14
15,0.76,0.8704,0.8982930422611275,0.75,0.782608695652174,0.72,sentence_img,15
16,0.78,0.8704,0.8925662584492844,0.7755102040816326,0.7916666666666666,0.76,sentence_img,16
17,0.78,0.8944,0.9097864662260553,0.7755102040816326,0.7916666666666666,0.76,sentence_img,17
18,0.72,0.8912,0.9043816836172006,0.7083333333333334,0.7391304347826086,0.68,sentence_img,18
19,0.74,0.8912,0.9078930877283944,0.723404255319149,0.7727272727272727,0.68,sentence_img,19
20,0.8,0.9072,0.9167167928520341,0.782608695652174,0.8571428571428571,0.72,sentence_img,20
21,0.82,0.9119999999999999,0.9206632774413814,0.8,0.9,0.72,sentence_img,21
22,0.8,0.9152,0.9194939025661243,0.782608695652174,0.8571428571428571,0.72,sentence_img,22
23,0.84,0.9088,0.9155181195902758,0.8260869565217391,0.9047619047619048,0.76,sentence_img,23
24,0.82,0.9056,0.9153175016634221,0.8085106382978723,0.8636363636363636,0.76,sentence_img,24
25,0.84,0.92,0.9303616375958885,0.8333333333333334,0.8695652173913043,0.8,sentence_img,25
26,0.84,0.9104000000000001,0.9217917655100318,0.8333333333333334,0.8695652173913043,0.8,sentence_img,26
27,0.84,0.9136000000000001,0.9234262192915444,0.8333333333333334,0.8695652173913043,0.8,sentence_img,27
28,0.84,0.9088,0.918239309270619,0.8333333333333334,0.8695652173913043,0.8,sentence_img,28
29,0.82,0.9024000000000001,0.9156964538729245,0.8,0.9,0.72,sentence_img,29
30,0.82,0.92,0.929810261477195,0.8163265306122449,0.8333333333333334,0.8,sentence_img,30
31,0.84,0.9168000000000001,0.9265843233845263,0.8260869565217391,0.9047619047619048,0.76,sentence_img,31
32,0.84,0.9168000000000001,0.9270430269692419,0.84,0.84,0.84,sentence_img,32
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0
1,0.74,0.8368,0.8276806022346751,0.6666666666666666,0.9285714285714286,0.52,sentence_text,1
2,0.46,0.496,0.5290694234470397,0.509090909090909,0.4666666666666667,0.56,sentence_text,2
3,0.46,0.5168,0.5360044619883294,0.49056603773584906,0.4642857142857143,0.52,sentence_text,3
4,0.48,0.5136000000000001,0.5358252938724918,0.5185185185185185,0.4827586206896552,0.56,sentence_text,4
5,0.5,0.5264,0.5441660994703379,0.5283018867924528,0.5,0.56,sentence_text,5
6,0.5,0.5376,0.5501581485337312,0.5283018867924528,0.5,0.56,sentence_text,6
7,0.48,0.5488,0.5627035874575003,0.5,0.48148148148148145,0.52,sentence_text,7
8,0.5,0.5664,0.5833238249051687,0.5283018867924528,0.5,0.56,sentence_text,8
9,0.52,0.5728,0.5845012269449587,0.5384615384615384,0.5185185185185185,0.56,sentence_text,9
10,0.54,0.616,0.6190769493976201,0.5490196078431373,0.5384615384615384,0.56,sentence_text,10
11,0.56,0.6512,0.658364300524964,0.56,0.56,0.56,sentence_text,11
12,0.62,0.6864,0.6797345558366199,0.6545454545454545,0.6,0.72,sentence_text,12
13,0.68,0.7424000000000001,0.7193820074805424,0.6923076923076923,0.6666666666666666,0.72,sentence_text,13
14,0.72,0.7472,0.6986116991648496,0.7083333333333334,0.7391304347826086,0.68,sentence_text,14
15,0.72,0.7888,0.747891178841798,0.7083333333333334,0.7391304347826086,0.68,sentence_text,15
16,0.74,0.7984,0.758895287792889,0.7346938775510204,0.75,0.72,sentence_text,16
17,0.76,0.824,0.7887426977929262,0.75,0.782608695652174,0.72,sentence_text,17
18,0.74,0.8512,0.8400377874139221,0.7346938775510204,0.75,0.72,sentence_text,18
19,0.76,0.8512,0.8604955706589833,0.7692307692307693,0.7407407407407407,0.8,sentence_text,19
20,0.82,0.872,0.8620871371799992,0.8163265306122449,0.8333333333333334,0.8,sentence_text,20
21,0.8,0.888,0.8729244947370817,0.8,0.8,0.8,sentence_text,21
22,0.86,0.9056000000000001,0.8659143800292677,0.8571428571428571,0.875,0.84,sentence_text,22
23,0.88,0.9088,0.8691451013776361,0.88,0.88,0.88,sentence_text,23
24,0.9,0.9136,0.854261271206001,0.8979591836734694,0.9166666666666666,0.88,sentence_text,24
25,0.92,0.9248,0.8813046593151991,0.92,0.92,0.92,sentence_text,25
26,0.9,0.9263999999999999,0.8819794231478577,0.8979591836734694,0.9166666666666666,0.88,sentence_text,26
27,0.9,0.9248,0.8939969670075067,0.8979591836734694,0.9166666666666666,0.88,sentence_text,27
28,0.9,0.9232,0.8925815823921222,0.8979591836734694,0.9166666666666666,0.88,sentence_text,28
29,0.9,0.9264,0.8951519167922988,0.8979591836734694,0.9166666666666666,0.88,sentence_text,29
30,0.9,0.9296,0.9124259908663729,0.8979591836734694,0.9166666666666666,0.88,sentence_text,30
31,0.9,0.9232,0.8932915609174222,0.8979591836734694,0.9166666666666666,0.88,sentence_text,31
32,0.9,0.9152,0.8851764188035016,0.8979591836734694,0.9166666666666666,0.88,sentence_text,32
0,0.5,0.5552,0.5960591437965366,0.4897959183673469,0.5,0.48,token_all,0
1,0.5,0.5552,0.5960591437965366,0.4897959183673469,0.5,0.48,token_all,1
2,0.54,0.5536,0.584845307315649,0.5490196078431373,0.5384615384615384,0.56,token_all,2
3,0.54,0.5584,0.596972291442633,0.5490196078431373,0.5384615384615384,0.56,token_all,3
4,0.54,0.5568,0.5954455824676481,0.5490196078431373,0.5384615384615384,0.56,token_all,4
5,0.52,0.5568,0.5945304508455573,0.52,0.52,0.52,token_all,5
6,0.54,0.5568,0.600831189748377,0.5490196078431373,0.5384615384615384,0.56,token_all,6
7,0.54,0.5568,0.5965392200323734,0.5490196078431373,0.5384615384615384,0.56,token_all,7
8,0.54,0.5616,0.6066823079473214,0.5490196078431373,0.5384615384615384,0.56,token_all,8
9,0.56,0.5552,0.5992814653423999,0.5769230769230769,0.5555555555555556,0.6,token_all,9
10,0.56,0.5680000000000001,0.6096579330296867,0.5769230769230769,0.5555555555555556,0.6,token_all,10
11,0.54,0.5744,0.617203171193256,0.5490196078431373,0.5384615384615384,0.56,token_all,11
12,0.54,0.5728,0.6153367854980596,0.5490196078431373,0.5384615384615384,0.56,token_all,12
13,0.56,0.5791999999999999,0.6095898170769606,0.5925925925925926,0.5517241379310345,0.64,token_all,13
14,0.56,0.5856,0.6124624388123873,0.5769230769230769,0.5555555555555556,0.6,token_all,14
15,0.6,0.5792,0.6090225577775005,0.6296296296296297,0.5862068965517241,0.68,token_all,15
16,0.6,0.5840000000000001,0.6135960887862126,0.6296296296296297,0.5862068965517241,0.68,token_all,16
17,0.58,0.5952000000000001,0.6236358217794724,0.6037735849056604,0.5714285714285714,0.64,token_all,17
18,0.6,0.592,0.6206289463247151,0.6153846153846154,0.5925925925925926,0.64,token_all,18
19,0.64,0.6175999999999999,0.6462683514774596,0.6538461538461539,0.6296296296296297,0.68,token_all,19
20,0.58,0.624,0.6549779848044464,0.6037735849056604,0.5714285714285714,0.64,token_all,20
