,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.7,0.76,0.6784920634920635,0.6666666666666666,0.75,0.6,sentence_all,0,0
1,0.7,0.74,0.7628008021390373,0.7272727272727273,0.6666666666666666,0.8,sentence_all,7,0
2,0.7,0.7400000000000001,0.8058458646616541,0.7272727272727273,0.6666666666666666,0.8,sentence_all,14,0
3,0.8,0.87,0.8984523809523809,0.8,0.8,0.8,sentence_all,21,0
4,0.9,0.9400000000000001,0.9503174603174603,0.9,0.9,0.9,sentence_all,28,0
0,0.7,0.8500000000000001,0.7529292929292929,0.6666666666666666,0.75,0.6,sentence_img,0,0
1,0.65,0.78,0.7916545872428224,0.5882352941176471,0.7142857142857143,0.5,sentence_img,7,0
2,0.7,0.72,0.7886554621848738,0.7,0.7,0.7,sentence_img,14,0
3,0.8,0.8600000000000001,0.8792600373482725,0.7777777777777778,0.875,0.7,sentence_img,21,0
4,0.85,0.9500000000000001,0.9497222222222222,0.8421052631578947,0.8888888888888888,0.8,sentence_img,28,0
0,0.4,0.44,0.5753377126829139,0.4,0.4,0.4,sentence_text,0,0
1,0.55,0.71,0.7306944444444444,0.64,0.5333333333333333,0.8,sentence_text,7,0
2,0.6,0.64,0.6803659279317174,0.6363636363636364,0.5833333333333334,0.7,sentence_text,14,0
3,0.7,0.76,0.7717748917748918,0.7272727272727273,0.6666666666666666,0.8,sentence_text,21,0
4,0.9,0.92,0.9555555555555556,0.9,0.9,0.9,sentence_text,28,0
0,0.25,0.37000000000000005,0.44765637140637143,0.11764705882352941,0.14285714285714285,0.1,token_all,0,0
1,0.25,0.36000000000000004,0.444323038073038,0.11764705882352941,0.14285714285714285,0.1,token_all,7,0
2,0.25,0.34,0.43768088121029297,0.11764705882352941,0.14285714285714285,0.1,token_all,14,0
3,0.3,0.32,0.4315697700991819,0.125,0.16666666666666666,0.1,token_all,21,0
4,0.25,0.29,0.4222445150308927,0.11764705882352941,0.14285714285714285,0.1,token_all,28,0
0,0.45,0.38999999999999996,0.5275558806518559,0.5217391304347826,0.46153846153846156,0.6,token_img,0,0
1,0.4,0.38999999999999996,0.5275558806518559,0.45454545454545453,0.4166666666666667,0.5,token_img,7,0
2,0.45,0.38999999999999996,0.5248363779323532,0.5217391304347826,0.46153846153846156,0.6,token_img,14,0
3,0.45,0.38,0.5202909233868986,0.47619047619047616,0.45454545454545453,0.5,token_img,21,0
4,0.55,0.41000000000000003,0.5186135647977753,0.6086956521739131,0.5384615384615384,0.7,token_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,0
1,0.35,0.27,0.39994598238019285,0.3157894736842105,0.3333333333333333,0.3,token_text,7,0
2,0.35,0.29,0.4051919404125286,0.3157894736842105,0.3333333333333333,0.3,token_text,14,0
3,0.35,0.37,0.4316466376760495,0.3157894736842105,0.3333333333333333,0.3,token_text,21,0
4,0.4,0.35,0.42415755297334246,0.4,0.4,0.4,token_text,28,0
0,0.55,0.58,0.5986679935131948,0.5714285714285714,0.5454545454545454,0.6,sentence_all,0,1
1,0.6,0.64,0.6235569985569986,0.6,0.6,0.6,sentence_all,7,1
2,0.45,0.49,0.4986525974025974,0.42105263157894735,0.4444444444444444,0.4,sentence_all,14,1
3,0.85,0.9500000000000001,0.9540404040404039,0.8421052631578947,0.8888888888888888,0.8,sentence_all,21,1
4,0.95,0.99,0.9909090909090909,0.9473684210526315,1.0,0.9,sentence_all,28,1
0,0.7,0.78,0.8226190476190475,0.7,0.7,0.7,sentence_img,0,1
1,0.65,0.8,0.8308320764203118,0.6666666666666666,0.6363636363636364,0.7,sentence_img,7,1
2,0.6,0.6,0.6424108734402851,0.5555555555555556,0.625,0.5,sentence_img,14,1
3,0.8,0.9600000000000001,0.9651515151515152,0.8,0.8,0.8,sentence_img,21,1
4,0.9,0.9700000000000001,0.9733333333333333,0.9,0.9,0.9,sentence_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,1
1,0.35,0.38,0.46598401082921204,0.38095238095238093,0.36363636363636365,0.4,sentence_text,7,1
2,0.45,0.48,0.5534384569678688,0.42105263157894735,0.4444444444444444,0.4,sentence_text,14,1
3,0.65,0.8699999999999999,0.8803646353646354,0.631578947368421,0.6666666666666666,0.6,sentence_text,21,1
4,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,sentence_text,28,1
0,0.45,0.42999999999999994,0.546479169265547,0.42105263157894735,0.4444444444444444,0.4,token_all,0,1
1,0.4,0.43000000000000005,0.5444553597417374,0.3333333333333333,0.375,0.3,token_all,7,1
2,0.4,0.45000000000000007,0.5510394670688789,0.3333333333333333,0.375,0.3,token_all,14,1
3,0.45,0.43,0.49670495655015773,0.35294117647058826,0.42857142857142855,0.3,token_all,21,1
4,0.45,0.48,0.5733932682384694,0.42105263157894735,0.4444444444444444,0.4,token_all,28,1
0,0.55,0.41000000000000003,0.5075423239471227,0.47058823529411764,0.5714285714285714,0.4,token_img,0,1
1,0.55,0.4,0.490875657280456,0.47058823529411764,0.5714285714285714,0.4,token_img,7,1
2,0.5,0.4,0.4811534350582338,0.375,0.5,0.3,token_img,14,1
3,0.55,0.45999999999999996,0.5602239478787466,0.47058823529411764,0.5714285714285714,0.4,token_img,21,1
4,0.55,0.56,0.6365350877192981,0.47058823529411764,0.5714285714285714,0.4,token_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,1
1,0.45,0.43000000000000005,0.5254527060486812,0.47619047619047616,0.45454545454545453,0.5,token_text,7,1
2,0.45,0.47000000000000003,0.5766300366300366,0.47619047619047616,0.45454545454545453,0.5,token_text,14,1
3,0.5,0.44,0.5929239766081871,0.5,0.5,0.5,token_text,21,1
4,0.45,0.46,0.6056223893065997,0.47619047619047616,0.45454545454545453,0.5,token_text,28,1
0,0.55,0.71,0.8156762192056309,0.5714285714285714,0.5454545454545454,0.6,sentence_all,0,2
1,0.45,0.5599999999999999,0.6701540616246497,0.5217391304347826,0.46153846153846156,0.6,sentence_all,7,2
2,0.45,0.5499999999999999,0.6535456700162582,0.56,0.4666666666666667,0.7,sentence_all,14,2
3,0.8,0.85,0.9039624183006535,0.8,0.8,0.8,sentence_all,21,2
4,0.85,0.9,0.9317307692307691,0.8421052631578947,0.8888888888888888,0.8,sentence_all,28,2
0,0.75,0.78,0.8499941643323995,0.7368421052631579,0.7777777777777778,0.7,sentence_img,0,2
1,0.7,0.78,0.8345179738562091,0.6666666666666666,0.75,0.6,sentence_img,7,2
2,0.7,0.7100000000000001,0.7958855472013366,0.7,0.7,0.7,sentence_img,14,2
3,0.85,0.88,0.9231092436974789,0.8421052631578947,0.8888888888888888,0.8,sentence_img,21,2
4,0.9,0.93,0.9525,0.8888888888888888,1.0,0.8,sentence_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,2
1,0.3,0.30999999999999994,0.4935287966247719,0.36363636363636365,0.3333333333333333,0.4,sentence_text,7,2
2,0.4,0.42000000000000004,0.47683451051872106,0.5714285714285714,0.4444444444444444,0.8,sentence_text,14,2
3,0.55,0.8,0.8620958646616541,0.64,0.5333333333333333,0.8,sentence_text,21,2
4,0.75,0.85,0.890609243697479,0.7619047619047619,0.7272727272727273,0.8,sentence_text,28,2
0,0.5,0.48,0.4851755189255189,0.5,0.5,0.5,token_all,0,2
1,0.5,0.47000000000000003,0.5024404761904762,0.5,0.5,0.5,token_all,7,2
2,0.5,0.44999999999999996,0.479207965237377,0.5,0.5,0.5,token_all,14,2
3,0.5,0.5,0.5593028703322821,0.5,0.5,0.5,token_all,21,2
4,0.65,0.54,0.5868830730672836,0.6956521739130435,0.6153846153846154,0.8,token_all,28,2
0,0.45,0.51,0.6109795321637426,0.56,0.4666666666666667,0.7,token_img,0,2
1,0.45,0.52,0.6443128654970759,0.56,0.4666666666666667,0.7,token_img,7,2
2,0.45,0.51,0.6109795321637426,0.56,0.4666666666666667,0.7,token_img,14,2
3,0.45,0.52,0.6199081035923141,0.56,0.4666666666666667,0.7,token_img,21,2
4,0.4,0.52,0.6465747702589807,0.5384615384615384,0.4375,0.7,token_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,2
1,0.6,0.48999999999999994,0.5465747702589807,0.5555555555555556,0.625,0.5,token_text,7,2
2,0.55,0.48,0.5299081035923141,0.5263157894736842,0.5555555555555556,0.5,token_text,14,2
3,0.5,0.47,0.5244535581377686,0.5,0.5,0.5,token_text,21,2
4,0.6,0.49,0.5503247702589809,0.6,0.6,0.6,token_text,28,2
0,0.7,0.8200000000000001,0.8386752136752137,0.625,0.8333333333333334,0.5,sentence_all,0,3
1,0.75,0.8600000000000001,0.8951515151515151,0.6666666666666666,1.0,0.5,sentence_all,7,3
2,0.8,0.87,0.9218623481781375,0.75,1.0,0.6,sentence_all,14,3
3,0.9,0.99,0.9909090909090909,0.8888888888888888,1.0,0.8,sentence_all,21,3
4,0.95,1.0,0.9999999999999999,0.9473684210526315,1.0,0.9,sentence_all,28,3
0,0.7,0.87,0.8782142857142857,0.625,0.8333333333333334,0.5,sentence_img,0,3
1,0.7,0.8300000000000002,0.8711236424394319,0.625,0.8333333333333334,0.5,sentence_img,7,3
2,0.85,0.81,0.8572420634920633,0.8421052631578947,0.8888888888888888,0.8,sentence_img,14,3
3,0.85,0.98,0.9809090909090908,0.8421052631578947,0.8888888888888888,0.8,sentence_img,21,3
4,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,sentence_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,3
1,0.6,0.61,0.6647635207929325,0.5555555555555556,0.625,0.5,sentence_text,7,3
2,0.8,0.8200000000000001,0.8729901960784313,0.75,1.0,0.6,sentence_text,14,3
3,0.8,0.9400000000000001,0.9566666666666667,0.75,1.0,0.6,sentence_text,21,3
4,0.9,1.0,0.9999999999999999,0.8888888888888888,1.0,0.8,sentence_text,28,3
