,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.8,0.84,0.8761904761904762,0.8333333333333334,0.7142857142857143,1.0,sentence_all,0,0
1,0.7,0.6,0.6592857142857143,0.7692307692307693,0.625,1.0,sentence_all,7,0
2,0.6,0.68,0.7592857142857143,0.6666666666666666,0.5714285714285714,0.8,sentence_all,14,0
3,0.9,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,sentence_all,21,0
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,28,0
0,0.8,0.84,0.8761904761904762,0.8333333333333334,0.7142857142857143,1.0,sentence_img,0,0
1,0.7,0.6,0.6592857142857143,0.7692307692307693,0.625,1.0,sentence_img,7,0
2,0.6,0.6799999999999999,0.7753968253968253,0.6666666666666666,0.5714285714285714,0.8,sentence_img,14,0
3,0.9,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,sentence_img,21,0
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,0
1,0.6,0.72,0.7783333333333333,0.6666666666666666,0.5714285714285714,0.8,sentence_text,7,0
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,0
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21,0
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,0
0,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_all,0,0
1,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_all,7,0
2,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_all,14,0
3,0.3,0.28,0.44126984126984126,0.36363636363636365,0.3333333333333333,0.4,token_all,21,0
4,0.3,0.28,0.44126984126984126,0.36363636363636365,0.3333333333333333,0.4,token_all,28,0
0,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_img,0,0
1,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_img,7,0
2,0.4,0.28,0.44126984126984126,0.4,0.4,0.4,token_img,14,0
3,0.3,0.28,0.44126984126984126,0.36363636363636365,0.3333333333333333,0.4,token_img,21,0
4,0.3,0.28,0.44126984126984126,0.36363636363636365,0.3333333333333333,0.4,token_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,0
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,0
2,0.6,1.0,1.0,0.3333333333333333,1.0,0.2,token_text,14,0
3,1.0,1.0,1.0,1.0,1.0,1.0,token_text,21,0
4,0.7,0.76,0.8083333333333333,0.7272727272727273,0.6666666666666666,0.8,token_text,28,0
0,0.8,0.9600000000000001,0.9666666666666666,0.8,0.8,0.8,sentence_all,0,1
1,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,7,1
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,14,1
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,21,1
4,0.9,1.0,1.0,0.8888888888888888,1.0,0.8,sentence_all,28,1
0,0.8,0.9600000000000001,0.9666666666666666,0.8,0.8,0.8,sentence_img,0,1
1,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,7,1
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,14,1
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,21,1
4,0.9,1.0,1.0,0.8888888888888888,1.0,0.8,sentence_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,1
1,0.7,0.8,0.8711111111111112,0.6666666666666666,0.75,0.6,sentence_text,7,1
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,1
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21,1
4,0.9,1.0,1.0,0.8888888888888888,1.0,0.8,sentence_text,28,1
0,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_all,0,1
1,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_all,7,1
2,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_all,14,1
3,0.5,0.72,0.7892857142857141,0.5454545454545454,0.5,0.6,token_all,21,1
4,0.5,0.76,0.8392857142857142,0.5454545454545454,0.5,0.6,token_all,28,1
0,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_img,0,1
1,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_img,7,1
2,0.5,0.64,0.7392857142857143,0.5454545454545454,0.5,0.6,token_img,14,1
3,0.5,0.72,0.7892857142857141,0.5454545454545454,0.5,0.6,token_img,21,1
4,0.5,0.76,0.8392857142857142,0.5454545454545454,0.5,0.6,token_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,1
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,1
