,0,Mean over,prompt,layers
0,100,All,With Image,0
1,100,All,With Image,1
2,100,All,With Image,2
3,100,All,With Image,3
4,100,All,With Image,4
5,100,All,With Image,5
6,100,All,With Image,6
7,100,All,With Image,7
8,100,All,With Image,8
9,100,All,With Image,9
10,100,All,With Image,10
11,100,All,With Image,11
12,100,All,With Image,12
13,100,All,With Image,13
14,100,All,With Image,14
15,100,All,With Image,15
16,100,All,With Image,16
17,100,All,With Image,17
18,100,All,With Image,18
19,100,All,With Image,19
20,100,All,With Image,20
21,100,All,With Image,21
22,100,All,With Image,22
23,100,All,With Image,23
24,100,All,With Image,24
25,100,All,With Image,25
26,100,All,With Image,26
27,100,All,With Image,27
28,100,All,With Image,28
29,100,All,With Image,29
30,100,All,With Image,30
31,100,All,With Image,31
32,100,All,With Image,32
0,100,Image,With Image,0
1,100,Image,With Image,1
2,100,Image,With Image,2
3,100,Image,With Image,3
4,100,Image,With Image,4
5,100,Image,With Image,5
6,100,Image,With Image,6
7,100,Image,With Image,7
8,100,Image,With Image,8
9,100,Image,With Image,9
10,100,Image,With Image,10
11,100,Image,With Image,11
12,100,Image,With Image,12
13,100,Image,With Image,13
14,100,Image,With Image,14
15,100,Image,With Image,15
16,100,Image,With Image,16
17,100,Image,With Image,17
18,100,Image,With Image,18
19,100,Image,With Image,19
20,100,Image,With Image,20
21,100,Image,With Image,21
22,100,Image,With Image,22
23,100,Image,With Image,23
24,100,Image,With Image,24
25,100,Image,With Image,25
26,100,Image,With Image,26
27,100,Image,With Image,27
28,100,Image,With Image,28
29,100,Image,With Image,29
30,100,Image,With Image,30
31,100,Image,With Image,31
32,100,Image,With Image,32
0,14,Text,With Image,0
1,39,Text,With Image,1
2,82,Text,With Image,2
3,100,Text,With Image,3
4,100,Text,With Image,4
5,100,Text,With Image,5
6,100,Text,With Image,6
7,100,Text,With Image,7
8,100,Text,With Image,8
9,100,Text,With Image,9
10,100,Text,With Image,10
11,100,Text,With Image,11
12,100,Text,With Image,12
13,100,Text,With Image,13
14,100,Text,With Image,14
15,100,Text,With Image,15
16,100,Text,With Image,16
17,100,Text,With Image,17
18,100,Text,With Image,18
19,100,Text,With Image,19
20,100,Text,With Image,20
21,100,Text,With Image,21
22,100,Text,With Image,22
23,100,Text,With Image,23
24,100,Text,With Image,24
25,100,Text,With Image,25
26,100,Text,With Image,26
27,100,Text,With Image,27
28,100,Text,With Image,28
29,100,Text,With Image,29
30,100,Text,With Image,30
31,100,Text,With Image,31
32,100,Text,With Image,32
0,14,Text only,Without Image,0
1,17,Text only,Without Image,1
2,16,Text only,Without Image,2
3,33,Text only,Without Image,3
4,63,Text only,Without Image,4
5,94,Text only,Without Image,5
6,100,Text only,Without Image,6
7,100,Text only,Without Image,7
8,100,Text only,Without Image,8
9,100,Text only,Without Image,9
10,100,Text only,Without Image,10
11,100,Text only,Without Image,11
12,100,Text only,Without Image,12
13,100,Text only,Without Image,13
14,100,Text only,Without Image,14
15,100,Text only,Without Image,15
16,100,Text only,Without Image,16
17,100,Text only,Without Image,17
18,100,Text only,Without Image,18
19,100,Text only,Without Image,19
20,100,Text only,Without Image,20
21,100,Text only,Without Image,21
22,100,Text only,Without Image,22
23,100,Text only,Without Image,23
24,100,Text only,Without Image,24
25,100,Text only,Without Image,25
26,100,Text only,Without Image,26
27,100,Text only,Without Image,27
28,100,Text only,Without Image,28
29,100,Text only,Without Image,29
30,100,Text only,Without Image,30
31,100,Text only,Without Image,31
32,100,Text only,Without Image,32
