,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.9552238805970149,0.9933256616800921,0.9916568400410032,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,0,shape,cone
1,0.9552238805970149,0.9935558112773303,0.9920133462798624,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,1,shape,cone
2,0.9552238805970149,0.9935558112773303,0.9920133462798624,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,2,shape,cone
3,0.9552238805970149,0.9935558112773303,0.9920133462798624,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,3,shape,cone
4,0.9552238805970149,0.993095512082854,0.9913385051772138,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,4,shape,cone
5,0.9552238805970149,0.9930955120828538,0.9914993932627083,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,5,shape,cone
6,0.9552238805970149,0.9935558112773302,0.9920982650503278,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,6,shape,cone
7,0.9552238805970149,0.9935558112773303,0.9922658164627934,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,7,shape,cone
8,0.9552238805970149,0.9935558112773303,0.9922263411622148,0.9444444444444444,0.9622641509433962,0.9272727272727272,sentence_all,8,shape,cone
9,0.9477611940298507,0.9921749136939011,0.9908612370771275,0.9345794392523364,0.9615384615384616,0.9090909090909091,sentence_all,9,shape,cone
10,0.9477611940298507,0.9924050632911392,0.991101711511807,0.9345794392523364,0.9615384615384616,0.9090909090909091,sentence_all,10,shape,cone
11,0.9552238805970149,0.9907940161104718,0.9888926815385416,0.9433962264150944,0.9803921568627451,0.9090909090909091,sentence_all,11,shape,cone
12,0.9626865671641791,0.9921749136939011,0.9906047295075507,0.9523809523809523,1.0,0.9090909090909091,sentence_all,12,shape,cone
13,0.9626865671641791,0.9896432681242808,0.9891952847851214,0.9523809523809523,1.0,0.9090909090909091,sentence_all,13,shape,cone
14,0.9626865671641791,0.9905638665132336,0.9903378586264971,0.9523809523809523,1.0,0.9090909090909091,sentence_all,14,shape,cone
15,0.9701492537313433,0.9933256616800921,0.9923593073593074,0.9622641509433962,1.0,0.9272727272727272,sentence_all,15,shape,cone
16,0.9626865671641791,0.9937859608745685,0.9926466065810329,0.9523809523809523,1.0,0.9090909090909091,sentence_all,16,shape,cone
17,0.9776119402985075,0.9956271576524741,0.9948499776085984,0.9719626168224299,1.0,0.9454545454545454,sentence_all,17,shape,cone
18,0.9850746268656716,0.9972382048331415,0.9966391184573004,0.9814814814814815,1.0,0.9636363636363636,sentence_all,18,shape,cone
19,0.9850746268656716,0.9974683544303797,0.9968722186904005,0.9814814814814815,1.0,0.9636363636363636,sentence_all,19,shape,cone
20,0.9776119402985075,0.9974683544303797,0.9968722186904005,0.9719626168224299,1.0,0.9454545454545454,sentence_all,20,shape,cone
21,0.9776119402985075,0.9993095512082854,0.999031462954908,0.9724770642201835,0.9814814814814815,0.9636363636363636,sentence_all,21,shape,cone
22,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9814814814814815,1.0,0.9636363636363636,sentence_all,22,shape,cone
23,0.9776119402985075,0.9993095512082854,0.999031462954908,0.9724770642201835,0.9814814814814815,0.9636363636363636,sentence_all,23,shape,cone
24,0.9776119402985075,0.9995397008055237,0.999344746162928,0.9724770642201835,0.9814814814814815,0.9636363636363636,sentence_all,24,shape,cone
25,0.9776119402985075,0.9995397008055237,0.999344746162928,0.9724770642201835,0.9814814814814815,0.9636363636363636,sentence_all,25,shape,cone
26,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,26,shape,cone
27,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,27,shape,cone
28,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,28,shape,cone
29,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,29,shape,cone
30,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,30,shape,cone
31,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,31,shape,cone
32,0.9850746268656716,0.9995397008055237,0.999344746162928,0.9818181818181818,0.9818181818181818,0.9818181818181818,sentence_all,32,shape,cone
0,0.9701492537313433,0.9972382048331416,0.9963975595554544,0.9629629629629629,0.9811320754716981,0.9454545454545454,sentence_img,0,shape,cone
1,0.9776119402985075,0.9972382048331416,0.9963975595554544,0.9724770642201835,0.9814814814814815,0.9636363636363636,sentence_img,1,shape,cone
