,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.9104477611940298,0.9916305916305916,0.9970772951106478,0.9423076923076923,0.8990825688073395,0.98989898989899,sentence_all,0,shape,cube
1,0.9104477611940298,0.9919191919191919,0.9971753049116279,0.9423076923076923,0.8990825688073395,0.98989898989899,sentence_all,1,shape,cube
2,0.9104477611940298,0.9901875901875902,0.996489175480186,0.9423076923076923,0.8990825688073395,0.98989898989899,sentence_all,2,shape,cube
3,0.9104477611940298,0.9904761904761905,0.9965982288488546,0.9423076923076923,0.8990825688073395,0.98989898989899,sentence_all,3,shape,cube
4,0.917910447761194,0.9901875901875903,0.9965184136818552,0.9468599033816425,0.9074074074074074,0.98989898989899,sentence_all,4,shape,cube
5,0.917910447761194,0.9916305916305916,0.9970927397779403,0.9468599033816425,0.9074074074074074,0.98989898989899,sentence_all,5,shape,cube
6,0.9104477611940298,0.9919191919191919,0.9972205781537264,0.9423076923076923,0.8990825688073395,0.98989898989899,sentence_all,6,shape,cube
7,0.9253731343283582,0.9945165945165946,0.9981184092393817,0.9514563106796117,0.9158878504672897,0.98989898989899,sentence_all,7,shape,cube
8,0.9253731343283582,0.9945165945165946,0.9981184092393817,0.9519230769230769,0.908256880733945,1.0,sentence_all,8,shape,cube
9,0.9253731343283582,0.9945165945165946,0.998123972856934,0.9519230769230769,0.908256880733945,1.0,sentence_all,9,shape,cube
10,0.917910447761194,0.9950937950937951,0.9983230051377705,0.9473684210526315,0.9,1.0,sentence_all,10,shape,cube
11,0.9104477611940298,0.9962481962481962,0.9986918695076815,0.9428571428571428,0.8918918918918919,1.0,sentence_all,11,shape,cube
12,0.917910447761194,0.9962481962481962,0.9987125655463914,0.9473684210526315,0.9,1.0,sentence_all,12,shape,cube
13,0.9029850746268657,0.9956709956709956,0.9985083771982637,0.9383886255924171,0.8839285714285714,1.0,sentence_all,13,shape,cube
14,0.917910447761194,0.9953823953823955,0.998405562095296,0.9473684210526315,0.9,1.0,sentence_all,14,shape,cube
15,0.917910447761194,0.9974025974025974,0.9990874774755039,0.9473684210526315,0.9,1.0,sentence_all,15,shape,cube
16,0.9253731343283582,0.9965367965367965,0.9987872354381343,0.9519230769230769,0.908256880733945,1.0,sentence_all,16,shape,cube
17,0.9328358208955224,0.9976911976911976,0.9991884667539823,0.9565217391304348,0.9166666666666666,1.0,sentence_all,17,shape,cube
18,0.9402985074626866,0.9982683982683982,0.9993938989858578,0.9611650485436893,0.9252336448598131,1.0,sentence_all,18,shape,cube
19,0.9477611940298507,0.9985569985569985,0.9994948882643363,0.9658536585365853,0.9339622641509434,1.0,sentence_all,19,shape,cube
20,0.9701492537313433,0.9991341991341991,0.9996979495929388,0.9801980198019802,0.9611650485436893,1.0,sentence_all,20,shape,cube
21,0.9626865671641791,0.9994227994227994,0.9997969594939289,0.9753694581280788,0.9519230769230769,1.0,sentence_all,21,shape,cube
22,0.9626865671641791,0.9994227994227994,0.9997969594939289,0.9753694581280788,0.9519230769230769,1.0,sentence_all,22,shape,cube
23,0.9701492537313433,0.9997113997113997,0.9998989898989896,0.9801980198019802,0.9611650485436893,1.0,sentence_all,23,shape,cube
24,0.9701492537313433,0.9997113997113997,0.9998989898989896,0.9801980198019802,0.9611650485436893,1.0,sentence_all,24,shape,cube
25,0.9701492537313433,0.9994227994227994,0.9997999799979995,0.9801980198019802,0.9611650485436893,1.0,sentence_all,25,shape,cube
26,0.9701492537313433,0.9994227994227994,0.9997999799979995,0.9801980198019802,0.9611650485436893,1.0,sentence_all,26,shape,cube
27,0.9701492537313433,0.9997113997113997,0.9998989898989896,0.9801980198019802,0.9611650485436893,1.0,sentence_all,27,shape,cube
28,0.9701492537313433,0.9994227994227994,0.9997999799979995,0.9801980198019802,0.9611650485436893,1.0,sentence_all,28,shape,cube
29,0.9701492537313433,0.9991341991341991,0.9996979495929388,0.9801980198019802,0.9611650485436893,1.0,sentence_all,29,shape,cube
30,0.9776119402985075,0.9997113997113997,0.9998989898989896,0.9850746268656716,0.9705882352941176,1.0,sentence_all,30,shape,cube
31,0.9701492537313433,0.9997113997113997,0.9998989898989896,0.9801980198019802,0.9611650485436893,1.0,sentence_all,31,shape,cube
32,0.9701492537313433,0.9994227994227994,0.9997999799979995,0.9801980198019802,0.9611650485436893,1.0,sentence_all,32,shape,cube
