,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.8333333333333334,0.9425837320574163,0.9189869473960384,0.7368421052631579,0.875,0.6363636363636364,sentence_all,0,color,red
1,0.8333333333333334,0.9425837320574163,0.9189869473960384,0.7368421052631579,0.875,0.6363636363636364,sentence_all,1,color,red
2,0.8333333333333334,0.9425837320574163,0.9189869473960384,0.7368421052631579,0.875,0.6363636363636364,sentence_all,2,color,red
3,0.8333333333333334,0.9425837320574163,0.9189869473960384,0.7368421052631579,0.875,0.6363636363636364,sentence_all,3,color,red
4,0.8333333333333334,0.9569377990430623,0.9372474747474748,0.7368421052631579,0.875,0.6363636363636364,sentence_all,4,color,red
5,0.8333333333333334,0.9617224880382775,0.9414141414141415,0.7368421052631579,0.875,0.6363636363636364,sentence_all,5,color,red
6,0.8333333333333334,0.9665071770334928,0.9483011937557393,0.7368421052631579,0.875,0.6363636363636364,sentence_all,6,color,red
7,0.8333333333333334,0.9665071770334928,0.9483011937557393,0.7368421052631579,0.875,0.6363636363636364,sentence_all,7,color,red
8,0.9,0.9712918660287082,0.9584022038567495,0.8421052631578947,1.0,0.7272727272727273,sentence_all,8,color,red
9,0.9,0.9904306220095693,0.986013986013986,0.8421052631578947,1.0,0.7272727272727273,sentence_all,9,color,red
10,0.9,0.9856459330143541,0.9777495232040687,0.8421052631578947,1.0,0.7272727272727273,sentence_all,10,color,red
11,0.9,0.9904306220095693,0.986013986013986,0.8421052631578947,1.0,0.7272727272727273,sentence_all,11,color,red
12,0.9,0.9712918660287082,0.9606060606060607,0.8421052631578947,1.0,0.7272727272727273,sentence_all,12,color,red
13,0.8666666666666667,0.9760765550239234,0.9674931129476585,0.7777777777777778,1.0,0.6363636363636364,sentence_all,13,color,red
14,0.8,0.9617224880382774,0.93481240981241,0.6666666666666666,0.8571428571428571,0.5454545454545454,sentence_all,14,color,red
15,0.8666666666666667,1.0,1.0,0.7777777777777778,1.0,0.6363636363636364,sentence_all,15,color,red
16,0.8666666666666667,1.0,1.0,0.7777777777777778,1.0,0.6363636363636364,sentence_all,16,color,red
17,0.9,0.9952153110047848,0.9924242424242424,0.8421052631578947,1.0,0.7272727272727273,sentence_all,17,color,red
18,0.9,0.9952153110047848,0.9924242424242424,0.8421052631578947,1.0,0.7272727272727273,sentence_all,18,color,red
19,0.9666666666666667,1.0,1.0,0.9523809523809523,1.0,0.9090909090909091,sentence_all,19,color,red
20,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,20,color,red
21,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,21,color,red
22,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,22,color,red
23,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,23,color,red
24,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,24,color,red
25,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,25,color,red
26,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,26,color,red
27,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,27,color,red
28,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,28,color,red
29,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,29,color,red
30,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,30,color,red
31,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,31,color,red
32,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,32,color,red
0,0.8333333333333334,0.9473684210526316,0.923153614062705,0.7368421052631579,0.875,0.6363636363636364,sentence_img,0,color,red
1,0.8333333333333334,0.9425837320574163,0.9150728059818969,0.7368421052631579,0.875,0.6363636363636364,sentence_img,1,color,red
2,0.8333333333333334,0.9521531100478469,0.92814861905771,0.7368421052631579,0.875,0.6363636363636364,sentence_img,2,color,red
3,0.8333333333333334,0.9521531100478469,0.9305916305916306,0.7368421052631579,0.875,0.6363636363636364,sentence_img,3,color,red
4,0.8333333333333334,0.9569377990430622,0.9355866355866356,0.7368421052631579,0.875,0.6363636363636364,sentence_img,4,color,red
5,0.8333333333333334,0.9617224880382775,0.9414141414141415,0.7368421052631579,0.875,0.6363636363636364,sentence_img,5,color,red
6,0.8666666666666667,0.9665071770334928,0.9483011937557393,0.8,0.8888888888888888,0.7272727272727273,sentence_img,6,color,red
7,0.8333333333333334,0.9665071770334928,0.9483011937557393,0.7368421052631579,0.875,0.6363636363636364,sentence_img,7,color,red
8,0.9,0.9808612440191388,0.9757575757575758,0.8421052631578947,1.0,0.7272727272727273,sentence_img,8,color,red
9,0.9,0.9904306220095693,0.986013986013986,0.8421052631578947,1.0,0.7272727272727273,sentence_img,9,color,red
10,0.9,0.9808612440191388,0.9708624708624709,0.8421052631578947,1.0,0.7272727272727273,sentence_img,10,color,red
11,0.9,0.9904306220095693,0.986013986013986,0.8421052631578947,1.0,0.7272727272727273,sentence_img,11,color,red
12,0.9,0.9760765550239234,0.9653679653679654,0.8421052631578947,1.0,0.7272727272727273,sentence_img,12,color,red
13,0.8666666666666667,0.9712918660287081,0.9595404595404595,0.7777777777777778,1.0,0.6363636363636364,sentence_img,13,color,red
14,0.8333333333333334,0.9569377990430622,0.930050505050505,0.7368421052631579,0.875,0.6363636363636364,sentence_img,14,color,red
15,0.8666666666666667,0.9952153110047848,0.9924242424242424,0.7777777777777778,1.0,0.6363636363636364,sentence_img,15,color,red
16,0.8666666666666667,0.9904306220095693,0.986013986013986,0.7777777777777778,1.0,0.6363636363636364,sentence_img,16,color,red
17,0.8666666666666667,0.9904306220095694,0.9841597796143251,0.7777777777777778,1.0,0.6363636363636364,sentence_img,17,color,red
18,0.9333333333333333,0.9904306220095694,0.9841597796143251,0.9,1.0,0.8181818181818182,sentence_img,18,color,red
19,0.9333333333333333,1.0,1.0,0.9,1.0,0.8181818181818182,sentence_img,19,color,red
20,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,20,color,red
21,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,21,color,red
22,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,22,color,red
23,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,23,color,red
24,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,24,color,red
