,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.9029850746268657,0.9728325064965746,0.9678862905599904,0.8602150537634409,0.9523809523809523,0.7843137254901961,sentence_all,0,color,red
1,0.9029850746268657,0.9725962674226316,0.9677309614638339,0.8602150537634409,0.9523809523809523,0.7843137254901961,sentence_all,1,color,red
2,0.8731343283582089,0.9711788329789748,0.959431864996802,0.8131868131868132,0.925,0.7254901960784313,sentence_all,2,color,red
3,0.8731343283582089,0.9690526813134892,0.9567642714433976,0.8131868131868132,0.925,0.7254901960784313,sentence_all,3,color,red
4,0.8656716417910447,0.9699976376092605,0.9573457069931834,0.8,0.9230769230769231,0.7058823529411765,sentence_all,4,color,red
5,0.8582089552238806,0.970706354831089,0.9589621127218794,0.7865168539325843,0.9210526315789473,0.6862745098039216,sentence_all,5,color,red
6,0.8731343283582089,0.9747224190881172,0.9636523502709492,0.8131868131868132,0.925,0.7254901960784313,sentence_all,6,color,red
7,0.8880597014925373,0.9761398535317741,0.9650534439576989,0.8387096774193549,0.9285714285714286,0.7647058823529411,sentence_all,7,color,red
8,0.8880597014925373,0.9756673753838885,0.9654747114727573,0.8351648351648352,0.95,0.7450980392156863,sentence_all,8,color,red
9,0.8731343283582089,0.9737774627923459,0.9627504842260672,0.8131868131868132,0.925,0.7254901960784313,sentence_all,9,color,red
10,0.8582089552238806,0.970706354831089,0.9593414038532718,0.7865168539325843,0.9210526315789473,0.6862745098039216,sentence_all,10,color,red
11,0.8582089552238806,0.9733049846444604,0.9615651196340096,0.7865168539325843,0.9210526315789473,0.6862745098039216,sentence_all,11,color,red
12,0.8805970149253731,0.9733049846444601,0.9600371092716855,0.8260869565217391,0.926829268292683,0.7450980392156863,sentence_all,12,color,red
13,0.8955223880597015,0.9801559177888023,0.9704488053911702,0.8478260869565217,0.9512195121951219,0.7647058823529411,sentence_all,13,color,red
14,0.917910447761194,0.9858256555634302,0.9801427590667886,0.8817204301075269,0.9761904761904762,0.803921568627451,sentence_all,14,color,red
15,0.9253731343283582,0.9917316324120009,0.9888165223845039,0.8913043478260869,1.0,0.803921568627451,sentence_all,15,color,red
16,0.9328358208955224,0.9914953933380581,0.9874004148325393,0.9052631578947369,0.9772727272727273,0.8431372549019608,sentence_all,16,color,red
17,0.9477611940298507,0.9924403496338294,0.9894283698346813,0.9263157894736842,1.0,0.8627450980392157,sentence_all,17,color,red
18,0.9328358208955224,0.9922041105598867,0.9892339576052344,0.9032258064516129,1.0,0.8235294117647058,sentence_all,18,color,red
19,0.9626865671641791,0.9957476966690291,0.9935663807218518,0.9484536082474226,1.0,0.9019607843137255,sentence_all,19,color,red
20,0.9552238805970149,0.9995275218521144,0.9992600813910473,0.9375,1.0,0.8823529411764706,sentence_all,20,color,red
21,0.9626865671641791,0.9976376092605718,0.9967855994856961,0.9484536082474226,1.0,0.9019607843137255,sentence_all,21,color,red
22,0.9701492537313433,0.9981100874084574,0.9973413094051182,0.9591836734693877,1.0,0.9215686274509803,sentence_all,22,color,red
23,0.9701492537313433,0.9966926529648004,0.9957767722473607,0.9591836734693877,1.0,0.9215686274509803,sentence_all,23,color,red
24,0.9701492537313433,0.9969288920387432,0.9960171568627453,0.9591836734693877,1.0,0.9215686274509803,sentence_all,24,color,red
25,0.9701492537313433,0.9995275218521144,0.9992600813910473,0.9591836734693877,1.0,0.9215686274509803,sentence_all,25,color,red
26,0.9776119402985075,0.9990550437042286,0.9985739750445635,0.9696969696969697,1.0,0.9411764705882353,sentence_all,26,color,red
27,0.9776119402985075,0.9995275218521144,0.9992600813910473,0.9696969696969697,1.0,0.9411764705882353,sentence_all,27,color,red
28,0.9701492537313433,0.9992912827781715,0.9989106753812639,0.9591836734693877,1.0,0.9215686274509803,sentence_all,28,color,red
29,0.9850746268656716,0.998582565556343,0.9979360165118681,0.98,1.0,0.9607843137254902,sentence_all,29,color,red
30,0.9850746268656716,0.9995275218521144,0.9992600813910473,0.98,1.0,0.9607843137254902,sentence_all,30,color,red
31,0.9850746268656716,0.9992912827781715,0.9989106753812639,0.98,1.0,0.9607843137254902,sentence_all,31,color,red
32,0.9701492537313433,0.9983463264824002,0.9974951519069168,0.9591836734693877,1.0,0.9215686274509803,sentence_all,32,color,red
0,0.9477611940298507,0.9919678714859437,0.9890433698663368,0.9292929292929293,0.9583333333333334,0.9019607843137255,sentence_img,0,color,red
1,0.9477611940298507,0.9914953933380581,0.9882244007978713,0.9292929292929293,0.9583333333333334,0.9019607843137255,sentence_img,1,color,red
2,0.9477611940298507,0.9917316324120009,0.9882528454445889,0.9292929292929293,0.9583333333333334,0.9019607843137255,sentence_img,2,color,red
3,0.9477611940298507,0.9936215450035436,0.9903351420858426,0.9278350515463918,0.9782608695652174,0.8823529411764706,sentence_img,3,color,red
4,0.9477611940298507,0.9936215450035436,0.9902993188197103,0.9278350515463918,0.9782608695652174,0.8823529411764706,sentence_img,4,color,red
5,0.9477611940298507,0.9936215450035435,0.9904166382561999,0.9278350515463918,0.9782608695652174,0.8823529411764706,sentence_img,5,color,red
6,0.9477611940298507,0.9945665012993149,0.9918434928416853,0.9278350515463918,0.9782608695652174,0.8823529411764706,sentence_img,6,color,red
7,0.9552238805970149,0.9948027403732578,0.9922402076799954,0.9375,1.0,0.8823529411764706,sentence_img,7,color,red
8,0.9552238805970149,0.9948027403732578,0.992056645673972,0.9387755102040817,0.9787234042553191,0.9019607843137255,sentence_img,8,color,red
9,0.9477611940298507,0.9940940231514293,0.9911247852943659,0.9278350515463918,0.9782608695652174,0.8823529411764706,sentence_img,9,color,red
10,0.9552238805970149,0.9933853059296007,0.9903960971544292,0.9387755102040817,0.9787234042553191,0.9019607843137255,sentence_img,10,color,red
11,0.9626865671641791,0.9940940231514293,0.991259045952201,0.9484536082474226,1.0,0.9019607843137255,sentence_img,11,color,red
12,0.9552238805970149,0.9943302622253721,0.991224301171115,0.9375,1.0,0.8823529411764706,sentence_img,12,color,red
13,0.9626865671641791,0.9936215450035436,0.990378762361833,0.9484536082474226,1.0,0.9019607843137255,sentence_img,13,color,red
14,0.9626865671641791,0.9957476966690291,0.9935269728018209,0.9484536082474226,1.0,0.9019607843137255,sentence_img,14,color,red
15,0.9626865671641791,0.997165131112686,0.995882039090146,0.9484536082474226,1.0,0.9019607843137255,sentence_img,15,color,red
16,0.9701492537313433,0.9971651311126861,0.9956656451754493,0.9591836734693877,1.0,0.9215686274509803,sentence_img,16,color,red
17,0.9626865671641791,0.9966926529648005,0.9950820699538039,0.9484536082474226,1.0,0.9019607843137255,sentence_img,17,color,red
18,0.9552238805970149,0.9974013701866289,0.9960338216716679,0.9375,1.0,0.8823529411764706,sentence_img,18,color,red
19,0.9626865671641791,0.9983463264824002,0.9974726753446479,0.9484536082474226,1.0,0.9019607843137255,sentence_img,19,color,red
20,0.9626865671641791,0.9997637609260571,0.9996229260935146,0.9484536082474226,1.0,0.9019607843137255,sentence_img,20,color,red
21,0.9626865671641791,0.9992912827781715,0.9989106753812639,0.9484536082474226,1.0,0.9019607843137255,sentence_img,21,color,red
22,0.9626865671641791,0.9995275218521144,0.9992600813910473,0.9484536082474226,1.0,0.9019607843137255,sentence_img,22,color,red
23,0.9701492537313433,0.9988188046302858,0.9982492997198882,0.9591836734693877,1.0,0.9215686274509803,sentence_img,23,color,red
24,0.9626865671641791,0.9988188046302858,0.9982492997198882,0.9484536082474226,1.0,0.9019607843137255,sentence_img,24,color,red
25,0.9626865671641791,0.9995275218521144,0.9992600813910473,0.9484536082474226,1.0,0.9019607843137255,sentence_img,25,color,red
26,0.9701492537313433,0.9995275218521144,0.9992600813910473,0.9591836734693877,1.0,0.9215686274509803,sentence_img,26,color,red
27,0.9701492537313433,0.9997637609260571,0.9996229260935146,0.9591836734693877,1.0,0.9215686274509803,sentence_img,27,color,red
28,0.9626865671641791,0.9995275218521144,0.9992600813910473,0.9484536082474226,1.0,0.9019607843137255,sentence_img,28,color,red
29,0.9626865671641791,0.9992912827781715,0.9989106753812639,0.9484536082474226,1.0,0.9019607843137255,sentence_img,29,color,red
30,0.9776119402985075,0.9997637609260571,0.9996229260935146,0.9696969696969697,1.0,0.9411764705882353,sentence_img,30,color,red
31,0.9701492537313433,0.9997637609260571,0.9996229260935146,0.9591836734693877,1.0,0.9215686274509803,sentence_img,31,color,red
32,0.9626865671641791,0.9981100874084573,0.9970719402683889,0.9484536082474226,1.0,0.9019607843137255,sentence_img,32,color,red
0,0.6194029850746269,0.5124025513819986,0.40422902469669425,0.0,0.0,0.0,sentence_text,0,color,red
1,0.6194029850746269,0.5887077722655327,0.4813494991035459,0.0,0.0,0.0,sentence_text,1,color,red
2,0.6194029850746269,0.5043704228679423,0.4041318055714885,0.0,0.0,0.0,sentence_text,2,color,red
3,0.6194029850746269,0.5206709189699976,0.42061053553619265,0.0,0.0,0.0,sentence_text,3,color,red
4,0.6194029850746269,0.521615875265769,0.4297793468666528,0.0,0.0,0.0,sentence_text,4,color,red
5,0.6194029850746269,0.518781006378455,0.43100869960908195,0.0,0.0,0.0,sentence_text,5,color,red
6,0.6194029850746269,0.5223245924875974,0.4366864986865878,0.0,0.0,0.0,sentence_text,6,color,red
7,0.6268656716417911,0.5218521143397118,0.4336474400136104,0.038461538461538464,1.0,0.0196078431372549,sentence_text,7,color,red
8,0.6343283582089553,0.5220883534136547,0.43441637635873886,0.07547169811320754,1.0,0.0392156862745098,sentence_text,8,color,red
9,0.6343283582089553,0.5476021733994803,0.4535546719915894,0.07547169811320754,1.0,0.0392156862745098,sentence_text,9,color,red
10,0.6343283582089553,0.6506024096385542,0.5617717818758002,0.07547169811320754,1.0,0.0392156862745098,sentence_text,10,color,red
11,0.6268656716417911,0.7058823529411764,0.6101875827606902,0.07407407407407407,0.6666666666666666,0.0392156862745098,sentence_text,11,color,red
12,0.6492537313432836,0.8095913064020789,0.750728166607683,0.14545454545454545,1.0,0.0784313725490196,sentence_text,12,color,red
13,0.6865671641791045,0.9314906685565792,0.9170479065320267,0.3,1.0,0.17647058823529413,sentence_text,13,color,red
14,0.8134328358208955,0.9855894164894874,0.9829167865732402,0.6753246753246753,1.0,0.5098039215686274,sentence_text,14,color,red
