,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.9253731343283582,0.9602240896358544,0.9949268096361242,0.959349593495935,0.9291338582677166,0.9915966386554622,sentence_all,0,material,metal
1,0.9253731343283582,0.9613445378151261,0.9950610393124381,0.959349593495935,0.9291338582677166,0.9915966386554622,sentence_all,1,material,metal
2,0.9253731343283582,0.9619047619047619,0.9951294446872526,0.959349593495935,0.9291338582677166,0.9915966386554622,sentence_all,2,material,metal
3,0.917910447761194,0.9607843137254902,0.9949972007892418,0.9554655870445344,0.921875,0.9915966386554622,sentence_all,3,material,metal
4,0.917910447761194,0.9596638655462185,0.9948521381787727,0.9554655870445344,0.921875,0.9915966386554622,sentence_all,4,material,metal
5,0.917910447761194,0.9596638655462185,0.9948689652467683,0.9554655870445344,0.921875,0.9915966386554622,sentence_all,5,material,metal
6,0.9328358208955224,0.9607843137254902,0.994990664194412,0.963265306122449,0.9365079365079365,0.9915966386554622,sentence_all,6,material,metal
7,0.9328358208955224,0.9613445378151261,0.9950654539439245,0.963265306122449,0.9365079365079365,0.9915966386554622,sentence_all,7,material,metal
8,0.9253731343283582,0.9619047619047619,0.995138492008708,0.959349593495935,0.9291338582677166,0.9915966386554622,sentence_all,8,material,metal
9,0.9328358208955224,0.9641456582633053,0.995422699572467,0.9635627530364372,0.9296875,1.0,sentence_all,9,material,metal
10,0.9402985074626866,0.9630252100840336,0.9952136819441217,0.967479674796748,0.937007874015748,1.0,sentence_all,10,material,metal
11,0.9402985074626866,0.9663865546218486,0.995663843825227,0.967479674796748,0.937007874015748,1.0,sentence_all,11,material,metal
12,0.9402985074626866,0.9663865546218487,0.9956526643188486,0.967479674796748,0.937007874015748,1.0,sentence_all,12,material,metal
13,0.9402985074626866,0.9675070028011205,0.9957736144191431,0.967479674796748,0.937007874015748,1.0,sentence_all,13,material,metal
14,0.9402985074626866,0.9747899159663865,0.9967850961970216,0.967479674796748,0.937007874015748,1.0,sentence_all,14,material,metal
15,0.9402985074626866,0.9815126050420168,0.9976416404651531,0.967479674796748,0.937007874015748,1.0,sentence_all,15,material,metal
16,0.9402985074626866,0.9837535014005602,0.9979319171110052,0.967479674796748,0.937007874015748,1.0,sentence_all,16,material,metal
17,0.9402985074626866,0.9893557422969188,0.9986591789682533,0.967479674796748,0.937007874015748,1.0,sentence_all,17,material,metal
18,0.9328358208955224,0.9882352941176471,0.9985028339795828,0.963265306122449,0.9365079365079365,0.9915966386554622,sentence_all,18,material,metal
19,0.9402985074626866,0.9882352941176471,0.9985028339795828,0.967479674796748,0.937007874015748,1.0,sentence_all,19,material,metal
20,0.9402985074626866,0.9904761904761905,0.9987987662149365,0.9672131147540983,0.944,0.9915966386554622,sentence_all,20,material,metal
21,0.9626865671641791,0.9921568627450981,0.9990258963790414,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_all,21,material,metal
22,0.9626865671641791,0.9910364145658264,0.9988751604089777,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_all,22,material,metal
23,0.9626865671641791,0.9921568627450981,0.9990143584305287,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_all,23,material,metal
24,0.9701492537313433,0.9921568627450981,0.9990258963790414,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,24,material,metal
25,0.9701492537313433,0.9938375350140056,0.9992374681681359,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,25,material,metal
26,0.9701492537313433,0.9932773109243698,0.9991637544721311,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,26,material,metal
27,0.9701492537313433,0.9921568627450981,0.9990345185269967,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,27,material,metal
28,0.9701492537313433,0.9904761904761905,0.9988181470218724,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,28,material,metal
29,0.9701492537313433,0.9910364145658264,0.9988871540451225,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,29,material,metal
30,0.9701492537313433,0.9915966386554622,0.9989461552143968,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,30,material,metal
31,0.9701492537313433,0.9915966386554622,0.9989461552143968,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_all,31,material,metal
32,0.9552238805970149,0.9859943977591037,0.9982265772866553,0.975,0.9669421487603306,0.9831932773109243,sentence_all,32,material,metal
0,0.9701492537313433,0.9882352941176471,0.9985242634573182,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,0,material,metal
1,0.9701492537313433,0.9882352941176471,0.9985242634573182,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,1,material,metal
2,0.9701492537313433,0.9871148459383754,0.9983787703762236,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,2,material,metal
3,0.9701492537313433,0.9865546218487395,0.9983142542471913,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,3,material,metal
4,0.9701492537313433,0.9871148459383754,0.998387315609603,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,4,material,metal
5,0.9701492537313433,0.9871148459383754,0.998387315609603,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,5,material,metal
6,0.9701492537313433,0.9893557422969188,0.9986584029506762,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,6,material,metal
7,0.9701492537313433,0.9899159663865547,0.9987284005281514,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,7,material,metal
8,0.9701492537313433,0.988795518207283,0.9985790044865488,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,8,material,metal
9,0.9776119402985075,0.9882352941176471,0.99850329852849,0.9875518672199171,0.9754098360655737,1.0,sentence_img,9,material,metal
10,0.9701492537313433,0.9893557422969188,0.9986475430802522,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,10,material,metal
11,0.9701492537313433,0.9871148459383754,0.9983635971554158,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,11,material,metal
12,0.9701492537313433,0.9865546218487395,0.998298031983635,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,12,material,metal
13,0.9626865671641791,0.9871148459383754,0.998359455404845,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_img,13,material,metal
14,0.9626865671641791,0.9854341736694678,0.9981477107821111,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_img,14,material,metal
15,0.9626865671641791,0.9865546218487395,0.9983256396587393,0.979253112033195,0.9672131147540983,0.9915966386554622,sentence_img,15,material,metal
16,0.9701492537313433,0.9876750700280112,0.9984537875344084,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,16,material,metal
17,0.9701492537313433,0.9882352941176471,0.9985455901685604,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,17,material,metal
18,0.9701492537313433,0.9876750700280112,0.9984737773354811,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,18,material,metal
19,0.9701492537313433,0.9876750700280112,0.9984737773354811,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,19,material,metal
20,0.9776119402985075,0.9865546218487395,0.9983256396587393,0.9874476987447699,0.9833333333333333,0.9915966386554622,sentence_img,20,material,metal
21,0.9776119402985075,0.9859943977591037,0.9982403919971685,0.9874476987447699,0.9833333333333333,0.9915966386554622,sentence_img,21,material,metal
22,0.9776119402985075,0.9865546218487395,0.9983160979552275,0.9874476987447699,0.9833333333333333,0.9915966386554622,sentence_img,22,material,metal
23,0.9701492537313433,0.984873949579832,0.9981183142336332,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,23,material,metal
24,0.9701492537313433,0.9865546218487395,0.9983282842543865,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,24,material,metal
25,0.9701492537313433,0.9871148459383753,0.998396538234901,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,25,material,metal
26,0.9701492537313433,0.9876750700280112,0.9984648300144228,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,26,material,metal
27,0.9701492537313433,0.9837535014005603,0.9979531102670685,0.9833333333333333,0.9752066115702479,0.9915966386554622,sentence_img,27,material,metal
28,0.9626865671641791,0.9831932773109243,0.9978992741941195,0.9790794979079498,0.975,0.9831932773109243,sentence_img,28,material,metal
29,0.9626865671641791,0.9854341736694677,0.9981694080707961,0.9790794979079498,0.975,0.9831932773109243,sentence_img,29,material,metal
30,0.9701492537313433,0.9865546218487395,0.9983168281692201,0.9831932773109243,0.9831932773109243,0.9831932773109243,sentence_img,30,material,metal
31,0.9701492537313433,0.9859943977591037,0.9982411222111612,0.9831932773109243,0.9831932773109243,0.9831932773109243,sentence_img,31,material,metal
32,0.9626865671641791,0.9831932773109244,0.9978423889797862,0.9789029535864979,0.9830508474576272,0.9747899159663865,sentence_img,32,material,metal
0,0.8880597014925373,0.9254901960784314,0.9905878734901108,0.9407114624505929,0.8880597014925373,1.0,sentence_text,0,material,metal
1,0.8880597014925373,0.9484593837535014,0.9927213246913685,0.9407114624505929,0.8880597014925373,1.0,sentence_text,1,material,metal
