,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.86,0.8976,0.8909195104979242,0.8727272727272727,0.8,0.96,sentence_all
1,0.86,0.8992,0.8942528438312576,0.8727272727272727,0.8,0.96,sentence_all
2,0.86,0.8944000000000001,0.8882499966784103,0.8727272727272727,0.8,0.96,sentence_all
3,0.82,0.8928,0.8865657861520946,0.8301886792452831,0.7857142857142857,0.88,sentence_all
4,0.82,0.8944,0.8894981897417138,0.8301886792452831,0.7857142857142857,0.88,sentence_all
5,0.82,0.8944,0.8885622923058163,0.8301886792452831,0.7857142857142857,0.88,sentence_all
6,0.82,0.9088,0.9048438412335491,0.8301886792452831,0.7857142857142857,0.88,sentence_all
7,0.82,0.8928,0.888369186605038,0.8301886792452831,0.7857142857142857,0.88,sentence_all
8,0.8,0.888,0.8839713424471319,0.8076923076923077,0.7777777777777778,0.84,sentence_all
9,0.78,0.8896,0.8885778806939404,0.7843137254901961,0.7692307692307693,0.8,sentence_all
10,0.8,0.8879999999999999,0.8849328918516906,0.8076923076923077,0.7777777777777778,0.84,sentence_all
11,0.78,0.8896,0.8897763429815667,0.7924528301886793,0.75,0.84,sentence_all
12,0.8,0.8832,0.8839908046990771,0.8,0.8,0.8,sentence_all
13,0.76,0.8655999999999999,0.8679598245404871,0.76,0.76,0.76,sentence_all
14,0.74,0.8736,0.8773712000370568,0.7450980392156863,0.7307692307692307,0.76,sentence_all
15,0.78,0.8672,0.8652268729433825,0.7924528301886793,0.75,0.84,sentence_all
16,0.74,0.8688,0.8692740927111677,0.7547169811320755,0.7142857142857143,0.8,sentence_all
17,0.78,0.8735999999999999,0.8707888823257552,0.8,0.7333333333333333,0.88,sentence_all
18,0.78,0.864,0.8616216116878963,0.8,0.7333333333333333,0.88,sentence_all
19,0.76,0.8656,0.8562688295094848,0.7777777777777778,0.7241379310344828,0.84,sentence_all
20,0.76,0.8592,0.852919496411868,0.7777777777777778,0.7241379310344828,0.84,sentence_all
21,0.76,0.8704,0.864044157593094,0.7777777777777778,0.7241379310344828,0.84,sentence_all
22,0.76,0.896,0.901442907631836,0.7777777777777778,0.7241379310344828,0.84,sentence_all
23,0.76,0.8848,0.8854543744259115,0.7777777777777778,0.7241379310344828,0.84,sentence_all
24,0.76,0.888,0.8875478278832094,0.7777777777777778,0.7241379310344828,0.84,sentence_all
25,0.8,0.8944,0.8977454950699733,0.8076923076923077,0.7777777777777778,0.84,sentence_all
26,0.78,0.9039999999999999,0.9075215087692607,0.7843137254901961,0.7692307692307693,0.8,sentence_all
27,0.78,0.9024,0.9045790098798858,0.7843137254901961,0.7692307692307693,0.8,sentence_all
28,0.78,0.9023999999999999,0.9047008736791691,0.7843137254901961,0.7692307692307693,0.8,sentence_all
