,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,0.78,0.8832,0.8864841013484448,0.7755102040816326,0.7916666666666666,0.76,sentence_all,0
1,0.78,0.8815999999999999,0.8846946276642342,0.7755102040816326,0.7916666666666666,0.76,sentence_all,1
2,0.78,0.864,0.8739128774950208,0.7755102040816326,0.7916666666666666,0.76,sentence_all,2
3,0.8,0.864,0.8741873040703301,0.8,0.8,0.8,sentence_all,3
4,0.78,0.8672,0.8813416730141728,0.7755102040816326,0.7916666666666666,0.76,sentence_all,4
5,0.78,0.8688,0.8826852915274968,0.7755102040816326,0.7916666666666666,0.76,sentence_all,5
6,0.78,0.8656,0.8829568036411142,0.7755102040816326,0.7916666666666666,0.76,sentence_all,6
7,0.8,0.8736,0.8909169154919919,0.7916666666666666,0.8260869565217391,0.76,sentence_all,7
8,0.78,0.8784,0.8947165600810103,0.7659574468085106,0.8181818181818182,0.72,sentence_all,8
9,0.78,0.8784000000000001,0.8958410275687869,0.7659574468085106,0.8181818181818182,0.72,sentence_all,9
10,0.78,0.8768,0.8965438380410471,0.7659574468085106,0.8181818181818182,0.72,sentence_all,10
11,0.78,0.8688,0.8865757456539181,0.7659574468085106,0.8181818181818182,0.72,sentence_all,11
12,0.76,0.8736,0.8920337784702043,0.75,0.782608695652174,0.72,sentence_all,12
13,0.78,0.8656,0.8908089057356596,0.7659574468085106,0.8181818181818182,0.72,sentence_all,13
14,0.8,0.8848,0.9087958382160161,0.7916666666666666,0.8260869565217391,0.76,sentence_all,14
15,0.76,0.8672000000000001,0.8979058746056672,0.75,0.782608695652174,0.72,sentence_all,15
16,0.78,0.8688,0.8933162435073191,0.7755102040816326,0.7916666666666666,0.76,sentence_all,16
17,0.78,0.8944,0.9097864662260553,0.7755102040816326,0.7916666666666666,0.76,sentence_all,17
18,0.74,0.8928,0.9054654274595652,0.723404255319149,0.7727272727272727,0.68,sentence_all,18
19,0.78,0.8912,0.9071343439555515,0.7659574468085106,0.8181818181818182,0.72,sentence_all,19
20,0.8,0.904,0.9155379716732129,0.782608695652174,0.8571428571428571,0.72,sentence_all,20
21,0.82,0.9104,0.9183182890963932,0.8,0.9,0.72,sentence_all,21
22,0.8,0.9088,0.9125746942108105,0.782608695652174,0.8571428571428571,0.72,sentence_all,22
23,0.84,0.9104,0.9174014313463085,0.8260869565217391,0.9047619047619048,0.76,sentence_all,23
24,0.82,0.9072,0.9156991078528086,0.8085106382978723,0.8636363636363636,0.76,sentence_all,24
25,0.84,0.9232,0.9333614359423295,0.8333333333333334,0.8695652173913043,0.8,sentence_all,25
26,0.84,0.912,0.9228032597629054,0.8333333333333334,0.8695652173913043,0.8,sentence_all,26
27,0.84,0.9152,0.9260928859582112,0.8333333333333334,0.8695652173913043,0.8,sentence_all,27
28,0.84,0.9152,0.9251007160555553,0.8333333333333334,0.8695652173913043,0.8,sentence_all,28
29,0.82,0.9152,0.9283655457717378,0.8,0.9,0.72,sentence_all,29
30,0.84,0.928,0.93822715152841,0.8333333333333334,0.8695652173913043,0.8,sentence_all,30
31,0.82,0.9200000000000002,0.9297157649466584,0.8,0.9,0.72,sentence_all,31
32,0.82,0.9200000000000002,0.9300108739370889,0.8163265306122449,0.8333333333333334,0.8,sentence_all,32
0,0.42,0.42080000000000006,0.4805150377534156,0.40816326530612246,0.4166666666666667,0.4,sentence_img,0
1,0.42,0.42080000000000006,0.4805150377534156,0.40816326530612246,0.4166666666666667,0.4,sentence_img,1
2,0.42,0.42079999999999995,0.4811743635527008,0.40816326530612246,0.4166666666666667,0.4,sentence_img,2
3,0.42,0.4192,0.4805722130150664,0.40816326530612246,0.4166666666666667,0.4,sentence_img,3
4,0.42,0.4224,0.4823890776919717,0.40816326530612246,0.4166666666666667,0.4,sentence_img,4
5,0.42,0.41600000000000004,0.478674791977686,0.40816326530612246,0.4166666666666667,0.4,sentence_img,5
6,0.42,0.4192,0.48033973438258787,0.40816326530612246,0.4166666666666667,0.4,sentence_img,6
7,0.42,0.4208,0.47965759864393037,0.40816326530612246,0.4166666666666667,0.4,sentence_img,7
8,0.42,0.424,0.4803742307878794,0.40816326530612246,0.4166666666666667,0.4,sentence_img,8
9,0.42,0.416,0.475030306947752,0.40816326530612246,0.4166666666666667,0.4,sentence_img,9
10,0.44,0.4224,0.4794551908764474,0.4166666666666667,0.43478260869565216,0.4,sentence_img,10
11,0.42,0.4208,0.4792774992869911,0.40816326530612246,0.4166666666666667,0.4,sentence_img,11
12,0.44,0.4208,0.47852900448677216,0.44,0.44,0.44,sentence_img,12
13,0.42,0.416,0.4768353239185,0.40816326530612246,0.4166666666666667,0.4,sentence_img,13
14,0.42,0.4176,0.4774782499429847,0.40816326530612246,0.4166666666666667,0.4,sentence_img,14
15,0.46,0.4224,0.48008756047433426,0.47058823529411764,0.46153846153846156,0.48,sentence_img,15
16,0.42,0.4224,0.48045271891104563,0.40816326530612246,0.4166666666666667,0.4,sentence_img,16
17,0.44,0.4128,0.475718507687677,0.44,0.44,0.44,sentence_img,17
18,0.44,0.4096,0.47266047824865504,0.44,0.44,0.44,sentence_img,18
19,0.44,0.40159999999999996,0.4686303723930199,0.46153846153846156,0.4444444444444444,0.48,sentence_img,19
20,0.42,0.41600000000000004,0.47688595016780627,0.40816326530612246,0.4166666666666667,0.4,sentence_img,20
21,0.42,0.40959999999999996,0.4746766982893457,0.43137254901960786,0.4230769230769231,0.44,sentence_img,21
22,0.44,0.416,0.47700971445608675,0.4166666666666667,0.43478260869565216,0.4,sentence_img,22
23,0.46,0.41439999999999994,0.47644370219510296,0.4489795918367347,0.4583333333333333,0.44,sentence_img,23
24,0.46,0.4064,0.4728330725393654,0.47058823529411764,0.46153846153846156,0.48,sentence_img,24
25,0.44,0.4112,0.4733971372710276,0.46153846153846156,0.4444444444444444,0.48,sentence_img,25
26,0.46,0.4048,0.456525531497248,0.4489795918367347,0.4583333333333333,0.44,sentence_img,26
27,0.42,0.3648,0.43148252864766656,0.43137254901960786,0.4230769230769231,0.44,sentence_img,27
28,0.42,0.37439999999999996,0.4495906348447521,0.43137254901960786,0.4230769230769231,0.44,sentence_img,28
29,0.38,0.3824,0.44873950823225667,0.39215686274509803,0.38461538461538464,0.4,sentence_img,29
30,0.42,0.4144,0.46898202616359697,0.43137254901960786,0.4230769230769231,0.44,sentence_img,30
31,0.4,0.41280000000000006,0.46733121096473695,0.375,0.391304347826087,0.36,sentence_img,31
32,0.48,0.4944,0.5535792106326326,0.5,0.48148148148148145,0.52,sentence_img,32
0,0.8,0.8799999999999999,0.8840198638315757,0.8,0.8,0.8,sentence_text,0
1,0.8,0.8768,0.8825372383489503,0.8,0.8,0.8,sentence_text,1
2,0.78,0.8656,0.8748591140541606,0.7755102040816326,0.7916666666666666,0.76,sentence_text,2
3,0.8,0.8672000000000001,0.8745291095886063,0.8,0.8,0.8,sentence_text,3
4,0.8,0.8655999999999999,0.8752759606711819,0.8,0.8,0.8,sentence_text,4
5,0.8,0.8688,0.8817601830573968,0.8,0.8,0.8,sentence_text,5
6,0.76,0.8672000000000001,0.8835375237340293,0.75,0.782608695652174,0.72,sentence_text,6
7,0.8,0.872,0.8887110331390508,0.7916666666666666,0.8260869565217391,0.76,sentence_text,7
8,0.78,0.8768,0.8933397484868074,0.7659574468085106,0.8181818181818182,0.72,sentence_text,8
9,0.78,0.8784,0.8954485008656825,0.7659574468085106,0.8181818181818182,0.72,sentence_text,9
10,0.78,0.8784000000000001,0.896957547269277,0.7659574468085106,0.8181818181818182,0.72,sentence_text,10
11,0.78,0.8672,0.8860483750071635,0.7659574468085106,0.8181818181818182,0.72,sentence_text,11
12,0.76,0.8735999999999999,0.892426831621878,0.75,0.782608695652174,0.72,sentence_text,12
13,0.78,0.8624,0.8897470046737584,0.7659574468085106,0.8181818181818182,0.72,sentence_text,13
14,0.8,0.8816,0.9075326803212791,0.7916666666666666,0.8260869565217391,0.76,sentence_text,14
15,0.76,0.8704,0.9005827437272995,0.75,0.782608695652174,0.72,sentence_text,15
16,0.78,0.8704,0.8927034347474514,0.7755102040816326,0.7916666666666666,0.76,sentence_text,16
17,0.78,0.8944,0.9097864662260553,0.7755102040816326,0.7916666666666666,0.76,sentence_text,17
18,0.72,0.8912,0.9039935659877036,0.7083333333333334,0.7391304347826086,0.68,sentence_text,18
19,0.74,0.8928,0.9090041988395055,0.723404255319149,0.7727272727272727,0.68,sentence_text,19
20,0.8,0.9072,0.9167167928520341,0.782608695652174,0.8571428571428571,0.72,sentence_text,20
21,0.82,0.9104,0.9206736773149392,0.8,0.9,0.72,sentence_text,21
22,0.8,0.9152,0.9194939025661243,0.782608695652174,0.8571428571428571,0.72,sentence_text,22
23,0.84,0.9072,0.9145907002354372,0.8260869565217391,0.9047619047619048,0.76,sentence_text,23
24,0.82,0.9072,0.9167667770257409,0.8085106382978723,0.8636363636363636,0.76,sentence_text,24
25,0.84,0.92,0.9303616375958885,0.8333333333333334,0.8695652173913043,0.8,sentence_text,25
26,0.84,0.9104000000000001,0.9217917655100318,0.8333333333333334,0.8695652173913043,0.8,sentence_text,26
