,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,task,target
0,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_all,0,['shape'],['cube']
1,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_all,1,['shape'],['cube']
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,2,['shape'],['cube']
3,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all,3,['shape'],['cube']
4,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all,4,['shape'],['cube']
5,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all,5,['shape'],['cube']
6,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all,6,['shape'],['cube']
7,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all,7,['shape'],['cube']
8,0.9857142857142858,0.9983673469387755,0.9984555984555985,0.9855072463768116,1.0,0.9714285714285714,sentence_all,8,['shape'],['cube']
9,0.9857142857142858,0.9983673469387755,0.9984555984555985,0.9855072463768116,1.0,0.9714285714285714,sentence_all,9,['shape'],['cube']
10,0.9714285714285714,0.9983673469387755,0.9984555984555985,0.9705882352941176,1.0,0.9428571428571428,sentence_all,10,['shape'],['cube']
11,0.9857142857142858,0.996734693877551,0.9970695970695971,0.9855072463768116,1.0,0.9714285714285714,sentence_all,11,['shape'],['cube']
12,0.9857142857142858,0.9959183673469388,0.9964285714285714,0.9855072463768116,1.0,0.9714285714285714,sentence_all,12,['shape'],['cube']
13,0.9857142857142858,0.9951020408163265,0.9958188153310105,0.9855072463768116,1.0,0.9714285714285714,sentence_all,13,['shape'],['cube']
14,0.9714285714285714,0.9951020408163265,0.9958188153310105,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_all,14,['shape'],['cube']
15,0.9714285714285714,0.9942857142857143,0.9952380952380953,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_all,15,['shape'],['cube']
16,0.9714285714285714,0.9951020408163265,0.995412934404531,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_all,16,['shape'],['cube']
17,0.9714285714285714,0.9959183673469387,0.9960876982371897,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_all,17,['shape'],['cube']
18,0.9571428571428572,0.9975510204081632,0.9975496865412832,0.9565217391304348,0.9705882352941176,0.9428571428571428,sentence_all,18,['shape'],['cube']
19,0.9571428571428572,0.9983673469387755,0.998390022675737,0.9565217391304348,0.9705882352941176,0.9428571428571428,sentence_all,19,['shape'],['cube']
20,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,20,['shape'],['cube']
21,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all,21,['shape'],['cube']
22,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all,22,['shape'],['cube']
23,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all,23,['shape'],['cube']
24,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,24,['shape'],['cube']
25,0.9571428571428572,1.0,1.0,0.958904109589041,0.9210526315789473,1.0,sentence_all,25,['shape'],['cube']
26,0.9571428571428572,1.0,1.0,0.958904109589041,0.9210526315789473,1.0,sentence_all,26,['shape'],['cube']
27,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,27,['shape'],['cube']
28,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,28,['shape'],['cube']
29,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,29,['shape'],['cube']
30,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,30,['shape'],['cube']
31,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,31,['shape'],['cube']
32,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all,32,['shape'],['cube']
0,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img,0,['shape'],['cube']
1,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img,1,['shape'],['cube']
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img,2,['shape'],['cube']
3,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img,3,['shape'],['cube']
4,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img,4,['shape'],['cube']
5,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img,5,['shape'],['cube']
6,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img,6,['shape'],['cube']
7,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img,7,['shape'],['cube']
8,0.9857142857142858,0.9983673469387755,0.9984555984555985,0.9855072463768116,1.0,0.9714285714285714,sentence_img,8,['shape'],['cube']
