,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer
0,0.8823529411764706,0.9653979238754324,0.9694327731092437,0.8823529411764706,0.8823529411764706,0.8823529411764706,sentence_all,0
1,0.8823529411764706,0.9653979238754324,0.9694327731092437,0.8823529411764706,0.8823529411764706,0.8823529411764706,sentence_all,1
2,0.8823529411764706,0.9757785467128027,0.9782120743034057,0.8823529411764706,0.8823529411764706,0.8823529411764706,sentence_all,2
3,0.8823529411764706,0.9757785467128027,0.9782120743034057,0.8823529411764706,0.8823529411764706,0.8823529411764706,sentence_all,3
4,0.8823529411764706,0.9757785467128027,0.9782120743034057,0.8823529411764706,0.8823529411764706,0.8823529411764706,sentence_all,4
5,0.8529411764705882,0.9757785467128027,0.9782120743034057,0.8571428571428571,0.8333333333333334,0.8823529411764706,sentence_all,5
6,0.8529411764705882,0.9757785467128027,0.9782120743034057,0.8571428571428571,0.8333333333333334,0.8823529411764706,sentence_all,6
7,0.8529411764705882,0.9757785467128027,0.9782120743034057,0.8571428571428571,0.8333333333333334,0.8823529411764706,sentence_all,7
8,0.8823529411764706,0.9792387543252594,0.9809640522875817,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,8
9,0.8823529411764706,0.9757785467128027,0.9777201076509034,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,9
10,0.8823529411764706,0.9757785467128027,0.9777201076509034,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,10
11,0.8823529411764706,0.9826989619377162,0.9840397923875432,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,11
12,0.8823529411764706,0.9826989619377162,0.9846405228758169,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,12
13,0.8823529411764706,0.986159169550173,0.9877162629757785,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,13
14,0.9117647058823529,0.9896193771626297,0.9911764705882353,0.9142857142857143,0.8888888888888888,0.9411764705882353,sentence_all,14
15,0.8823529411764706,0.9896193771626297,0.9911764705882353,0.8888888888888888,0.8421052631578947,0.9411764705882353,sentence_all,15
16,0.9117647058823529,0.9896193771626297,0.9911764705882353,0.9142857142857143,0.8888888888888888,0.9411764705882353,sentence_all,16
17,0.9705882352941176,0.9896193771626297,0.9911764705882353,0.9696969696969697,1.0,0.9411764705882353,sentence_all,17
18,0.9705882352941176,0.986159169550173,0.988795518207283,0.9696969696969697,1.0,0.9411764705882353,sentence_all,18
19,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,19
20,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,20
21,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,21
22,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,22
23,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,23
24,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,24
25,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,25
26,0.9705882352941176,0.9965397923875432,0.9967320261437909,0.9696969696969697,1.0,0.9411764705882353,sentence_all,26
27,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,27
28,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,28
29,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,29
30,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,30
31,0.9705882352941176,1.0,1.0,0.9696969696969697,1.0,0.9411764705882353,sentence_all,31
32,0.9411764705882353,0.9896193771626297,0.9911764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,sentence_all,32
0,0.5294117647058824,0.5882352941176471,0.6378959343594068,0.5555555555555556,0.5263157894736842,0.5882352941176471,sentence_img,0
1,0.5294117647058824,0.5882352941176471,0.6378959343594068,0.5555555555555556,0.5263157894736842,0.5882352941176471,sentence_img,1
2,0.6470588235294118,0.6020761245674742,0.6479048470153783,0.625,0.6666666666666666,0.5882352941176471,sentence_img,2
3,0.6470588235294118,0.6020761245674742,0.6479048470153783,0.625,0.6666666666666666,0.5882352941176471,sentence_img,3
4,0.6470588235294118,0.6020761245674742,0.6479048470153783,0.625,0.6666666666666666,0.5882352941176471,sentence_img,4
5,0.5882352941176471,0.5916955017301038,0.6366641438375555,0.5882352941176471,0.5882352941176471,0.5882352941176471,sentence_img,5
