,accuracy,auroc,auprc,f1,precision,recall,embedding_level
0,0.9571428571428572,0.9942857142857142,0.9945244062537296,0.9552238805970149,1.0,0.9142857142857143,sentence_all
1,0.9571428571428572,0.9959183673469387,0.9960279607338431,0.9552238805970149,1.0,0.9142857142857143,sentence_all
2,0.9571428571428572,0.9926530612244898,0.993421052631579,0.9552238805970149,1.0,0.9142857142857143,sentence_all
3,0.9571428571428572,0.9942857142857143,0.9948412698412699,0.9552238805970149,1.0,0.9142857142857143,sentence_all
4,0.9571428571428572,0.9951020408163266,0.9956122448979592,0.9552238805970149,1.0,0.9142857142857143,sentence_all
5,0.9571428571428572,0.9959183673469387,0.9961570593149541,0.9552238805970149,1.0,0.9142857142857143,sentence_all
6,0.9571428571428572,0.996734693877551,0.9969280343716435,0.9552238805970149,1.0,0.9142857142857143,sentence_all
7,0.9571428571428572,0.9959183673469387,0.9960876982371897,0.9552238805970149,1.0,0.9142857142857143,sentence_all
8,0.9571428571428572,0.9942857142857142,0.9945244062537296,0.9552238805970149,1.0,0.9142857142857143,sentence_all
9,0.9571428571428572,0.9959183673469387,0.9960279607338431,0.9552238805970149,1.0,0.9142857142857143,sentence_all
10,0.9571428571428572,0.9942857142857142,0.9945244062537296,0.9552238805970149,1.0,0.9142857142857143,sentence_all
11,0.9571428571428572,0.9942857142857142,0.9945244062537296,0.9552238805970149,1.0,0.9142857142857143,sentence_all
12,0.9571428571428572,0.9942857142857142,0.9945244062537296,0.9552238805970149,1.0,0.9142857142857143,sentence_all
13,0.9571428571428572,0.996734693877551,0.9969280343716435,0.9552238805970149,1.0,0.9142857142857143,sentence_all
14,0.9571428571428572,0.996734693877551,0.9968682968682969,0.9552238805970149,1.0,0.9142857142857143,sentence_all
15,0.9714285714285714,0.996734693877551,0.9968682968682969,0.9705882352941176,1.0,0.9428571428571428,sentence_all
16,0.9571428571428572,0.9983673469387755,0.9984555984555985,0.9552238805970149,1.0,0.9142857142857143,sentence_all
17,0.9714285714285714,1.0,1.0,0.9705882352941176,1.0,0.9428571428571428,sentence_all
18,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_all
19,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_all
20,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_all
21,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all
22,1.0,1.0,1.0,1.0,1.0,1.0,sentence_all
23,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
24,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
25,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
26,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
27,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
28,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
29,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
30,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
31,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_all
32,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_all
0,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img
1,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img
3,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img
4,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img
5,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img
6,0.9857142857142858,1.0,1.0,0.9855072463768116,1.0,0.9714285714285714,sentence_img
7,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img
8,0.9857142857142858,0.9983673469387755,0.9984555984555985,0.9855072463768116,1.0,0.9714285714285714,sentence_img
9,0.9857142857142858,0.9991836734693877,0.9992063492063492,0.9855072463768116,1.0,0.9714285714285714,sentence_img
10,0.9857142857142858,0.9983673469387755,0.9984555984555985,0.9855072463768116,1.0,0.9714285714285714,sentence_img
11,0.9857142857142858,0.996734693877551,0.9970695970695971,0.9855072463768116,1.0,0.9714285714285714,sentence_img
12,0.9857142857142858,0.996734693877551,0.9970695970695971,0.9855072463768116,1.0,0.9714285714285714,sentence_img
13,0.9857142857142858,0.9951020408163265,0.9958188153310105,0.9855072463768116,1.0,0.9714285714285714,sentence_img
14,0.9857142857142858,0.9951020408163265,0.9958188153310105,0.9855072463768116,1.0,0.9714285714285714,sentence_img
15,0.9714285714285714,0.9942857142857143,0.9952380952380953,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_img
16,0.9714285714285714,0.9942857142857143,0.9947719087635054,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_img
17,0.9714285714285714,0.9959183673469387,0.9960876982371897,0.9714285714285714,0.9714285714285714,0.9714285714285714,sentence_img
18,0.9571428571428572,0.9975510204081632,0.9975496865412832,0.9565217391304348,0.9705882352941176,0.9428571428571428,sentence_img
19,0.9571428571428572,0.9983673469387755,0.998390022675737,0.9565217391304348,0.9705882352941176,0.9428571428571428,sentence_img
20,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img
21,1.0,1.0,1.0,1.0,1.0,1.0,sentence_img
22,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_img
23,0.9857142857142858,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0,sentence_img
24,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_img
25,0.9571428571428572,1.0,1.0,0.958904109589041,0.9210526315789473,1.0,sentence_img
26,0.9571428571428572,1.0,1.0,0.958904109589041,0.9210526315789473,1.0,sentence_img
27,0.9571428571428572,1.0,1.0,0.958904109589041,0.9210526315789473,1.0,sentence_img
28,0.9714285714285714,1.0,1.0,0.9722222222222222,0.9459459459459459,1.0,sentence_img
