,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.78,0.8672000000000001,0.8572989877385824,0.8070175438596491,0.71875,0.92,sentence_all,0,0
1,0.68,0.7904,0.7708990907063699,0.68,0.68,0.68,sentence_all,7,0
2,0.72,0.7776000000000001,0.7207822001759476,0.7407407407407407,0.6896551724137931,0.8,sentence_all,14,0
3,0.96,0.9904,0.9897327976371455,0.96,0.96,0.96,sentence_all,21,0
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_all,28,0
0,0.92,0.9456,0.9519248503169486,0.9230769230769231,0.8888888888888888,0.96,sentence_img,0,0
1,0.9,0.9536,0.9563388135713483,0.9056603773584906,0.8571428571428571,0.96,sentence_img,7,0
2,0.86,0.9392,0.9411195479483356,0.8679245283018868,0.8214285714285714,0.92,sentence_img,14,0
3,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_img,21,0
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,0
1,0.42,0.424,0.47666627215458884,0.35555555555555557,0.4,0.32,sentence_text,7,0
2,0.56,0.6544,0.6342447441774265,0.5217391304347826,0.5714285714285714,0.48,sentence_text,14,0
3,0.88,0.9456,0.9509488675575632,0.875,0.9130434782608695,0.84,sentence_text,21,0
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,0
0,0.42,0.3952,0.43248420393025544,0.32558139534883723,0.3888888888888889,0.28,token_all,0,0
1,0.4,0.3968,0.4390676534499857,0.25,0.3333333333333333,0.2,token_all,7,0
2,0.42,0.3984,0.45972770134842367,0.2926829268292683,0.375,0.24,token_all,14,0
3,0.44,0.4304,0.48693021748925597,0.3333333333333333,0.4117647058823529,0.28,token_all,21,0
4,0.46,0.45119999999999993,0.49774478597980176,0.37209302325581395,0.4444444444444444,0.32,token_all,28,0
0,0.46,0.3744,0.4494493206996088,0.47058823529411764,0.46153846153846156,0.48,token_img,0,0
1,0.46,0.37599999999999995,0.4502155544658426,0.47058823529411764,0.46153846153846156,0.48,token_img,7,0
2,0.46,0.3824,0.45655950638595555,0.47058823529411764,0.46153846153846156,0.48,token_img,14,0
3,0.44,0.3776,0.46012882905057756,0.391304347826087,0.42857142857142855,0.36,token_img,21,0
4,0.46,0.384,0.4570393907830813,0.4,0.45,0.36,token_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,0
1,0.38,0.4224,0.5070455887351539,0.3111111111111111,0.35,0.28,token_text,7,0
2,0.38,0.44160000000000005,0.5201978644282444,0.3111111111111111,0.35,0.28,token_text,14,0
3,0.38,0.43520000000000003,0.5189553482057621,0.3111111111111111,0.35,0.28,token_text,21,0
4,0.4,0.4704,0.528182359987885,0.34782608695652173,0.38095238095238093,0.32,token_text,28,0
0,0.88,0.9632,0.9687541740207055,0.875,0.9130434782608695,0.84,sentence_all,0,1
1,0.9,0.968,0.9698682495504442,0.8979591836734694,0.9166666666666666,0.88,sentence_all,7,1
2,0.88,0.9648000000000001,0.963678453210988,0.88,0.88,0.88,sentence_all,14,1
3,0.94,1.0,1.0,0.9361702127659575,1.0,0.88,sentence_all,21,1
4,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_all,28,1
0,0.92,0.984,0.9865064102564104,0.9166666666666666,0.9565217391304348,0.88,sentence_img,0,1
1,0.94,0.9887999999999999,0.9897391688771,0.9387755102040817,0.9583333333333334,0.92,sentence_img,7,1
2,0.94,0.9856,0.9849855448898928,0.9387755102040817,0.9583333333333334,0.92,sentence_img,14,1
