,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
0,0.92,0.9424,0.9488441302240334,0.9230769230769231,0.8888888888888888,0.96,sentence_all,0,0
1,0.9,0.9503999999999999,0.9530626230951578,0.9056603773584906,0.8571428571428571,0.96,sentence_all,7,0
2,0.86,0.9359999999999999,0.9372760627856005,0.8679245283018868,0.8214285714285714,0.92,sentence_all,14,0
3,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_all,21,0
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_all,28,0
0,0.92,0.9456,0.9519248503169486,0.9230769230769231,0.8888888888888888,0.96,sentence_img,0,0
1,0.9,0.9552,0.9570895643220991,0.9056603773584906,0.8571428571428571,0.96,sentence_img,7,0
2,0.86,0.9392,0.9411195479483356,0.8679245283018868,0.8214285714285714,0.92,sentence_img,14,0
3,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_img,21,0
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,0
1,0.64,0.744,0.7759870538406977,0.6538461538461539,0.6296296296296297,0.68,sentence_text,7,0
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,0
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21,0
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,0
0,0.46,0.3744,0.4494493206996088,0.47058823529411764,0.46153846153846156,0.48,token_all,0,0
1,0.46,0.37599999999999995,0.4502155544658426,0.47058823529411764,0.46153846153846156,0.48,token_all,7,0
2,0.46,0.3824,0.45655950638595555,0.47058823529411764,0.46153846153846156,0.48,token_all,14,0
3,0.44,0.384,0.4623232726058102,0.391304347826087,0.42857142857142855,0.36,token_all,21,0
4,0.48,0.3888,0.4628446931356731,0.4090909090909091,0.47368421052631576,0.36,token_all,28,0
0,0.46,0.3744,0.4494493206996088,0.47058823529411764,0.46153846153846156,0.48,token_img,0,0
1,0.46,0.37599999999999995,0.4502155544658426,0.47058823529411764,0.46153846153846156,0.48,token_img,7,0
2,0.46,0.3824,0.45655950638595555,0.47058823529411764,0.46153846153846156,0.48,token_img,14,0
3,0.44,0.376,0.4597107105836786,0.391304347826087,0.42857142857142855,0.36,token_img,21,0
4,0.46,0.384,0.4570393907830813,0.4,0.45,0.36,token_img,28,0
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,0
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,0
2,0.82,0.8944000000000001,0.9128910810100379,0.8,0.9,0.72,token_text,14,0
3,0.9,0.976,0.9748220731073727,0.8936170212765957,0.9545454545454546,0.84,token_text,21,0
4,0.72,0.7824,0.7811917017193101,0.7083333333333334,0.7391304347826086,0.68,token_text,28,0
0,0.92,0.984,0.9865064102564104,0.9166666666666666,0.9565217391304348,0.88,sentence_all,0,1
1,0.94,0.9872,0.9880000384423173,0.9387755102040817,0.9583333333333334,0.92,sentence_all,7,1
2,0.94,0.9856,0.9849855448898928,0.9387755102040817,0.9583333333333334,0.92,sentence_all,14,1
3,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_all,21,1
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_all,28,1
0,0.92,0.984,0.9865064102564104,0.9166666666666666,0.9565217391304348,0.88,sentence_img,0,1
1,0.94,0.9887999999999999,0.9897391688771,0.9387755102040817,0.9583333333333334,0.92,sentence_img,7,1
2,0.94,0.9856,0.9849855448898928,0.9387755102040817,0.9583333333333334,0.92,sentence_img,14,1
3,0.96,1.0,1.0,0.9583333333333334,1.0,0.92,sentence_img,21,1
4,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,1
1,0.64,0.7103999999999999,0.681537391821182,0.64,0.64,0.64,sentence_text,7,1
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,1
3,0.98,1.0,1.0,0.9795918367346939,1.0,0.96,sentence_text,21,1
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,1
0,0.54,0.552,0.5499539594689533,0.5660377358490566,0.5357142857142857,0.6,token_all,0,1
1,0.54,0.5536,0.5506895916528614,0.5660377358490566,0.5357142857142857,0.6,token_all,7,1
2,0.54,0.5504,0.547771433723834,0.5660377358490566,0.5357142857142857,0.6,token_all,14,1
3,0.54,0.5504,0.5476242891392831,0.5660377358490566,0.5357142857142857,0.6,token_all,21,1
4,0.54,0.5327999999999999,0.5640000530395951,0.5490196078431373,0.5384615384615384,0.56,token_all,28,1
0,0.54,0.552,0.5499539594689533,0.5660377358490566,0.5357142857142857,0.6,token_img,0,1
1,0.54,0.5536,0.5506895916528614,0.5660377358490566,0.5357142857142857,0.6,token_img,7,1
2,0.54,0.5504,0.547771433723834,0.5660377358490566,0.5357142857142857,0.6,token_img,14,1
3,0.54,0.5471999999999999,0.5443453458603398,0.5660377358490566,0.5357142857142857,0.6,token_img,21,1
4,0.54,0.5327999999999999,0.5616322273169305,0.5490196078431373,0.5384615384615384,0.56,token_img,28,1
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,1
