,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,54.792873,71.48454,74.53539,78.04552,85.30836,87.96686,90.22976,94.59755,101.490875,104.054825,96.81543,95.05977,99.01474,100.38598,103.214005,103.74984,106.750984,111.757996,114.765656,111.27193,112.480644,114.65385,121.17115,125.14911,132.12268,141.97423,156.76384,159.66862,166.80032,All tokens
1,30.732117,45.807,50.22208,54.438374,61.70059,64.53725,66.39448,71.318016,77.432175,78.419075,71.423515,70.41555,74.36144,76.446396,79.39792,81.01164,85.12444,89.25156,91.78026,90.108734,90.169945,92.24881,93.04563,93.247055,89.99679,92.573395,101.16508,97.59905,111.41444,All tokens
2,42.138397,60.31948,65.558464,70.219894,78.206375,81.097435,83.97508,89.942604,94.5026,96.783806,91.30712,89.20199,94.0936,96.49654,98.67547,99.74052,101.4465,105.79762,108.501884,105.62538,108.126305,111.315605,115.95287,119.859146,121.461075,127.59106,141.98047,142.62956,158.09123,All tokens
3,53.062344,69.9311,74.13408,78.397766,86.08672,90.15864,92.31781,99.06243,107.668045,113.046036,102.82643,101.75914,106.874954,107.71334,110.29644,110.9123,113.02334,117.48433,120.38939,116.01514,117.74191,120.0154,125.15169,128.85304,130.21288,137.07431,150.5372,155.65384,172.70338,All tokens
4,55.86243,74.81227,79.78529,85.06224,92.52864,96.54739,98.6124,104.8874,111.935486,115.86576,104.87794,104.108574,109.33025,109.72126,112.01301,113.131546,116.51221,121.654686,124.36411,120.716484,122.60391,125.22432,130.14008,133.07953,135.89763,143.80637,157.63356,161.12938,183.95062,All tokens
5,26.318872,41.29443,45.87723,50.391052,57.388817,60.680233,62.669006,70.56425,79.61215,83.160225,77.05215,76.20673,83.40219,85.026146,91.00893,94.62633,100.45083,107.67416,113.680214,112.56043,114.0973,116.49182,116.8184,116.67009,122.321236,128.09984,141.92259,143.91235,164.96384,All tokens
6,29.548573,40.46146,44.69026,48.891525,54.788197,58.00962,59.846073,66.99184,76.197365,81.112564,75.44316,76.70335,83.419525,84.789055,90.277405,91.61022,96.24692,101.08502,104.36948,101.06257,103.20093,107.35901,108.82288,109.57095,115.45506,122.75579,138.5727,144.58939,158.79173,All tokens
7,23.78454,40.39911,45.50871,50.422203,57.808487,60.980625,62.185165,69.03505,77.28455,79.638885,75.5262,75.32295,80.49542,81.54143,84.80126,86.86084,90.20456,95.01168,98.99127,97.513405,99.28446,102.64188,102.32332,103.41476,103.37512,106.681725,114.63362,113.66644,128.26021,All tokens
8,56.49917,73.65252,77.62245,81.85108,88.90614,92.51294,94.62845,100.83608,108.15193,111.94227,101.875565,99.969246,104.47359,105.17653,107.55931,109.15716,111.49478,116.02904,118.98448,114.81131,116.4876,118.82312,124.48347,129.47386,134.34949,144.56844,161.61339,165.66461,178.97623,All tokens
9,38.88346,58.107346,64.38884,70.95981,78.255806,82.008095,84.27698,89.86685,95.59592,97.06217,87.86001,86.85648,90.62417,91.89609,93.70125,94.482544,96.41512,100.59817,102.34553,99.297485,100.3979,102.56292,103.57025,106.06999,106.30408,111.56168,121.32998,122.106834,136.75845,All tokens
0,63.501377,69.86677,70.255135,71.41521,75.464066,76.589676,77.50059,81.58148,87.74601,90.97335,84.670715,82.40093,85.46091,86.825806,89.20718,89.871,92.93204,98.19422,101.15143,98.271614,99.71797,101.09207,107.03228,110.12013,116.82509,126.668724,140.90344,151.24744,149.7179,Img tokens
