,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
0,25.43497,54.95198,63.63854,71.76011,83.24469,88.917206,91.3349,100.458626,107.05081,110.27841,102.721596,104.50235,108.63892,108.18355,111.893654,113.78429,118.95663,124.99792,129.75806,127.4188,128.54082,130.89873,129.96103,133.24887,132.4349,134.10378,141.36111,134.9661,159.77113,All tokens
1,21.780653,33.194576,36.25685,39.57117,44.868885,47.70881,49.565014,57.852528,67.34187,72.804886,66.89544,66.644554,71.95593,73.52648,76.23879,77.800285,81.34161,86.14154,88.22079,86.6828,88.76636,90.25373,93.38179,92.84079,97.12027,105.827545,120.12825,126.807655,147.34045,All tokens
2,32.94693,46.5814,50.223194,54.352818,60.87304,63.804832,66.09414,72.60925,79.82787,81.3732,72.58668,70.39607,75.25177,77.377556,80.62026,82.944954,87.36945,92.97351,96.29892,94.99456,96.41269,97.14505,99.32087,99.2297,101.26435,109.68768,123.188934,130.37236,146.1362,All tokens
3,20.06628,38.7329,44.738094,50.241127,57.18242,61.095963,62.92049,67.313354,74.26392,77.52269,72.095856,72.14231,76.04251,78.57884,80.650566,82.28962,85.45977,88.497604,90.40777,88.44639,89.28358,92.43012,96.70616,98.751686,98.36017,100.653015,106.31406,107.82172,114.56154,All tokens
4,21.376177,32.906906,35.974148,39.26631,44.724796,47.499588,49.295628,57.742477,67.2897,72.854,67.314224,67.10507,72.47438,73.88665,76.818054,78.20817,81.684364,86.81587,89.142,87.63307,89.20489,91.23961,94.36085,93.87114,97.80418,106.22954,120.17586,126.92017,146.86684,All tokens
5,42.577507,61.582436,69.55885,78.12345,88.08028,92.31472,93.77044,100.49336,106.05512,110.67921,93.537544,89.49182,94.25,95.022736,99.76901,101.6857,106.10223,111.40662,114.49171,110.984085,110.497955,113.833824,116.36047,114.31605,117.25454,122.52824,129.81041,139.67146,159.02588,All tokens
6,19.402088,38.437077,44.905174,52.463318,59.99188,63.762646,65.49551,71.87734,79.745056,82.27188,77.379845,76.92638,81.81647,83.86351,85.292206,86.091606,88.573425,90.94624,92.00241,89.66439,90.998604,94.07655,98.02987,101.537384,104.11081,108.55493,116.47838,115.547745,122.78693,All tokens
7,18.590237,33.51385,38.903618,44.50879,51.58592,55.77116,57.773018,64.38834,72.73365,74.223,69.53097,70.200645,74.68136,76.35073,78.96643,80.62657,83.82321,86.88868,87.99967,86.17663,87.08807,90.11823,93.097916,95.0211,96.975006,97.10897,107.559456,107.68956,111.27575,All tokens
8,33.850784,48.909595,52.87807,57.15009,63.657722,66.27333,68.05336,74.46218,83.448296,86.057335,75.8932,75.321205,81.5909,81.97486,86.55632,89.69595,94.411804,100.122536,103.969574,102.32244,103.54255,104.06525,107.38,106.89254,109.11843,117.98561,136.22937,143.00652,152.26122,All tokens
9,16.662483,48.509056,55.876976,61.716953,70.39534,74.8789,75.96377,81.5382,84.5636,88.79726,84.42044,83.124115,86.34379,86.214806,88.46837,89.665375,94.35131,98.672226,103.9092,103.62148,103.25778,105.13631,101.76709,104.0582,103.11424,105.65102,110.57719,107.39957,113.49194,All tokens
0,34.39605,40.858807,43.007526,45.094578,49.047333,51.149902,52.395443,58.564293,63.35381,66.532715,63.57948,65.32521,68.800385,69.12983,72.88259,74.39517,78.39952,83.63828,87.105934,85.80693,87.23649,89.05202,89.61126,92.253685,94.28677,97.84257,106.26302,114.49422,126.47263,Img tokens
1,22.516562,29.355074,30.452322,31.578636,34.547947,35.994854,36.94364,43.79203,51.340714,56.586037,52.498264,52.11499,56.739643,58.363934,61.108406,62.631874,65.94134,70.46825,72.33256,71.19149,73.34673,74.6565,77.68796,77.19646,81.71194,90.22641,104.069664,115.18759,126.48542,Img tokens
2,36.229633,42.868847,44.300377,45.589916,49.25057,50.815006,52.404102,57.971848,63.89377,65.98722,59.552986,57.187443,61.406986,63.520725,66.669846,68.53075,72.957695,78.249115,81.23096,80.26733,81.92812,82.50901,84.85502,84.67273,87.04631,95.33689,108.64141,119.8942,126.9528,Img tokens
3,28.632576,30.78858,31.498102,32.27839,34.568916,35.966877,37.100452,40.418144,45.728394,48.924835,46.368595,45.747593,48.538975,50.548126,52.298954,53.69599,56.237663,58.90741,60.395405,59.403973,60.067734,61.13038,64.25153,64.97308,65.19846,68.039566,73.83322,80.95518,82.233055,Img tokens
4,22.063797,28.852888,29.981289,31.065693,34.03687,35.4569,36.38124,43.278595,50.829155,56.126972,52.409496,52.08033,56.724327,58.19741,61.140236,62.54389,65.77058,70.55416,72.64447,71.59848,73.30376,75.0449,78.13187,77.53455,81.67548,89.9312,103.21923,114.55297,125.31483,Img tokens
5,46.98167,57.117947,61.776012,67.09519,73.8126,76.791504,77.34996,83.15976,87.49678,92.2789,78.15701,74.5963,78.95935,79.88294,84.13082,85.709816,89.88082,94.87183,97.49741,94.52901,94.60521,97.480675,99.86587,97.19987,99.88887,104.41757,110.56891,124.02235,138.6895,Img tokens
6,26.614443,30.032263,30.741085,31.595068,33.741364,34.78743,35.85593,40.761806,46.658077,49.73371,47.555748,46.66686,50.413353,52.514374,53.920834,55.025635,57.008312,59.341488,60.373726,59.436016,60.328598,61.16146,64.05743,65.84482,69.16996,73.32174,81.4226,86.07469,86.81024,Img tokens
7,27.624266,29.314325,30.223482,31.051905,33.081104,34.489136,35.48159,40.577915,46.608532,48.49362,45.87243,45.864983,49.138206,50.511444,52.824142,54.330868,56.939476,59.700775,60.469006,59.65954,60.41064,61.604218,63.398746,63.67794,65.252144,65.74248,75.297066,80.51542,77.84095,Img tokens
8,36.101173,43.904015,45.377113,46.8492,50.608337,52.017952,53.262417,59.15799,66.88089,70.03675,62.609745,61.70615,67.01267,67.530205,71.76843,74.44887,79.09675,84.77038,88.391914,87.17129,88.73444,89.18077,92.65584,91.71669,93.66122,102.30308,120.066124,130.78723,132.71799,Img tokens
9,22.167427,26.621685,28.774916,30.417347,33.08407,35.13626,35.542263,39.415318,41.050636,43.93171,44.14162,43.74856,46.153835,46.4852,48.8245,50.021416,53.072224,56.36863,59.889385,60.06736,60.3328,60.3648,58.1306,58.87051,58.51636,60.82853,64.88178,66.29935,71.38637,Img tokens
0,42.56977,64.60003,64.00953,65.2814,69.53471,70.164276,70.188835,72.61358,70.137375,69.91446,65.138054,62.68631,62.916832,62.488323,61.884212,62.13051,63.236706,64.04787,66.437454,66.01898,65.88747,66.767044,64.880295,66.819305,64.58361,64.85549,64.927216,62.458294,53.634857,Text tokens
1,26.127222,37.216324,37.79756,38.92348,40.082016,39.712566,39.29497,39.019566,37.315975,36.85943,35.024044,34.05342,33.599384,33.310368,32.629105,31.902813,31.903116,31.990791,33.001987,32.749676,32.492786,33.632236,33.94514,34.838764,35.859303,36.42983,36.362335,35.32108,31.34587,Text tokens
2,26.359785,36.7461,37.165653,38.27569,38.97319,38.560196,38.254963,38.137897,36.125202,35.755165,33.866024,33.234173,32.826538,32.257023,31.890965,31.246746,30.988626,30.805725,31.574299,31.073368,30.742388,32.250317,32.236526,33.384438,34.263905,35.026894,35.076466,34.1135,30.85214,Text tokens
3,43.46824,57.40492,57.4647,57.544,59.525925,58.56945,57.87363,58.188087,55.29882,54.95072,49.886658,47.991558,47.95294,47.51811,46.81037,46.84868,47.30693,47.778717,49.076973,47.864986,47.38675,49.125206,49.092182,50.38221,50.886192,51.36593,51.96713,51.439106,46.226196,Text tokens
4,27.723553,39.297222,39.80559,40.905533,42.102467,41.590477,41.038094,40.798054,39.032154,38.44281,36.284687,35.12394,34.709957,34.450706,33.674488,32.878975,32.82329,32.99511,34.01255,33.482887,33.30363,34.40254,34.491627,35.775307,36.64929,36.95767,37.0948,36.035717,32.660976,Text tokens
5,29.341194,40.420288,40.605354,41.909527,42.690006,41.854588,41.349564,41.432056,39.70315,39.294083,37.34442,36.325344,35.83275,35.059803,34.537464,34.033348,33.9516,33.904114,34.892223,34.647057,34.51025,36.028122,36.175945,37.194363,37.687717,38.43259,38.53719,37.464985,33.307816,Text tokens
6,44.182957,57.91407,56.48611,56.510403,57.28667,56.85976,55.666565,55.458767,54.63404,55.02388,51.135574,49.394424,49.163986,48.30887,47.770058,47.430943,48.303226,48.74264,49.966137,49.324715,48.836163,50.763214,50.022907,51.56328,51.56226,52.890614,53.357944,51.945,48.660233,Text tokens
7,44.092186,54.74354,53.768963,52.954052,53.25599,53.141277,50.40332,51.312023,49.768303,50.06285,46.987938,45.058216,45.188667,44.405956,43.67211,43.551727,43.84188,44.295773,45.5759,44.64107,44.29241,45.84351,45.92177,46.947857,47.805775,48.047638,48.61784,48.80564,44.85787,Text tokens
8,33.030262,45.04202,45.832012,46.482162,46.970387,45.851883,45.396072,44.359447,41.818142,41.484123,38.479332,36.633,36.515232,35.585594,35.048496,34.68065,34.712025,34.730515,35.81509,35.32297,35.113583,36.814144,36.753693,38.360863,39.272663,40.33885,40.368202,39.520775,36.073162,Text tokens
